ID_A,ID_B,Title_A,Title_B,ISBN_A,ISBN_B
bn_538,B172,Oracle Database Programming using Java and Web Services,Building Queries: Using Microsoft Access 2010,9781555583293,9780615827629.0
bn_1148,B2798,SQL Tuning,Beginning SQL Programming with CDROM (Programmer to Programmer),9780596005733,9781861001801.0
bn_1169,B1829,Prentice Hall Access 2013 PHIT Tip,Programming Microsoft® Visual Basic® .NET for Microsoft Access Databases (Developer Reference),9780133417210,9780735618190.0
bn_1947,B2800,Pro SQL Server 2008 Failover Clustering,Mining the Web: Transforming Customer Data into Customer Value,9781430219668,9780471416098.0
bn_154,B2893,"Profitable Membership Website-Discover Everything You Need To Know About Membership Website, Improve Your Membership Website Profits, Give Your Website a Boost, Increase Your Revenue,Sell PLR Articles!!!",Build Highest Availability Oracle Database System (Chinese Edition),2940148891482,9787111381457.0
bn_1386,B1127,Microsoft SQL Server 2005 Reporting Services Step by Step,Document Management Using Websphere Portal V5.0.2 And DB2 Content Manager V8.2,9780735622500,9780738490786.0
bn_1331,B2517,Camelot and Avalon: A Distributed Transaction Facility,Client/Server Computing for Dummies,9781558601857,9780764500664.0
bn_343,B2219,Visual FoxPro Program Basic,Oracle8I for Windows Nt Starter Kit (Oracle Press Series),9780078820922,9780072122480.0
bn_394,B1147,Applied Microsoft SQL Server 2008 Reporting Services,FileMaker Pro 2.0 for Macintosh: A Practical Handbook for Designing Sophisticated Databases,9780976635314,9780201622126.0
bn_2094,B2705,The dBASE III Advanced Programming,Look Smarter Than You Are With Essbase Studio,9780880221696,9781458362438.0
bn_2567,B1787,Causal Models and Intelligent Data Management / Edition 1,Data Mining for the Masses,9783540663287,9780615684376.0
bn_2954,B1305,CompTIA Security+ 2008 In Depth,Access 97 for Busy People: The Book to Use When There's No Time to Lose!,9781598638134,9780078822810.0
bn_2815,B1442,"Specifications of Database Systems: First International Workshop on Specifications of Database Systems, Glasgow, 3-5 July, 1991 Proceedings",Enterprise Integration,9780387197326,9780471359937.0
bn_2598,B2774,Data Base Organization for Data Management,Access 2000 Intermediate Course (Briefcase 2000),9780122818523,9781887281911.0
bn_1006,B1065,Database Design,Introducing SQL Server,9780672317583,9781484214206.0
bn_1591,B177,The Real MCTS SQL Server 2008 Exam 70-433 Prep Kit: Database Design,Getting Started with dBASE IVÂ (Wiley PC Companion),9780080956916,9780471586159.0
bn_1580,B2766,MySQL: Building User Interfaces,Oracle8i Data Warehousing,9780735710498,9780072126754.0
bn_2782,B1915,Database Systems: An Application-Oriented Approach / Edition 2,Mastering MySQL 4,9780321268457,9780782141627.0
bn_2299,B1113,"Engineering and Deployment of Cooperative Information Systems: First International Conference, EDCIS 2002, Beijing, China, September 17-20, 2002. Proceedings",Inside RRAS: Remote Access Solutions for Windows NTÂ,9783540442226,9780471251590.0
bn_2958,B466,Data Mining: A Heuristic Approach,XML for Data Architects: Designing for Reuse and Integration (The Morgan Kaufmann Series in Data Management Systems),9781930708259,9781558609075.0
bn_2555,B1856,"Advances in Data Mining: Applications in E-Commerce, Medicine, and Knowledge Management / Edition 1","The Integrated Data Hub, The Next Generation Data Warehouse: The Smartest Way To Deal With The Data Integration Challenges",9783540441168,9781481061407.0
bn_1147,B1566,Unlocking OLAP with Microsoft SQL Server and Excel 2000,R in a Nutshell: A Desktop Quick Reference (In a Nutshell (O'Reilly)),9780764545870,9780596801700.0
