ID_A,ID_B,Flag,Title_A,Title_B,ISBN_A,ISBN_B
bn_804,B6,,MySQL Crash Course,MySQL Crash Course,9.78067E+12,9.78067E+12
bn_1038,B10,,Oracle8 Developer's Guide,Oracle8 Developer's Guide (Developer's Guides (Wiley)),9.78076E+12,9.78076E+12
bn_617,B15,,High Availability Mysql Cookbook,High Availability MySQL Cookbook,9.78185E+12,9.78185E+12
bn_1609,B22,,Automating Microsoft Access with Macros: For Windows 95 and Windows 3.1,Automating Microsoft Access With Macros: For Windows 95 & Windows 3.1,9.78078E+12,9.78078E+12
bn_276,B45,0,Oracle PL/SQL Programming,Oracle PL/SQL Programming: Guide to Oracle8i Features,9.7806E+12,
bn_611,B45,0,Oracle PL/SQL Programming,Oracle PL/SQL Programming: Guide to Oracle8i Features,9.78008E+12,
bn_749,B45,0,Oracle PL/SQL,Oracle PL/SQL Programming: Guide to Oracle8i Features,9.78007E+12,
bn_381,B51,,Microsoft SQL Server 2012 A Beginners Guide 5E / Edition 5,Microsoft SQL Server 2012 A Beginners Guide 5/E,9.78007E+12,9.78007E+12
bn_279,B53,,DB2 Fundamentals Certification for Dummies with CD-ROM,DB2 Fundamentals Certification For Dummies (For Dummies (Computers)),9.78076E+12,9.78076E+12
bn_1358,B58,,Rapid Application Development with Oracle Designer/2000 / Edition 1,Rapid Application Development with Oracle Designer/2000 (2nd Edition),9.7802E+12,9.7802E+12
bn_718,B59,,Oracle Scripts: Powerful Tools for DBAs and Developers,Oracle Scripts: Powerful Tools for DBAs and Developers,9.78157E+12,9.78157E+12
bn_743,B60,,Oracle RMAN for Absolute Beginners,Oracle RMAN for Absolute Beginners,9.78148E+12,9.78148E+12
bn_26,B66,,Oracle Database 11g DBA Handbook / Edition 1,Oracle Database 11g DBA Handbook (Oracle Press),9.78007E+12,9.78007E+12
bn_1230,B70,,Oracle9i Application Server Portal Handbook,Oracle9i Application Server Portal Handbook (Osborne ORACLE Press Series),9.78007E+12,9.78007E+12
bn_213,B77,,Oracle Database 11g SQL / Edition 1,Oracle Database 11g SQL (Oracle Press),9.78007E+12,9.78007E+12
bn_545,B78,,Data and Reality,Data and Reality,9.78159E+12,9.78159E+12
bn_1994,B101,,Create Dynamic Web Pages Using PHP and MySQL with Cdrom,Create Dynamic Webpages Using PHP & MySQL (Practical solutions series),9.7802E+12,9.7802E+12
bn_39,B103,,MySQL: The Complete Reference / Edition 1,MySQL(TM): The Complete Reference,9.78007E+12,9.78007E+12
bn_110,B107,,Beginning PHP and Oracle: From Novice to Professional / Edition 1,Beginning PHP and Oracle: From Novice to Professional (Expert's Voice),9.78159E+12,9.78159E+12
bn_238,B110,,Oracle9i SQLJ Programming,Oracle9i SQLJ Programming,9.78007E+12,9.78007E+12
bn_740,B112,,Data Management: Databases &amp; Organizations / Edition 5,Data Management: Databases & Organizations,9.78047E+12,9.78047E+12
bn_727,B120,,Oracle 11g New Features: Get Started Fast with Oracle 11g Enhancements,Oracle 11g New Features: Get Started Fast with Oracle 11g Enhancements (Oracle In-Focus series),9.78098E+12,9.78098E+12
bn_1008,B124,,Mysql Admin Cookbook,MySQL Admin Cookbook,9.78185E+12,9.78185E+12
bn_1006,B139,0,Database Design,Database Design and Relational Theory: Normals Forms and All That Jazz (Theory in practice) (Paperback) - Common,9.78067E+12,
