ID,Title,Authors,ISBN,Publisher,Pages,Price
bn_1,Access 2013 For Dummies,"Laurie Ulrich Fuller,  Ken Cook",9781118516386,Wiley,456.0,$18.06
bn_2,MySQL. Mechanizmy wewn?trzne bazy danych,Sasha Pachev,9781457175138,Helion,240.0,$5.49
bn_3,SYBASE Developer's Handbook,Daniel J. Worden,9780127639505,Elsevier Science & Technology Books,581.0,
bn_4,"Advances in Databases: 18th British National Conference on Databases, BNCOD 18 Chilton, UK, July 9-11, 2001. Proceedings",Brian Read,9783540422655,Springer Berlin Heidelberg,219.0,$79.99
bn_5,Microsoft Access 97-Visual Basic Step by Step,Evan Callahan,9781572313194,Microsoft Press,379.0,
bn_6,CMDB Systems: Making Change Work in the Age of Cloud and Agile,"Dennis Drogseth,  Dan Twing",9780128012659,Elsevier Science,402.0,$41.42
bn_7,"Security, Audit and Control of Databases",Rodney Clark,9781856281683,"Ashgate Publishing, Limited",124.0,
bn_8,"New Perspectives on Microsoft Access 2010, Comprehensive","Joseph J. Adamski,  Kathy T. Finnegan",9780538798471,Cengage Learning,832.0,$27.15
bn_9,The Definitive Guide to SQLite,"Grant Allen,  Mike Owens",9781430232261,Apress,368.0,$35.49
bn_10,"Modelling Database Dynamics: Selected Papers from the 4th International Workshop on Foundations of Models and Languages for Data and Objects, Volkse, Germany 19-22 October 1992","Udo W. Lipeck,  Bernhard Thalheim",9780387198033,"Springer-Verlag New York, LLC",229.0,
bn_11,Professional SQL Server 2000 DTS,"Mark Chaffin,  Brian Knight,  Todd Robinson",9780764543685,Wiley,888.0,
bn_12,Access 2000 Developer's Black Book,"Lars Klander,  Dave Mercer",9781576103494,Coriolis Group,9781576103494.0,
bn_13,Oracle PL/SQL Programming Guide to Oracle8i Features,Steven Feuerstein,9781565926752,"O'Reilly Media, Incorporated",264.0,
bn_14,Guide to Oracle9i / Edition 4,"Joline Morrison,  Mike Morrison",9780619159597,Cengage Learning,984.0,$1.99
bn_15,"Persistent Object Systems: Proceedings of the 5th International Workshop, San Miniato (Pisa), Italy, 1-4 September 1992",Antonio Albano,9780387198002,"Springer-Verlag New York, LLC",446.0,
bn_16,First Course in Database Systems / Edition 3,"Jeffrey D. Ullman,  Jennifer Widom",9780136006374,Pearson,592.0,$31.22
bn_17,"The Data Bank Society (Routledge Revivals): Organizations, Computers and Social Freedom","Malcolm Warner,  Mike Stone",9780415720939,Taylor & Francis,244.0,$145.00
bn_18,"Advances in Information Retrieval: 29th European Conference on IR Research, ECIR 2007, Rome, Italy, April 2-5, 2007, Proceedings / Edition 1",Giambattista Amati,9783540714941,Springer Berlin Heidelberg,759.0,$179.00
bn_19,SQL Server 2005 Maintenance Plans,Steve Jones,9780975901571,"Central Publishing Group, The",142.0,
bn_20,Getting Started with MariaDB,Daniel Bartholomew,9781782168096,Packt Publishing,100.0,$34.99
bn_21,Discovering SQL: A Hands-On Guide for Beginners,Alex Kriegel,9781118002674,Wiley,432.0,$26.37
bn_22,"Getting Started with the SQL Procedure, Version 6",SAS Institute Incorporated,9781555446628,SAS Institute Inc.,88.0,
bn_23,Access 97 Unleashed,"Dwayne Gifford,  Stephen Forte",9780672312717,Pearson Education,936.0,
bn_24,Data Warehouse Management Handbook / Edition 1,Richard Kachur,9780130833464,Prentice Hall Professional Technical Reference,348.0,$18.80
bn_25,"Professional ADO.NET 2: Programming with SQL Server 2005, Oracle, and MySQL","Wallace B. McClure,  Gregory A. Beamer,  John J. Croft IV,  J. Ambrose Little",9780764584374,Wiley,648.0,
bn_26,Oracle Database 11g DBA Handbook / Edition 1,"Bob Bryla,  Kevin Loney",9780071496636,McGraw-Hill Professional Publishing,670.0,$8.92
bn_27,Getting Started with SAS Enterprise Miner 4.3 / Edition 1,"Inc SAS Institute,  Sas Institute",9781590472316,SAS Institute Inc.,132.0,$158.99
bn_28,Course ILT: Filemaker Pro 5.0,Course Technology,9780619023119,Cengage Learning,96.0,$34.46
bn_29,Ferret,David Balmain,9780596519407,"O'Reilly Media, Incorporated",112.0,$24.99
bn_30,Using Access 97,"Susan Harkins,  Thomas Armitage,  Susan Harkins,  et al",9780789716347,Que,650.0,
bn_31,SQL Server 2005 Distilled,Eric Brown,9780132704670,Pearson Education,336.0,$18.49
bn_32,Microsoft Ole Db 1.1 Programmer's Reference and Software Development Kit: Complete Information and Tools to Give Your Applications Data Account,"Microsoft Press,  Microsoft Corporation",9781572316126,Microsoft Press,701.0,
bn_33,Beginning ASP Database,"KAUFFMAN,  Kevin Spencer,  David Buser,  Thearon Willis",9781861002723,Apress,9781861002723.0,
bn_34,Object-Oriented Database System: Design and Implementation for Advanced Applications,Hiroshi Ishikawa,9784431683100,Springer Japan,164.0,$99.00
bn_35,Microsoft Access 7 for Windows 95: Double Diamond,"Gary B. B. Shelly,  Thomas J. Cashman,  Thomas J. Cashman",9780789511546,"Course Technology, Inc.",200.0,
bn_36,ADO 2.1 Programmer's Reference,SUSSMAN,9781861002686,Apress,607.0,
