ID,Title,Authors,ISBN,Publisher,Pages,Price
B1,Applied SOAP: Implementing .NET XML Web Services,Kenn Scribner,9780672321115.0," Sams Publishing; 1 edition (November 4, 2001)",432.0,$45.80
B2,OCP Oracle Certified Professional on Oracle 12c Certification Kit,"Gavin Powell, Robert G. Freeman",9781118957684.0," Sybex; 1 edition (September 22, 2014)",1992.0,$63.79
B3,Oracle Database 12c DBA Handbook (Oracle Press),Bob Bryla,9780071798785.0," McGraw-Hill Education; 1 edition (June 24, 2015)",704.0,$38.75
B4,Oracle8 Design Tips (A Nutshell handbook),,9781565923614.0," O'Reilly Media; 1 edition (September 11, 1997)",136.0,$3.95
B5,ARENA und Microsoft Access (German Edition),Matthias Wichmann,9783638657266.0," GRIN Verlag (November 25, 2013)",60.0,
B6,MySQL Crash Course,Ben Forta,9780672327124.0," Sams Publishing (December 22, 2005)",336.0,$27.68
B7,SQL Server Concurrency,,9781906434915.0," Red gate books (September 11, 2012)",202.0,
B8,"Algorithms - ESA '96: Fourth Annual European Symposium, Barcelona, Spain, September 25-27, 1996. Proceedings (Lecture Notes in Computer Science)",,9783540616801.0," Springer; 1996 edition (September 11, 1996)",568.0,
B9,SQL Tricks (Advanced Database Programming),,9781937842321.0," Questing Vole Press (August 6, 2014)",118.0,
B10,Oracle8 Developer's Guide (Developer's Guides (Wiley)),Carol McCullough-Dieter,9780764531972.0," Wiley (March 24, 1999)",559.0,$3.00
B11,FileMaker Pro 8.5 Bible,,9780470082775.0," Wiley; 1 edition (October 2, 2006)",984.0,$39.99
B12,Level Design: Best Practices from the Best in the Business,,9781138025356.0," Focal Press (January 1, 2016)",528.0,
B13,Implementing SAP ERP Sales & Distribution,Glynn C. Williams,9780071497053.0," McGraw-Hill Education; 1 edition (April 11, 2008)",513.0,
B14,Introducing Microsoft SQL Server 2014,Ross Mistry,9780735684751.0," Microsoft Press; 1 edition (May 16, 2014)",144.0,$9.18
B15,High Availability MySQL Cookbook,,9781847199942.0," Packt Publishing (April 27, 2010)",276.0,
B16,Oracle Solaris 11.2 System Administration Handbook (Oracle Press),"Harry Foxwell, Glynn Foster",9780071844185.0," McGraw-Hill Education; 1 edition (October 22, 2015)",336.0,$34.36
B17,"Mastering and Using Microsoft Access 2000: Comprehensive Course, Updated Edition",,9780619051501.0," Course Technology; 2 edition (January 22, 2001)",432.0,$0.41
B18,Inside Windows Debugging (Developer Reference),Tarik Soulami,9780735662780.0," Microsoft Press; 1 edition (May 25, 2012)",592.0,$26.80
B19,Data Mining with SQL Server 2005,"ZhaoHui Tang, Jamie MacLennan",9780471462613.0," Wiley; 1 edition (October 7, 2005)",480.0,$4.00
B20,"Learn dBASE Programming in a Day: For Users of dBASE-Compatible Database Programs That Use the Xbase Language Including dBASE III Plus, dBASE Iv, Db (Popular Applications Series)",,9781556224478.0, Wordware; 2 Pap/Dis edition (November 1994),159.0,
B21,Guías Rápidas de Conexión para MS Access: Guia definitiva (Spanish Edition),Enrique Davila,9781479189243.0," CreateSpace Independent Publishing Platform (August 24, 2012)",38.0,
B22,Automating Microsoft Access With Macros: For Windows 95 & Windows 3.1,Susann Novalis,9780782118568.0, Sybex Inc; Pap/Dis edition (February 1996),672.0,
B23,dBASE IV Made Easy,Miriam Liskin,9780078814648.0, Mcgraw-Hill Osborne Media (March 1989),1007.0,
B24,A Guide to Oracle: Including Developer/2000 and the Oracle Webserver and Dba Utilities,,9780760049921.0, Course Technology Ptr (Sd) (February 1998),480.0,$14.84
B25,Introduction to Oracle 10G & Database CD Package,James T. Perry,9780131746008.0," Prentice Hall (December 29, 2005)",659.0,$18.94
B26,Oracle8i For Dummies (For Dummies Series),Carol McCullough-Dieter,9780764507984.0," For Dummies; 2 edition (December 15, 2000)",408.0,$24.99
