ID_A,ID_B,Title_A,Title_B,ISBN13_A,ISBN13_B
BN0832,HC1283,"House of Night TP boxed set (books 5-8): Hunted, Tempted, Burned, Awakened",Keep Jumping/No Hating(Cheer Drama),9781250023582,9781616518851
BN2221,HC1856,The Islanders: Volume 2: Nina Won't Tell and Ben's In Love,Bridge to Terabithia,9780062340788,9780061253706
BN0302,HC0221,The Fiery Heart (Bloodlines Series #4),The Bad Beginning(Series of Unfortunate Events (Paperback)),9781595146311,9780061146305
BN0094,HC1812,The Chronicles of Narnia (Boxed Set) (Collector's Edition),Trickster's Choice(Aliane),9780064409391,9780375814723
BN0833,HC3020,The Hobbit: The Enchanting Prelude to The Lord of the Rings,Gemstones(DK Pockets),9780345339683,9780789495969
BN3005,HC2044,Song of the Sparrow,The Adventures of Achilles(Advanced Readers: Classics),9780439918497,9781846868009
BN0847,HC1006,The Wishsong of Shannara (Shannara Series #3),The Success Principles for Teens,9780345356369,9780757307270
BN0329,HC1455,The Alchemyst (The Secrets of the Immortal Nicholas Flamel #1),When a Friend Dies,9780385736008,9781575421704
BN0022,HC2454,Mockingjay (Hunger Games Series #3),The Subtle Knife(His Dark Materials (Paperback)),9780545663267,9780440418337
BN2637,HC0429,Star Wars The Crystal Star,Sinsajo = Mockingjay(Hunger Games),9780553571745,9788427202146
BN0186,HC0054,Sophie's World: A Novel about the History of Philosophy,"The Kane Chronicles, The, Book One(Kane Chronicles Kane Chronicles)",9780374530716,9781423113454
BN1758,HC2714,Victories (Shadow Grail Series #4),Daja's Book(Circle of Magic),9780765317643,9780590554107
BN0503,HC0489,Tiger's Destiny (Tiger's Curse Series #4),You Don't Know Me,9781454903567,9780064473781
BN0699,HC1444,I Am the Mission (Unknown Assassin Series #2),Nobody But Us,9780316199711,9780062121264
BN0919,HC1844,Don't Look Behind You,The Blue Fairy Book(Dover Storybooks for Children),9780316126588,9780486214375
BN0282,HC1814,The Selection Stories: The Prince & The Guard,Castle,9780062318329,9780395329207
BN0168,HC2737,Purple Hibiscus,Julius Caesar(Wicked History (Paperback)),9781616202415,9780531228227
BN1105,HC0900,Dirk Gently's Holistic Detective Agency,Day of Tears,9781476782997,9781423104094
