ID_A,ID_B,Flag,Title_A,Title_B,ISBN13_A,ISBN13_B
BN0832,HC1283,,"House of Night TP boxed set (books 5-8): Hunted, Tempted, Burned, Awakened",Keep Jumping/No Hating(Cheer Drama),9.78125E+12,9.78162E+12
BN2221,HC1856,,The Islanders: Volume 2: Nina Won't Tell and Ben's In Love,Bridge to Terabithia,9.78006E+12,9.78006E+12
BN0302,HC0221,,The Fiery Heart (Bloodlines Series #4),The Bad Beginning(Series of Unfortunate Events (Paperback)),9.7816E+12,9.78006E+12
BN0094,HC1812,,The Chronicles of Narnia (Boxed Set) (Collector's Edition),Trickster's Choice(Aliane),9.78006E+12,9.78038E+12
BN0833,HC3020,,The Hobbit: The Enchanting Prelude to The Lord of the Rings,Gemstones(DK Pockets),9.78035E+12,9.78079E+12
BN3005,HC2044,,Song of the Sparrow,The Adventures of Achilles(Advanced Readers: Classics),9.78044E+12,9.78185E+12
BN0847,HC1006,,The Wishsong of Shannara (Shannara Series #3),The Success Principles for Teens,9.78035E+12,9.78076E+12
BN0329,HC1455,,The Alchemyst (The Secrets of the Immortal Nicholas Flamel #1),When a Friend Dies,9.78039E+12,9.78158E+12
BN0022,HC2454,,Mockingjay (Hunger Games Series #3),The Subtle Knife(His Dark Materials (Paperback)),9.78055E+12,9.78044E+12
BN2637,HC0429,,Star Wars The Crystal Star,Sinsajo = Mockingjay(Hunger Games),9.78055E+12,9.78843E+12
BN0186,HC0054,,Sophie's World: A Novel about the History of Philosophy,"The Kane Chronicles, The, Book One(Kane Chronicles Kane Chronicles)",9.78037E+12,9.78142E+12
BN1758,HC2714,,Victories (Shadow Grail Series #4),Daja's Book(Circle of Magic),9.78077E+12,9.78059E+12
BN0503,HC0489,,Tiger's Destiny (Tiger's Curse Series #4),You Don't Know Me,9.78145E+12,9.78006E+12
BN0699,HC1444,,I Am the Mission (Unknown Assassin Series #2),Nobody But Us,9.78032E+12,9.78006E+12
BN0919,HC1844,,Don't Look Behind You,The Blue Fairy Book(Dover Storybooks for Children),9.78032E+12,9.78049E+12
BN0282,HC1814,,The Selection Stories: The Prince & The Guard,Castle,9.78006E+12,9.7804E+12
BN0168,HC2737,,Purple Hibiscus,Julius Caesar(Wicked History (Paperback)),9.78162E+12,9.78053E+12
BN1105,HC0900,,Dirk Gently's Holistic Detective Agency,Day of Tears,9.78148E+12,9.78142E+12
BN1241,HC2217,,I Know What You Did Last Summer,Invisible,9.78032E+12,9.78069E+12
BN2420,HC2346,,Priestess of Avalon (Avalon Series #4),Dracula(Puffin Classics (Paperback)),9.78045E+12,9.78014E+12
BN1874,HC2620,,I'll Be There,The Quillan Games(Pendragon (Quality)),9.78032E+12,9.78069E+12
BN1001,HC2716,,Maximum Security: Mission 3 (Cherub Series),Leonardo's Shadow,9.78144E+12,9.78142E+12
BN2822,HC0161,,The Moon by Night (Austin Family Series #2),Gone(Gone (Paper)),9.78031E+12,9.78006E+12
BN2417,HC0388,,"Tan Lines: Sand, Surf, and Secrets; Rays, Romance, and Rivalry; Beaches, Boys, and Betrayal",Bridge to Terabithia,9.78142E+12,9.78006E+12
BN1142,HC2256,,Star Wars The Hand of Thrawn #2: Vision of the Future,First Semester(Kimani TRU),9.78055E+12,9.78037E+12
BN2503,HC0478,,"Grammar, Grades 7 - 8",Bamboo People,9.78148E+12,9.78158E+12
BN0207,HC2822,,Illusion (Chronicles of Nick Series #5),Lirael(Abhorsen Trilogy (Paperback)),9.78125E+12,9.78006E+12
BN2210,HC0290,,The Body Image Workbook for Teens: Activities to Help Girls Develop a Healthy Body Image in an Image-Obsessed World,The Great Cow Race(Bone (Graphix Paperback)),9.78163E+12,9.78044E+12
BN0526,HC1618,,Half Bad (Half Bad Trilogy Series #1),"Dicey's Song(Tillerman Cycle, the Tillerman Cycle)",9.78015E+12,9.78069E+12
BN2772,HC2431,,The Pioneers (Barnes & Noble Library of Essential Reading),Kid's Life Application Bible for Girls-Nlt,9.78076E+12,9.78141E+12
BN1170,HC0727,,"The Calling / Changeling / Strife (Sweep Series #7, #8 & #9)",Winning Team(Go-For-Gold Gymnasts),9.78014E+12,9.78142E+12
BN2358,HC1128,,"Rapture of the Deep: Being an Account of the Further Adventures of Jacky Faber, Soldier, Sailor, Mermaid, Spy (Bloody Jack Adventure Series #7)",No Way Out(Bluford (Quality)),9.78055E+12,9.78055E+12
BN2681,HC2744,,Frenemies (Drama High Series #4),Radiant Shadows(Wicked Lovely (Paper)),9.78076E+12,9.78006E+12
BN0412,HC0558,,We'll Always Have Summer,Anna Dressed in Blood,9.78142E+12,9.78077E+12
BN1704,HC2829,,Flags of Our Fathers: Heroes of Iwo Jima (Young People's Edition),"Yu-GI-Oh! GX, Volume 8(Yu-GI-Oh! Gx (Viz))",9.78044E+12,9.78142E+12
BN2648,HC1910,,Blood-Kissed Sky (Darkness Before Dawn Series #2),The Ring of Rocamadour(Red Blazer Girls),9.78006E+12,9.78038E+12
BN1806,HC2431,,I Never Promised You a Rose Garden,Kid's Life Application Bible for Girls-Nlt,9.78031E+12,9.78141E+12
BN0097,HC0024,,Flowers for Algernon,A Long Walk to Water,9.78016E+12,9.78055E+12
BN1520,HC2104,,The Ghoul Next Door (Monster High Series #2),The Girl Who Owned a City(Young Adult Fiction),9.78032E+12,9.78082E+12
BN1462,HC0312,,Hero,Breaking Through,9.78142E+12,9.78062E+12
BN0043,HC1954,,The Book Thief,The Summer of the Swans,9.78038E+12,9.78014E+12
BN0508,HC2300,,Ashfall (Ashfall Series #1),An Acquaintance with Darkness(Great Episodes (Paperback)),9.78193E+12,9.78015E+12
BN0929,HC0021,,Makes Me Wanna Holler: A Young Black Man in America,Harry Potter and the Sorcerer's Stone(Harry Potter (Paperback)),9.78068E+12,9.78059E+12
BN1009,HC2730,,My Anxious Mind: A Teen's Guide to Managing Anxiety and Panic,Lockdown(Orca Soundings (Paperback)),9.78143E+12,9.78155E+12
BN1844,HC1027,,"The Morganville Vampires, Volume 2",The Broken Blade(Fiction),9.78045E+12,9.78044E+12
BN1683,HC1395,,Rookie Yearbook Three,Filmmaking for Teens(Filmmaking for Teens: Pulling Off Your Shorts),9.7816E+12,9.78193E+12
BN2016,HC0337,,The Islanders: Volume 2: Nina Won't Tell and Ben's In Love,Stargirl,9.78006E+12,9.78038E+12
BN0017,HC1496,,Harry Potter and the Order of the Phoenix (Harry Potter Series #5),Kiss the Dust,9.78044E+12,9.78014E+12
BN0889,HC2242,,"Mindfulness for Teen Anxiety: A Workbook for Overcoming Anxiety at Home, at School, and Everywhere Else",Once a Witch,9.78161E+12,9.78055E+12
BN1170,HC0019,,"The Calling / Changeling / Strife (Sweep Series #7, #8 & #9)",The Hobbit,9.78014E+12,9.78055E+12
BN0696,HC0224,,Trash,Flush,9.78039E+12,9.78038E+12
BN0382,HC1050,,Let's Review Chemistry: The Physical Setting,Eona,9.78076E+12,9.78014E+12
BN1047,HC1655,,The Tale of the Body Thief (Vampire Chronicles Series #4),How to Rock Braces and Glasses(How to Rock),9.78035E+12,9.78032E+12
BN0312,HC0347,,"Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board",Perfect(Pretty Little Liars (Quality)),9.78142E+12,9.78006E+12
BN2462,HC0771,,Aquamarine,The Surge(Storm Runners - Trilogy (Paperback)),9.78044E+12,9.78055E+12
BN0699,HC2174,,I Am the Mission (Unknown Assassin Series #2),Zia,9.78032E+12,9.78044E+12
BN0852,HC2600,,Dead Girls Don't Lie,Always a Witch,9.7808E+12,9.78055E+12
BN0402,HC2221,,Maximum Ride: The Angel Experiment / School's Out - Forever / Saving the World,On the Flip Side(Fab Life (Quality)),9.78032E+12,9.78076E+12
BN2869,HC1890,,The Kidnapping of Christina Lattimore,Into the Land of the Unicorns(Unicorn Chronicles),9.78015E+12,9.78055E+12
BN0300,HC2203,,Awakened (House of Night Series #8),Shadow Horse,9.78031E+12,9.78038E+12
BN0446,HC1204,,Toxic (Pretty Little Liars Series #15),The Secret of Sarah Revere(Great Episodes (Paperback)),9.78006E+12,9.78015E+12
BN2323,HC1037,,All the Right Stuff,Harry Potter A L'Ecole Des Sorciers(Harry Potter (Paperback)),9.78006E+12,9.78207E+12
BN2323,HC1835,,All the Right Stuff,The Broken Ear(Adventures of Tintin (Paperback)),9.78006E+12,9.78032E+12
BN0781,HC2266,,Pay It Forward,Young Fu of the Upper Yangtze,9.78148E+12,9.78031E+12
BN2594,HC1654,,Abraham Lincoln: Friend of the People (Sterling Point Books Series),My Bucketfilling Journal,9.7814E+12,9.78193E+12
BN2400,HC0867,,The Legend of Luke (Redwall Series #12),ScienceSaurus,9.78044E+12,9.78067E+12
BN2289,HC1735,,From Cover to Cover: Evaluating and Reviewing Children's Books,33 Things Every Girl Should Know,9.78006E+12,9.78052E+12
BN1972,HC1696,,Star Wars The New Jedi Order #7: Edge of Victory I: Conquest,Obernewtyn(Obernewtyn Chronicles the Obernewtyn Chronicles),9.78035E+12,9.78038E+12
BN2678,HC0485,,Star Wars The Clone Wars: The Cestus Deception,The Recruit(Cherub),9.78035E+12,9.78144E+12
BN1011,HC0074,,"Book of Shadows / The Coven / Blood Witch (Sweep Series #1, #2, & #3)",The Watsons Go to Birmingham - 1963,9.78014E+12,9.78044E+12
BN1958,HC2291,,House of Stairs,Nyx in the House of Night,9.78014E+12,9.78194E+12
BN1965,HC2066,,Children of the River,Border Town(Border Town),9.78044E+12,9.78055E+12
BN2333,HC2276,,What My Girlfriend Doesn't Know,Wanting Mor,9.78144E+12,9.78089E+12
BN0590,HC2626,,The Eternity Cure (Blood of Eden Series #2),Gandhi(DK Biography (Paperback)),9.78037E+12,9.78076E+12
BN1784,HC0442,,The Captive (Part 2) and The Power (Secret Circle Series #2-3),Jeremy Fink and the Meaning of Life,9.78006E+12,9.78032E+12
BN2931,HC0477,,Beautiful Days (Bright Young Things Series #2),Wicked(Pretty Little Liars (Quality)),9.78006E+12,9.78006E+12
BN0278,HC2165,,Fury of the Seventh Son (Last Apprentice Series #13),Forgiven(Demon Trappers),9.78006E+12,9.78031E+12
BN0226,HC2188,,Farewell to Manzanar,Middle School(Chicken Soup for the Soul (Chicken Soup for the Soul)),9.78031E+12,9.78194E+12
BN2087,HC1256,,Fifteenth Summer,Change Is Constant(Teenage Mutant Ninja Turtles Graphic Novels),9.78144E+12,9.78161E+12
BN0466,HC2784,,October Sky,Spanking Shakespeare,9.78044E+12,9.78038E+12
BN0905,HC2051,,The Edge of Nowhere (Edge of Nowhere Series #1),Fever(Chemical Garden Trilogy),9.78014E+12,9.78144E+12
BN0380,HC1090,,Torment (Lauren Kate's Fallen Series #2),The Lying Game #2(Lying Game (Paperback)),9.78039E+12,9.78006E+12
BN1161,HC2572,,Teardrop (Teardrop Trilogy Series #1),Fire and Hemlock,9.78039E+12,9.78014E+12
BN2723,HC1831,,Nothing Can Keep Us Together (Gossip Girl Series #8),Forever . . .,9.78032E+12,9.78142E+12
BN2212,HC2047,,Harry Potter y la Orden del F��nix (Harry Potter #5),"All the People, Since 1945",9.78848E+12,9.7802E+12
BN1001,HC1339,,Maximum Security: Mission 3 (Cherub Series),Skinned(Skinned Trilogy),9.78144E+12,9.78142E+12
BN2662,HC2825,,Soldier Boys,Quesadilla Moon,9.78069E+12,9.78156E+12
BN2016,HC1155,,The Islanders: Volume 2: Nina Won't Tell and Ben's In Love,Allies of the Night(Cirque Du Freak: Saga of Darren Shan (Paperback)),9.78006E+12,9.78032E+12
BN0396,HC2450,,The Indigo Spell (Richelle Mead's Bloodlines Series #3),While He Was Away,9.7816E+12,9.7814E+12
BN2230,HC3075,,Ironman,The Shadow Dragons(Chronicles of the Imaginarium Geographica (Quality)),9.78006E+12,9.78142E+12
BN0414,HC0119,,The Contender,"Tomorrow, When the War Began(Tomorrow)",9.78006E+12,9.78044E+12
BN0283,HC1631,,The Face on the Milk Carton,The Wizard Heir,9.78039E+12,9.78142E+12
BN2861,HC3007,,Star Wars The Truce at Bakura,Across the Great Barrier(Frontier Magic (Quality)),9.78055E+12,9.78055E+12
