ID_A,ID_B,Title_A,Title_B,ISBN13_A,ISBN13_B
BN0003,HC0251,The Death Cure (Maze Runner Series #3),The Death Cure (Maze Runner Series #3)(Maze Runner Trilogy (Paperback)),9780385738781,9780385738781
BN0004,HC0021,Harry Potter and the Sorcerer's Stone (Harry Potter Series #1),Harry Potter and the Sorcerer's Stone(Harry Potter (Paperback)),9780590353427,9780590353427
BN0009,HC0056,The Scorch Trials (Maze Runner Series #2),The Scorch Trials(Maze Runner Trilogy (Paperback)),9780385738767,9780385738767
BN0011,HC0142,Harry Potter and the Deathly Hallows (Harry Potter Series #7),Harry Potter and the Deathly Hallows(Harry Potter (Paperback)),9780545139700,9780545139700
BN0017,HC0130,Harry Potter and the Order of the Phoenix (Harry Potter Series #5),Harry Potter and the Order of the Phoenix(Harry Potter (Paperback)),9780439358071,9780439358071
BN0018,HC0159,Harry Potter and the Half-Blood Prince (Harry Potter Series #6),Harry Potter and the Half-Blood Prince(Harry Potter (Paperback)),9780439785969,9780439785969
BN0019,HC0003,Looking for Alaska,Looking for Alaska,9780142402511,9780142402511
BN0021,HC0487,Where She Went (If I Stay Series #2),Where She Went,9780142420898,9780142420898
BN0028,HC0166,Inheritance (Inheritance Cycle Series #4),Inheritance(Inheritance Cycle (Paperback)),9780375846311,9780375846311
BN0030,HC0793,Legend (Marie Lu's Legend Series #1),Legend,9780142422076,9780142422076
BN0036,HC0136,Harry Potter and the Goblet of Fire (Harry Potter Series #4),Harry Potter and the Goblet of Fire(Harry Potter (Paperback)),9780439139601,9780439139601
BN0038,HC0239,Breaking Dawn,Breaking Dawn(Twilight Saga (Paperback)),9780316067935,9780316067935
BN0041,HC0027,A Wrinkle in Time (Time Quintet Series #1),A Wrinkle in Time(Madeleine L'Engle's Time Quintet),9780312367541,9780312367541
BN0042,HC0025,Paper Towns,Paper Towns,9780142414934,9780142414934
BN0043,HC0006,The Book Thief,The Book Thief,9780375842207,9780375842207
BN0044,HC0028,Thirteen Reasons Why,Th1rteen R3asons Why,9781595141880,9781595141880
BN0047,HC0009,The Absolutely True Diary of a Part-Time Indian,The Absolutely True Diary of a Part-Time Indian,9780316013697,9780316013697
BN0051,HC0010,The Maze Runner (Maze Runner Series #1),The Maze Runner(Maze Runner Trilogy (Paperback)),9780385737951,9780385737951
BN0052,HC0042,An Abundance of Katherines,An Abundance of Katherines,9780142410707,9780142410707
BN0053,HC0179,If I Stay,If I Stay,9780142415436,9780142415436
BN0055,HC0019,The Hobbit,The Hobbit,9780547928227,9780547928227
BN0059,HC0014,Hatchet (Brian's Saga Series #1),Hatchet,9781416936473,9781416936473
BN0063,HC0081,"Will Grayson, Will Grayson","Will Grayson, Will Grayson",9780142418475,9780142418475
