ID,Title,Author,Price,ISBN13,Publisher,Publication_Date,Pages,Dimensions
BN0001,The Maze Runner Series Complete Collection,James Dashner,$24.21 ,9780385388894,Random House Children's Books,7/8/14,,5.60(w) x 8.40(h) x 3.30(d)
BN0002,The 5th Wave (Fifth Wave Series #1),Rick Yancey,$8.35 ,9780142425831,Penguin Young Readers Group,2/10/15,512.0,5.40(w) x 8.20(h) x 1.50(d)
BN0003,The Death Cure (Maze Runner Series #3),James Dashner,$9.99 ,9780385738781,Random House Children's Books,1/8/13,352.0,5.50(w) x 8.10(h) x 1.00(d)
BN0004,Harry Potter and the Sorcerer's Stone (Harry Potter Series #1),J. K. Rowling,$6.70 ,9780590353427,"Scholastic, Inc.",9/8/99,320.0,5.28(w) x 8.56(h) x 0.78(d)
BN0005,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,$6.70 ,9781594746031,Quirk Publishing,6/4/13,384.0,5.10(w) x 8.10(h) x 1.00(d)
BN0006,To Kill a Mockingbird,Harper Lee,$14.32 ,9780061120084,HarperCollins Publishers,5/23/06,336.0,5.50(w) x 8.25(h) x 0.84(d)
BN0007,The Giver,Lois Lowry,$8.99 ,9780544336261,Houghton Mifflin Harcourt,7/1/14,240.0,5.40(w) x 8.10(h) x 0.70(d)
BN0008,The Kill Order (Maze Runner Prequel),James Dashner,$9.99 ,9780385742894,Random House Children's Books,1/7/14,368.0,5.40(w) x 8.10(h) x 1.00(d)
BN0009,The Scorch Trials (Maze Runner Series #2),James Dashner,$9.99 ,9780385738767,Random House Children's Books,9/13/11,384.0,5.50(w) x 8.20(h) x 0.75(d)
BN0010,The Outsiders,S. E. Hinton,$6.09 ,9780142407332,Penguin Young Readers Group,4/20/06,224.0,7.98(w) x 5.70(h) x 0.60(d)
BN0011,Harry Potter and the Deathly Hallows (Harry Potter Series #7),J. K. Rowling,$9.32 ,9780545139700,"Scholastic, Inc.",7/7/09,784.0,7.64(w) x 5.30(h) x 1.73(d)
BN0012,Into the Wild,Jon Krakauer,$9.00 ,9780385486804,Knopf Doubleday Publishing Group,2/1/97,224.0,5.10(w) x 7.70(h) x 0.50(d)
BN0013,Hollow City: The Second Novel of Miss Peregrine's Peculiar Children,Ransom Riggs,$6.83 ,9781594747359,Quirk Publishing,2/24/15,416.0,5.10(w) x 8.10(h) x 1.10(d)
BN0014,A Shade Of Vampire,Bella Forrest,$10.08 ,9781481280761,CreateSpace Publishing,12/17/12,296.0,6.00(w) x 9.00(h) x 0.62(d)
BN0015,Divergent (Divergent Series #1),Veronica Roth,$7.92 ,9780062387240,HarperCollins Publishers,9/30/14,576.0,5.20(w) x 7.90(h) x 1.60(d)
BN0016,"Harry Potter Paperback Boxed Set, Books 1-7",J. K. Rowling,$53.00 ,9780545162074,"Scholastic, Inc.",7/7/09,7.0,8.60(w) x 10.55(h) x 5.65(d)
BN0017,Harry Potter and the Order of the Phoenix (Harry Potter Series #5),J. K. Rowling,$7.93 ,9780439358071,"Scholastic, Inc.",8/10/04,896.0,7.66(w) x 5.50(h) x 1.87(d)
BN0018,Harry Potter and the Half-Blood Prince (Harry Potter Series #6),J. K. Rowling,$7.93 ,9780439785969,"Scholastic, Inc.",7/25/06,672.0,5.20(w) x 7.60(h) x 1.30(d)
BN0019,Looking for Alaska,John Green,$9.99 ,9780142402511,Penguin Young Readers Group,12/28/06,256.0,5.45(w) x 8.20(h) x 0.65(d)
BN0020,The Iron Warrior,Julie Kagawa,$9.99 ,9780373211357,Harlequin,10/27/15,352.0,5.38(w) x 8.25(h) x 0.94(d)
BN0021,Where She Went (If I Stay Series #2),Gayle Forman,$6.70 ,9780142420898,Penguin Young Readers Group,4/17/12,304.0,5.40(w) x 8.20(h) x 1.00(d)
BN0022,Mockingjay (Hunger Games Series #3),Suzanne Collins,$8.23 ,9780545663267,"Scholastic, Inc.",2/25/14,400.0,5.30(w) x 7.90(h) x 1.00(d)
BN0023,Color Me Creative: Unlock Your Imagination,Kristina Webb,$8.71 ,9780062415462,HarperCollins Publishers,9/29/15,224.0,7.30(w) x 9.10(h) x 0.80(d)
BN0024,The Perks of Being a Wallflower,Stephen Chbosky,$8.33 ,9781451696196,MTV Books,8/14/12,224.0,4.90(w) x 6.90(h) x 0.60(d)
BN0025,The Catcher in the Rye,J. D. Salinger,$8.92 ,9780316769174,"Little, Brown and Company",1/30/01,288.0,5.10(w) x 7.90(h) x 0.80(d)
BN0026,Catching Fire (Hunger Games Series #2),Suzanne Collins,$9.42 ,9780545586177,"Scholastic, Inc.",6/4/13,400.0,5.20(w) x 7.90(h) x 0.90(d)
BN0027,The Haunting of Hill House,Shirley Jackson,$10.74 ,9780143039983,Penguin Publishing Group,11/28/06,208.0,7.70(w) x 5.10(h) x 0.70(d)
BN0028,Inheritance (Inheritance Cycle Series #4),Christopher Paolini,$11.09 ,9780375846311,Random House Children's Books,10/23/12,880.0,5.50(w) x 8.23(h) x 1.75(d)
BN0029,City of Heavenly Fire (The Mortal Instruments Series #6),Cassandra Clare,$11.94 ,9781442416901,Margaret K. McElderry Books,5/5/15,768.0,5.40(w) x 8.20(h) x 2.20(d)
BN0030,Legend (Marie Lu's Legend Series #1),Marie Lu,$9.99 ,9780142422076,Penguin Young Readers Group,4/16/13,352.0,5.40(w) x 8.20(h) x 1.00(d)
BN0031,"Gabi, a Girl in Pieces",Isabel Quintero,$14.33 ,9781935955955,Cinco Puntos Press,10/14/14,208.0,4.90(w) x 7.70(h) x 1.00(d)
BN0032,Little Women (Barnes & Noble Classics Series),Louisa May Alcott,$7.15 ,9781593081089,Barnes & Noble,3/1/04,528.0,5.19(w) x 8.00(h) x 1.32(d)
BN0033,Hyperion (Hyperion Series #1),Dan Simmons,$7.99 ,9780553283686,Random House Publishing Group,2/28/90,512.0,4.20(w) x 6.90(h) x 1.10(d)
BN0034,Great Speeches by Native Americans,Bob Blaisdell,$4.05 ,9780486411224,Dover Publications,6/20/00,160.0,5.20(w) x 8.26(h) x 0.58(d)
BN0035,Cruel Beauty,Rosamund Hodge,$9.99 ,9780062224743,HarperCollins Publishers,4/7/15,368.0,5.10(w) x 7.60(h) x 1.00(d)
