ID,Title,Author,Price,ISBN13,Publisher,Publication_Date,Pages,Dimensions
HC0001,The Hunger Games(Hunger Games (Quality)),Suzanne Collins,$11.02,9780439023528,Scholastic Press,"Jul. 3rd, 2010",374,5.30 x 8.00 x 0.90 inches
HC0002,The Giver(Readers Circle (Laurel-Leaf)),Lois Lowry,,9780440237686,Laurel Leaf Library,"Sep. 10th, 2002",192,4.10 x 6.80 x 0.60 inches
HC0003,Looking for Alaska,John Green,$9.99,9780142402511,Speak,"Jan. 1st, 2007",221,5.62 x 8.20 x 0.73 inches
HC0004,Divergent(Divergent Trilogy (Paperback)),Veronica Roth,,9780062024039,Katherine Tegen Books,"Feb. 28th, 2012",576,5.20 x 7.80 x 1.50 inches
HC0005,Holes,Louis Sachar,$9.16,9780440414803,Yearling Books,"May. 9th, 2000",240,5.31 x 7.65 x 0.69 inches
HC0006,The Book Thief,Markus Zusak,$10.73,9780375842207,Alfred A. Knopf Books for Young Readers,"Sep. 11th, 2007",552,5.10 x 7.90 x 1.30 inches
HC0007,The Lightning Thief(Percy Jackson & the Olympians (Paperback)),Rick Riordan,$9.27,9780786838653,Miramax Books,"Mar. 1st, 2006",377,5.20 x 7.60 x 1.00 inches
HC0008,The 7 Habits of Highly Effective Teens Workbook,Sean Covey,$6.74,9781929494170,Franklin Covey,"Dec. 5th, 1999",377,5.48 x 8.47 x 0.23 inches
HC0009,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,,9780316013697,"Little, Brown Young Readers","Apr. 1st, 2009",229,5.40 x 8.20 x 0.70 inches
HC0010,The Maze Runner(Maze Runner Trilogy (Paperback)),James Dashner,$10.06,9780385737951,Delacorte Press Books for Young Readers,"Aug. 24th, 2010",375,5.30 x 8.50 x 0.84 inches
HC0011,Tangerine,Edward Bloor,$9.89,9780152057800,Harcourt Paperbacks,"Sep. 1st, 2006",312,5.20 x 7.40 x 0.70 inches
HC0012,The Boy in the Striped Pajamas,John Boyne,$9.95,9780385751537,Ember,"Oct. 23rd, 2007",240,5.20 x 7.90 x 0.60 inches
HC0013,Catching Fire(Hunger Games (Quality)),Suzanne Collins,$6.12,9781594135859,Large Print Press,"Apr. 20th, 2012",497,5.60 x 8.40 x 1.00 inches
HC0014,Hatchet,Gary Paulsen,$9.26,9781416936473,Simon & Schuster Books for Young Readers,"Jan. 1st, 2007",186,4.83 x 8.08 x 0.53 inches
HC0015,Esperanza Rising,Pam Munoz Ryan,$8.26,9780439120425,Scholastic,"May. 1st, 2002",262,5.30 x 7.50 x 0.70 inches
HC0016,Drama,Raina Telgemeier,$13.07,9780545326995,Graphix,"Sep. 1st, 2012",240,
HC0017,Ender's Game(Ender Wiggin Saga (Paperback)),Orson Scott Card,,9780765342294,Starscape Books,"Feb. 18th, 2002",324,5.34 x 7.60 x 0.92 inches
HC0018,Out of My Mind,Sharon M. Draper,$9.72,9781416971719,Atheneum Books for Young Readers,"May. 1st, 2012",295,5.10 x 7.50 x 1.00 inches
HC0019,The Hobbit,J. R. R. Tolkien,$12.89,9780547928227,Mariner Books,"Sep. 18th, 2012",320,5.50 x 8.25 x 0.63 inches
HC0020,Matched(Matched Trilogy),Ally Condie,$10.25,9780142419779,Speak,"Sep. 20th, 2011",400,5.50 x 8.10 x 1.00 inches
HC0021,Harry Potter and the Sorcerer's Stone(Harry Potter (Paperback)),J. K. Rowling,$10.97,9780590353427,Arthur A. Levine Books,"Oct. 1st, 1999",312,5.20 x 7.50 x 0.80 inches
HC0022,Speak,Laurie Halse Anderson,$10.58,9780312674397,Square Fish,"May. 10th, 2011",197,5.56 x 8.24 x 0.60 inches
