ID_A,ID_B,Title_A,Title_B,ISBN13_A,ISBN13_B
3699,494,Burlesque Autobiography & Diary Written in the Provincial Lunatic Asylum,HELEN KELLER: THE TWO AUTOBIOGRAPHIES The Story of My Life,,2940013559622
1300,3065,The Official Everton Autobiography,How Precious Was That While: An Autobiography,,9781429910279
3214,2243,Every Man a King Autobiography,"Music Is My Life: Louis Armstrong, Autobiography, and American Jazz",9780844624853,9780472051809
209,16,Blessed: The Autobiography,Genome: The Autobiography of a Species in 23 Chapters,9780091884703,9780060894085
2803,3384,A Life Against the Grain: The Autobiography of an Unconventional Economist,A Weight Off My Mind: My Autobiography,9780765805324,9781908216069
377,2495,Autobiography of a Hobo,Bushell on The Rampage: The Autobiography of Gary Bushell,9781475154115,9781906358808
277,1312,"Smokin' Joe: The Autobiography of a Heavyweight Champion of the World, Smokin' Joe Frazier","Wellington's men, some soldier autobiographies: Kincaid's Adventures in the Rifle brigade; Rifleman Harris; Anton's Military life; Mercer's Waterloo",9780028608471,2940023227191
3800,697,Amen: The Autobiography of a Nun,George Fox: An Autobiography,,2940149920068
594,1651,My Life on the Road: An Autobiography,Angel Dust: Autobiography Of: Jeffrey McWilliams,9781899047581,9781477241042
3222,1854,Autobiography of a Hunted Priest,The Autobiography Of A New England Farm House. A Book.,9781586174507,9781409784838
652,415,Leaping Life's Fences: An Autobiography,"99 Cent Best Seller Abraham Lincoln ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",9780948253591,2940150021600
1763,2973,Concession To The Improbable: An Unconventional Autobiography,Lydia Mendoza: A Family Autobiography,9780300021431,9781558850651
758,1228,"Sex, Drugs & Islam: Autobiography of an X Fighter Pilot",Reminiscences of a Soldier's Wife: an autobiography,,2940022795257
2611,236,From Many Angles: An Autobiography,Autobiography of a Corpse,,9781590176702
2709,1738,Malcolm Macdonald An Autobiography,An Autobiography Volume 2,9780213168797,9781314499094
1910,2190,Andrés Segovia: An Autobiography of the Years 1893-1920,The Autobiography of Geronimo,9780026090803,9781610010023
1296,3108,The Autobiography of William Butler Yeats,Joe Royle The Autobiography,9780020555803,9781446416303
695,3018,An Autobiography,A Mind that Found Itself: An Autobiography,9780091622701,2940023885377
1699,3304,Pipe Dreams: An Autobiography,They Still Call Me Junior: Autobiography of a Child Star; With a Filmography,,9780899507620
