ID_A,ID_B,Flag,Title_A,Title_B,ISBN13_A,ISBN13_B
3699,494,,Burlesque Autobiography & Diary Written in the Provincial Lunatic Asylum,HELEN KELLER: THE TWO AUTOBIOGRAPHIES The Story of My Life,,2.94001E+12
1300,3065,,The Official Everton Autobiography,How Precious Was That While: An Autobiography,,9.78143E+12
3214,2243,,Every Man a King Autobiography,"Music Is My Life: Louis Armstrong, Autobiography, and American Jazz",9.78084E+12,9.78047E+12
209,16,,Blessed: The Autobiography,Genome: The Autobiography of a Species in 23 Chapters,9.78009E+12,9.78006E+12
2803,3384,,A Life Against the Grain: The Autobiography of an Unconventional Economist,A Weight Off My Mind: My Autobiography,9.78077E+12,9.78191E+12
377,2495,,Autobiography of a Hobo,Bushell on The Rampage: The Autobiography of Gary Bushell,9.78148E+12,9.78191E+12
277,1312,,"Smokin' Joe: The Autobiography of a Heavyweight Champion of the World, Smokin' Joe Frazier","Wellington's men, some soldier autobiographies: Kincaid's Adventures in the Rifle brigade; Rifleman Harris; Anton's Military life; Mercer's Waterloo",9.78003E+12,2.94002E+12
3800,697,,Amen: The Autobiography of a Nun,George Fox: An Autobiography,,2.94015E+12
594,1651,,My Life on the Road: An Autobiography,Angel Dust: Autobiography Of: Jeffrey McWilliams,9.7819E+12,9.78148E+12
3222,1854,,Autobiography of a Hunted Priest,The Autobiography Of A New England Farm House. A Book.,9.78159E+12,9.78141E+12
652,415,,Leaping Life's Fences: An Autobiography,"99 Cent Best Seller Abraham Lincoln ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",9.78095E+12,2.94015E+12
1763,2973,,Concession To The Improbable: An Unconventional Autobiography,Lydia Mendoza: A Family Autobiography,9.7803E+12,9.78156E+12
758,1228,,"Sex, Drugs & Islam: Autobiography of an X Fighter Pilot",Reminiscences of a Soldier's Wife: an autobiography,,2.94002E+12
2611,236,,From Many Angles: An Autobiography,Autobiography of a Corpse,,9.78159E+12
2709,1738,,Malcolm Macdonald An Autobiography,An Autobiography Volume 2,9.78021E+12,9.78131E+12
1910,2190,,Andrés Segovia: An Autobiography of the Years 1893-1920,The Autobiography of Geronimo,9.78003E+12,9.78161E+12
1296,3108,,The Autobiography of William Butler Yeats,Joe Royle The Autobiography,9.78002E+12,9.78145E+12
695,3018,,An Autobiography,A Mind that Found Itself: An Autobiography,9.78009E+12,2.94002E+12
1699,3304,,Pipe Dreams: An Autobiography,They Still Call Me Junior: Autobiography of a Child Star; With a Filmography,,9.7809E+12
2132,2440,,Dreaming in Color: An Autobiography,The autobiography; a critical and comparative study,9.78158E+12,2.94002E+12
2073,3471,,All My Yesterdays: An Autobiography,"The Autobiography and Correspondence of Mrs. Delaney, Rev. From Lady Llanover's Edition, Volume 1",9.78185E+12,9.7813E+12
