ID,Title,Authors,ISBN13,Pages,Rating,Ratings_Count,Publisher,Publish_Date
0,Managing My Life: My Autobiography,Alex Ferguson,9780340728567,531,4.05,1028,Hodder & Stoughton,August 1st 2000
1,I Remember: Sketch for an Autobiography,Boris Pasternak,9780844627106,0,3.53,17,Peter Smith Publisher,
2,Betty Boothroyd: Autobiography,Betty Boothroyd,9780712679480,384,3.6,20,Random House UK,November 1st 2002
3,"Caddie, A Sydney Barmaid: An Autobiography",Caddie,9780725100148,199,3.62,24,Sun Books,1966
4,Nureyev: An Autobiography With Pictures,"Rudolf Nureyev, Richard Avedon, Alexander Bland",9780340014684,160,4.27,15,E P Dutton & Co,1963
5,Soul On The Street: An Autobiography,William Roache,9781848500150,320,3.11,19,Hay House UK Ltd,October 1st 2008
6,Autobiography (Hanuman Book No. 40),Robert Creeley,9780937815427,150,4.45,20,Hanuman Books,September 28th 1991
7,Autobiography: My Story,Kelly Brook,9780283071997,256,3.37,19,Pan Macmillan,December 1st 2014
8,Jenny Pitman: The Autobiography,Jenny Pitman,9781852252540,320,4.1,21,Partridge Press,November 5th 1998
9,"Birdless Summer (China : Autobiography, History, Book 3)",Han Suyin,9780586037690,352,4.28,39,Triad Books,April 20th 1972
10,A Man Called White: The Autobiography of Walter White,"Walter Francis White, Andrew Young",9780820316987,392,3.95,21,University of Georgia Press,February 1st 1995
11,Call Me Anna: The Autobiography of Patty Duke,"Patty Duke, Kenneth Turan",9780553272055,311,3.86,2205,Bantam,May 1st 1988
12,Living My Life: An Autobiography of Emma Goldman.,Emma Goldman,9780879050962,993,4.29,992,G.M. Smith,July 1st 1983
13,Chasing the Wind: The Autobiography of Steve Fossett,Steve Fossett,9781852272340,256,4.06,17,Virgin Books,October 1st 2006
14,Double Exposure: A Twin Autobiography,"Gloria Vanderbilt, Thelma Furness",9781258082840,398,3.92,13,Literary Licensin,August 1st 2011
15,Good Vibrations: My Autobiography,Evelyn Glennie,9780099851202,246,4.22,9,Arrow Books Ltd,September 27th 1992
16,In Search of Mind: Essays in Autobiography,Jerome S. Bruner,9780060151911,306,4.0,11,HarperCollins Publishers,October 28th 1983
17,Life in the Jungle: My Autobiography,Michael Heseltine,9780340739150,304,2.79,19,Hodder & Stoughton,September 5th 2000
18,Minnie Pearl: An Autobiography,"Minnie Pearl, Joan Dew",9780671229146,256,4.33,18,Simon & Schuster,January 1st 1980
19,Autobiography of St. Gemma Galgani,"Gemma Galgani, William Browning",,70,4.79,14,Passionist Sisters,1955
20,Mostly on the Edge: An Autobiography,Karl Hess,9781573926874,409,4.58,12,Prometheus Books,April 1st 1999
21,Uncovered: The Autobiography of Pat Cash,Pat Cash,9781903267080,333,3.24,17,Greenwater Publishing,June 27th 2002
22,"Mad, Bad & Dangerous to Know: The Autobiography",Ranulph Fiennes,9780340951682,416,4.08,1007,Hodder & Stoughton,September 20th 2007
23,Journey Continued: An Autobiography,Alan Paton,9780020359555,308,3.5,14,Collier Books,January 1st 1990
24,Journey Continued: An Autobiography,Alan Paton,9780020359555,308,3.5,14,Collier Books,January 1st 1990
25,Strange experience;: The autobiography of a hexenmeister,Lee R Gandee,9780138509668,355,4.12,16,Prentice-Hall,January 1st 1971
26,William Barclay: A Spiritual Autobiography,William Barclay,9780802834645,122,3.22,9,Eerdmans,January 28th 1975
27,Second Chance: The Autobiography,Mark Todd,9781409143208,288,3.89,19,Orion Publishing,April 1st 2012
28,"To the Stars: The Autobiography of George Takei, Star Trek's Mr. Sulu",George Takei,9780671890087,352,3.86,607,Simon & Schuster Ltd,October 17th 1994
29,Downhill All The Way: An Autobiography of the Years 1919 To 1939 (Autobiography of Leonard Woolf #4),Leonard Woolf,9780156261456,264,3.68,41,Mariner Books,October 18th 1989
30,"Deliverance from Error: Five Key Texts Including His Spiritual Autobiography, al-Munqidh min al-Dalal","أبو حامد الغزالي, R.J. McCarthy, Ilse Lichtenstadter",9781887752275,334,4.1,1077,Fons Vitae,January 1st 2004
31,Hayden: An Autobiography,Bill Hayden,9780207187698,0,3.83,6,,
32,Autobiography of a Marguerite,Zarah Butcher-McGunnigle,,94,4.57,7,Hue & Cry Press,June 2014
33,Autobiography of a Spiritually Incorrect Mystic,Osho,9780312280710,336,4.31,562,St. Martin's Griffin,June 9th 2001
34,Beginning Again: An Autobiography of The Years 1911 to 1918 (Autobiography of Leonard Woolf #3),Leonard Woolf,9780156116800,263,3.71,42,Mariner Books,October 18th 1989
35,The Three Mountains: The Autobiography of Samael Aun Weor,Samael Aun Weor,9781934206287,415,4.7,40,Thelema Press,January 1st 2007
36,My Last Sigh: The Autobiography of Luis Buñuel,Luis Buñuel,9780345803702,288,4.34,1302,Vintage,March 26th 2013
37,X Ray: The Unauthorized Autobiography,Ray Davies,9780715637517,419,4.06,16,Overlook,February 1st 2008
38,Luna the Autobiography of a Super Cat,"Luna Challis, Steve Challis",,49,3.94,18,Smashwords Edition,August 28th 2011
39,Autobiography of Countess Tolstoy,"Sofia Tolstaya, Leonard Woolf, S.S. Koteliansky",,68,3.81,16,,
40,"An Autobiography, Part 1",Herbert Spencer,9781417970315,588,3.5,4,Kessinger Publishing,January 1st 2005
41,Omnibus: The Complete Autobiography,Dirk Bogarde,9780413609908,736,4.12,16,Methuen Publishing Ltd,October 27th 1988
42,A Cornish Childhood: Autobiography of a Cornishman,A.L. Rowse,9780517538456,282,3.44,18,Clarkson N. Potter: Distributed by Crown Publishers,January 1st 1979
43,So Far: The Autobiography,Mark Todd,9780752826332,280,3.6,20,Not Avail,April 1st 1999
44,A Liar's Autobiography: Volume VI,Graham Chapman,9780413740908,244,4.06,443,Methuen Publishing,1999
