ID,Title,Authors,ISBN13,Pages,Rating,Ratings_Count,Publisher,Publish_Date
0,Pioneer Girl: The Annotated Autobiography,Laura Ingalls Wilder,9780984504176,,3.7,16,South Dakota State Historical Society,12/12/2014
1,American Sniper (Movie Tie-in Edition): The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",9780062376336,416,4.3,1037,HarperCollins Publishers,11/25/2014
2,The Autobiography of Malcolm X,Malcolm X,9780345350688,496,4.5,140,Random House Publishing Group,10/28/1987
3,Assata: An Autobiography,Assata Shakur,9781556520747,320,4.7,26,"Chicago Review Press, Incorporated",11/28/1999
4,Autobiography of a Yogi,Paramahansa Yogananda,9780876120798,592,4.3,26,Self-Realization Fellowship,12/28/1978
5,A Dog's Life: The Autobiography of a Stray,Ann M. Martin,9780439717007,192,4.7,156,"Scholastic, Inc.",01/01/2007
6,The Autobiography of James T. Kirk,David A. Goodman,9781783297467,288,,,Titan,09/08/2015
7,The Reaper: Autobiography of One of the Deadliest Special Ops Snipers,"Nicholas Irving, Gary Brozek",9781250045447,320,4.2,16,St. Martin's Press,01/27/2015
8,Knots in My Yo-yo String: The Autobiography of a Kid,Jerry Spinelli,9780679887911,160,4.0,55,Random House Children's Books,06/28/2012
9,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition",Mark Twain,9780520279940,792,,,University of California Press,10/15/2015
10,Cash: The Autobiography,"Johnny Cash, Patrick Carr",9780060727536,320,4.5,23,HarperCollins Publishers,10/07/2003
11,Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,9780316323543,656,4.6,121,"Little, Brown and Company",10/08/2013
12,Freeway Rick Ross: The Untold Autobiography,Rick Ross,9781499651539,298,5.0,4,CreateSpace Publishing,06/11/2014
13,The Autobiography of Eleanor Roosevelt,Eleanor Roosevelt,9780062355911,480,4.4,26,HarperCollins Publishers,10/21/2014
14,The Autobiography of Benjamin Franklin,Benjamin Franklin,9780486290737,144,3.5,199,Dover Publications,06/07/1996
15,One Direction: Who We Are: Our Official Autobiography,One Direction,9780007577316,352,4.6,131,HarperCollins UK,09/25/2014
