ID_A,ID_B,Flag,Title_A,Title_B,Director_A,Director_B,Year_A,Year_B
2366,337,,Godzilla Vs Mechagodzilla II ,Godzilla Vs Mechagodzilla II (Gojira VS Mekagojira),Takao Okawara,Takao Okawara,2005,1993
4167,3487,,Dear Lemon Lima    ,Dear Lemon Lima,Suzi Yoonessi,Suzi Yoonessi,2011,2011
3181,5360,,Saving Mr. Banks ,Saving Mr. Banks,John Lee Hancock,John Lee Hancock,2014,2013
468,104,,Young Guns II (Keepcase) ,Young Guns II,Geoff Murphy,Geoff Murphy,2009,1990
3827,582,,Jesse Stone: Stone Cold    ,Stone Cold,Robert Harmon,Robert Harmon,2005,2005
4024,1444,,The Darjeeling Limited ,The Darjeeling Limited,Wes Anderson,Wes Anderson,2008,2007
2834,2912,,Spring Breakers    ,Spring Breakers,Harmony Korine,Harmony Korine,2013,2013
4228,1109,,Shottas ,Shottas,Cess Silvera,Cess Silvera,2007,2006
4539,5798,,A Very Merry Mix-Up    ,A Very Merry Mix-Up,Jonathan Wright,Jonathan Wright,2013,2013
1542,2440,,Hanna [Blu-ray] ,Hanna,Joe Wright,Joe Wright,2011,2011
4169,5703,,Belle    ,Belle,Amma Asante,Amma Asante,2014,2014
37,2503,,Contagion (2011)    ,Contagion,Steven Soderbergh,Steven Soderbergh,2011,2011
1996,1559,,Doomsday [Blu-ray] ,Doomsday,Neil Marshall,Neil Marshall,2008,2008
3375,5339,,The Book Thief ,The Book Thief,Brian Percival,Brian Percival,2014,2013
745,3092,,Oldboy,Oldboy,Spike Lee,Spike Lee,2013,2013
2058,1566,,High Voltage    ,High Voltage,Howard Higgin,Howard Higgin,1929,1929
455,5512,,The Monuments Men ,The Monuments Men,George Clooney,George Clooney,2014,2014
849,2597,,Act of Valor ,Act of Valor,Mike McCoy,Mike McCoy,2012,2012
1822,2131,,Undisputed III: Redemption ,Undisputed III: Redemption,Isaac Florentine,Isaac Florentine,2010,2010
476,2930,,DCU: Justice League: The Flashpoint Paradox,DCU: Justice League: The Flashpoint Paradox,Jay Oliva,Jay Oliva,2013,2013
1841,562,,The Man Who Never Was ,The Man Who Never Was,Ronald Neame,Ronald Neame,2005,1956
494,3047,,Riddick (Unrated Director's Cut Blu-ray + DVD + Digital HD UltraViolet) ,Riddick,David Twohy,David Twohy,2014,2013
2649,6259,,Woman in Gold ,Woman in Gold,Simon Curtis,Simon Curtis,2015,2015
93,2975,,Iron Man 3 (Blu-ray + DVD) ,Iron Man 3,Shane Black,Shane Black,2013,2013
2443,1430,,The Brave One (2007)    ,The Brave One,Neil Jordan,Neil Jordan,2007,2007
