ID,Title,Time,Director,Year,Cast
1,The Adventures Of Shark Boy And Lava Girl    ,"1 hour, 33 minutes",Robert Rodriguez,2005,"Taylor Lautner, Taylor Dooley"
2,Game of Thrones   ,4/12/2015,Michael Slovis,2015,53 minutes
3,Captain America: The Winter Soldier  (Plus Bonus Features)    ,"2 hours, 37 minutes",Anthony Russo,2014,"Chris Evans, Samuel L. Jackson"
4,Harry Potter and the Deathly Hallows: Part 1    ,"2 hours, 26 minutes",David Yates,2010,"Bill Nighy, Emma Watson"
5,Guardians of the Galaxy (Theatrical)    ,"2 hours, 1 minute",James Gunn,2014,"Chris Pratt, Zoe Saldana"
6,Person of Interest   ,44 minutes,Richard J. Lewis,2014,"Jim Caviezel, Kevin Chapman"
7,Fast & Furious 6    ,"2 hours, 11 minutes",Justin Lin,2013,"Vin Diesel, Paul Walker"
8,Apollo 13    ,"2 hours, 21 minutes",Ron Howard,2008,"Tom Hanks, Bill Paxton"
9,The Big Lebowski    ,"1 hour, 58 minutes",Joel Coen,1998,"Jeff Bridges, John Goodman"
10,Ultimate Avengers The Movie    ,"1 hour, 12 minutes",Curt Geda,2006,"Justin Gross, Grey Griffin"
11,The Veteran    ,"1 hour, 39 minutes",Matthew Hope,2012,"Toby Kebbell, Adi Bielski"
12,Divergent (Plus Bonus Features)    ,"3 hours, 7 minutes",Neil Burger,2014,"Shailene Woodley, Theo James"
13,Captain America: The Winter Soldier (Theatrical)    ,"2 hours, 16 minutes",Anthony Russo,2014,"Chris Evans, Samuel L. Jackson"
14,The X-Files    ,"2 hours, 2 minutes",Rob Bowman,1998,"David Duchovny, Gillian Anderson"
15,Casablanca    ,"1 hour, 43 minutes",Michael Curtiz,1942,"Humphrey Bogart, Ingrid Bergman"
16,Sherlock Holmes: A Game Of Shadows    ,"2 hours, 9 minutes",Guy Ritchie,2011,"Robert Downey Jr., Jude Law"
17,The Lord of the Rings: The Return of the King    ,"3 hours, 21 minutes",Peter Jackson,2003,"Noel Appleby, Ali Astin"
18,Star Wars Trilogy (A New Hope / The Empire Strikes Back / Return of the Jedi) (Widescreen Edition with Bonus Disc) , 388 minutes ,George Lucas,2004,Mark Hamill
19,Idiocracy , 84 minutes ,Mike Judge,2007,Luke Wilson
20,Kino's Journey   ,25 minutes,Kyle Jones,2004,"Kelli Cousins, Ai Maeda"
21,47 Ronin    ,"1 hour, 59 minutes",Carl Rinsch,2013,"Keanu Reeves, Hiroyuki Sanada"
22,Cast Away    ,"2 hours, 24 minutes",Robert Zemeckis,2000,"Paul Sanchez, Lari White"
23,John Carter    ,"2 hours, 13 minutes",Andrew Stanton,2012,"Taylor Kitsch, Lynn Collins"
24,The French Connection    ,"1 hour, 44 minutes",William Friedkin,1971,"Gene Hackman, Fernando Rey"
25,The Dark Knight Rises [Blu-ray] , 165 minutes ,Christopher Nolan,2012,Christian Bale
26,The Pacific , 400 minutes ,Carl Franklin,2010,Joseph Mazzello
27,Lord of the Rings: The Return of the King (Extended Edition)    ,"4 hours, 24 minutes",Peter Jackson,2004,"Noel Appleby, Ali Astin"
28,Gran Torino    ,"1 hour, 57 minutes",Clint Eastwood,2008,"Clint Eastwood, Christopher Carley"
29,Slumdog Millionaire    ,"2 hours, 1 minute",Danny Boyle,2009,"Dev Patel, Saurabh Shukla"
30,The Hunger Games: Catching Fire Free Featurette - New Cast    ,6 minutes,Francis Lawrence,2013,Jennifer Lawrence
31,Batman Begins    ,"2 hours, 21 minutes",Christopher Nolan,2005,"Christian Bale, Michael Caine"
32,Apollo 13 - Collector's Edition , 140 minutes ,Ron Howard,2006,Tom Hanks
