ID,Title,Time,Director,Year,Cast
1,The Big Bounce,1 hr. 45 min.,Alex March,1969,"Ryan O'Neal, Leigh Taylor-Young, Van Heflin, Lee Grant, James Daly, Robert Webber"
2,1st Testament: CIA Vengeance,1 hr. 20 min.,Young Man Kang,2001,"Ron Becks, Luciano Saber, Soo J. Kim, Renatta Mitchell, Hiromi Nishiyama, Jong O. Chung"
3,The Soong Sisters,2 hr. 24 min.,Cheung Yuen-ting,1996,"Maggie Cheung, Vivian Wu, Winston Chao, Hsing-kuo Wu, Jiang Wen, Elaine Jin"
4,Bandolero,1 hr. 46 min.,Andrew V. McLaglen,1968,"James Stewart, Dean Martin, George Kennedy, Raquel Welch, Andrew Prine, Clint Ritchie"
5,"Ned Kelly (Ned Kelly, Outlaw)",1 hr. 40 min.,Tony Richardson,1970,"Jack Allan, Claire Balmford, Tony Bazell, Kurt Beimel, Ben Blakeney, Michael Boddy"
6,Quicksand,1 hr. 34 min.,John Mackenzie,2003,"Michael Caine, Judith GodrÌ¬che, Michael Keaton, Rade Serbedzija, William Beck, Matthew Marsh"
7,Those Magnificent Men in Their Flying Machines,2 hr. 12 min.,Ken Annakin,1965,"James Fox, Sarah Miles, Stuart Whitman, Jean-Pierre Cassel, Alberto Sordi, Robert Morley"
8,Godzilla Against Mechagodzilla (Gojira tai Mekagojira),1 hr. 28 min.,Masaaki Tezuka,2002,"Yumiko Shaku, Shin Takuma, Kana Onodera, Koh Takasugi, Yusuke Tomoi, Jun'ichi Mizuno"
9,Secret Rivals 2: Revenge of the Gold Fox,,See-Yuen Ng,1977,"John Liu, Jang Lee Hwang, Chiang Wang, Corey Yuen, Yuen Kwai, Wong Cheng Li"
10,Vampire Effect (Chin gei bin) (The Twins Effect),1 hr. 47 min.,Dante Lam,2003,"Charlene Choi, Gillian Chung, Ekin Cheng"
11,The Osterman Weekend,1 hr. 42 min.,Sam Peckinpah,1983,"John Hurt, Burt Lancaster, Rutger Hauer, Craig T. Nelson, Dennis Hopper, Chris Sarandon"
12,Beyond Borders,2 hr. 7 min.,Martin Campbell,2003,"Angelina Jolie, Clive Owen, Teri Polo, Linus Roache, Noah Emmerich, Yorick van Wageninge..."
13,Stealing Candy,1 hr. 23 min.,Mark L. Lester,2003,"Jenya Lano, Daniel Baldwin, Coolio, Jenya Leno, Alex McArthur, Darrell Dubovsky"
14,The Rundown (Welcome to the Jungle),1 hr. 45 min.,Peter Berg,2003,"Dwayne ""The Rock"" Jo..., Seann William Scott, Rosario Dawson, Christopher Walken, Ewen Bremner, Jon Gries"
15,A Man Called Sledge,1 hr. 33 min.,Vic Morrow,1971,"James Garner, Dennis Weaver, Claude Akins, John Marley, Laura Antonelli, Wayde Preston"
16,The Black Godfather,1 hr. 36 min.,John Evans,1974,"Rod Perry, John Alderman, Ernie Banks, Ken Bell, Ricardo Brown, Tony Burton"
17,Father Hood,1 hr. 34 min.,Darrell Roodt,1993,"Patrick Swayze, Halle Berry, Sabrina Lloyd, Brian Bonsall, Michael Ironside, Diane Ladd"
18,Swamp Women,1 hr. 13 min.,Roger Corman,1955,"Carole Mathews, Beverly Garland, Marie Windsor, Jil Jarmyn, Jill Jarmyn, Mike Connors"
19,Meng nan da zei yan zhi hu (Image Of Bruce Lee),1 hr. 28 min.,Chuan Yang,1978,"Chang Lei, Chang Wu Lang, Bruce Li, Bolo Yeung, Dana Lei, Chang Leih"
20,Angels Hard as They Come,1 hr. 30 min.,Joe Viola,1971,"Scott Glenn, Sharon Peckinpah, Charles Dierkop, Gilda Texter, James Iglehart, Gary Littlejohn"
21,Kill Bill: Volume 1,1 hr. 51 min.,Quentin Tarantino,2003,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine, Daryl Hannah, Michael Madsen"
22,Timeline,1 hr. 56 min.,Richard Donner,2003,"Paul Walker, Frances O'Connor, Gerard Butler, Billy Connolly, David Thewlis, Anna Friel"
23,Wild Things II,1 hr. 35 min.,Jack Perez,2004,"Susan Ward, Leila Arcieri, Isaiah Washington, Katie Stuart, Joe Michael Burke, Brett Gilbert"
24,Heroes of the Alamo,1 hr. 15 min.,Harry Fraser,1937,"Lane Chandler, Earle Hodgins, Earl Hodgins, Bruce Warren, Ruth Findlay, Roger Williams"
25,The Big Empty,1 hr. 34 min.,Steve Anderson (V),2003,"Jon Favreau, Joey Lauren Adams, Rachael Leigh Cook, Bud Cort, Daryl Hannah, Kelsey Grammer"
26,Detonator,1 hr. 31 min.,David S. Jackson,2003,"Bokeem Woodbine, Elizabeth Berkley, Randall Batinkoff, Stan Shaw, Denis Forest, John Pleshette"
27,The Last of Sheila,2 hr.,Herbert Ross,1973,"Richard Benjamin, Dyan Cannon, James Coburn, Joan Hackett, James Mason, Ian McShane"
28,Ram Lakhan,2 hr. 55 min.,Subhash Ghai,1989,"Saeed Jaffrey, Amrish Puri, Rakhee Gulzar, Paresh Rawal, Madhuri Dixit, Anil Kapoor"
29,Master and Commander: The Far Side of the World,2 hr. 17 min.,Peter Weir,2003,"Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall, Max Pirkis, Jack Randall"
30,Helen of Troy,1 hr. 58 min.,Robert Wise,1956,"Jacques Sernas, Rossana PodestÌÊ, Cedric Hardwicke, Nora Swinburne, Stanley Baker, Niall MacGinnis"
31,State of Mind,1 hr. 33 min.,Reginald Adamson,1992,"Don Hannah, Jacinto Molina, Fred Williamson, Lisa Gaye, Jill Schoelen, Pablo Catry"
32,Fast Company,1 hr. 30 min.,David Cronenberg,1979,"William Smith, John Saxon, Claudia Jennings, Nicholas Campbell, Don Francks, Cedric Smith"
33,Ek Aur Ek Gyarah: By Hook or by Crook,3 hr. 25 min.,David Dhawan,2003,"Sanjay Dutt, Govinda, Amrita Arora, Nandini Singh, Jackie Shroff, Gulshan Grover"
34,My Side of the Mountain,1 hr. 40 min.,James B. Clark,1969,"Ted Eccles, Theodore Bikel, Tudi Wiggins, Ralph Endersby, Tom Harvey, Paul Hebert"
35,Flying Leathernecks,1 hr. 43 min.,Nicholas Ray,1951,"John Wayne, Robert Ryan, Don Taylor, Janis Carter, Jay C. Flippen, William Harrigan"
36,Battleground,1 hr. 58 min.,William Wellman,1949,"Van Johnson, Ricardo Montalban, John Hodiak, George Murphy, James Whitmore, Douglas Fowley"
37,Back to Bataan,1 hr. 34 min.,Edward Dmytryk,1945,"John Wayne, Anthony Quinn, Beulah Bondi, Fely Franquelli, Richard Loo, Philip Ahn"
38,Bob le Flambeur (Bob the Gambler),1 hr. 40 min.,Jean-Pierre Melville,1955,"Isabelle Corey, Daniel Cauchy, Roger Duchesne, Andre Garet, Gerard Buhr, Howard Vernon"
39,Chasing Liberty,1 hr. 51 min.,Andy Cadiff,2004,"Mandy Moore, Matthew Goode, Jeremy Piven, Annabella Sciorra, Mark Harmon, Beatrice Rosen"
40,Battle Royale II,2 hr. 12 min.,Kenta Fukasaku,2003,"Tatsuya Fujiwara, Ai Maeda, Natsuki Kato, ShÌÈgo Oshinari, Ayana Sakai, Ai Iwamura"
41,Riot,1 hr. 36 min.,Joseph Merhi,1997,"Gary Daniels, Sugar Ray Leonard, Paige Rowland, Charles Napier, Dex Elliott Sanders, Dex Elliot Sanders"
