ID_A,ID_B,Flag,Title_A,Title_B,Directors_A,Directors_B,Year_A,Year_B
22,2169,,Death Sentence,Death Sentence,James Wan,James Wan,2007.0,2007
131,2083,,Rush Hour 3,Rush Hour 3,Brett Ratner,Brett Ratner,2007.0,2007
146,2087,,Live Free or Die Hard,Live Free or Die Hard,,Len Wiseman,2007.0,2007
150,2092,,Transformers,Transformers,Michael Bay,Michael Bay,2007.0,2007
154,2251,,Mission: Impossible III,Mission: Impossible III,,J.J. Abrams,2006.0,2006
158,2273,,Poseidon,Poseidon,Wolfgang Petersen,Wolfgang Petersen,2006.0,2006
190,2293,,Ice Age: The Meltdown,Ice Age: The Meltdown,Carlos Saldanha,Carlos Saldanha,2006.0,2006
199,2327,,The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift,Justin Lin,Justin Lin,2006.0,2006
214,2253,,Superman Returns,Superman Returns,Bryan Singer,Bryan Singer,2006.0,2006
230,2298,,The Sentinel,The Sentinel,Clark Johnson,Clark Johnson,2006.0,2006
245,2257,,X-Men: The Last Stand,X-Men: The Last Stand,Brett Ratner,Brett Ratner,2006.0,2006
268,2437,,King Kong,King Kong,Peter Jackson,Peter Jackson,2005.0,2005
293,2367,,Last Holiday,Holiday,Wayne Wang,Yun-ho Yang,2006.0,2006
324,2308,,16 Blocks,16 Blocks,Richard Donner,Richard Donner,2006.0,2006
327,2270,,Running Scared,Running Scared,,Wayne Kramer,2006.0,2006
365,116,,7 Chinese Brothers,Brothers,Bob Byington,Karan Malhotra,2015.0,2015
369,18,,I Touched All Your Stuff,i,"Maíra Bühler,Matias Mariani",S. Shankar,2015.0,2015
381,106,,Dragon Blade,Dragon Blade,Daniel Lee,Daniel Lee,2015.0,2015
490,18,,I Am Chris Farley,i,"Brent Hodge,Derik Murray",S. Shankar,2015.0,2015
498,115,,Wild City,Wild City,Ringo Lam,Ringo Lam,2015.0,2015
527,18,,Do I Sound Gay?,i,David Thorpe,S. Shankar,2015.0,2015
540,154,,Intrepido: A Lonely Hero,Hero,Gianni Amelio,Nikhil Advani,2015.0,2015
581,18,,I Believe in Unicorns,i,Leah Meyerhoff,S. Shankar,2015.0,2015
582,67,,Survivor,Survivor,James McTeigue,James McTeigue,2015.0,2015
614,18,,I Am Big Bird: The Caroll Spinney Story,i,"Dave LaMattina,Chad N. Walker",S. Shankar,2015.0,2015
625,64,,Slow West,Slow West,John Maclean,John Maclean,2015.0,2015
645,30,,The Gunman,The Gunman,Pierre Morel,Pierre Morel,2015.0,2015
663,46,,Kidnapping Mr. Heineken,Kidnapping Mr. Heineken,Daniel Alfredson,Daniel Alfredson,2015.0,2015
672,15,,Run All Night,Run All Night,Jaume Collet-Serra,Jaume Collet-Serra,2015.0,2015
705,28,,Last Knights,Last Knights,Kazuaki Kiriya,Kazuaki Kiriya,2015.0,2015
708,18,,Dior and I,i,Frederic Tcheng,S. Shankar,2015.0,2015
745,370,,A Most Violent Year,A Most Violent Year,J.C. Chandor,J.C. Chandor,2014.0,2014
747,34,,Blackhat,Blackhat,Michael Mann,Michael Mann,2015.0,2015
751,87,,Vice,Vice,Brian A Miller,Brian A Miller,2015.0,2015
772,52,,Mortdecai,Mortdecai,David Koepp,David Koepp,2015.0,2015
833,299,,The Hunger Games: Mockingjay - Part 1,1,Francis Lawrence,Sukumar,2014.0,2014
835,499,,V/H/S: Viral,V/H/S: Viral,"Justin Benson,Gregg Bishop,Aaron Moorhead,Marcel Sarmiento,Nacho Vigalondo",Justin Benson,2014.0,2014
859,319,,Happy New Year,Happy New Year,Farah Khan,Farah Khan,2014.0,2014
860,215,,Revenge of the Green Dragons,Revenge of the Green Dragons,"Andrew Lau Wai-Keung,Andrew Loo",Wai-Keung Lau,2014.0,2014
885,255,,The Hobbit: The Battle of the Five Armies,Battle,Peter Jackson,John Jillard Sr.,2014.0,2014
907,313,,Open Windows,Open Windows,Nacho Vigalondo,Nacho Vigalondo,2014.0,2014
917,216,,Wolves,Wolves,David Hayter,David Hayter,2014.0,2014
930,203,,The Green Prince,The Prince,Nadav Schirman,Brian A Miller,2014.0,2014
947,200,,Dracula Untold,Dracula Untold,Gary Shore,Gary Shore,2014.0,2014
957,345,,Young Ones,Young Ones,Jake Paltrow,Jake Paltrow,2014.0,2014
960,529,,Fury,Ardennes Fury,David Ayer,Joseph J. Lawson,2014.0,2014
970,214,,Good People,Good People,Henrik Ruben Genz,Henrik Ruben Genz,2014.0,2014
983,320,,Left Behind,Left Behind,Vic Armstrong,Vic Armstrong,2014.0,2014
996,310,,The November Man,The November Man,Roger Donaldson,Roger Donaldson,2014.0,2014
1009,286,,Falcon Rising,Falcon Rising,Ernie Barbarash,Ernie Barbarash,2014.0,2014
1019,202,,Hercules,The Legend of Hercules,Brett Ratner,Renny Harlin,2014.0,2014
1019,209,,Hercules,Hercules,Brett Ratner,Brett Ratner,2014.0,2014
1019,459,,Hercules,Hercules Reborn,Brett Ratner,Nick Lyon,2014.0,2014
1033,309,,Rage,Rage,Paco Cabezas,Paco Cabezas,2014.0,2014
1034,257,,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,Matt Reeves,Matt Reeves,2014.0,2014
1038,232,,Persecuted,Persecuted,Daniel Lusko,Daniel Lusko,2014.0,2014
1038,398,,Persecuted,Persecuted,Daniel Lusko,Benjamin Bondar,2014.0,2014
1044,381,,The Purge: Anarchy,The Purge: Anarchy,James Demonaco,James DeMonaco,2014.0,2014
1054,362,,Lucy,Lucy,Luc Besson,Luc Besson,2014.0,2014
1063,211,,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Jonathan Liebesman,Jonathan Liebesman,2014.0,2014
1064,258,,Into the Storm,Into the Storm,Steven Quale,Steven Quale,2014.0,2014
1078,292,,The Expendables 3,The Expendables 3,Patrick Hughes,Patrick Hughes,2014.0,2014
1110,462,,Honour,Kirpaan: The Sword of Honour,Shan Khan,Amrik Gill,2014.0,2014
1114,346,,I Am I,I Am Soldier,Jocelyn Towne,Ronnie Thompson,2014.0,2014
1121,222,,How to Train Your Dragon 2,How to Train Your Dragon 2,Dean Deblois,Dean DeBlois,2014.0,2014
