ID_A,ID_B,Flag,Name_A,Name_B,Director_A,Director_B,Year_A,Year_B
tt0096256,adventures-of-a-taxi-driver,,They Live,Adventures of a Taxi Driver,John Carpenter,Stanley A. Long,1988,1975 1976 1977
tt1863203,1069985-diabolique,,The Employer,Diabolique,Frank Merle,"Jeremiah Chechik,Jeremiah S. Chechik",2013,1995 1996 1997
tt0314353,suddenly_last_summer_1993,,Tears of the Sun,"Suddenly, Last Summer",Antoine Fuqua,Richard Eyre,2003,1992 1993 1994
tt1445683,1016240-phantom_of_the_opera,,Great Directors,Phantom Of The Opera,Angela Ismailos,"Lon Chaney,Rupert Julian,Edward Sedgwick",2009,1924 1925 1926
tt0331632,starting_over_again,,Scooby-Doo 2: Monsters Unleashed,Starting Over Again,Raja Gosnell,Olivia M. Lamasan,2004,2013 2014 2015
tt0029442,the_grandmaster,,The Prisoner of Zenda,The Grandmaster,"John Cromwell,W.S. Van Dyke","Kar Wai Wong,Kar-Wai Wong",1937,2012 2013 2014
tt0155753,home_room,,I'll Be Home for Christmas,Home Room,Arlene Sanford,Paul F. Ryan,1998,2002 2003 2004
tt1645080,1096832-where_the_heart_is,,The Art of Getting By,Where the Heart Is,Gavin Wiesen,Matt Williams,2011,1999 2000 2001
tt0110978,grabbers,,Texas Chainsaw Massacre: The Next Generation,Grabbers,Kim Henkel,Jon Wright,1994,2012 2013 2014
tt0160916,first_blood,,The Story of Us,First Blood,Rob Reiner,Ted Kotcheff,1999,1981 1982 1983
tt0049513,1013639-medicine_man,,Moby Dick,The Medicine Man,John Huston,Scott Pembroke,1956,1929 1930 1931
tt0476958,short_circuit_2,,Amusement,Short Circuit 2,John Simpson,Kenneth Johnson,2008,1987 1988 1989
tt0242423,the_patriot,,"Dude, Where's My Car?",The Patriot,Danny Leiner,Ernst Lubitsch,2000,1927 1928 1929
tt0104437,the_bear_1989,,Honey I Blew Up the Kid,The Bear,Randal Kleiser,Jean-Jacques Annaud,1992,1988 1989 1990
tt0045177,they_come_to_america,,Son of Paleface,They Come To America,Frank Tashlin,Dennis M. Lynch,1952,2011 2012 2013
tt2080374,beaver_trilogy,,Steve Jobs,The Beaver Trilogy,Danny Boyle,Trent Harris,2015,2000 2001 2002
tt0080646,desperado_1987,,Don't Go in the House,Desperado,Joseph Ellison,"Virgil W. Vogel,Virgil Vogel",1979,1986 1987 1988
tt4131800,drunk_stoned_brilliant_dead_the_story_of_the_national_lampoon,,My Little Pony,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,Jayson Thiessen,Douglas Tirola,2017,2014 2015 2016
tt0433035,i_am_potential,,Real Steel,I Am Potential,Shawn Levy,Zach Meiners,2011,2014 2015 2016
tt0105415,jecaryous_johnsons_love_overboard,,Singles,Je'Caryous Johnson's Love Overboard,Cameron Crowe,Je'Caryous Johnson,1992,2011 2012 2013
tt3289728,primer,,Equals,Primer,Drake Doremus,Shane Carruth,2015,2003 2004 2005
tt3179568,polar_express,,"Men, Women & Children",The Polar Express,Jason Reitman,Robert Zemeckis,2014,2012 2013 2014
tt0307197,10007001-lying,,Murder on a Sunday Morning,Lying,Jean-Xavier de Lestrade,M. Blash,2001,2005 2006 2007
tt0301976,misfits,,The United States of Leland,The Misfits,Matthew Ryan Hoge,John Huston,2003,1960 1961 1962
tt0295701,once_upon_a_time_in_america,,xXx,Once Upon a Time in America,Rob Cohen,Sergio Leone,2002,1983 1984 1985
tt0119225,1075422-hamlet,,Gridlock'd,Hamlet,Vondie Curtis-Hall,Kenneth Branagh,1997,1995 1996 1997
tt3233418,1190333-amusement,,Spare Parts,Amusement,Sean McNamara,John Simpson,2015,2007 2008 2009
tt0090968,air-bud-spikes-back,,Dr. Otto and the Riddle of the Gloom Beam,Air Bud 5 - Spikes Back,John R. Cherry III,Mike Southon,1986,2002 2003 2004
tt3382636,superstar,,Private Violence,Superstar,Cynthia Hill,Tahmineh Milani,2014,2008 2009 2010
tt0029864,hallows_eve,,The Amazing Dr. Clitterhouse,Hallows' Eve,Anatole Litvak,Sean McGarry,1938,2012 2013 2014
tt1333667,1005360-day_of_the_dead,,The Doors: When You're Strange,Day of the Dead,Tom DiCillo,George A. Romero,2009,1984 1985 1986
tt0162346,jupiter_ascending_2014,,Ghost World,Jupiter Ascending,Terry Zwigoff,"Lana Wachowski,Andy Wachowski",2001,2014 2015 2016
tt0041996,nine_months,,Twelve O'Clock High,Nine Months,Henry King,Chris Columbus,1949,1994 1995 1996
tt0050356,stuart_little_2,,The Enemy Below,Stuart Little 2,Dick Powell,Rob Minkoff,1957,2001 2002 2003
tt4687464,the-evil-dead,,Transpecos,The Evil Dead,Greg Kwedar,Sam Raimi,2016,1980 1981 1982
tt3410762,the-honeymooners2003,,Star Trek: USS PAN,The Honeymooners,Carl Miller,Karl Golden,2018,2002 2003 2004
tt0061584,sandlot,,Doctor Dolittle,The Sandlot,Richard Fleischer,"David M. Evans,Chauncey Leopardi,Denis Leary,James Earl Jones,Karen Allen,Marty York,Mike Vitar,Patrick Renna,Tom Guiry,David Mickey Evans",1967,1992 1993 1994
tt0054930,true-confession,,Girl on the Run,True Confession,"Arthur J. Beckhard,Joseph Lee",Wesley Ruggles,1953,1936 1937 1938
tt0457496,mummys_tomb,,Street Fight,The Mummy's Tomb,Marshall Curry,Harold Young,2005,1941 1942 1943
tt1483013,houseboat,,Oblivion,Houseboat,Joseph Kosinski,Melville Shavelson,2013,1957 1958 1959
tt0034012,crimson_peak,,Penny Serenade,Crimson Peak,George Stevens,Guillermo del Toro,1941,2014 2015 2016
tt0050084,beautiful_creatures_2013,,20 Million Miles to Earth,Beautiful Creatures,Nathan Juran,Richard LaGravenese,1957,2012 2013 2014
tt2403021,under_the_skin_2013,,The Green Inferno,Under the Skin,Eli Roth,Jonathan Glazer,2013,2013 2014 2015
tt4086032,we_are_family_2010,,Frankenstein,We Are Family,Bernard Rose,"Siddharth P. Malhotra,Renat Davletyarov",2015,2009 2010 2011
tt2558318,out_of_time,,The Last Survivors,Out of Time,Thomas S. Hammock,Carl Franklin,2014,2002 2003 2004
tt3165236,gone_doggy_gone,,Beyond the Dark,Gone Doggy Gone,Matthew Douglas Grzeszak,"Brandon Walter,Kasi Brown",2014,2014 2015 2016
tt0098439,twisted,,Tango & Cash,Twisted,"Andrey Konchalovskiy,Albert Magnoli",Philip Kaufman,1989,2003 2004 2005
tt0084522,advantage,,Porky's,Advantage (Avantazh),Bob Clark,Georgi Djulgerov,1981,1977 1978 1979
tt0097607,before_i_go_to_sleep,,Jacknife,Before I Go to Sleep,David Hugh Jones,Rowan Joffe,1989,2013 2014 2015
tt1353813,1112946-othello,,Shhh,Othello,Paul B. Price,Geoffrey Sax,1975,2000 2001 2002
tt0253867,the_moon_and_the_sun,,The Sweetest Thing,The Moon and the Sun,Roger Kumble,Sean McNamara,2002,2014 2015 2016
tt0377109,godfather,,The Ring Two,The Godfather,Hideo Nakata,Francis Ford Coppola,2005,1971 1972 1973
tt1622547,making-the-amazingmaking-the-amazing-spiderman-2,,30 Minutes or Less,Making the Amazing (Making the Amazing: Spider-Man 2),Ruben Fleischer,Charles de Lauzirika,2011,2003 2004 2005
tt0050135,dredd,,April Love,Dredd,Henry Levin,Pete Travis,1957,2011 2012 2013
tt0472181,day_after_tomorrow,,The Smurfs,The Day After Tomorrow,Raja Gosnell,Roland Emmerich,2011,2003 2004 2005
tt0033436,616_paranormal_incident,,Buck Privates,616: Paranormal Incident,Arthur Lubin,David Chirchirillo,1941,2012 2013 2014
tt0948470,anniversary_party,,The Amazing Spider-Man,The Anniversary Party,Marc Webb,"Jennifer Jason Leigh,Alan Cumming",2012,2000 2001 2002
tt0119784,1108372-fast_and_the_furious,,The Night Flier,The Fast and the Furious,Mark Pavia,Rob Cohen,1997,2000 2001 2002
tt2393805,teenage_mutant_ninja_turtles_2_2016,,Gabriel,Teenage Mutant Ninja Turtles 2,Lou Howe,Dave Green,2014,2015 2016 2017
tt0403946,if_i_were_king_1920,,Cloud 9,If I Were King,Harry Basil,J. Gordon Edwards,2006,1919 1920 1921
tt0398027,1014137-monkey_business,,Down in the Valley,Monkey Business,David Jacobson,"Norman McLeod,Norman Z. McLeod",2005,1930 1931 1932
tt1067765,a_million_ways_to_die_in_the_west,,Adult World,A Million Ways to Die in the West,Scott Coffey,Seth MacFarlane,2013,2013 2014 2015
tt0089679,brave_one,,The New Kids,The Brave One,Sean S. Cunningham,Neil Jordan,1985,2006 2007 2008
tt2450186,the_outskirts_2015,,V/H/S/2,The Outskirts,"Simon Barrett,Jason Eisener",Peter Hutchings,2013,2014 2015 2016
tt0093777,radio,,Prince of Darkness,Radio,John Carpenter,"Alfre Woodard,Bert Beatson,Chris Mulkey,Cuba Gooding Jr.,Debra Winger,Ed Harris,James Barrett,Joseph E.G. Barrett,Riley Smith,S. Epatha Merkerson,Sarah Drew,Mike Tollin,Michael Tollin",1987,2002 2003 2004
tt0882742,1012007-laura,,Alice Upside Down,Laura,Sandy Tung,"Sandra Lindo,Otto Preminger",2007,1943 1944 1945
tt0130623,1205380-crazies,,Dinosaur,The Crazies,"Eric Leighton,Ralph Zondag",Breck Eisner,2000,2009 2010 2011
tt1160368,betty_blue,,12 Rounds,372 le Matin (Betty Blue) (37.2 Degrees in the Morning),Renny Harlin,Jean-Jacques Beineix,2009,1985 1986 1987
tt0120080,the_100_year_old_man_who_climbed_out_the_window_and_disappeared,,Scorpio One,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,Worth Keeter,Felix Herngren,1998,2014 2015 2016
tt0988595,song_one,,27 Dresses,Song One,Anne Fletcher,Kate Barker-Froyland,2008,2014 2015 2016
tt1741225,camelot1982,,I Am,Camelot,Tom Shadyac,Marty Callner,2010,1981 1982 1983
tt1499658,song_of_the_south,,Horrible Bosses,Song of the South,Seth Gordon,"Wilfred Jackson,Harve Foster",2011,1945 1946 1947
tt0118539,selma_lord_selma,,3 Ninjas: High Noon at Mega Mountain,"Selma, Lord, Selma",Sean McNamara,Charles Burnett,1998,1998 1999 2000
tt0083564,forbidden_games_2015,,Annie,Forbidden Games,John Huston,René Clément,1982,2014 2015 2016
tt0069768,crow_the_city_of_angels,,Battle for the Planet of the Apes,The Crow: City of Angels,J. Lee Thompson,Tim Pope,1973,1995 1996 1997
tt0021749,paul_blart_mall_cop_2,,City Lights,Paul Blart: Mall Cop 2,Charles Chaplin,Andy Fickman,1931,2014 2015 2016
tt0052918,brain_damage,,Imitation of Life,Brain Damage,Douglas Sirk,Frank Henenlotter,1959,1994 1995 1996
tt0109093,1016847-protector,,Amateur,The Protector,Hal Hartley,"James Glickenhaus,Prachya Pinkaew",1994,1984 1985 1986
tt0092752,the_watch_2012,,The Chipmunk Adventure,The Watch,Janice Karman,Akiva Schaffer,1987,2011 2012 2013
tt0912586,choose_2010,,Girl 27,Choose,David Stenn,Marcus Graves,2007,2010 2011 2012
tt1609113,stanley,,Farmageddon,Stanley,Kristin Canty,William Grefe,2011,1971 1972 1973
tt1502404,antboy_revenge_of_the_red_fury,,Drive Angry,Antboy: Revenge of the Red Fury,Patrick Lussier,Ask Hasselbalch,2011,2014 2015 2016
tt0155940,mandy-lane,,Palmer's Pick Up,All the Boys Love Mandy Lane,Christopher Coppola,Jonathan Levine,1999,2012 2013 2014
tt0116165,1046869-black_beauty,,Ed,Black Beauty,Bill Couturié,Chris Cuddington,1996,1977 1978 1979
tt0086979,the-heart-is-deceitful-above-all-things,,Blood Simple.,The Heart Is Deceitful Above All Things,"Joel Coen,Ethan Coen",Asia Argento,1984,2003 2004 2005
tt0435715,phone_booth,,Peaceable Kingdom,Phone Booth,Jenny Stein,Joel Schumacher,2004,2002 2003 2004
tt0429573,1156405-cake,,An American Haunting,Cake,Courtney Solomon,Nisha Ganatra,2005,2005 2006 2007
tt0275182,double_edge_1993,,Acts of Worship,Double Edge,Rosemary Rodriguez,Stephen Stafford,2001,1992 1993 1994
tt1726669,ali,,Killer Joe,Ali,William Friedkin,Michael Mann,2011,2000 2001 2002
tt0092626,1155622-why_we_fight,,Beauty and the Beast,Why We Fight,Eugene Marner,Eugene Jarecki,1987,2005 2006 2007
tt0378947,xxx,,Melinda and Melinda,XXX,Woody Allen,Rob Cohen,2004,2001 2002 2003
tt0060472,american_psycho_2,,Grand Prix,American Psycho II: All American Girl,John Frankenheimer,Morgan J. Freeman,1966,2001 2002 2003
tt0046359,1087270-mummy,,Stalag 17,The Mummy,Billy Wilder,"Adrian Biddle,Arnold Vosloo,Brendan Fraser,John Hannah,Kevin J. O'Connor,Oded Fehr,Rachel Weisz,Stephen Dunham,Stephen Sommers",1953,1998 1999 2000
tt0012136,home_on_the_range,,Enchantment,Home on the Range,Robert G. Vignola,"John Sanford (II),Will Finn,John Sanford",1921,2003 2004 2005
tt0100240,a_nagy_fuzet_2013,,The Neverending Story II: The Next Chapter,The Notebook,George Miller,János Szász,1990,2013 2014 2015
tt0116409,clockwork_orange,,The Ghost and the Darkness,A Clockwork Orange,Stephen Hopkins,Stanley Kubrick,1996,1970 1971 1972
tt3922350,sword_of_the_valiant,,Headless,Sword of the Valiant,Arthur Cullipher,Stephen Weeks,2015,1983 1984 1985
tt0024388,the-hive,,No Other Woman,The Hive,J. Walter Ruben,"Peter Manus,Peter McManus",1933,2007 2008 2009
tt1675759,reefer_madness,,The Wait,Reefer Madness (Tell Your Children) (Doped Youth),M. Blash,"Louis Gasnier,Louis J. Gasnier,Herman Hertz",2013,2009 2010 2011
tt0110989,brigadoon,,Ri¢hie Ri¢h,Brigadoon,Donald Petrie,Vincente Minnelli,1994,1953 1954 1955
tt2312602,tremors_2_aftershocks,,Reincarnated,Tremors 2: Aftershocks,Andy Capper,S.S. Wilson,2012,1995 1996 1997
tt0057251,1006438-eaten_alive,,Lilies of the Field,Eaten Alive,Ralph Nelson,Tobe Hooper,1963,1976 1977 1978
tt0756683,1145493-without_warning,,The Man from Earth,Without Warning,Richard Schenkman,Arnold Laven,2007,1951 1952 1953
tt0100822,1081497-boxer,,Tune in Tomorrow...,The Boxer,Jon Amiel,Jim Sheridan,1990,1996 1997 1998
tt0160429,the_last_survivors,,The King and I,The Last Survivors (The Well),Richard Rich,"Tom Hammock,Thomas S. Hammock",1999,2013 2014 2015
tt0942385,faults,,Tropic Thunder,Faults,Ben Stiller,Riley Stearns,2008,2014 2015 2016
tt1013753,house_party,,Milk,House Party,Gus Van Sant,"Reginald Hudlin,Reggie Hudlin",2008,1989 1990 1991
tt0329774,only_the_lonely,,xXx: State of the Union,Only the Lonely,Lee Tamahori,Chris Columbus,2005,1990 1991 1992
tt0087258,the-verdict-1946,,Final Justice,The Verdict,Greydon Clark,Don Siegel,1985,1945 1946 1947
tt0120901,1122382-spellbound,,Wrongfully Accused,Spellbound,Pat Proft,Jeffrey Blitz,1998,2001 2002 2003
tt0066811,dumb_and_dumberer_when_harry_met_lloyd,,The Barefoot Executive,Dumb and Dumberer: When Harry Met Lloyd,Robert Butler,Troy Miller,1971,2002 2003 2004
tt0385726,beyond_zero_1914_1918,,Glory Road,Beyond Zero: 1914-1918,James Gartner,Bill Morrison,2006,2014 2015 2016
tt0076210,1024232-year_of_the_dragon,,The Island of Dr. Moreau,Year of the Dragon,Don Taylor,Michael Cimino,1977,1984 1985 1986
tt0115857,cool_surface,,Chain Reaction,The Cool Surface,Andrew Davis,Erik Anjou,1996,1992 1993 1994
tt0108395,buddy_buddy,,A Troll in Central Park,Buddy Buddy,"Don Bluth,Gary Goldman",Billy Wilder,1994,1980 1981 1982
tt0019777,1015966-partners,,The Cocoanuts,Partners,"Robert Florey,Joseph Santley",James Burrows,1929,1981 1982 1983
