ID_A,ID_B,Flag,Name_A,Name_B,Director_A,Director_B,Year_A,Year_B
tt0770703,whats_your_number,,What's Your Number?,What's Your Number?,Mark Mylod,Mark Mylod,2011,2010 2011 2012
tt0455499,garfield_2,,Garfield: A Tail of Two Kitties,Garfield: A Tail of Two Kitties,Tim Hill,Tim Hill,2006,2005 2006 2007
tt1233334,pariah_2011,,Pariah,Pariah,Dee Rees,Dee Rees,2011,2010 2011 2012
tt0069341,1020820-tales_from_the_crypt,,Tales from the Crypt,Tales from the Crypt,Freddie Francis,Freddie Francis,1972,1971 1972 1973
tt3957956,12_rounds_3_lockdown,,12 Rounds 3: Lockdown,12 Rounds 3: Lockdown,Stephen Reynolds,Stephen Reynolds,2015,2014 2015 2016
tt0204626,watcher,,The Watcher,The Watcher,Joe Charbanic,Joe Charbanic,2000,1999 2000 2001
tt3824412,results_2015,,Results,Results,Andrew Bujalski,Andrew Bujalski,2015,2014 2015 2016
tt0117628,shes_the_one,,She's the One,She's the One,Edward Burns,Edward Burns,1996,1995 1996 1997
tt0055824,1003492-cape_fear,,Cape Fear,Cape Fear,J. Lee Thompson,J. Lee Thompson,1962,1961 1962 1963
tt0085868,1012754-losin_it,,Losin' It,Losin' It,Curtis Hanson,Curtis Hanson,1983,1982 1983 1984
tt0086837,2010_the_year_we_make_contact,,2010,2010,Peter Hyams,Peter Hyams,1984,1983 1984 1985
tt0104694,league_of_their_own,,A League of Their Own,A League of Their Own,Penny Marshall,Penny Marshall,1992,1991 1992 1993
tt0332452,troy,,Troy,Troy,Wolfgang Petersen,Wolfgang Petersen,2004,2003 2004 2005
tt1034032,gamer,,Gamer,Gamer,"Mark Neveldine,Brian Taylor","Mark Neveldine,Brian Taylor",2009,2008 2009 2010
tt0338096,dirty_dancing_havana_nights,,Dirty Dancing: Havana Nights,Dirty Dancing: Havana Nights,Guy Ferland,Guy Ferland,2004,2003 2004 2005
tt0076740,1019441-sorcerer,,Sorcerer,Sorcerer,William Friedkin,William Friedkin,1977,1976 1977 1978
tt0409182,poseidon,,Poseidon,Poseidon,Wolfgang Petersen,Wolfgang Petersen,2006,2005 2006 2007
tt0088851,bride,,The Bride,The Bride,Franc Roddam,Franc Roddam,1985,1984 1985 1986
tt0115956,courage_under_fire,,Courage Under Fire,Courage Under Fire,Edward Zwick,Edward Zwick,1996,1995 1996 1997
tt2784678,top_five,,Top Five,Top Five,Chris Rock,Chris Rock,2014,2013 2014 2015
tt0893331,10007856-four_sheets_to_the_wind,,Four Sheets to the Wind,Four Sheets to the Wind,Sterlin Harjo,Sterlin Harjo,2007,2006 2007 2008
tt0111438,timecop,,Timecop,Timecop,Peter Hyams,Peter Hyams,1994,1993 1994 1995
tt0083169,taps,,Taps,Taps,Harold Becker,Harold Becker,1981,1980 1981 1982
tt0083131,stripes,,Stripes,Stripes,Ivan Reitman,Ivan Reitman,1981,1980 1981 1982
tt0162661,sleepy_hollow,,Sleepy Hollow,Sleepy Hollow,Tim Burton,Tim Burton,1999,1998 1999 2000
tt0042960,side_street,,Side Street,Side Street,Anthony Mann,Anthony Mann,1949,1949 1950 1951
tt0160916,story_of_us,,The Story of Us,The Story of Us,Rob Reiner,Rob Reiner,1999,1998 1999 2000
tt0804505,10008849-married_life,,Married Life,Married Life,Ira Sachs,Ira Sachs,2007,2007 2008 2009
tt1127877,cold_souls,,Cold Souls,Cold Souls,Sophie Barthes,Sophie Barthes,2009,2008 2009 2010
tt0439815,slither,,Slither,Slither,James Gunn,James Gunn,2006,2005 2006 2007
tt0034522,black_swan,,The Black Swan,The Black Swan,Henry King,Henry King,1942,1941 1942 1943
tt0059113,1006037-doctor_zhivago,,Doctor Zhivago,Doctor Zhivago,David Lean,David Lean,1965,1964 1965 1966
tt0365907,a_walk_among_the_tombstones,,A Walk Among the Tombstones,A Walk Among the Tombstones,Scott Frank,Scott Frank,2014,2013 2014 2015
tt2548208,poker_night,,Poker Night,Poker Night,Greg Francis,Greg Francis,2014,2013 2014 2015
tt0095649,moderns,,The Moderns,The Moderns,Alan Rudolph,Alan Rudolph,1988,1987 1988 1989
tt1817081,a_case_of_you,,A Case of You,A Case of You,Kat Coiro,Kat Coiro,2013,2012 2013 2014
tt0109040,ace_ventura_pet_detective,,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,Tom Shadyac,Tom Shadyac,1994,1992 1993 1994
tt1763303,the_first_time_2012,,The First Time,The First Time,Jon Kasdan,Jon Kasdan,2012,2011 2012 2013
tt0896798,cleaner,,Cleaner,Cleaner,Renny Harlin,Renny Harlin,2007,2007 2008 2009
tt0418819,land_of_the_dead,,Land of the Dead,Land of the Dead,George A. Romero,George A. Romero,2005,2004 2005 2006
tt0099487,edward_scissorhands,,Edward Scissorhands,Edward Scissorhands,Tim Burton,Tim Burton,1990,1989 1990 1991
tt0042546,1009261-harvey,,Harvey,Harvey,Henry Koster,Henry Koster,1950,1949 1950 1951
tt0120461,1076267-volcano,,Volcano,Volcano,Mick Jackson,Mick Jackson,1997,1996 1997 1998
tt3264102,red_army_2015,,Red Army,Red Army,Gabe Polsky,Gabe Polsky,2014,2014 2015 2016
tt2023765,the_unspeakable_act_2012,,The Unspeakable Act,The Unspeakable Act,Dan Sallitt,Dan Sallitt,2012,2012 2013 2014
tt0087843,once_upon_a_time_in_america,,Once Upon a Time in America,Once Upon a Time in America,Sergio Leone,Sergio Leone,1984,1983 1984 1985
tt0102059,1036179-hot_shots,,Hot Shots!,Hot Shots!,Jim Abrahams,Jim Abrahams,1991,1990 1991 1992
tt0023458,1043598-shanghai_express,,Shanghai Express,Shanghai Express,Josef von Sternberg,Josef von Sternberg,1932,1931 1932 1933
tt0103776,batman_returns,,Batman Returns,Batman Returns,Tim Burton,Tim Burton,1992,1991 1992 1993
tt0478311,knocked_up,,Knocked Up,Knocked Up,Judd Apatow,Judd Apatow,2007,2006 2007 2008
tt0095800,the_bear_1989,,The Bear,The Bear,Jean-Jacques Annaud,Jean-Jacques Annaud,1988,1988 1989 1990
tt0032904,philadelphia_story,,The Philadelphia Story,The Philadelphia Story,George Cukor,George Cukor,1940,1939 1940 1941
tt0093315,jocks,,Jocks,Jocks,Steve Carver,Steve Carver,1986,1985 1986 1987
tt0100685,state_of_grace,,State of Grace,State of Grace,Phil Joanou,Phil Joanou,1990,1989 1990 1991
tt0086450,1021558-to_be_or_not_to_be,,To Be or Not to Be,To Be or Not to Be,Alan Johnson,Alan Johnson,1983,1982 1983 1984
tt2393845,kill_me_three_times,,Kill Me Three Times,Kill Me Three Times,Kriv Stenders,Kriv Stenders,2014,2014 2015 2016
tt0417217,two_for_the_money,,Two for the Money,Two for the Money,D.J. Caruso,D.J. Caruso,2005,2004 2005 2006
tt0180274,unhinged,,Unhinged,Unhinged,Don Gronquist,Don Gronquist,1982,1981 1982 1983
tt0113118,friday,,Friday,Friday,F. Gary Gray,F. Gary Gray,1995,1994 1995 1996
tt0319262,day_after_tomorrow,,The Day After Tomorrow,The Day After Tomorrow,Roland Emmerich,Roland Emmerich,2004,2003 2004 2005
tt0030696,room_service,,Room Service,Room Service,William A. Seiter,William A. Seiter,1938,1937 1938 1939
tt0037000,lady_in_the_dark_1944,,Lady in the Dark,Lady in the Dark,Mitchell Leisen,Mitchell Leisen,1944,1943 1944 1945
tt0116191,1073316-emma,,Emma,Emma,Douglas McGrath,Douglas McGrath,1996,1995 1996 1997
tt0106660,1047940-dangerous_game,,Dangerous Game,Dangerous Game,Abel Ferrara,Abel Ferrara,1993,1992 1993 1994
tt0087452,1010362-iceman,,Iceman,Iceman,Fred Schepisi,Fred Schepisi,1984,1983 1984 1985
tt0088258,this_is_spinal_tap,,This Is Spinal Tap,This Is Spinal Tap,Rob Reiner,Rob Reiner,1984,1983 1984 1985
tt1179056,nightmare_on_elm_street_2010,,A Nightmare on Elm Street,A Nightmare on Elm Street,Samuel Bayer,Samuel Bayer,2010,2009 2010 2011
tt0088024,1017991-runaway,,Runaway,Runaway,Michael Crichton,Michael Crichton,1984,1983 1984 1985
tt0309377,blood_work,,Blood Work,Blood Work,Clint Eastwood,Clint Eastwood,2002,2001 2002 2003
tt2106440,hallows_eve,,Hallows' Eve,Hallows' Eve,Sean McGarry,Sean McGarry,2013,2012 2013 2014
tt0149261,1090759-deep_blue_sea,,Deep Blue Sea,Deep Blue Sea,Renny Harlin,Renny Harlin,1999,1998 1999 2000
tt1327601,something_wicked_2014,,Something Wicked,Something Wicked,Darin Scott,Darin Scott,2011,2013 2014 2015
tt0419706,doom,,Doom,Doom,Andrzej Bartkowiak,Andrzej Bartkowiak,2005,2004 2005 2006
tt0090329,1023854-witness,,Witness,Witness,Peter Weir,Peter Weir,1985,1984 1985 1986
tt0360717,king_kong,,King Kong,King Kong,Peter Jackson,Peter Jackson,2005,2004 2005 2006
tt1179904,paranormal_activity,,Paranormal Activity,Paranormal Activity,Oren Peli,Oren Peli,2007,2008 2009 2010
tt0082340,1006717-escape_from_new_york,,Escape from New York,Escape from New York,John Carpenter,John Carpenter,1981,1980 1981 1982
tt0206634,children_of_men,,Children of Men,Children of Men,Alfonso Cuarón,Alfonso Cuarón,2006,2005 2006 2007
tt1684564,the_victim_2011,,The Victim,The Victim,Michael Biehn,Michael Biehn,2011,2011 2012 2013
tt2091478,air_2015,,Air,Air,Christian Cantamessa,Christian Cantamessa,2015,2014 2015 2016
tt0045177,son_of_paleface,,Son of Paleface,Son of Paleface,Frank Tashlin,Frank Tashlin,1952,1951 1952 1953
tt0295297,harry_potter_and_the_chamber_of_secrets,,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,Chris Columbus,Chris Columbus,2002,2001 2002 2003
tt0110527,1062206-miracle_on_34th_street,,Miracle on 34th Street,Miracle on 34th Street,Les Mayfield,Les Mayfield,1994,1993 1994 1995
tt0143145,world_is_not_enough,,The World Is Not Enough,The World Is Not Enough,Michael Apted,Michael Apted,1999,1998 1999 2000
tt2015381,guardians_of_the_galaxy,,Guardians of the Galaxy,Guardians of the Galaxy,James Gunn,James Gunn,2014,2013 2014 2015
tt0090180,to_live_and_die_in_la,,To Live and Die in L.A.,To Live and Die in L.A.,William Friedkin,William Friedkin,1985,1984 1985 1986
tt0107144,hot_shots_part_deux,,Hot Shots! Part Deux,Hot Shots! Part Deux,Jim Abrahams,Jim Abrahams,1993,1992 1993 1994
tt1214962,justice_2011,,Seeking Justice,Seeking Justice,Roger Donaldson,Roger Donaldson,2011,2011 2012 2013
tt0086143,private_school_1983,,Private School,Private School,Noel Black,Noel Black,1983,1982 1983 1984
tt0417001,must_love_dogs,,Must Love Dogs,Must Love Dogs,Gary David Goldberg,Gary David Goldberg,2005,2004 2005 2006
tt0052847,gidget,,Gidget,Gidget,Paul Wendkos,Paul Wendkos,1959,1958 1959 1960
tt0057163,1010174-hud,,Hud,Hud,Martin Ritt,Martin Ritt,1963,1962 1963 1964
tt1441395,under_the_skin_2013,,Under the Skin,Under the Skin,Jonathan Glazer,Jonathan Glazer,2013,2013 2014 2015
tt0035369,1019653-spoilers,,The Spoilers,The Spoilers,Ray Enright,Ray Enright,1942,1941 1942 1943
tt0096487,young_guns,,Young Guns,Young Guns,Christopher Cain,Christopher Cain,1988,1987 1988 1989
tt1399683,10012136-winters_bone,,Winter's Bone,Winter's Bone,Debra Granik,Debra Granik,2010,2009 2010 2011
tt0070666,serpico,,Serpico,Serpico,Sidney Lumet,Sidney Lumet,1973,1972 1973 1974
tt0063688,thomas_crown_affair,,The Thomas Crown Affair,The Thomas Crown Affair,Norman Jewison,Norman Jewison,1968,1967 1968 1969
tt2676710,616_paranormal_incident,,616: Paranormal Incident,616: Paranormal Incident,David Chirchirillo,David Chirchirillo,2013,2012 2013 2014
tt0081184,motel_hell,,Motel Hell,Motel Hell,Kevin Connor,Kevin Connor,1980,1979 1980 1981
tt0051207,1024191-wrong_man,,The Wrong Man,The Wrong Man,Alfred Hitchcock,Alfred Hitchcock,1956,1955 1956 1957
tt0276751,about_a_boy,,About a Boy,About a Boy,"Chris Weitz,Paul Weitz","Chris Weitz,Paul Weitz",2002,2001 2002 2003
tt0116823,larger_than_life,,Larger Than Life,Larger Than Life,Howard Franklin,Howard Franklin,1996,1995 1996 1997
tt0147800,10_things_i_hate_about_you,,10 Things I Hate About You,10 Things I Hate About You,Gil Junger,Gil Junger,1999,1998 1999 2000
tt3168230,mr_holmes,,Mr. Holmes,Mr. Holmes,Bill Condon,Bill Condon,2015,2014 2015 2016
tt2582496,me_and_earl_and_the_dying_girl,,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Alfonso Gomez-Rejon,2015,2014 2015 2016
tt0107290,jurassic_park,,Jurassic Park,Jurassic Park,Steven Spielberg,Steven Spielberg,1993,1992 1993 1994
