ID,Name,Director,Creator,Duration,Rating,Year,Release_Date,Genre
tt0054215,Psycho,Alfred Hitchcock,"Joseph Stefano,Robert Bloch",109 min,8.6,1960,8 September 1960 (USA),"Horror,Mystery,Thriller"
tt0088993,Day of the Dead,George A. Romero,George A. Romero,96 min,7.2,1985,19 July 1985 (USA),"Action,Drama,Horror"
tt0032484,Foreign Correspondent,Alfred Hitchcock,"Charles Bennett,Joan Harrison",120 min,7.6,1940,16 August 1940 (USA),"Romance,Thriller,War"
tt0889671,Trumbo,Peter Askin,"Christopher Trumbo,Christopher Trumbo",96 min,7.5,2007,27 June 2008 (USA),"Documentary,Biography"
tt1325014,The People vs. George Lucas,Alexandre O. Philippe,Alexandre O. Philippe,93 min,6.7,2010,29 August 2011 (USA),"Documentary,Comedy"
tt0065112,Topaz,Alfred Hitchcock,"Leon Uris,Samuel A. Taylor",143 min,6.3,1969,19 December 1969 (USA),Thriller
tt0074512,Family Plot,Alfred Hitchcock,"Ernest Lehman,Victor Canning",120 min,6.8,1976,9 April 1976 (USA),"Comedy,Thriller"
tt0092796,Creepshow 2,Michael Gornick,"Stephen King,George A. Romero",92 min,5.9,1987,1 May 1987 (USA),"Comedy,Horror,Thriller"
tt0090021,Silver Bullet,Daniel Attias,"Stephen King,Stephen King",95 min,6.3,1985,11 October 1985 (USA),"Drama,Horror"
tt0102733,Pyrates,Noah Stern,Noah Stern,,4.8,1991,5 March 1992 (Germany),"Comedy,Romance"
tt0102741,Queens Logic,Steve Rash,"Tony Spiridakis,Joseph W. Savino",100 min,5.9,1991,1 February 1991 (USA),"Comedy,Drama"
tt1045642,Tales from the Script,Peter Hanson,"Peter Hanson,Paul Robert Herman",105 min,7.2,2009,10 January 2009 (USA),Documentary
tt0265666,The Royal Tenenbaums,Wes Anderson,"Wes Anderson,Owen Wilson",110 min,7.6,2001,4 January 2002 (USA),"Comedy,Drama"
tt0440963,The Bourne Ultimatum,Paul Greengrass,"Tony Gilroy,Scott Z. Burns",115 min,8.1,2007,3 August 2007 (USA),"Action,Thriller"
tt0103772,Basic Instinct,Paul Verhoeven,Joe Eszterhas,127 min,6.9,1992,20 March 1992 (USA),"Drama,Mystery,Thriller"
tt0250797,Unfaithful,Adrian Lyne,"Claude Chabrol,Alvin Sargent",124 min,6.7,2002,10 May 2002 (USA),"Drama,Romance,Thriller"
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont,"Dean Georgaris,Steven E. de Souza",117 min,5.5,2003,25 July 2003 (USA),"Action,Adventure,Fantasy"
tt0120616,The Mummy,Stephen Sommers,"Stephen Sommers,Lloyd Fonvielle",125 min,7.0,1999,7 May 1999 (USA),"Action,Adventure,Fantasy"
tt0320691,Underworld,Len Wiseman,"Kevin Grevioux,Len Wiseman",121 min,7.0,2003,19 September 2003 (USA),"Action,Fantasy"
tt0401855,Underworld: Evolution,Len Wiseman,"Danny McBride,Len Wiseman",106 min,6.8,2006,20 January 2006 (USA),"Action,Fantasy,Sci-Fi"
tt1323594,Despicable Me,"Pierre Coffin,Chris Renaud","Cinco Paul,Ken Daurio",95 min,7.7,2010,9 July 2010 (USA),"Animation,Comedy,Family"
tt1453405,Monsters University,Dan Scanlon,"Dan Scanlon,Daniel Gerson",104 min,7.4,2013,21 June 2013 (USA),"Animation,Adventure,Comedy"
tt0120363,Toy Story 2,"John Lasseter,Ash Brannon","John Lasseter,Pete Docter",92 min,7.9,1999,24 November 1999 (USA),"Animation,Adventure,Comedy"
tt1233219,"My Son, My Son, What Have Ye Done",Werner Herzog,"Herbert Golder,Werner Herzog",91 min,6.3,2009,8 July 2010 (Portugal),"Drama,Thriller"
tt1095217,Bad Lieutenant: Port of Call New Orleans,Werner Herzog,"William M. Finkelstein,Victor Argo",122 min,6.7,2009,11 December 2009 (USA),"Crime,Drama"
tt1074638,Skyfall,Sam Mendes,"Neal Purvis,Robert Wade",143 min,7.8,2012,9 November 2012 (USA),"Action,Adventure,Thriller"
tt0120611,Blade,Stephen Norrington,David S. Goyer,120 min,7.1,1998,21 August 1998 (USA),"Action,Horror"
tt1756529,Get Lamp,Jason Scott Sadofsky,Jason Scott Sadofsky,,6.6,2010,26 March 2010 (USA),Documentary
tt0808299,High Score,Jeremy Mack,,52 min,7.1,2006,11 March 2006 (USA),Documentary
tt3393786,Jack Reacher 2,Edward Zwick,"Lee Child,Marshall Herskovitz",,,2016,21 October 2016 (USA),"Action,Crime,Drama"
tt0325710,The Last Samurai,Edward Zwick,"John Logan,John Logan",154 min,7.7,2003,5 December 2003 (USA),"Action,Drama,History"
tt0092099,Top Gun,Tony Scott,"Jim Cash,Jack Epps Jr.",110 min,6.9,1986,16 May 1986 (USA),"Action,Drama,Romance"
tt0120889,What Dreams May Come,Vincent Ward,"Richard Matheson,Ronald Bass",113 min,7.0,1998,2 October 1998 (USA),"Drama,Fantasy,Romance"
tt0064418,"Hello, Dolly!",Gene Kelly,"Michael Stewart,Thornton Wilder",146 min,7.2,1969,16 December 1969 (USA),"Comedy,Musical,Romance"
tt0062994,Funny Girl,William Wyler,"Isobel Lennart,Isobel Lennart",151 min,7.5,1968,19 September 1968 (USA),"Biography,Comedy,Drama"
tt0034583,Casablanca,Michael Curtiz,"Julius J. Epstein,Philip G. Epstein",102 min,8.6,1942,23 January 1943 (USA),"Drama,Film-Noir,Romance"
tt0062622,2001: A Space Odyssey,Stanley Kubrick,"Stanley Kubrick,Arthur C. Clarke",160 min,8.3,1968,15 May 1968 (UK),"Mystery,Sci-Fi"
tt0180093,Requiem for a Dream,Darren Aronofsky,"Hubert Selby Jr.,Hubert Selby Jr.",102 min,8.4,2000,15 December 2000 (USA),Drama
tt0090756,Blue Velvet,David Lynch,David Lynch,120 min,7.8,1986,30 October 1986 (Argentina),"Crime,Drama,Mystery"
tt0120663,Eyes Wide Shut,Stanley Kubrick,"Stanley Kubrick,Frederic Raphael",159 min,7.3,1999,16 July 1999 (USA),"Drama,Mystery,Thriller"
tt0056193,Lolita,Stanley Kubrick,"Vladimir Nabokov,Vladimir Nabokov",152 min,7.7,1962,12 June 1962 (USA),"Drama,Romance"
