ID_A,ID_B,Flag,Title_A,Title_B,Authors_A,Authors_B
2330,4002,,A Machine Learning Framework for Register Placement Optimization in Digital Circuit Design,Modeling Dynamic Missingness of Implicit Feedback for Recommendation,"Karthik Airani, Rohit Guttal","Menghan Wang, Mingming Gong, Xiaolin Zheng, Kun Zhang"
531,2528,,Label Stability in Multiple Instance Learning,Path-Normalized Optimization of Recurrent Neural Networks with ReLU Activations,"Veronika Cheplygina, Lauge Srensen, David M. J. Tax, Marleen de Bruijne, Marco Loog","Behnam Neyshabur, Yuhuai Wu, Ruslan R. Salakhutdinov, Nati Srebro"
3602,950,,Noisy population recovery in polynomial time,A latent factor model for highly multi-relational data,"Anindya De, Michael Saks, Sijian Tang","Rodolphe Jenatton, Nicolas L. Roux, Antoine Bordes, Guillaume R. Obozinski"
679,2771,,JANUS: Fast and Flexible Deep Learning via Symbolic Graph Execution of Imperative Programs,Avoiding Discrimination through Causal Reasoning,"Eunji Jeong, Sungwoo Cho, Gyeong-In Yu, Joo Seong Jeong, Dong-Jin Shin, Byung-Gon Chun","Niki Kilbertus, Mateo Rojas Carulla, Giambattista Parascandolo, Moritz Hardt, Dominik Janzing, Bernhard Schlkopf"
1159,157,,Retrofitting Distributional Embeddings to Knowledge Graphs with Functional Relations,Robust Clustering as Ensembles of Affinity Relations,"Benjamin J. Lengerich, Andrew L. Maas, Christopher Potts","Hairong Liu, Longin J. Latecki, Shuicheng Yan"
3982,1190,,An implementation of the relational k-means algorithm,Online Learning of Dynamic Parameters in Social Networks,Balzs Szalkai,"Shahin Shahrampour, Sasha Rakhlin, Ali Jadbabaie"
3491,1605,,Improved graph Laplacian via geometric self-consistency,A Differential Equation for Modeling Nesterovs Accelerated Gradient Method: Theory and Insights,"Dominique Perrault-Joncas, Marina Meila","Weijie Su, Stephen Boyd, Emmanuel Candes"
1081,1161,,Online Deep Learning: Growing RBM on the fly,Approximate Dynamic Programming Finally Performs Well in the Game of Tetris,"Savitha Ramasamy, Kanagasabai Rajaraman, Pavitra Krishnaswamy, Vijay Chandrasekhar","Victor Gabillon, Mohammad Ghavamzadeh, Bruno Scherrer"
247,886,,Instrument-Armed Bandits,Ancestor Sampling for Particle Gibbs,Nathan Kallus,"Fredrik Lindsten, Thomas Schn, Michael I. Jordan"
2206,3041,,Open Question Answering with Weakly Supervised Embedding Models,Tractability in Structured Probability Spaces,"Antoine Bordes, Jason Weston, Nicolas Usunier","Arthur Choi, Yujia Shen, Adnan Darwiche"
3428,739,,Scalable Gaussian Processes with Billions of Inducing Inputs via Tensor Train Decomposition,How Prior Probability Influences Decision Making: A Unifying Probabilistic Model,"Pavel Izmailov, Alexander Novikov, Dmitry Kropotov","Yanping Huang, Timothy Hanks, Mike Shadlen, Abram L. Friesen, Rajesh P. Rao"
483,4252,,Speaker-independent raw waveform model for glottal excitation,Gather-Excite: Exploiting Feature Context in Convolutional Neural Networks,"Lauri Juvela, Vassilis Tsiaras, Bajibabu Bollepalli, Manu Airaksinen, Junichi Yamagishi, Paavo Alku","Jie Hu, Li Shen, Samuel Albanie, Gang Sun, Andrea Vedaldi"
222,2798,,An Online Boosting Algorithm with Theoretical Justifications,Learning Overcomplete HMMs,"Shang-Tse Chen, Hsuan-Tien Lin, Chi-Jen Lu","Vatsal Sharan, Sham M. Kakade, Percy S. Liang, Gregory Valiant"
2700,167,,Temporal-Difference Networks,Learning from Candidate Labeling Sets,"Richard S. Sutton, Brian Tanner","Jie Luo, Francesco Orabona"
918,3251,,Consistent On-Line Off-Policy Evaluation,Learning from uncertain curves: The 2-Wasserstein metric for Gaussian processes,"Assaf Hallak, Shie Mannor","Anton Mallasto, Aasa Feragen"
1752,872,,Cost-Optimal Learning of Causal Graphs,Learning Manifolds with K-Means and K-Flats,"Murat Kocaoglu, Alexandros G. Dimakis, Sriram Vishwanath","Guillermo Canas, Tomaso Poggio, Lorenzo Rosasco"
401,4373,,Counterfactual Risk Minimization: Learning from Logged Bandit Feedback,Forward Modeling for Partial Observation Strategy Games - A StarCraft Defogger,"Adith Swaminathan, Thorsten Joachims","Gabriel Synnaeve, Zeming Lin, Jonas Gehring, Dan Gant, Vegard Mella, Vasil Khalidov, Nicolas Carion, Nicolas Usunier"
3234,532,,A Geometric Approach of Gradient Descent Algorithms in Neural Networks,Nearest Neighbor based Greedy Coordinate Descent,"Yacine Chitour, Zhenyu Liao, Romain Couillet","Inderjit S. Dhillon, Pradeep K. Ravikumar, Ambuj Tewari"
2677,3566,,Multi-view learning for multivariate performance measures optimization,Attention in Convolutional LSTM for Gesture Recognition,Jim Jing-Yan Wang,"Liang Zhang, Guangming Zhu, Lin Mei, Peiyi Shen, Syed Afaq Ali Shah, Mohammed Bennamoun"
359,1524,,Supervector Compression Strategies to Speed up I-Vector System Development,Low Rank Approximation Lower Bounds in Row-Update Streams,"Ville Vestman, Tomi Kinnunen",David Woodruff
3828,1941,,Predicting tongue motion in unlabeled ultrasound videos using convolutional LSTM neural network,Max-Margin Deep Generative Models,"Chaojie Zhao, Peng Zhang, Jian Zhu, Chengrui Wu, Huaimin Wang, Kele Xu","Chongxuan Li, Jun Zhu, Tianlin Shi, Bo Zhang"
1658,281,,Tensor machines for learning target-specific polynomial features,Relaxed Clipping: A Global Training Method for Robust Regression and Classification,"Jiyan Yang, Alex Gittens","Min Yang, Linli Xu, Martha White, Dale Schuurmans, Yao-liang Yu"
