ID_A,ID_B,Title_A,Title_B,Authors_A,Authors_B
45,3456,Deep Neural Nets with Interpolating Function as Output Activation,Deep Neural Nets with Interpolating Function as Output Activation,"Bao Wang, Xiyang Luo, Zhen Li, Wei Zhu, Zuoqiang Shi, Stanley J. Osher","Bao Wang, Xiyang Luo, Zhen Li, Wei Zhu, Zuoqiang Shi, Stanley Osher"
59,4246,Hardware Conditioned Policies for Multi-Robot Transfer Learning,Hardware Conditioned Policies for Multi-Robot Transfer Learning,"Tao Chen, Adithyavairavan Murali, Abhinav Gupta","Tao Chen, Adithyavairavan Murali, Abhinav Gupta"
68,1821,Robust subspace clustering,Subspace Clustering with Irrelevant Features via Robust Dantzig Selector,"Mahdi Soltanolkotabi, Ehsan Elhamifar, Emmanuel J. Cands","Chao Qu, Huan Xu"
96,2837,Clustering processes,A Dirichlet Mixture Model of Hawkes Processes for Event Sequence Clustering,Daniil Ryabko,"Hongteng Xu, Hongyuan Zha"
101,3112,Active Learning for Decision-Making from Imbalanced Observational Data,Learning Active Learning from Data,"Iiris Sundin, Peter Schulam, Eero Siivola, Aki Vehtari, Suchi Saria, Samuel Kaski","Ksenia Konyushkova, Raphael Sznitman, Pascal Fua"
105,3731,Stochastic Variance Reduction for Nonconvex Optimization,Zeroth-Order Stochastic Variance Reduction for Nonconvex Optimization,"Sashank J. Reddi, Ahmed Hefny, Suvrit Sra, Barnabas Poczos, Alex Smola","Sijia Liu, Bhavya Kailkhura, Pin-Yu Chen, Paishun Ting, Shiyu Chang, Lisa Amini"
116,3762,GumBolt: Extending Gumbel trick to Boltzmann priors,GumBolt: Extending Gumbel trick to Boltzmann priors,"Amir H. Khoshaman, Mohammad H. Amin","Amir H. Khoshaman, Mohammad Amin"
117,1188,Learning Distributed Representations from Reviews for Collaborative Filtering,Distributed ,"Amjad Almahairi, Kyle Kastner, Kyunghyun Cho, Aaron Courville","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
117,4110,Learning Distributed Representations from Reviews for Collaborative Filtering,Distributed ,"Amjad Almahairi, Kyle Kastner, Kyunghyun Cho, Aaron Courville","Shi Li, Xiangyu Guo"
146,62,Inference-less Density Estimation using Copula Bayesian Networks,Copula Bayesian Networks,Gal Elidan,Gal Elidan
221,3344,Simple and practical algorithms for $\ell_p$-norm low-rank approximation,Approximation Algorithms for ,Anastasios Kyrillidis,"Karl Bringmann, Pavel Kolev, David Woodruff"
226,1791,Estimating Mixture Models via Mixtures of Polynomials,Estimating Mixture Models via Mixtures of Polynomials,"Sida I. Wang, Arun Tejasvi Chaganty, Percy Liang","Sida Wang, Arun Tejasvi Chaganty, Percy S. Liang"
245,965,Generalization Bounds for Domain Adaptation,Generalization Bounds for Domain Adaptation,"Chao Zhang, Lei Zhang, Jieping Ye","Chao Zhang, Lei Zhang, Jieping Ye"
273,2320,Optimal Black-Box Reductions Between Optimization Objectives,Optimal Black-Box Reductions Between Optimization Objectives,"Zeyuan Allen-Zhu, Elad Hazan","Zeyuan Allen-Zhu, Elad Hazan"
313,1367,Near-optimal sample compression for nearest neighbors,Near-optimal sample compression for nearest neighbors,"Lee-Ad Gottlieb, Aryeh Kontorovich, Pinhas Nisnevitch","Lee-Ad Gottlieb, Aryeh Kontorovich, Pinhas Nisnevitch"
318,1623,CMR motion artifact correction using generative adversarial nets,Generative Adversarial Nets,"Yunxuan Zhang, Weiliang Zhang, Qinyan Zhang, Jijiang Yang, Xiuyu Chen, Shihua Zhao","Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio"
409,2225,Stochastic Canonical Correlation Analysis,Efficient Globally Convergent Stochastic Optimization for Canonical Correlation Analysis,"Chao Gao, Dan Garber, Nathan Srebro, Jialei Wang, Weiran Wang","Weiran Wang, Jialei Wang, Dan Garber, Dan Garber, Nati Srebro"
409,3165,Stochastic Canonical Correlation Analysis,Stochastic Approximation for Canonical Correlation Analysis,"Chao Gao, Dan Garber, Nathan Srebro, Jialei Wang, Weiran Wang","Raman Arora, Teodor Vanislavov Marinov, Poorya Mianjy, Nati Srebro"
428,3549,Enhancing the Accuracy and Fairness of Human Decision Making,Enhancing the Accuracy and Fairness of Human Decision Making,"Isabel Valera, Adish Singla, Manuel Gomez Rodriguez","Isabel Valera, Adish Singla, Manuel Gomez Rodriguez"
429,226,Tight Sample Complexity of Large-Margin Learning,Tight Sample Complexity of Large-Margin Learning,"Sivan Sabato, Nathan Srebro, Naftali Tishby","Sivan Sabato, Nathan Srebro, Naftali Tishby"
451,3801,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,"Ye Jia, Yu Zhang, Ron J. Weiss, Quan Wang, Jonathan Shen, Fei Ren, Zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu","Ye Jia, Yu Zhang, Ron Weiss, Quan Wang, Jonathan Shen, Fei Ren, zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu"
