ID,Title,Authors,Date,Journal-ref
0,The Benefits of Over-parameterization at Initialization in Deep ReLU Networks,"Devansh Arpit, Yoshua Bengio","12 March, 2019",
1,Enabling Early Audio Event Detection with Neural Networks,"Huy Phan, Philipp Koch, Ian McLoughlin, Alfred Mertins","6 April, 2019","Published in Proceedings of 43rd IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), pp. 141-145, 2018"
2,Adversarially Trained Model Compression: When Robustness Meets Efficiency,"Shupeng Gui, Haotao Wang, Chen Yu, Haichuan Yang, Zhangyang Wang, Ji Liu","9 February, 2019",
3,Analysis of Gradient-Based Expectation-Maximization-Like Algorithms via Integral Quadratic Constraints,"Sarthak Chatterjee, Orlando Romero, Srgio Pequito","3 March, 2019",
4,Optimal Completion Distillation for Sequence Learning,"Sara Sabour, William Chan, Mohammad Norouzi","14 January, 2019",
5,DCM Bandits: Learning to Rank with Multiple Clicks,"Sumeet Katariya, Branislav Kveton, Csaba Szepesvri, Zheng Wen","31 May, 2016",
6,Time Series Segmentation through Automatic Feature Learning,"Wei-Han Lee, Jorge Ortiz, Bongjun Ko, Ruby Lee","26 January, 2018",
7,Convolutional Neural Networks for Page Segmentation of Historical Document Images,"Kai Chen, Mathias Seuret","7 April, 2017",
8,Forward-Backward Stochastic Neural Networks: Deep Learning of High-dimensional Partial Differential Equations,Maziar Raissi,"19 April, 2018",
9,BPR: Bayesian Personalized Ranking from Implicit Feedback,"Steffen Rendle, Christoph Freudenthaler, Zeno Gantner, Lars Schmidt-Thieme","9 May, 2012",
10,Model-Based Reinforcement Learning for Atari,"Lukasz Kaiser, Mohammad Babaeizadeh, Piotr Milos, Blazej Osinski, Roy H Campbell, Konrad Czechowski, Dumitru Erhan, Chelsea Finn, Piotr Kozakowski, Sergey Levine, Ryan Sepassi, George Tucker, Henryk Michalewski","5 March, 2019",
11,Faster K-Means Cluster Estimation,"Siddhesh Khandelwal, Amit Awekar","17 January, 2017",
12,Neural Networks in Adversarial Setting and Ill-Conditioned Weight Space,"Mayank Singh, Abhishek Sinha, Balaji Krishnamurthy","3 January, 2018",
