ID,Title,Authors,Date,Journal-ref
0,Repeated Games against Budgeted Adversaries,"Jacob D. Abernethy, Manfred K. Warmuth",December 2010,Neurips 2010
1,Towards Property-Based Classification of Clustering Paradigms,"Margareta Ackerman, Shai Ben-David, David Loker",December 2010,Neurips 2010
2,Tree-Structured Stick Breaking for Hierarchical Data,"Zoubin Ghahramani, Michael I. Jordan, Ryan P. Adams",December 2010,Neurips 2010
3,Sparse Instrumental Variables (SPIV) for Genome-Wide Studies,"Paul Mckeigue, Jon Krohn, Amos J. Storkey, Felix V. Agakov",December 2010,Neurips 2010
4,Fast global convergence rates of gradient methods for high-dimensional statistical recovery,"Alekh Agarwal, Sahand Negahban, Martin J. Wainwright",December 2010,Neurips 2010
5,Learning Multiple Tasks using Manifold Regularization,"Arvind Agarwal, Samuel Gerber, Hal Daume",December 2010,Neurips 2010
6,Switched Latent Force Models for Movement Segmentation,"Mauricio Alvarez, Jan R. Peters, Neil D. Lawrence, Bernhard Schlkopf",December 2010,Neurips 2010
7,A POMDP Extension with Belief-dependent Rewards,"Mauricio Araya, Olivier Buffet, Vincent Thomas, Francois Charpillet",December 2010,Neurips 2010
8,Global seismic monitoring as probabilistic inference,"Nimar Arora, Stuart J. Russell, Paul Kidwell, Erik B. Sudderth",December 2010,Neurips 2010
9,Learning invariant features using the Transformed Indian Buffet Process,"Joseph L. Austerweil, Thomas L. Griffiths",December 2010,Neurips 2010
10,Supervised Clustering,"Pranjal Awasthi, Reza B. Zadeh",December 2010,Neurips 2010
11,Occlusion Detection and Motion Estimation with Convex Optimization,"Alper Ayvaci, Michalis Raptis, Stefano Soatto",December 2010,Neurips 2010
12,Batch Bayesian Optimization via Simulation Matching,"Javad Azimi, Alan Fern, Xiaoli Z. Fern",December 2010,Neurips 2010
13,Structured sparsity-inducing norms through submodular functions,Francis R. Bach,December 2010,Neurips 2010
14,A Bayesian Approach to Concept Drift,"Stephen Bach, Mark Maloof",December 2010,Neurips 2010
15,Auto-Regressive HMM Inference with Incomplete Data for Short-Horizon Wind Forecasting,"Chris Barber, Joseph Bockhorst, Paul Roebber",December 2010,Neurips 2010
16,The LASSO risk: asymptotic results and real world examples,"Mohsen Bayati, Jos Pereira, Andrea Montanari",December 2010,Neurips 2010
17,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,"Gowtham Bellala, Suresh Bhavnani, Clayton Scott",December 2010,Neurips 2010
18,Label Embedding Trees for Large Multi-Class Tasks,"Samy Bengio, Jason Weston, David Grangier",December 2010,Neurips 2010
19,Learning Networks of Stochastic Differential Equations,"Jos Pereira, Morteza Ibrahimi, Andrea Montanari",December 2010,Neurips 2010
20,Exploiting weakly-labeled Web images to improve object classification: a domain adaptation approach,"Alessandro Bergamo, Lorenzo Torresani",December 2010,Neurips 2010
21,Online Classification with Specificity Constraints,"Andrey Bernstein, Shie Mannor, Nahum Shimkin",December 2010,Neurips 2010
22,Agnostic Active Learning Without Constraints,"Alina Beygelzimer, Daniel J. Hsu, John Langford, Tong Zhang",December 2010,Neurips 2010
23,Inference with Multivariate Heavy-Tails in Linear Models,"Danny Bickson, Carlos Guestrin",December 2010,Neurips 2010
24,CUR from a Sparse Optimization Viewpoint,"Jacob Bien, Ya Xu, Michael W. Mahoney",December 2010,Neurips 2010
25,Optimal learning rates for Kernel Conjugate Gradient regression,"Gilles Blanchard, Nicole Krmer",December 2010,Neurips 2010
26,Simultaneous Object Detection and Ranking with Weak Supervision,"Matthew Blaschko, Andrea Vedaldi, Andrew Zisserman",December 2010,Neurips 2010
27,Kernel Descriptors for Visual Recognition,"Liefeng Bo, Xiaofeng Ren, Dieter Fox",December 2010,Neurips 2010
28,Fractionally Predictive Spiking Neurons,"Jaldert Rombouts, Sander M. Bohte",December 2010,Neurips 2010
29,Gaussian Process Preference Elicitation,"Shengbo Guo, Scott Sanner, Edwin V. Bonilla",December 2010,Neurips 2010
30,Predictive State Temporal Difference Learning,"Byron Boots, Geoffrey J. Gordon",December 2010,Neurips 2010
31,Variational Inference over Combinatorial Spaces,"Alexandre Bouchard-ct, Michael I. Jordan",December 2010,Neurips 2010
32,Bootstrapping Apprenticeship Learning,"Abdeslam Boularias, Brahim Chaib-draa",December 2010,Neurips 2010
33,Random Projections for ,"Christos Boutsidis, Anastasios Zouzias, Petros Drineas",December 2010,Neurips 2010
34,Segmentation as Maximum-Weight Independent Set,"William Brendel, Sinisa Todorovic",December 2010,Neurips 2010
35,Computing Marginal Distributions over Continuous Markov Networks for Statistical Relational Learning,"Matthias Broecheler, Lise Getoor",December 2010,Neurips 2010
36,Multi-label Multiple Kernel Learning by Stochastic Approximation: Application to Visual Object Recognition,"Serhat Bucak, Rong Jin, Anil K. Jain",December 2010,Neurips 2010
37,Learning concept graphs from text with stick-breaking priors,"America Chambers, Padhraic Smyth, Mark Steyvers",December 2010,Neurips 2010
38,Rates of convergence for the cluster tree,"Kamalika Chaudhuri, Sanjoy Dasgupta",December 2010,Neurips 2010
39,Evidence-Specific Structures for Rich Tractable CRFs,"Anton Chechetka, Carlos Guestrin",December 2010,Neurips 2010
40,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach,"Ning Chen, Jun Zhu, Eric P. Xing",December 2010,Neurips 2010
41,Two-Layer Generalization Analysis for Ranking Using Rademacher Average,"Wei Chen, Tie-yan Liu, Zhi-ming Ma",December 2010,Neurips 2010
42,"SpikeAnts, a spiking neuron network modelling the emergence of organization in a complex system","Sylvain Chevallier, Hl\`ene Paugam-moisy, Michele Sebag",December 2010,Neurips 2010
43,Movement extraction by detecting dynamics switches and repetitions,"Silvia Chiappa, Jan R. Peters",December 2010,Neurips 2010
44,Learning sparse dynamic linear systems using stable spline kernels and exponential hyperpriors,"Alessandro Chiuso, Gianluigi Pillonetto",December 2010,Neurips 2010
45,Universal Kernels on Non-Standard Input Spaces,"Andreas Christmann, Ingo Steinwart",December 2010,Neurips 2010
46,Causal discovery in multiple models from different experiments,"Tom Claassen, Tom Heskes",December 2010,Neurips 2010
47,Empirical Risk Minimization with Approximations of Probabilistic Grammars,"Noah A. Smith, Shay B. Cohen",December 2010,Neurips 2010
48,Mixture of time-warped trajectory models for movement decoding,"Elaine Corbett, Eric Perreault, Konrad Koerding",December 2010,Neurips 2010
49,Learning Bounds for Importance Weighting,"Corinna Cortes, Yishay Mansour, Mehryar Mohri",December 2010,Neurips 2010
50,Learning via Gaussian Herding,"Koby Crammer, Daniel D. Lee",December 2010,Neurips 2010
51,Spatial and anatomical regularization of SVM for brain image analysis,"Remi Cuingnet, Marie Chupin, Habib Benali, Olivier Colliot",December 2010,Neurips 2010
52,Phone Recognition with the Mean-Covariance Restricted Boltzmann Machine,"George Dahl, Marc'aurelio Ranzato, Abdel-rahman Mohamed, Geoffrey E. Hinton",December 2010,Neurips 2010
53,Co-regularization Based Semi-supervised Domain Adaptation,"Abhishek Kumar, Avishek Saha, Hal Daume",December 2010,Neurips 2010
54,Spectral Regularization for Support Estimation,"Ernesto D. Vito, Lorenzo Rosasco, Alessandro Toigo",December 2010,Neurips 2010
55,Random Projection Trees Revisited,"Aman Dhesi, Purushottam Kar",December 2010,Neurips 2010
56,Throttling Poisson Processes,"Uwe Dick, Peter Haider, Thomas Vanck, Michael Brckner, Tobias Scheffer",December 2010,Neurips 2010
57,t-logistic regression,"Nan Ding, S.v.n. Vishwanathan",December 2010,Neurips 2010
58,Implicit Differentiation by Perturbation,Justin Domke,December 2010,Neurips 2010
59,Nonparametric Bayesian Policy Priors for Reinforcement Learning,"Finale Doshi-velez, David Wingate, Nicholas Roy, Joshua B. Tenenbaum",December 2010,Neurips 2010
60,Over-complete representations on recurrent neural networks can support persistent percepts,"Shaul Druckmann, Dmitri B. Chklovskii",December 2010,Neurips 2010
61,Distributed Dual Averaging In Networks,"Alekh Agarwal, Martin J. Wainwright, John C. Duchi",December 2010,Neurips 2010
62,Copula Bayesian Networks,Gal Elidan,December 2010,Neurips 2010
63,Error Propagation for Approximate Policy and Value Iteration,"Amir-massoud Farahmand, Csaba Szepesvri, Rmi Munos",December 2010,Neurips 2010
64,A Computational Decision Theory for Interactive Assistants,"Alan Fern, Prasad Tadepalli",December 2010,Neurips 2010
65,Parametric Bandits: The Generalized Linear Case,"Sarah Filippi, Olivier Cappe, Aurlien Garivier, Csaba Szepesvri",December 2010,Neurips 2010
66,A Novel Kernel for Learning a Neuron Model from Spike Train Data,"Nicholas Fisher, Arunava Banerjee",December 2010,Neurips 2010
67,Extended Bayesian Information Criteria for Gaussian Graphical Models,"Rina Foygel, Mathias Drton",December 2010,Neurips 2010
68,Shadow Dirichlet for Restricted Probability Modeling,"Bela Frigyik, Maya Gupta, Yihua Chen",December 2010,Neurips 2010
69,Size Matters: Metric Visual Search Constraints from Monocular Metadata,"Mario Fritz, Kate Saenko, Trevor Darrell",December 2010,Neurips 2010
70,A Bayesian Framework for Figure-Ground Interpretation,"Vicky Froyen, Jacob Feldman, Manish Singh",December 2010,Neurips 2010
71,Attractor Dynamics with Synaptic Depression,"K. Wong, He Wang, Si Wu, Chi Fung",December 2010,Neurips 2010
72,Learning Kernels with Radiuses of Minimum Enclosing Balls,"Kun Gai, Guangyun Chen, Chang-shui Zhang",December 2010,Neurips 2010
73,Implicit encoding of prior probabilities in optimal neural populations,"Deep Ganguli, Eero P. Simoncelli",December 2010,Neurips 2010
74,Short-term memory in neuronal networks through dynamical compressed sensing,"Surya Ganguli, Haim Sompolinsky",December 2010,Neurips 2010
75,Group Sparse Coding with a Laplacian Scale Mixture Prior,"Pierre Garrigues, Bruno A. Olshausen",December 2010,Neurips 2010
76,Improvements to the Sequence Memoizer,"Jan Gasthaus, Yee W. Teh",December 2010,Neurips 2010
77,On Herding and the Perceptron Cycling Theorem,"Andrew Gelfand, Yutian Chen, Laurens Maaten, Max Welling",December 2010,Neurips 2010
78,"Rescaling, thinning or complementing? On goodness-of-fit procedures for point process models and Generalized Linear Models","Felipe Gerhard, Wulfram Gerstner",December 2010,Neurips 2010
79,The Neural Costs of Optimal Control,"Samuel Gershman, Robert Wilson",December 2010,Neurips 2010
80,LSTD with Random Projections,"Mohammad Ghavamzadeh, Alessandro Lazaric, Odalric Maillard, Rmi Munos",December 2010,Neurips 2010
81,"Humans Learn Using Manifolds, Reluctantly","Tim Rogers, Chuck Kalish, Joseph Harrison, Jerry Zhu, Bryan R. Gibson",December 2010,Neurips 2010
82,Universal Consistency of Multi-Class Support Vector Classification,Tobias Glasmachers,December 2010,Neurips 2010
83,Learning Efficient Markov Networks,"Vibhav Gogate, William Webb, Pedro Domingos",December 2010,Neurips 2010
84,Transduction with Matrix Completion: Three Birds with One Stone,"Andrew Goldberg, Ben Recht, Junming Xu, Robert Nowak, Jerry Zhu",December 2010,Neurips 2010
85,Near-Optimal Bayesian Active Learning with Noisy Observations,"Daniel Golovin, Andreas Krause, Debajyoti Ray",December 2010,Neurips 2010
86,Discriminative Clustering by Regularized Information Maximization,"Andreas Krause, Pietro Perona, Ryan G. Gomes",December 2010,Neurips 2010
87,Learning to localise sounds with spiking neural networks,"Dan Goodman, Romain Brette",December 2010,Neurips 2010
88,Feature Set Embedding for Incomplete Data,"David Grangier, Iain Melvin",December 2010,Neurips 2010
89,Active Instance Sampling via Matrix Partition,Yuhong Guo,December 2010,Neurips 2010
90,Avoiding False Positive in Multi-Instance Learning,"Yanjun Han, Qing Tao, Jue Wang",December 2010,Neurips 2010
91,Nonparametric Density Estimation for Stochastic Optimization with an Observable State Variable,"Lauren Hannah, Warren Powell, David M. Blei",December 2010,Neurips 2010
92,Space-Variant Single-Image Blind Deconvolution for Removing Camera Shake,"Stefan Harmeling, Hirsch Michael, Bernhard Schlkopf",December 2010,Neurips 2010
93,A Primal-Dual Message-Passing Algorithm for Approximated Large Scale Structured Prediction,"Tamir Hazan, Raquel Urtasun",December 2010,Neurips 2010
94,An Inverse Power Method for Nonlinear Eigenproblems with Applications in 1-Spectral Clustering and Sparse PCA,"Matthias Hein, Thomas Bhler",December 2010,Neurips 2010
95,Online Learning for Latent Dirichlet Allocation,"Matthew Hoffman, Francis R. Bach, David M. Blei",December 2010,Neurips 2010
96,Latent Variable Models for Predicting File Dependencies in Large-Scale Software Development,"Diane Hu, Laurens Maaten, Youngmin Cho, Sorin Lerner, Lawrence K. Saul",December 2010,Neurips 2010
97,Exact inference and learning for cumulative distribution functions on loopy graphs,"Nebojsa Jojic, Chris Meek, Jim C. Huang",December 2010,Neurips 2010
98,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression,"Ling Huang, Jinzhu Jia, Bin Yu, Byung-gon Chun, Petros Maniatis, Mayur Naik",December 2010,Neurips 2010
99,Active Learning by Querying Informative and Representative Examples,"Sheng-jun Huang, Rong Jin, Zhi-hua Zhou",December 2010,Neurips 2010
100,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,"Dirk Husmeier, Frank Dondelinger, Sophie Lebre",December 2010,Neurips 2010
101,Deciphering subsampled data: adaptive compressive sampling as a principle of brain communication,"Guy Isely, Christopher Hillar, Fritz Sommer",December 2010,Neurips 2010
102,Dynamic Infinite Relational Model for Time-varying Relational Data Analysis,"Katsuhiko Ishiguro, Tomoharu Iwata, Naonori Ueda, Joshua B. Tenenbaum",December 2010,Neurips 2010
103,Hashing Hyperplane Queries to Near Points with Applications to Large-Scale Active Learning,"Prateek Jain, Sudheendra Vijayanarasimhan, Kristen Grauman",December 2010,Neurips 2010
104,Guaranteed Rank Minimization via Singular Value Projection,"Prateek Jain, Raghu Meka, Inderjit S. Dhillon",December 2010,Neurips 2010
105,Inductive Regularized Learning of Kernel Functions,"Prateek Jain, Brian Kulis, Inderjit S. Dhillon",December 2010,Neurips 2010
106,MAP estimation in Binary MRFs via Bipartite Multi-cuts,"Sashank J. Reddi, Sunita Sarawagi, Sundar Vishwanathan",December 2010,Neurips 2010
107,A Dirty Model for Multi-task Learning,"Ali Jalali, Sujay Sanghavi, Chao Ruan, Pradeep K. Ravikumar",December 2010,Neurips 2010
108,Lifted Inference Seen from the Other Side : The Tractable Features,"Abhay Jha, Vibhav Gogate, Alexandra Meliou, Dan Suciu",December 2010,Neurips 2010
109,Factorized Latent Spaces with Structured Sparsity,"Yangqing Jia, Mathieu Salzmann, Trevor Darrell",December 2010,Neurips 2010
110,Bayesian Action-Graph Games,"Albert X. Jiang, Kevin Leyton-brown",December 2010,Neurips 2010
111,On a Connection between Importance Sampling and the Likelihood Ratio Policy Gradient,"Tang Jie, Pieter Abbeel",December 2010,Neurips 2010
112,Linear Complementarity for Regularized Policy Evaluation and Improvement,"Jeffrey Johns, Christopher Painter-wakefield, Ronald Parr",December 2010,Neurips 2010
113,Synergies in learning words and their referents,"Mark Johnson, Katherine Demuth, Bevan Jones, Michael J. Black",December 2010,Neurips 2010
114,Structural epitome: a way to summarize ones visual experience,"Nebojsa Jojic, Alessandro Perina, Vittorio Murino",December 2010,Neurips 2010
115,Probabilistic Belief Revision with Structural Constraints,"Peter Jones, Venkatesh Saligrama, Sanjoy Mitter",December 2010,Neurips 2010
116,Efficient Optimization for Discriminative Latent Class Models,"Armand Joulin, Jean Ponce, Francis R. Bach",December 2010,Neurips 2010
117,Non-Stochastic Bandit Slate Problems,"Satyen Kale, Lev Reyzin, Robert E. Schapire",December 2010,Neurips 2010
118,Static Analysis of Binary Executables Using Structural SVMs,Nikos Karampatziakis,December 2010,Neurips 2010
119,Using body-anchored priors for identifying actions in single images,"Leonid Karlinsky, Michael Dinerstein, Shimon Ullman",December 2010,Neurips 2010
120,Effects of Synaptic Weight Diffusion on Learning in Decision Making Networks,"Kentaro Katahira, Kazuo Okanoya, Masato Okada",December 2010,Neurips 2010
121,Learning Convolutional Feature Hierarchies for Visual Recognition,"Koray Kavukcuoglu, Pierre Sermanet, Y-lan Boureau, Karol Gregor, Michael Mathieu, Yann L. Cun",December 2010,Neurips 2010
122,Accounting for network effects in neuronal responses using L1 regularized point process models,"Ryan Kelly, Matthew Smith, Robert Kass, Tai S. Lee",December 2010,Neurips 2010
123,Variational bounds for mixed-data factor analysis,"Mohammad E. Khan, Guillaume Bouchard, Kevin P. Murphy, Benjamin M. Marlin",December 2010,Neurips 2010
124,Sparse Coding for Learning Interpretable Spatio-Temporal Primitives,"Taehwan Kim, Gregory Shakhnarovich, Raquel Urtasun",December 2010,Neurips 2010
125,Regularized estimation of image statistics by Score Matching,"Durk P. Kingma, Yann L. Cun",December 2010,Neurips 2010
