ID_A,ID_B,Title_A,Title_B,Authors_A,Authors_B
404,2044,Efficient Structured Parsing of Facades Using Dynamic Programming,Target Aware Network Adaptation for Efficient Representation Learning,"Cohen, Andrea and Schwing, Alexander G. and Pollefeys, Marc","Yang Zhong, Vladimir Li, Ryuzo Okada, Atsuto Maki"
2923,5838,CLEAR: Cumulative LEARning for One-Shot One-Class Image Recognition,Seed-Point Detection of Clumped Convex Objects by Short-Range Attractive Long-Range Repulsive Particle Clustering,"Kozerawski, Jedrzej and Turk, Matthew","James Kapaldo, Xu Han, Domingo Mery"
1787,977,Local Binary Convolutional Neural Networks,A Novel Integrated Framework for Learning both Text Detection and Recognition,"Juefei-Xu, Felix and Naresh Boddeti, Vishnu and Savvides, Marios","Wanchen Sui, Qing Zhang, Jun Yang, Wei Chu"
1306,8892,Geometry-Informed Material Recognition,Separation of Water and Fat Magnetic Resonance Imaging Signals Using Deep Learning with Convolutional Neural Networks,"DeGol, Joseph and Golparvar-Fard, Mani and Hoiem, Derek",James W Goldfarb
3419,6255,Nonlocal Low-Rank Tensor Factor Analysis for Image Restoration,Transferable Joint Attribute-Identity Deep Learning for Unsupervised Person Re-Identification,"Zhang, Xinyuan and Yuan, Xin and Carin, Lawrence","Jingya Wang, Xiatian Zhu, Shaogang Gong, Wei Li"
3140,7259,Continuous Relaxation of MAP Inference: A Nonconvex Perspective,Highly accurate model for prediction of lung nodule malignancy with CT scans,"Khu L-Huu, D. and Paragios, Nikos","Jason Causey, Junyu Zhang, Shiqian Ma, Bo Jiang, Jake Qualls, David G. Politte, Fred Prior, Shuzhong Zhang, Xiuzhen Huang"
2305,9503,Generating Descriptions With Grounded and Co-Referenced People,A Fast Algorithm Based on a Sylvester-like Equation for LS Regression with GMRF Prior,"Rohrbach, Anna and Rohrbach, Marcus and Tang, Siyu and Joon Oh, Seong and Schiele, Bernt","Qi Wei, Emilie Chouzenoux, Jean-Yves Tourneret, Jean-Christophe Pesquet"
2943,4923,Self-Supervised Learning of Geometrically Stable Features Through Probabilistic Introspection,Particle Filter Networks with Application to Visual Localization,"Novotny, David and Albanie, Samuel and Larlus, Diane and Vedaldi, Andrea","Peter Karkus, David Hsu, Wee Sun Lee"
2850,5820,LDMNet: Low Dimensional Manifold Regularized Neural Networks,MelanoGANs: High Resolution Skin Lesion Synthesis with GANs,"Zhu, Wei and Qiu, Qiang and Huang, Jiaji and Calderbank, Robert and Sapiro, Guillermo and Daubechies, Ingrid","Christoph Baur, Shadi Albarqouni, Nassir Navab"
64,3688,Finding Vanishing Points via Point Alignments in Image Primal and Dual Domains,Rectification from Radially-Distorted Scales,"Lezama, Jose and Grompone von Gioi, Rafael and Randall, Gregory and Morel, Jean-Michel","James Pritts, Zuzana Kukelova, Viktor Larsson, Ondrej Chum"
877,1911,Image Partitioning Into Convex Polygons,Vision-based Navigation of Autonomous Vehicle in Roadway Environments with Unexpected Hazards,"Duan, Liuyun and Lafarge, Florent","Mhafuzul Islam, Mahsrur Chowdhury, Hongda Li, Hongxin Hu"
3174,4241,DeLS-3D: Deep Localization and Segmentation With a 3D Semantic Map,Hide and Seek tracker: Real-time recovery from target loss,"Wang, Peng and Yang, Ruigang and Cao, Binbin and Xu, Wei and Lin, Yuanqing","Alessandro Bay, Panagiotis Sidiropoulos, Eduard Vazquez, Michele Sasdelli"
1000,6883,Mining Semantic Affordances of Visual Object Categories,Classification of breast cancer histology images using transfer learning,"Chao, Yu-Wei and Wang, Zhan and Mihalcea, Rada and Deng, Jia","Sulaiman Vesal, Nishant Ravikumar, AmirAbbas Davari, Stephan Ellmann, Andreas Maier"
