ID_A,ID_B,Flag,Title_A,Title_B,Authors_A,Authors_B
43,7407,,Efficient Hierarchical Graph-Based Segmentation of RGBD Videos,Efficient Hierarchical Graph-Based Segmentation of RGBD Videos,"Hickson, Steven and Birchfield, Stan and Essa, Irfan and Christensen, Henrik","Steven Hickson, Stan Birchfield, Irfan Essa, Henrik Christensen"
224,9546,,A Hierarchical Probabilistic Model for Facial Feature Detection,A Hierarchical Probabilistic Model for Facial Feature Detection,"Wu, Yue and Wang, Ziheng and Ji, Qiang","Yue Wu, Ziheng Wang, Qiang Ji"
236,3739,0,Discriminative Deep Metric Learning for Face Verification in the Wild,Deep Learning in the Wild,"Hu, Junlin and Lu, Jiwen and Tan, Yap-Peng","Thilo Stadelmann, Mohammadreza Amirian, Ismail Arabaci, Marek Arnold, Gilbert Franois Duivesteijn, Ismail Elezi, Melanie Geiger, Stefan Lrwald, Benjamin Bruno Meier, Katharina Rombach, Lukas Tuggener"
260,9977,,In Search of Inliers: 3D Correspondence by Local and Global Voting,In search of inliers: 3d correspondence by local and global voting,"Glent Buch, Anders and Yang, Yang and Kruger, Norbert and Gordon Petersen, Henrik","Anders Glent Buch, Yang Yang, Norbert Krger, Henrik Gordon Petersen"
411,5620,0,Parallax-tolerant Image Stitching,Graph-based Hypothesis Generation for Parallax-tolerant Image Stitching,"Zhang, Fan and Liu, Feng","Jing Chen, Nan Li, Tianli Liao"
556,6509,0,Structural Sparse Tracking,Patchwise object tracking via structural local sparse appearance model,"Zhang, Tianzhu and Liu, Si and Xu, Changsheng and Yan, Shuicheng and Ghanem, Bernard and Ahuja, Narendra and Yang, Ming-Hsuan","Hossein Kashiyani, Shahriar B. Shokouhi"
587,4937,0,Deformable Part Models are Convolutional Neural Networks,Deformable Part Networks,"Girshick, Ross and Iandola, Forrest and Darrell, Trevor and Malik, Jitendra","Ziming Zhang, Rongmei Lin, Alan Sullivan"
627,5691,0,Sparse Convolutional Neural Networks,IGCV$2$: Interleaved Structured Sparse Convolutional Neural Networks,"Liu, Baoyuan and Wang, Min and Foroosh, Hassan and Tappen, Marshall and Pensky, Marianna","Guotian Xie, Jingdong Wang, Ting Zhang, Jianhuang Lai, Richang Hong, Guo-Jun Qi"
678,9656,0,DeepShape: Deep Learned Shape Descriptor for 3D Shape Matching and Retrieval,Deep Shape Matching,"Xie, Jin and Fang, Yi and Zhu, Fan and Wong, Edward","Filip Radenovi, Giorgos Tolias, Ondej Chum"
911,5582,0,Fully Convolutional Networks for Semantic Segmentation,Fully Convolutional Adaptation Networks for Semantic Segmentation,"Long, Jonathan and Shelhamer, Evan and Darrell, Trevor","Yiheng Zhang, Zhaofan Qiu, Ting Yao, Dong Liu, Tao Mei"
911,9690,0,Fully Convolutional Networks for Semantic Segmentation,An Adaptive Sampling Scheme to Efficiently Train Fully Convolutional Networks for Semantic Segmentation,"Long, Jonathan and Shelhamer, Evan and Darrell, Trevor","Lorenz Berger, Eoin Hyde, M. Jorge Cardoso, Sebastien Ourselin"
