ID_A,ID_B,Flag,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
sKy6hBUvpQgJ,conf/sigmod/ChangC01,,Nested Relation Based Database Knowledge Representation,PBIR - Perception-Based Image Retrieval,,2001,"Q Chen, Y Kambayashi","E Chang, T Cheng, L Chang"
7k3kusIp0DcJ,journals/sigmod/Winslett01,,Virtual Hashing Dynamically Changing Hashing,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More",,2001,W Lltwm,
--3ZzSMFdA0J,conf/sigmod/StoltePAG03,,"Molina, R. Aranha, and Y. Cho. Extracting semistructured information from the Web",Scientific Data Repositories: Designing for a Moving Target,,2003,"J Hammer, H Garcia","E Stolte, C Praun, G Alonso, T Gross"
36dVb8JtKlcJ,conf/vldb/WaasCB01,,Specific Features of a Deductive Object-Oriented Database Language Ã?Ã?Ã? Ã?Ã?,FeedbackBypass: A New Approach to Interactive Similarity Query Processing,,2001,"K Yokota, H Tsuda, Y Morita","I Bartolini, P Ciaccia, F Waas"
jTVvZO4O0fgJ,journals/sigmod/AdelbergKG96,,Gonadotrophin therapy for ovulation induction in subfertility associated with polycystic ovary  ,Overview of the STanford Real-time Information Processor (STRIP),2000,1996,"D Nugent, P Vandekerckhove, E Hughes, M Arnot, R  ","B Adelberg, B Kao, H Garcia-Molina"
Baan0MNkk5cJ,journals/sigmod/EnglertGH95,,Ethnic soccer clubs in Milwaukee: a study in assimilation,Parallelism and its Price: A Case Study of NonStop SQL/MP,1968,1995,JC Pooley,"S Englert, R Glasstone, W Hasan"
mQG4cL55UJAJ,journals/sigmod/SegevJS95,,qE. 1994. The changing office,Report on The 1995 International Workshop on Temporal Databases,,1995,PC MAG,
i_Y_iwhLIN8J,conf/vldb/DarFJST96,,M&amp;M-Query: Database support for the annotation and retrieval of biological research articles,Semantic Data Caching and Replacement,1993,1996,"K Baclawski, N Fridman","S Dar, M Franklin, B Jѓnsson, D Srivastava, M Tan"
url:http://www.springerlink.com/index/X15P702771Q66148.pdf,journals/sigmod/GalianoM03,,Bootstrapping to Assess and Improve Atmospheric Prediction Models,"Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999",2000,2003,JS Rao,
YyHEBqa6ZNAJ,conf/sigmod/KabraD98,,Extendible hashing---a fast access method for dynamic files,Efficient Mid-Query Re-Optimization of Sub-Optimal Query Execution Plans,1979,1998,"R Fagin, J Nievergelt, N Pippenger, HR Strong","N Kabra, D DeWitt"
e_GWA7uXFncJ,conf/vldb/TaoP02,,"Terminal-terminal handler commands, European Informatics Network",Adaptive Index Structures,,2002,P SCHICKER,"Y Tao, D Papadias"
DyAiW_MK79AJ,journals/sigmod/BrunieK96,,&quot; Festivals of Light:&quot; A Multicultural Celebration in Brooklyn,Control Strategies for Complex Relational Query Processing in Shared Nothing Systems,1997,1996,"JY Singer, A Singer","L Brunie, H Kosch"
q4lshO6Nr_MJ,conf/vldb/Uhl02,,How to do high-speed multicast right!,A Bandwidth Model for Internet Search,2001,2002,"G Doerries, L Zier",A Uhl
Kl3gijLY93sJ,journals/sigmod/EisenbergM00,,The underspecification of Number and the licensing of root infinitives,SQL Standardization: The Next Steps,,2000,"T Hoekstra, N Hyams, M Becker","A Eisenberg, J Melton"
