ID_A,ID_B,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
VJIHPbki2uAJ,conf/sigmod/RamaswamyRS00,Efficient Algorithms for Mining Outliers from Large Data Sets,Efficient Algorithms for Mining Outliers from Large Data Sets,2000.0,2000,S Ramaswamy,"S Ramaswamy, R Rastogi, K Shim"
uA-E1lBgLe0J,journals/sigmod/RamDD99,Distributed Transactions in Practice,Distributed Transactions in Practice,1999.0,1999,"P Ram, L Do, P Drew","P Ram, L Do, P Drew"
fTbCV3Lh8W0J,conf/sigmod/LaursenOP94,Oracle Media Server: Providing Consumer Based Interactive Access to Multimedia Data,Oracle Media Server: Providing Consumer Based Interactive Access to Multimedia Data,1994.0,1994,"A Laursen, J Olkin, M Porter","A Laursen, J Olkin, M Porter"
GXApzwcGl78J,journals/sigmod/BohmR94,Metadata for Multimedia Documents,Metadata for Multimedia Documents,1994.0,1994,"K BShm, TC Rakow","K Bіhm, T Rakow"
u7rv6LAF8s8J,conf/sigmod/ConsensM94,Optimizing Queries on Files,Optimizing Queries on Files,,1994,MP Consens,"M Consens, T Milo"
VlRO0WwUy3wJ,conf/sigmod/HellersteinA00,Eddies: Continuously Adaptive Query Processing,Eddies: Continuously Adaptive Query Processing,,2000,"JM Hellerstein, R Avnur","R Avnur, J Hellerstein"
4bvjebYsdRkJ,conf/vldb/YuAA03,Tabular Placement of Relational Data on MEMS-based Storage Devices,Tabular Placement of Relational Data on MEMS-based Storage Devices,2003.0,2003,"H Yu, D Agrawal","H Yu, D Agrawal, A Abbadi"
LOXd8JPfhpwJ,journals/sigmod/BurtonM98,Applications of the JAVA Programming Language to Database Management,Applications of the JAVA Programming Language to Database Management,1998.0,1998,"BF Burton, VW Marek","B Burton, V Marek"
c0TSepqRwwMJ,journals/sigmod/DoanPK95,Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,1995.0,1995,"DK Doan, NW Paton, A Kilgour","D Doan, N Paton, A Kilgour"
hJ8VP7FyOL0J,conf/vldb/PapadiasZMT03,Query Processing in Spatial Network Databases,Query Processing in Spatial Network Databases,2003.0,2003,"D Papadias, J Zhang, N Mamoulis, Y Tao","D Papadias, J Zhang, N Mamoulis, Y Tao"
wJTN8d8md7oJ,conf/sigmod/WangTYGWP02,"COMMIX: towards effective web information extraction, integration and query answering","COMMIX: towards effective web information extraction, integration and query answering",2002.0,2002,portal.acm.org,"T Wang, S Tang, D Yang, J Gao, Y Wu, J Pei"
q8MxrLeFlz8J,journals/sigmod/BunemanLSTW94,Comprehension Syntax,Comprehension Syntax,,1994,"LL PeterBuneman, D Suciu, V Tannen, L Wong","P Buneman, L Libkin, D Suciu, V Tannen, L Wong"
qX-uYKXVk7EJ,conf/vldb/LuTD95,The Fittest Survives: An Adaptive Approach to Query Optimization,The Fittest Survives: An Adaptive Approach to Query Optimization,1995.0,1995,"H Lu, KL Tan, S Dao","H Lu, K Tan, S Dao"
DYZlq4rntjwJ,conf/vldb/PossP03,Data Compression in Oracle,Data Compression in Oracle,2003.0,2003,"M Poess, D Potapov","M Pіss, D Potapov"
wJjaZnzD6pAJ,conf/vldb/TengCY03,A Regression-Based Temporal Pattern Mining Scheme for Data Streams,A Regression-Based Temporal Pattern Mining Scheme for Data Streams,2003.0,2003,"WG Teng, MS Chen, PS Yu","W Teng, M Chen, P Yu"
zSvWnSVwLUYJ,conf/vldb/AbiteboulMRVW98,Incremental Maintenance for Materialized Views over Semistructured Data,Incremental Maintenance for Materialized Views over Semistructured Data,,1998,"SA t Jason McHught, MRV Vassalod, JL Wienert","S Abiteboul, J McHugh, M Rys, V Vassalos, J Wiener"
_SsvlmhsusEJ,journals/sigmod/Liu02a,Editor's Notes,Editor's Notes,,2002,JA Neff,L Liu
a1CLM5GoVtYJ,conf/vldb/AgrawalSX02,Database Technologies for Electronic Commerce,Database Technologies for Electronic Commerce,2002.0,2002,"R Agrawal, R Srikant, Y Xu","R Agrawal, R Srikant, Y Xu"
2DiLFd0rgPgJ,conf/vldb/Deshpande00,Linking Business to Deliver Value: A Data Management Challenge,Linking Business to Deliver Value: A Data Management Challenge,2000.0,2000,A Deshpande,A Deshpande
EpBlTCJ0_dUJ,conf/vldb/Mattos96,Supporting Procedural Constructs in SQL Compilers,Supporting Procedural Constructs in SQL Compilers,1996.0,1996,N Mattos,N Mattos
_SsvlmhsusEJ,journals/sigmod/Franklin00a,Editor's Notes,Editor's Notes,,2000,JA Neff,M Franklin
Jg81WYtxtZoJ,conf/sigmod/ChakrabartiM99,Efficient Concurrency Control in Multidimensional Access Methods,Efficient Concurrency Control in Multidimensional Access Methods,1999.0,1999,"K Chakrabarti, S Mehrotra","K Chakrabarti, S Mehrotra"
j2gOIcgWxb4J,conf/vldb/YuV00,Efficient Numerical Error Bounding for Replicated Network Services,Efficient Numerical Error Bounding for Replicated Network Services,,2000,HY AminVahdat,"H Yu, A Vahdat"
CDQHFdIK_cwJ,conf/vldb/AbiteboulMRVW98,Incremental Maintenance for Materialized Views over Semistructured Data,Incremental Maintenance for Materialized Views over Semistructured Data,1998.0,1998,"S Abiteboul, J McHugh, M Rys, V Vassalos, JL  ","S Abiteboul, J McHugh, M Rys, V Vassalos, J Wiener"
f6JFkfhawW8J,conf/sigmod/GehrkeKS01,On Computing Correlated Aggregates Over Continual Data Streams,On Computing Correlated Aggregates Over Continual Data Streams,2001.0,2001,"J Gehrke, F Korn, D Srivastava","J Gehrke, F Korn, D Srivastava"
B2rShDD99xwJ,conf/vldb/HristidisGP03,Efficient IR-Style Keyword Search over Relational Databases,Efficient IR-Style Keyword Search over Relational Databases,2003.0,2003,V Hristidis,"V Hristidis, L Gravano, Y Papakonstantinou"
c2dH5RxNj6kJ,conf/sigmod/AdaliSS99,A Multimedia Presentation Algebra,A Multimedia Presentation Algebra,1999.0,1999,"S AdalÄ±, ML Sapino, VS Subrahmanian","S Adali, M Sapino, V Subrahmanian"
-OjqoDQTIxMJ,conf/vldb/ShiSZ03,A Shrinking-Based Approach for Multi-Dimensional Data Analysis,A Shrinking-Based Approach for Multi-Dimensional Data Analysis,2003.0,2003,"Y Shi, Y Song, A Zhang","Y Shi, Y Song, A Zhang"
UFKz6Q0wVi4J,conf/sigmod/LehnerSPC00,Maintenance of Automatic Summary Tables,Maintenance of Automatic Summary Tables,,2000,"W Lehner, R Sidle, H Pirahesh, R Cochrane","W Lehner, R Sidle, H Pirahesh, R Cochrane"
mg9ABNG06O4J,conf/sigmod/HristidisKP01,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,2001.0,2001,"V Hristidis, N Koudas, Y Papakonstantinou","V Hristidis, N Koudas, Y Papakonstantinou"
url:http://www.springerlink.com/index/589TQRPPVBXQ6LJN.pdf,journals/vldb/BernsteinIR03,Guest editorial,Guest editorial,2003.0,2003,"V Atluri, A Joshi, Y Yesha",
6MtRlhEClPEJ,journals/sigmod/KeetonPH98,A Case for Intelligent Disks (IDISKs),A Case for Intelligent Disks (IDISKs),1998.0,1998,"K Keeton, DA Patterson, JM Hellerstein","K Keeton, D Patterson, J Hellerstein"
4B_LhCns0WoJ,conf/vldb/IwerksSS03,Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,2003.0,2003,"GS Iwerks, H Samet, K Smith","G Iwerks, H Samet, K Smith"
dRwl6kpDBjEJ,conf/sigmod/GrayHOS96,The Dangers of Replication and a Solution,The Dangers of Replication and a Solution,1996.0,1996,"J Gray, P Helland","J Gray, P Helland, P O'Neil, D Shasha"
CVQyvLe8w38J,conf/vldb/Madnick95,From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity,From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity,1995.0,1995,SE Madnick,S Madnick
OfZWx8jhQvwJ,conf/sigmod/LibkinMW96,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques",1996.0,1996,L Libkin,"L Libkin, R Machlin, L Wong"
url:http://portal.acm.org/ft_gateway.cfm3Fid3D38189226type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222,journals/sigmod/UrbanDG96,Database Research at Arizona State University,Database Research at Arizona State University,1996.0,1996,"SD Urban, SW Dietrich, F Golshani","S Urban, S Dietrich, F Golshani"
arQIThq-W4gJ,conf/sigmod/BaruGLMPVC99,XML-Based Information Mediation with MIX,XML-Based Information Mediation with MIX,,1999,CBAGB Ludascher,"C Baru, A Gupta, B Ludфscher, R Marciano, Y Papakonstantinou, P Velikhov, V Chu"
bFNUZoN0LhsJ,journals/vldb/RamamohanaraoH94,An Introduction to Deductive Database Languages and Systems,An Introduction to Deductive Database Languages and Systems,,1994,"R Kotagiri, J Harland","K Ramamohanarao, J Harland"
AF9vuEJOr6cJ,conf/sigmod/Keim96,Databases and Visualization,Databases and Visualization,1996.0,1996,DA Keim,D Keim
fANcvlGA8WAJ,conf/vldb/AbiteboulBBCCDMMP03,Managing Distributed Workspaces with Active XML,Managing Distributed Workspaces with Active XML,2003.0,2003,"S Abiteboul, J Baumgarten, A Bonifati, G Cobena, C ","S Abiteboul, J Baumgarten, A Bonifati, G Cobena, C Cremarenco, F Dragan, I Manolescu, T Milo, N Preda"
YwLoGdTgG-sJ,conf/sigmod/ZhaoDN97,An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,1997.0,1997,"Y Zhao, PM Deshpande, JF Naughton","Y Zhao, P Deshpande, J Naughton"
ylZFc8RNoeQJ,conf/vldb/GoldsteinR00,Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,2000.0,2000,"J Goldstein, R Ramakrishnan","J Goldstein, R Ramakrishnan"
uguuV9ATE1YJ,conf/sigmod/Jhingran00,Anatomy of a Real E-Commerce System,Anatomy of a Real E-Commerce System,,2000,A Jhingran,A Jhingran
tOa0zXK5Ba4J,journals/sigmod/RossFS02,Reminiscences on Influential Papers,Reminiscences on Influential Papers,2002.0,2002,KA Ross,
_D3JPE9NgNgJ,journals/tods/Wijsen99,Temporal FDs on Complex Objects,Temporal FDs on Complex Objects,1999.0,1999,J Wijsen,J Wijsen
Y0GdVVrbzfQJ,journals/sigmod/Han98,Towards On-Line Analytical Mining in Large Databases,Towards On-Line Analytical Mining in Large Databases,1998.0,1998,J Han,J Han
D45fvUWVon0J,conf/vldb/Suciu96,Query Decomposition and View Maintenance for Query Languages for Unstructured Data,Query Decomposition and View Maintenance for Query Languages for Unstructured Data,1996.0,1996,D Suciu,D Suciu
_-JZT1cOuZ8J,conf/vldb/ChoALS02,Optimizing the Secure Evaluation of Twig Queries,Optimizing the Secure Evaluation of Twig Queries,2002.0,2002,"SR Cho, S Amer-Yahia, LVS Lakshmanan, D Srivastava","S Cho, S Amer-Yahia, L Lakshmanan, D Srivastava"
bbWXEbBUueYJ,conf/sigmod/GraySEBW94,Quickly Generating Billion-Record Synthetic Databases,Quickly Generating Billion-Record Synthetic Databases,,1994,"S Englert, PJ Weinberger","J Gray, P Sundaresan, S Englert, K Baclawski, P Weinberger"
