ID_A,ID_B,Flag,Description_A,Description_B,Color_A,Color_B,Price_A,Price_B
AM3817,3475,,Hourglass Extreme Sheen High Shine Lip Gloss Icon (BNIB),beautyblender the original beautyblender with mini solid,Icon,,$42.00,$25.00
AM0046,9337,,Yves Saint Laurent Baby Doll Kiss & Blush - # 07 Corail Affranchi - 10ml/0.33oz,Dior dior addict lipstick,,Black Tie 987,$42.56,$35.00
AM2372,1550,,NARS Eyeliner Pencil - Black Moon (Dense Black) - 1.2g/0.04oz by NARS,SEPHORA COLLECTION lip liner to go,Black Moon,17 Light Brown,$70.04,$6.00
AM5512,343,,"NARS The Multiple, Portofino by NARS",MAKE UP FOR EVER artist plexi gloss,Portofino,103,$25.99,$19.00
AM4918,5265,,Shiseido Shiseido Translucent Loose Powder,Shiseido luminizing satin face color,Translucent Loose Powder,Tearose,$58.00,$30.00
AM0907,5517,,DiorSkin Forever Compact SPF25 - # 040 Honey Beige Christian Dior Make Up 0.33 oz Women,stila stay all day foundation concealer,Honey Beige 040,Hue,$47.60,$44.00
AM5402,10874,,Laura Mercier Secret Concealer No.3.5,Buxom buxom full on lip polish,3,Sophia,$48.00,$19.00
AM0650,9266,,Giorgio Armani 'Lasting Silk' UV Foundation SPF 20,Giorgio Armani eyes to kill 4 color eyeshadow palette,2,1 Maestro,$62.00,$60.00
AM0439,7813,,Dior Diorshow Long-wear Professional Mirror-shine Mono Fusion Eyeshadow 001 Lune,MAKE UP FOR EVER artist shadow,,M626 Neutral Brown (Matte),$54.00,$21.00
AM6255,3730,,SEPHORA COLLECTION Pro Flawless Airbrush #56,Koh Gen Do face powder in jar,,Face Powder In Jar,$45.99,$42.00
AM6107,6792,,0 oz Superfine Brow Liner - #03 Deep Brown,bareMinerals bareskin pure brightening serum foundation,Deep Brown 03,Bare Satin 06,$18.06,$29.00
AM6293,9463,,Shiseido The Makeup Powdery Foundation I40 Natural Fair Ivory 0.38 oz,COVER FX bronzer,,Suntan,$24.04,$28.00
AM0840,8550,,Bare Escentuals Prime Time Brightening Eyelid Primer 3ml/0.1fl.oz. Brightening Pearl,Urban Decay naked ultra nourishing lipgloss,Pearl,Naked,$18.00,$20.00
AM5775,6981,,Bobbi Brown Corrector Deep Bisque,stila smudge stick waterproof eye liner,Deep,Black Amethyst,$32.00,$22.00
AM2145,4979,,Giorgio Armani Smooth Silk Eye Pencil - # 03 Blue 1.05g/0.037oz,Laura Mercier secret camouflage,5,SC-8,$30.00,$34.00
AM2257,2774,,Charlotte Tilbury Luxury Palette Color - Coded Eyeshadow Palette # The Dolce Vita,Givenchy ombre couture cream eyeshadow,,4 Nude Plumetis,$92.46,$24.00
AM3315,10825,,SEPHORA COLLECTION Colorful Eyeshadow N- 25 Purple Rain 0.07 oz,Buxom buxom full on lip polish,,Gabby,$22.99,$19.00
AM4547,4859,,Smashbox Be Legendary Lipstick Fig 0.1 oz,MAKE UP FOR EVER glitters,Fig,Multicolored White 3,$19.10,$15.00
AM2137,1392,,Clinique Whole Lotta Candy,stila perfectly poreless putty perfector,,Light ,$29.99,$39.00
AM4818,6193,,Laura Mercier CríÂme Smooth Lip Colour Antique Pink 0.14 oz,Urban Decay revolution high color lip gloss,Creme,Liar,$24.84,$22.00
AM4135,9225,,Givenchy Le Rouge Intense Color Sensuously Mat Lipstick - # 201 Rose Taffetas 3.4g/0.12oz,Hourglass ambient lighting blush,201 Rose Taffetas,Diffused Heat,$53.95,$35.00
AM5916,3004,,Bobbi Brown Blush Shimmer Flame,Kari Gran tinted lip whip,Flame,Cinnamon,$35.00,$15.00
AM1748,9013,,Kat Von D Metal Crush Eyeshadow IGGY - pearlescent mermaid green,Yves Saint Laurent blush volupte heart of light powder blush,Iggy, Light 08,$29.99,$47.00
AM4810,3928,,"Laura Mercier CríÂme Smooth Lip Colour, shade=Crushed Pecan",SEPHORA COLLECTION new heights false eyelash kit,Pecan,,$24.84,$11.00
AM4596,18,,Laura Mercier luxe Travel Brush Collection 2014,Yves Saint Laurent baby doll kiss blush lips cheeks,1,01 Fuchsia Desinvolte,$99.95,$40.00
AM3497,7646,,Clinique Even Better Makeup SPF15 - Normal to Combination Oily Skin Types 30ml Alabaster,Smashbox always sharp lip liner,Alabaster,Ruby,$86.99,$20.00
AM2566,4072,,Tweezerman Slant Tweezer - Signature Red,Urban Decay moondust eyeshadow,Signature Red,Scorpio ,$15.35,$21.00
AM2978,6555,,Sephora Colorful Eyeshadow N49 Be On The A-List 0.07 oz,NARS radiant cream compact foundation empty compact,,,$15.99,$10.00
AM5497,617,,BECCA Ever-Matte Shine Proof Foundation - Tan,Dolce & Gabbana the foundation perfect matte liquid foundation broad spectrum spf 20,Tan,Soft Sable 180,$36.08,$68.00
AM0465,1557,,Bobbi Brown Evening Out Set,SEPHORA COLLECTION lip liner to go,Brown,7 Pale Pink,$95.00,$6.00
AM5089,5175,,Exclusive Make Up Product By Bobbi Brown Foundation Stick - #1 Warm Ivory 9g/0.31oz,SEPHORA COLLECTION ultra shine lip gloss,Warm Ivory,16 Glossy Pink,$58.50,$14.00
AM0699,1942,,Estee Lauder Pure Color Envy Shine Sculpting Shine Lipstick - #350 Empowered 3.1g/0.1oz,Urban Decay 24 7 glide on lip pencil,Empowered,Manic,$31.18,$20.00
