ID_A,ID_B,Description_A,Description_B,Color_A,Color_B,Price_A,Price_B
AM4492,1954,Smashbox Be Legendary Lipstick Cognac 0.1 oz,Smashbox be legendary lipstick,Cognac,Cognac,$19.10,$20.00
AM4607,2057,Bite Beauty High Pigment Matte Pencil Madeira 0.09 oz,Bite Beauty high pigment matte pencil,Madeira,Madeira,$26.91,$24.00
AM0773,429,"Too Faced Melted Liquified Long Wear Lipstick, Melted Coral, 0.40 fl. oz./12 ml.",Too Faced melted liquified long wear lipstick,,Melted Nude,$21.00,$21.00
AM4486,1930,BECCA Lip Priming Perfector,BECCA lip priming perfector,Nude,,$26.99,$24.00
AM0310,1896,Bobbi Brown Bobbi Brown Blush Brush,Bobbi Brown blush,,Pastel Peach,$54.00,$28.00
AM1838,801,Guerlain Terracotta Bronzing Powder 08 0.35 oz,Guerlain terracotta bronzing powder,0,0,$75.00,$53.00
AM2052,928,stila Stay All Day Vinyl Lip Gloss,stila stay all day vinyl lip gloss,Terracotta Vinyl,Terracotta Vinyl,$24.00,$24.00
AM6058,2712,Shiseido The Makeup Powdery Foundation I40 Natural Fair Ivory 0.38 oz,Shiseido the makeup powdery foundation,,I60 Natural Deep Ivory,$24.04,$29.50
AM4898,2200,Too Faced La Creme Lip Cream Shade : Naked Dolly - satin pink,Too Faced la creme,,Stilleto Red,$42.22,$22.00
AM5574,2419,ARDENCY INN AMERICANA Custom Coverage Concentrate 0.5 oz (Light Golden Beige),ARDENCY INN americana custom coverage concentrate,Light Golden Beige,Light Golden Beige,$59.10,$38.00
AM0723,423,Too Faced Melted Liquified Long Wear Lipstick,Too Faced melted liquified long wear lipstick,,Melted Chihuahua,$39.75,$21.00
AM0003,7325,NARS Light Reflecting Loose Setting Powder,NARS light reflecting loose setting powder,,Translucent Crystal,$54.90,$36.00
AM0984,543,"Laura Mercier Smooth Finish Flawless Fluide, shade=Pecan",Laura Mercier smooth finish flawless fluide,,Espresso,$24.16,$48.00
AM0731,429,Too Faced Melted Liquified Long Wear Lipstick in Fig .16oz Travel Size Set of (2),Too Faced melted liquified long wear lipstick,,Melted Nude,$19.99,$21.00
AM0961,544,"Laura Mercier Smooth Finish Flawless Fluide, shade=Chai",Laura Mercier smooth finish flawless fluide,,Golden,$19.75,$48.00
AM6286,2711,Shiseido The Makeup Powdery Foundation I20 Natural Light Ivory 0.38 oz,Shiseido the makeup powdery foundation,,I40 Natural Fair Ivory,$34.27,$29.50
AM0714,415,Estee Lauder Pure Color Envy Shine Sculpting Shine Lipstick - #260 Passionate 3.1g/0.1oz,Estee Lauder pure color envy shine sculpting shine lipstick,Passionate,Passionate,$32.99,$30.00
AM0310,163,Bobbi Brown Bobbi Brown Blush Brush,Bobbi Brown blush brush,,,$54.00,$54.00
AM0961,537,"Laura Mercier Smooth Finish Flawless Fluide, shade=Chai",Laura Mercier smooth finish flawless fluide,,Chai,$19.75,$48.00
AM4153,1767,Givenchy Le Rouge Limited Edition Burgundy 315 Framboise Velours - deep raspberry pink,Givenchy le rouge,315 Framboise Velours,315 Framboise Velours,$56.80,$36.00
AM0961,534,"Laura Mercier Smooth Finish Flawless Fluide, shade=Chai",Laura Mercier smooth finish flawless fluide,,Buff,$19.75,$48.00
AM4464,1920,NARS Pressed Powder Mountain,NARS pressed powder,Mountain,Mountain,$84.99,$36.00
AM5920,7535,"Guerlain Rose Aux Joues Blush Duo, # 01 Peach Boy, 0.21 Ounce",Guerlain rose aux joues blush,,Chic Pink 02,$52.83,$52.00
AM2526,1183,Too Faced Shadow Insurance Champagne Eye Shadow Primer 1 ea,Too Faced shadow insurance champagne eye shadow primer,Champagne,Champagne,$39.97,$20.00
AM0987,544,"Laura Mercier Smooth Finish Flawless Fluide, shade=Praline",Laura Mercier smooth finish flawless fluide,,Golden,$19.75,$48.00
AM0951,531,Dior Airflash Matte Touch,Dior airflash matte touch,,,$77.90,$50.00
AM4496,1956,Smashbox Be Legendary Lipstick Fig 0.1 oz,Smashbox be legendary lipstick,Fig,Fig,$19.10,$20.00
AM4624,2076,Yves Saint Laurent Volupte Tint In Oil - #01 Drive Me Copper 6ml/0.2oz,Yves Saint Laurent volupte tint in oil,,Cherry My Cherie 5,$40.48,$32.00
AM0734,4974,Laura Mercier Secret Camouflage Brush - Pull Apart -,Laura Mercier secret camouflage,,SC-3,$26.00,$34.00
AM4601,2058,Bite Beauty High Pigment Matte Pencil Meritage 0.09 oz (BNIB),Bite Beauty high pigment matte pencil,Meritage,Meritage,$37.65,$24.00
AM4698,2121,Caudalie Lip Conditioner (Pack of 2 x 0.14 Oz),Caudalie lip conditioner,1,,$18.99,$12.00
AM0977,552,"Laura Mercier Smooth Finish Flawless Fluide, shade=Espresso",Laura Mercier smooth finish flawless fluide,,Praline,$44.16,$48.00
AM1785,801,Guerlain Terracotta Bronzing Powder 05 0.35 oz,Guerlain terracotta bronzing powder,0,0,$46.77,$53.00
AM4559,1961,Smashbox Be Legendary Lipstick Mulberry 3g,Smashbox be legendary lipstick,Legendary,Legendary,$14.00,$20.00
AM6022,2531,Make Up For Ever Aqua Eyes Eye Liner Collection,MAKE UP FOR EVER aqua eyes,,Black Purple 6L,$49.95,$19.00
AM3689,1538,Clinique Acne Solutions Clearing Concealer - Shade 02,CLINIQUE acne solutions clearing concealer,,1,$21.03,$17.50
AM5218,2337,Bobbi Brown by Bobbi Brown BB Cream Broad Spectrum SPF 35 - # Medium --40ml/1.35oz (Package of 2),Bobbi Brown bb cream broad spectrum spf 35,Medium,Medium,$158.00,$44.00
AM4784,2142,Make up for Ever Step 1 Skin Equalizer Redness Correcting Primer,MAKE UP FOR EVER step 1 skin equalizer,,Radiant Primer Blue - For Light Skin,$45.95,$36.00
AM5989,2534,MAKE UP FOR EVER Aqua Eyes Bronze Green 5L 0.04 oz,MAKE UP FOR EVER aqua eyes,Bronze Green 5L,Bronze Green 5L,$47.27,$19.00
AM4935,2196,Too Faced La Creme Color Drenched Lip Cream in Teddy Berry 0.11 oz,Too Faced la creme,,Nude Beach,$15.98,$22.00
AM6263,2706,Shiseido The Makeup Powdery Foundation B20 Natural Light Beige 0.38 oz,Shiseido the makeup powdery foundation,B20 Natural Light Beige,B20 Natural Light Beige,$33.96,$29.50
AM6022,2547,Make Up For Ever Aqua Eyes Eye Liner Collection,MAKE UP FOR EVER aqua eyes,,Matte Black 0L,$49.95,$19.00
AM4462,1920,NARS Pressed Powder - # Mountain - 8g/0.28oz,NARS pressed powder,Mountain,Mountain,$34.13,$36.00
AM5525,2401,NARS The Multiple Orgasm,NARS the multiple,Orgasm,Orgasm,$68.00,$39.00
AM3763,1604,"NARS All Day Luminous Weightless Foundation Shade Barcelona Medium 4 - Medium with golden, peachy undertones 30ml",NARS all day luminous weightless foundation,Barcelona,Barcelona,$65.00,$48.00
AM0457,6803,SEPHORA COLLECTION Ultra Shine Lip Gloss 49 Metallic Copper,SEPHORA COLLECTION ultra shine lip gloss,,36 Vintage Pink,$23.25,$7.00
AM4903,2190,Too Faced La Creme Color Drenched Lip Cream-Pink Chocolate,Too Faced la creme,,I Want Candy,$22.00,$22.00
AM4044,1686,Smashbox Halo Hydrating Perfecting Powder Brush Set - # Light / Medium - 21g/0.75oz,Smashbox halo hydrating perfecting powder,Light,Light,$45.90,$22.00
AM0506,281,Josie Maran Argan Enlightenment Illuminizer,Josie Maran argan enlightenment illuminizer,Red,,$42.50,$26.00
AM5694,2468,stila Convertible Color Dual Lip and Cheek Cream,stila convertible color,Petunia,Petunia,$24.00,$25.00
AM1634,743,NARS Brow Gel - Athens - 7ml/0.21oz,NARS brow gel,,,$25.17,$23.00
AM0332,448,bareMinerals Tapered Blush and Shadow Brush - Silver Handle,bareMinerals ,,Faux Tan,$7.00,$20.00
AM4610,2059,Bite Beauty High Pigment Matte Pencil Pomegranate 0.09 oz,Bite Beauty high pigment matte pencil,Pomegranate,Pomegranate,$36.73,$24.00
AM1221,9197,BECCA The One Perfecting Brush,BECCA the one perfecting brush in blushed copper,Goa,,$34.66,$49.00
AM0457,5182,SEPHORA COLLECTION Ultra Shine Lip Gloss 49 Metallic Copper,SEPHORA COLLECTION ultra shine lip gloss,,23 Pretty In Pink,$23.25,$14.00
AM6017,2549,MAKE UP FOR EVER Aqua Eyes Pearly Brown 2L 0.04 oz,MAKE UP FOR EVER aqua eyes,Pearly Brown 2L,Pearly Brown 2L,$18.00,$19.00
AM1337,655,"Yves Saint Laurent Touche Eclat Radiant Touch Concealer for Women, Luminous Silk, 0.1 Ounce",Yves Saint Laurent touche eclat radiant touch,,5.5 Luminous Praline,$42.00,$42.00
AM0955,539,"Laura Mercier Smooth Finish Flawless Fluide, shade=Amber",Laura Mercier smooth finish flawless fluide,,Cr&#232;me,$44.16,$48.00
AM0001,1,NARS Light Reflecting Pressed Setting Powder Translucent Crystal Authentic,NARS light reflecting pressed setting powder,Translucent Crystal,Translucent Crystal,$45.35,$36.00
AM2801,1363,Smashbox Layer Lash Primer - 4.5g/0.16oz,Smashbox layer lash primer,Layer Lash Primer,Layer Lash Primer,$39.00,$19.00
AM5903,2501,Smashbox Limitless Eye Liner - Onyx - Deluxe Sample Size,Smashbox limitless eye liner,Onyx,Onyx,$12.93,$19.00
AM4460,1922,Laura Mercier Paint Wash Liquid Lip Colour - Fuchsia Mauve 0.2oz (6ml),Laura Mercier paint wash liquid lip colour,Fuchsia Mauve,Fuchsia Mauve,$25.76,$28.00
AM4136,1761,"Givenchy Le Rouge Intense Color Sensuously Mat Lipstick, Rose Dressing 202",Givenchy le rouge,,302 Hibiscus Exclusif,$45.50,$36.00
AM3657,7888,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,S622 Black Brown (Satin),$11.95,$21.00
AM4529,1971,Smashbox Be Legendary Lipstick (Peach Rose & red grape) Duo set,Smashbox be legendary lipstick,,Shock Me Pink,$17.42,$20.00
AM0742,2365,Laura Mercier Secret Concealer #2 2.2G/0.08Oz,Laura Mercier secret concealer,2,2,$28.04,$25.00
AM4509,1959,Smashbox Be Legendary Lipstick Infrared Matte 0.1 oz,Smashbox be legendary lipstick,Infrared Matte,Infrared Matte,$5.65,$20.00
AM3657,7760,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,I526 Pearl Beige (Iridescent),$11.95,$21.00
AM0700,394,SEPHORA COLLECTION Dramatic Performance Longwear Lash Kit,SEPHORA COLLECTION dramatic performance longwear lash kit,,,$24.00,$11.00
AM0955,538,"Laura Mercier Smooth Finish Flawless Fluide, shade=Amber",Laura Mercier smooth finish flawless fluide,,Chestnut,$44.16,$48.00
AM6055,2715,Shiseido The Makeup Powdery Foundation O60 Natural Deep Ochre 0.38 oz,Shiseido the makeup powdery foundation,,O60 Natural Deep Ochre,$29.79,$29.50
AM0090,65,MAKE UP FOR EVER Aqua Liner 11 Diamond Burgundy 0.058 oz,MAKE UP FOR EVER aqua liner,11 Diamond Burgundy,11 Diamond Burgundy,$29.00,$23.00
AM3813,1628,Hourglass Extreme Sheen High Shine Lip Gloss Fortune,Hourglass extreme sheen high shine lip gloss,Fortune,Fortune,$43.99,$28.00
AM2662,1283,Estee Lauder Pure Color Envy Liquid Lip Potion-bittersweet,Estee Lauder pure color envy liquid lip potion,,Fragile Ego,$36.99,$30.00
AM6267,2708,Shiseido The Makeup Powdery Foundation B60 Natural Deep Beige 0.38 oz,Shiseido the makeup powdery foundation,B60 Natural Deep Beige,B60 Natural Deep Beige,$28.16,$29.50
AM3657,7748,Make up for Ever Artist Shadow Custom Palette Case,MAKE UP FOR EVER artist shadow,,I300 Pine Green (Iridescent),$11.95,$21.00
AM5500,2397,NARS The Multiple - # G Spot - 14g/0.5oz,NARS the multiple,,Luxor,$40.21,$39.00
AM6282,2712,Shiseido The Makeup Powdery Foundation SPF15 with Case - I60 Natural Deep Ivory (BNIB),Shiseido the makeup powdery foundation,I60 Natural Deep Ivory,I60 Natural Deep Ivory,$68.00,$29.50
