ID,Description,Price,Color
AM0001,NARS Light Reflecting Pressed Setting Powder Translucent Crystal Authentic,$45.35,Translucent Crystal
AM0002,Herbivore Botanicals - Natural Coco Rose Lip Polish,$22.00,
AM0003,NARS Light Reflecting Loose Setting Powder,$54.90,
AM0004,NARS Light Reflecting Pressed Powder,$59.95,Translucent Crystal
AM0005,NARS Light Reflecting Pressed Powder,$45.00,
AM0006,NARS Light Reflecting Pressed Setting Powder Translucent Crystal,$39.99,Translucent Crystal
AM0007,Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),$34.00,Beyond Brown
AM0008,Benefit They're Real! Beyond Mascara (Beyond Blue),$29.78,Beyond Blue
AM0009,Benefit Cosmetics They're Real Push-Up Liner - Beyond Blue - 100% Authentic,$14.01,Beyond Blue
AM0010,Benefit Cosmetics They're Real! Sexy On The Run Kit,$48.95,Beyond Brown
AM0011,Benefit They're Real! Beyond Mascara (Beyond Brown),$33.25,Beyond Brown
AM0012,Benefit Cosmetics They're Real Push-Up Liner - Beyond Purple - 100% Authentic,$14.01,Beyond Purple
AM0013,Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),$34.00,Beyond Brown
AM0014,Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),$34.00,Beyond Brown
AM0015,Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),$34.00,Beyond Brown
AM0016,Benefit They're Real! Beyond Mascara (Beyond Blue),$29.78,Beyond Blue
AM0017,Benefit They're Real! Beyond Mascara (Beyond Blue),$29.78,Beyond Blue
AM0018,Benefit They're Real! Push-Up Liner Deluxe Mini .36g,$11.99,
AM0019,Benefit Cosmetics They're Real Push-Up Liner in BROWN 0.01 oz MINI,$8.95,
AM0020,Benefit They're Real! Push-up Eye Liner Lash-hugging Gel Liner Pen (Beyond Brown),$34.00,Beyond Brown
AM0021,Benefit Cosmetics They're Real Tease: Mascara & Mini Liner,$28.49,Black
