ID_A,ID_B,Flag,Title_A,Title_B,Company_A,Company_B,Price_A,Price_B
5082,9792,,RoomMates Harry Potter - Crest Peel & Stick Giant Wall Decal,Ginsey Toilet Tank Potty Hook,RoomMates,Ginsey,17.99,2.99
3489,3322,,NoJo Ladybug Lullabye Lamp & Shade,One Grace Place Jazzie Jungle Boy Changing Pad Cover,NoJo,One Grace Place,49.99,19.99
4043,8068,,39 x 58 inch Go Team! Fun Rug,"4-in-1 Pineapple Corer, Peeler, Slicer and Wedger",La Rug,,54.99,9.99
5016,4313,,World Map 8Ft x 13Ft Wall Mural,Glenna Jean Uptown Traffic Musical Mobile,Environmental Graphics,Glenna Jean,99.99,45.99
1458,10079,,Minene Snug and Hug Grey Swaddle Blanket,GroVia Diaper Cover Shell in Lotus,Minene,GroVia,17.99,16.99
4337,978,,Bacati Metro White & Chocolate Curtain Panel Houndstooth,Secure Travel Folding Car Seat in Black/Grey,Bacati,Secure,32.99,89.99
865,10046,,Burt's Bees Baby Crib Skirt - Heather Grey,Kanga Care Lil Joey Newborn 2-Pack All-in-One Cloth Diaper in Invader,Burt's Bees,Kanga Care,34.99,29.99
5001,5375,,WallPops Wall Decal - Gone Dotty - Purple/Pink - 8 Sheet,Baby's First by Nemcor Plum Owl Meadow Valance,Brewster Wallcovering Co,Baby's First by Nemcor,49.99,16.99
411,9549,,Sweet Jojo Designs Black and White Chevron Collection Crib Bumper,Creative Bath Storage Tub,Sweet JoJo Designs,Creative Bath,69.99,3.99
4580,4215,,Marmont Hill - 'Woodstock and Snoopy Rainbow Heart' Peanuts Framed Art Print,Carter's Boys' 4-Pack Elephant Friends Flannel Receiving Blankets,Marmont Hill,carter's,62.99,15.99
4837,3232,,Floral Dry Erase Peel and Stick Wall Decals,Dreamtex My Little Nest 2-Pack Waterproof Tencel Pebbletex Crib Mattress Pad Covers,York Wall Coverings,Dreamtex,30.99,49.99
1489,9104,,Trend Lab Flannel Swaddle Blanket - Coral Paisley,Burt's Bees Baby 5-Pack Organic Cotton Burp Cloths in Heather Grey,Trend Lab,Burt's Bees Baby,19.99,22.99
1712,2403,,Carter's Super Soft Blanket with I Love You Mommy Embroidery,Stephen Joseph Frog Go Go Backpack in Pink/Green,Carter's,Stephen Joseph,19.99,24.99
216,5624,,"Sadie & Scout 3 Piece Safari Wall Decor - Zebra, Elephant & Lion",Bobby Jack Burst My Bubble Rug,Sadie & Scout,,24.99,11.99
1207,9466,,"Trend Lab Dr. Seuss Oh, the Places You'll Go! Ruffle Trimmed Receiving Blanket - Blue",Ginsey Disney Princesses Bath Tub Mat,Trend Lab,Disney Baby,34.99,12.99
3340,6965,,Fantasy Fields Magic Garden Standing Mirror,Evenflo Feeding Advanced 60-Count Disposable Nursing Pads,Teamson Design Corp,Evenflo,174.99,7.99
2520,1647,,Dream On Me Memory Foam Children's Pillow,Graco Glider LX Gliding Swing in Raffy,Dream On Me,Graco,22.99,139.99
4413,2484,,COCALO Violet Butterfly 3-Piece Wall Hook Set,Stephen Joseph Cupcake Quilted Backpack in Purple,Cocalo,Stephen Joseph,39.99,23.99
3772,1977,,Disney Baby - Peeking Pooh Musical Mobile,Storksak Noa Diaper Bag in Navy,Disney Baby Classic Pooh,storksak,49.99,124.99
923,2809,,Carter's Valboa Blanket Elephant Print,Baby Appleseed Stratford 4-in-1 Convertible Crib in Espresso,Triboro Quilt Co.,Baby Appleseed,19.99,349.99
610,3411,,Carter's Apple Green Solid Sateen Fitted Crib Sheet,Trend Lab Chevron Deluxe Flannel Changing Pad in Navy/Grey,Triboro Quilt Co.,Trend Lab,9.98,19.99
1662,5127,,Minene Padded and Water Proof Baby Blue Picnic Blanket,Sweet Jojo Designs Peace Out Standard Pillow Sham in Green,Minene,Sweet Jojo Designs,74.99,19.99
2215,9732,,Olive Kids Dinosaur Land Toddler Sheet Set,Graco Travel Folding Potty,Olive Kids,Graco,49.99,9.99
