ID_A,ID_B,Title_A,Title_B,Company_A,Company_B,Price_A,Price_B
322,4776,High Seas Crib Liner,Just Born High Seas Bedding Collection Fresh Air Crib Liner,Triboro Quilt Co.,Just Born,79.99,79.99
323,4735,Petit Tresor Nuit Crib Bumper,Petit Tresor Nuit 4-Piece Crib Bumper,Petit Tresor,Petit Tresor,79.99,69.99
341,4707,Pam Grace Creations Crib Bumper - Zara Zebra,Pam Grace Creations Zara Zebra Crib Bumper,Pam Grace Creations,Pam Grace Creations,27.99,29.99
354,4661,Rockstar Crib Bumper,Pam Grace Creations Rockstar Crib Bumper,Pam Grace Creations,Pam Grace Creations,39.99,39.99
354,4784,Rockstar Crib Bumper,Trend Lab Rockstar Crib Bumper,Pam Grace Creations,Trend Lab,39.99,39.99
385,4612,NoJo 4-Piece Secure-Me Crib Bumper,NoJo Dreamland 4-Piece Secure-Me Crib Bumper,NoJo,NoJo,59.99,59.99
385,4756,NoJo 4-Piece Secure-Me Crib Bumper,NoJo Love Birds 4-Piece Secure-Me Crib Bumper,NoJo,NoJo,59.99,59.99
389,4642,Lambs & Ivy Raspberry Swirl Bumper,Lambs & Ivy Raspberry Swirl Bumper,Lambs & Ivy,Lambs & Ivy,63.99,49.99
390,4777,My Baby Sam Penny Lane Crib Bumper,My Baby Sam Penny Lane 4-Piece Crib Bumper,My Baby Sam Inc,My Baby Sam,64.99,49.99
391,4683,Sweet Jojo Designs Deco Dot Collection Crib Bumper,Sweet Jojo Designs Deco Dot Crib Bumper,Sweet JoJo Designs,Sweet Jojo Designs,64.99,64.99
398,4733,Sweet Jojo Designs Kaylee Collection Crib Bumper,Sweet Jojo Designs Kaylee Crib Bumper,Sweet JoJo Designs,Sweet Jojo Designs,64.99,64.99
415,4768,Sweet Jojo Designs Pretty Pony Collection Crib Bumper,Sweet Jojo Designs Pretty Pony Crib Bumper,Sweet JoJo Designs,Sweet Jojo Designs,69.99,64.99
459,4700,Sweet Jojo Designs Go Fish Collection Crib Bumper,Sweet Jojo Designs Go Fish Crib Bumper,Sweet Jojo Designs,Sweet Jojo Designs,69.99,64.99
