ID,Title,SKU,Price,Is_Discounted,Category,Company,Weight,Colors,Materials,Dimensions
1,Peanut Shell Mila 4 Piece Crib Bedding Set,1402BAD0,159.99,True,Nursery Bedding,Peanut Shell,,,,"37""/44""/-"
2,Lambs & Ivy Echo 7 Piece Bedding Set,283A6D38,159.99,True,Nursery Bedding,Lambs & Ivy,,,,"52""/28""/-"
3,Bella 6 Piece Bed Set,E358C527,159.99,True,Nursery Bedding,Peanut Shell,,mauve / cream,,-/-/-
4,Nautica Kids Brody 4-Piece Crib Bedding Set,638FC2B4,159.99,True,Nursery Bedding,Nautica Kids,,blue,,"28""/52""/-"
5,Lambs & Ivy Bow Wow 9-Piece Crib Bedding Set,2D3B3ACE,159.99,True,Nursery Bedding,Lambs & Ivy,,,,"-/10.5""/20"""
6,Lambs & Ivy Duchess 9 Piece Crib Bedding Set,40B3741C,159.99,True,Nursery Bedding,Lambs & Ivy,,pink,,"-/11""/20"""
7,Koala Baby First Love 4 Piece Crib Bedding Set - Elephant - Navy/Light Blue,84567307,99.99,False,Nursery Bedding,Babies R Us,,blue,,45&quot;/35&quot;/-
8,Disney Baby - Lion King 7 Piece Crib Set,9EAE4F62,159.99,True,Nursery Bedding,Disney Baby,,orange,,"28""/52""/-"
9,Lambs & Ivy Safari Express 9 Piece Bedding Set,DF2C294A,159.99,True,Nursery Bedding,Lambs & Ivy,,,,"52""/28""/-"
10,Carter's - Jungle Collection 7 Piece Crib Set,C4331B21,159.99,True,Nursery Bedding,Carters,,green / pink,,"45""/36""/-"
11,Petit Tresor Nuit 4 Piece Bed Set,F6D6B23F,159.99,True,Nursery Bedding,Petit Tresor,,gray,,-/-/-
12,Disney Baby - Peeking Pooh 7 Piece Crib Set,2CDEA49F,159.99,True,Nursery Bedding,Disney Baby Classic Pooh,,,wood,"28""/52""/-"
13,NoJo Jungle Babies 9-Piece Crib Bedding Set,A8D0A8E6,159.99,True,Nursery Bedding,NoJo,,tan / green,,"28""/52""/-"
