ID,Title,SKU,Price,Is_Discounted,Category,Company,Weight,Colors,Materials,Dimensions
1,Maclaren Limited Edition Quest in Denim,44151621.0,294.99,False,Strollers / Lightweight Strollers,Maclaren, 14.5 lb.,,aluminum,"31""/18.7""/41.8"""
2,Baby Cargo Series 300 Ultra-Lightweight Stroller in Smoke,43218783.0,189.99,False,Strollers / Lightweight Strollers,Baby Cargo,16.5 lb.,,plastic,"11""/12""/42.5"""
3,Simmons  Aluminum Tour DX Stroller,17957503.0,169.99,False,Strollers / Lightweight Strollers,Simmons,17.5 pounds.,,,"1/4""/1/2""/1/4"""
4,Cosco Juvenile Umbrella Stroller in Sleep Monsters,41282908.0,19.99,False,Strollers / Lightweight Strollers,Cosco,8 lbs.,,,-/-/-
5,Baby Cargo Series 100 Ultra-Lightweight Stroller in Pink/Slate,43218790.0,119.99,False,Strollers / Lightweight Strollers,Baby Cargo,11.6 lb.,,plastic,"10.75""/11""/42"""
6,Maclaren Techno XT Stroller in Charcoal,42620877.0,354.99,False,Strollers / Lightweight Strollers,Maclaren, 18 lb.,,aluminum,"32.6""/19.3""/44.4"""
7,babyhome Emotion Stroller in Purple,41518335.0,299.99,False,Strollers / Lightweight Strollers,babyhome,a scant 13 lbs.,,,-/-/-
8,UPPAbaby G-LITE Stroller in Jake,43209187.0,179.99,False,Strollers / Lightweight Strollers,UPPAbaby,,,,"32""/19.5""/42"""
9,Maxi-Cosi Kaia Stroller in Total Black,41341223.0,159.99,True,Strollers / Lightweight Strollers,Maxi-Cosi,19 lbs.,,,-/-/-
10,Baby Cargo Series 100 Ultra-Lightweight Stroller in Taupe/Sunset,43218806.0,119.99,False,Strollers / Lightweight Strollers,Baby Cargo,11.6 lb.,,plastic,"10.75""/11""/42"""
11,Chicco Liteway Plus Stroller in Surge,40851471.0,179.99,False,Strollers / Lightweight Strollers,Chicco, 19 lb.,,aluminum,-/-/-
12,Summer Infant 3D Flip Convenience Stroller in Now & Then Teal,44204884.0,129.99,False,Strollers / Lightweight Strollers,Summer Infant,14 lb.,,aluminum,"27""/18""/43"""
13,babyhome Emotion Stroller in Sky,43975075.0,299.99,False,Strollers / Lightweight Strollers,babyhome,13 lb.,,aluminum,"33""/18""/39"""
14,Joovy Groove Ultralight Umbrella Stroller in Red,42813941.0,189.99,False,Strollers / Lightweight Strollers,Joovy, 13.9 pounds,,aluminum,"30.5""/20.75""/42.5"""
15,Maclaren Techno XT Stroller in Black,40971384.0,354.99,False,Strollers / Lightweight Strollers,Maclaren,15.3 lbs.,,,"32.6""/19.3""/44.4"""
16,Maclaren 2015 Volo Stroller in Nautical Stripe,44708078.0,199.99,False,Strollers / Lightweight Strollers,Maclaren, 9.5 lb.,,aluminum,"31""/18.9""/40.94"""
17,Maxi-Cosi Kaia Stroller in Intense Red,41341230.0,159.99,True,Strollers / Lightweight Strollers,Maxi-Cosi,19 lb.,,,-/-/-
18,Baby Cargo Series 300 Ultra-Lightweight Stroller in Ocean,43218820.0,189.99,False,Strollers / Lightweight Strollers,Baby Cargo,16.5 lb.,,,"11""/12""/42.5"""
19,Chicco Liteway Plus 15 Stroller in Avena,43578672.0,179.99,False,Strollers / Lightweight Strollers,Chicco,,,,"35""/19""/40"""
20,babyhome Emotion Stroller in Cloud,43975129.0,299.99,False,Strollers / Lightweight Strollers,babyhome,13 lb.,,aluminum,"33""/18""/39"""
21,UPPAbaby G-LUXE Stroller in Ani,43209330.0,259.99,False,Strollers / Lightweight Strollers,UPPAbaby, 15 lb.,,aluminum,"8.5""/12""/42.5"""
22,Joovy Groove Ultralight Umbrella Stroller in Charcoal,42813958.0,189.99,False,Strollers / Lightweight Strollers,Joovy, 13.9 pounds,,aluminum,"30.5""/20.75""/42.5"""
23,Maclaren Techno XLR Stroller in Black/Champagne,40971438.0,424.99,False,Strollers / Lightweight Strollers,Maclaren,16.5 pounds.,,aluminum,"1/3""/4/5""/7/10"""
24,Maclaren Mark II Stroller in Silver,42573906.0,199.99,False,Strollers / Lightweight Strollers,Maclaren,7 lb.,,aluminum,"29.13""/18.75""/40.75"""
25,Maclaren Volo Stroller - Scarlet,40971179.0,149.99,False,Strollers / Lightweight Strollers,Maclaren,8.8 lbs.,,aluminum,"32""/4/5""/1/2"""
26,Maclaren Mark II Stroller in Spicy Orange,43321957.0,199.99,False,Strollers / Lightweight Strollers,Maclaren, 7 lb.,,aluminum,"29.13""/18.75""/40.75"""
27,babyhome Emotion Stroller in Black,41518342.0,299.99,False,Strollers / Lightweight Strollers,babyhome,a scant 13 lbs.,,aluminum,-/-/-
28,Bumbleride Flite Stroller in Aquamarine,41188552.0,269.99,False,Strollers / Lightweight Strollers,Bumbleride,,,aluminum,-/-/-
29,Inglesina Trip Stroller in Iris,43783472.0,199.99,False,Strollers / Lightweight Strollers,Inglesina,14.5 lb.,,aluminum,"19""/43""/30"""
30,Maclaren 2015 Volo Stroller in Dylan's Candy Bar,44708085.0,244.99,False,Strollers / Lightweight Strollers,Maclaren, 9.5 lb.,,aluminum,"31""/18.9""/40.94"""
31,Baby Jogger City Mini ZIP Stroller in Black,42469735.0,249.99,False,Strollers / Lightweight Strollers,Baby Jogger, 16 lb.,,,"39.5""/19.5""/39.5"""
32,Cosco Juvenile Umbrella Stroller in Noelle,42252955.0,19.99,False,Strollers / Lightweight Strollers,Cosco, 8 lbs.,,aluminum,-/-/-
33,UPPAbaby G-LUXE Stroller in Makena,43209378.0,259.99,False,Strollers / Lightweight Strollers,UPPAbaby, 15 lb.,,aluminum,"8.5""/12""/42.5"""
34,guzzie+Guss Sparrow Umbrella Stroller in Aqua,43662944.0,199.99,False,Strollers / Lightweight Strollers,Guzzie + Guss,13.5 lb.,,,"24""/17""/42"""
35,UPPAbaby G-LUXE Stroller in Denny,43209347.0,259.99,False,Strollers / Lightweight Strollers,UPPAbaby, 15 lb.,,aluminum,"8.5""/12""/42.5"""
36,Peg Perego Pliko Mini Stroller in Aquamarine,42867791.0,249.99,False,Strollers / Lightweight Strollers,Peg Perego, 13.5 lb.,,,"13""/13.5""/37.5"""
37,Maclaren Quest Stroller in Black,42007227.0,289.99,False,Strollers / Lightweight Strollers,Maclaren, 14 lbs.,,aluminum,"31""/18.7""/41.8"""
38,Maclaren Techno XLR Stroller in Charcoal/Scarlet,40971445.0,424.99,False,Strollers / Lightweight Strollers,Maclaren,16.5 pounds.,,aluminum,"1/3""/4/5""/7/10"""
39,Maclaren Volo Stroller in Black,40971186.0,149.99,False,Strollers / Lightweight Strollers,Maclaren,8.8 lbs.,,aluminum,"32""/4/5""/1/2"""
40,Kolcraft Cloud Umbrella Stroller in Red/Black,43494521.0,39.99,False,Strollers / Lightweight Strollers,Kolcraft, 11.4 lb.,,,"30""/17.6""/42"""
41,Combi Fold N Go Stroller in Salsa,44167301.0,229.99,False,Strollers / Lightweight Strollers,Combi,16.5 lb.,,,"41""/25""/38"""
42,guzzie+Guss 101 Goose Stroller in Grass,42563877.0,179.99,False,Strollers / Lightweight Strollers,Guzzie + Guss,,,,"28""/23.5""/40"""
43,Britax B-Agile 3 Stroller in Sandstone,43466252.0,269.99,False,Strollers / Lightweight Strollers,Britax, 16.5 lb.,,aluminum,"38.25""/22.75""/40.5"""
44,Maclaren Triumph Stroller in Scarlet,40971285.0,199.99,False,Strollers / Lightweight Strollers,Maclaren,11.6 lbs.,,aluminum,"2/5""/1/2""/3/4"""
45,Bumbleride Flite Stroller in Cayenne Red,41188576.0,269.99,False,Strollers / Lightweight Strollers,Bumbleride,,,aluminum,-/-/-
46,Inglesina Trip Stroller in Jeans,43783489.0,199.99,False,Strollers / Lightweight Strollers,Inglesina,14.5 lb.,,aluminum,"19""/43""/30"""
47,Chicco Ct 0.6 Comfort Travel Stroller in Tangerine,14995650.0,79.99,False,Strollers / Lightweight Strollers,Chicco,11 pounds and comes with a fashionable carry bag and carry strap making the Ct0.6 easy to transport.,,aluminum,"1/2""/19""/39"""
48,Maclaren 2015 Scarlet Collection Quest Stroller in Camilla Quilt,44708115.0,614.99,False,Strollers / Lightweight Strollers,Maclaren, 15.5 lb.,,metal / aluminum,"30.71""/18.31""/42.13"""
49,Maclaren Techno XLR Stroller in Dove/Orchid Smoke,40971506.0,424.99,False,Strollers / Lightweight Strollers,Maclaren,16.5 pounds.,,aluminum,"1/3""/4/5""/7/10"""
50,Baby Jogger City Mini ZIP Stroller in Red,42469742.0,249.99,False,Strollers / Lightweight Strollers,Baby Jogger, 16 lb.,,,"39.5""/19.5""/39.5"""
51,Maclaren Mark II Stroller in Black,44077259.0,199.99,False,Strollers / Lightweight Strollers,Maclaren, 7 lb.,,aluminum,"29.13""/18.75""/40.75"""
52,Quinny Senzz Stroller in Lagoon,18086034.0,429.99,False,Strollers / Lightweight Strollers,Quinny,16 pounds.,,,-/-/-
53,Cosco Juvenile Umbrella Stroller in American Stars,42252962.0,19.99,False,Strollers / Lightweight Strollers,Cosco, 8 lb.,,aluminum,-/-/-
54,Chicco Ct 0.6/Capri Stroller in Black,40009186.0,79.99,False,Strollers / Lightweight Strollers,Chicco,11 lbs but comes loaded with features!,,,-/-/-
55,UPPAbaby G-LUXE Stroller in Sebby,43209385.0,259.99,False,Strollers / Lightweight Strollers,UPPAbaby, 15 lb.,,aluminum,"8.5""/12""/42.5"""
56,Summer Infant 3D lite Convenience Stroller in Black/Silver,43850082.0,79.99,False,Strollers / Lightweight Strollers,Summer Infant, 12 lb.,,aluminum,"27""/18""/-"
57,Maclaren Mark II Stroller in Midnight Navy,42573883.0,199.99,False,Strollers / Lightweight Strollers,Maclaren, 7 lb.,,aluminum,"29.13""/18.75""/40.75"""
58,guzzie+Guss Sparrow Umbrella Stroller in Green,43662951.0,199.99,False,Strollers / Lightweight Strollers,Guzzie + Guss,13.5 lb.,,,"24""/17""/42"""
59,UPPAbaby G-LUXE Stroller in Ella,43209354.0,259.99,False,Strollers / Lightweight Strollers,UPPAbaby, 15 lb.,,aluminum,"8.5""/12""/42.5"""
60,Maclaren Quest Stroller in Scarlet/Black,42084242.0,289.99,False,Strollers / Lightweight Strollers,Maclaren,,,aluminum,-/-/-
61,Maclaren Globetrotter Stroller in Black,40971223.0,179.99,False,Strollers / Lightweight Strollers,Maclaren,10.6 lbs.,,,"1/2""/3/5""/1/2"""
62,Maclaren Triumph Stroller in Dove/Jelly Bean,40971469.0,199.99,False,Strollers / Lightweight Strollers,Maclaren,11.6 lbs.,,aluminum,"2/5""/1/2""/3/4"""
63,Summer Infant 3D lite Convenience Stroller in Greenwich Green,43850068.0,79.99,False,Strollers / Lightweight Strollers,Summer Infant, 12 lb.,,aluminum,"27""/18""/-"
64,Maclaren Volo Stroller - Festival Fuchsia/Charcoal,40971193.0,149.99,False,Strollers / Lightweight Strollers,Maclaren,8.8 lbs.,,aluminum,"32""/4/5""/1/2"""
65,Chicco Liteway Plus Stroller in Pulse,43641802.0,179.99,False,Strollers / Lightweight Strollers,Chicco,19 lb.,,aluminum,35''/19''/40''
66,guzzie+Guss 101 Goose Stroller in Grey,42563884.0,179.99,False,Strollers / Lightweight Strollers,Guzzie + Guss,,,,"28""/23.5""/40"""
67,Britax B-Agile 3 Stroller in Sapphire,43998661.0,269.99,False,Strollers / Lightweight Strollers,Britax, 16.5 lb.,,aluminum,"38.5""/23""/40.5"""
68,Britax B-Agile 3 Stroller in Limeade,43998685.0,269.99,False,Strollers / Lightweight Strollers,Britax, 16.5 lb.,,aluminum,"38.5""/23""/40.5"""
69,Maclaren Triumph Buggy Stroller in Black,40971292.0,199.99,False,Strollers / Lightweight Strollers,Maclaren,11.6 lbs.,,aluminum,"32.4""/18.5""/40.75"""
70,Jane Nanuq Lightweight Umbrella Stroller in Flame,44127220.0,249.99,False,Strollers / Lightweight Strollers,Jane, 13.9 lb.,,aluminum,"32""/19""/43"""
71,Bumbleride Flite Stroller in Fog Grey,41188583.0,269.99,False,Strollers / Lightweight Strollers,Bumbleride,,,aluminum,-/-/-
