ID_A,ID_B,Title_A,Title_B,Model_Number_A,Model_Number_B,Brand_A,Brand_B,Price_A,Price_B
1549,2172,Whistler Laser Radar Detector with Enhanced High Performance Improved Ka Band Sensitivity Ka Max Mode,rooCASE Dual Station Premium Leather Magenta Case Cover with Stand for Apple iPad 2 Wifi 3G Model 16GB 32GB 64GB,XTR690 SE,,Whistler,rooCASE,178.88,29.92
2278,3925,Mutant MIG-PS1-3 Media Yo Yo Amplified Speaker White,Coby DP700BLK 7-Inch Digital Picture Frame Black,MIG-PS1-3,DP700BLK,Mutant,Coby,14.88,29.26
1628,12098,Targus 15.6  Spruce EcoSmart Messenger Bag,StarTech.com 8-Inch LFH 59 Male to Dual Female DVI I DMS 59 Cable DMSDVIDVI1,TBM015US,DMSDVIDVI1,Targus,StarTech,56.63,14.99
1825,11460,Belkin F2N028-06-GLD Gold Series Monitor Replacement Cable,Sony VCT-50AV Remote Control Tripod for use with Compatible Sony Camcorders,F2N028-06-GLD,VCT-50AV,Belkin,Sony,7.88,51.33
2019,13127,Wintec FileMate 4GB CompactFlash Memory Card,Franklin TES-118 English Spanish Translator,3FMCF4GB-R,TES-118,Wintec,Franklin Electronics,15.98,
1702,13938,Smead Folders Front Interior Pocket Straight End Tab Letter Manila 50 Box,Westcott 15179 - Kleenearth Scissors 8 Length 3-1 4 Cut 2 Pack,24117,,,Westcott,45.94,
633,9630,EVGA Nvidia GeForce GT 430 Graphics Card with 1024MB DDR3 Memory,Samsung Replacement USB Data Charging Cable for Samsung SPH-M330 SCH-R100 SGH-T939 SCH-R850,01G-P3-1430-LR,APCBU10BBEBSTD,EVGA,Samsung,82.92,1.61
1338,19414,Kroo iPad iCap Black,Outfit Mist Touch 4G Teal wht,11929,GB02008,Kroo,Griffin Technology,28.88,14.54
91,12057,Dane-Elec 8GB High-Speed Compact Flash Memory Card,ViewSonic VA2431WM 24-Inch Widescreen LCD Monitor with Speakers,DACF3008GC,VA2431WM,DANE-ELEC,ViewSonic,44.88,
1067,1850,Belkin 12 Y Audio Cable,Nikon Coolpix S5100 12 MP Digital Camera with 5x Optical Vibration Reduction VR Zoom and 2.7-Inch LCD Blue,F8V235-12,S580 Blue,Belkin,Nikon,4.87,
1292,18544,Peerless Slimline Universal Ultra Slim Tilt Mount for 22 to 40 Ultra Thin Screens Weighing Up to 60 lb,New-Stanley Bostitch B5000BLK - Antimicrobial Full Strip Metal Stapler 20-Sheet Capacity Black - BOSB5000BLK,,,Peerless,Stanley,143.99,34.61
1546,12226,Royal DS3 Postal Rate Scale,Brother TN-620 Toner Cartridge,DS3,TN620,Royal,Brother,24.54,47.99
2043,4319,Draper Truss-Style Dress Kit Black Velour,Ape Case Ac252 Tri-Fold Travel Wallet Digital Camera Case Camcorder Bags Camera Bags,222045,,Draper,Ape Case,1584.0,
1100,19210,Philips GoGear Ariaz MP3 Player,Brother TZ Tape Cartridge for P-Touch Labeler 1-1 2w Black on White,SA3ARA08K/37,,Philips,Brother,78.88,20.45
533,19301,Vantec Nexstar3 2.5  SATA to USB 2.0 and eSATA External Hard Drive Enclosure Midnight Blue,Imation - 20 x CD-R - 700 MB 80min 52x - slim jewel case - storage media,NST-260SU-BL,,Vantec,Imation,23.0,16.99
2113,6091,Da-Lite Video Spectra 1.5 Model C with CSR Manual Screen - 7 x 9 AV Format,ASUS Skype Videophone and Photo Frame SV1TPW White,82976,VIDEOPHONE Photo SV1TPW,Da-Lite,Asus,697.99,203.23
655,10060,Case Logic Universal MP3 Armband Clear Front Panel Gray,Yamaha YDS-12BL iPod Dock Black,UMA-102GRAY,YDS-12BL,Case Logic,Yamaha,10.09,64.98
1675,20836,Storex Portable File Storage Box w Organizer Lid Black,Optoma TX542 XGA 2800 lumen networkable DLP Multimedia Projector,61510U01C,TX542,,Optoma,25.0,1299.99
665,21415,Adobe Photoshop and Premiere Elements 9 Windows and Mac,Black iPhone 4 4G LCD Touch Digitizer Screen Assembly,65087226,,Adobe,OEM SYSTEMS COMPANY,140.7,51.0
2076,1486,iFrogz iPod iPhone Lux Car Charger Red,Speck PixelSkin for iPod touch 2G 3G Green,CHARGERLUXRED,IT2-PXL-GRN,iFrogz,Speck,11.0,4.95
2320,16907,StarTech.com PYO3SATA 4in SATA Power Y Splitter Adapter Cable,MAXSA INNOVATIONS 47774 SOLAR MARKER LIGHT BLUE,PYO3SATA,,StarTech,Sharp,8.88,16.0
1310,2906,EDGE 256MB 1X256MB PC2100 NONECC UNBUFFERED 184 PIN DDR DIMM,jWIN JBM44 PC Gaming Stereo Backphone with Microphone,PE158842,JBM44,EDGE,jWIN,11.88,
2460,17456,Sony Eyepiece Cup,New-Cardinal 11957 - Heavyweight Vinyl Slant-D Ring Binder With Finger Hole 5 Capacity Maroon - CRD11957,FDAEP5AM,,Sony,Cardinal,12.0,61.0
415,6867,Sony BDP-S360 1080p Blu-ray Disc Player- Refurbished,iTEKIRO AC Wall DC Car Battery Charger Kit for Pentax D-BC72 iTEKIRO MP3 MP4 Mini Speaker,RBBDP-S360,Pentax D-BC72,Sony,iTEKIRO,79.0,14.94
722,8256,Peerless Paramount Articulating Flat Panel Wall Arm 37 to 60 Screens,Nebraska Cornhuskers iPhone 3G Silicone Cover,,,Peerless,Tribeca,209.99,17.99
1553,2544,Ematic Universal eBook Reader Accessory Kit,4 Pack Of Compatible Toner Cartridges 1 Black 1 Cyan 1 Magenta 1 Yellow For Use With HP LaserJet 2550 2820 And 2840 Printers,EA103,HP LJ 2550 Series Printers,Ematic,Ink Tank,18.88,69.0
243,18970,Post-it Notes Original Notes Canary Yellow,New-MIDLAND XTC100VP2 MICRO-ACTION CAMERA WITH ASSORTED MOUNTS - MDLXTC100VP2,659YW,,POST-IT,Midland,45.0,104.75
1504,13244,Avery 2  Heavy Duty View Binder with EZD Ring Navy Blue,Wintec FileMate Imagine Series K2010 USB Standard Keyboard - Jet Black 3FMNK2010UBK-R,79802,3FMNK2010UBK-R,Avery,Wintec,7.97,15.99
1381,9257,Samsung C3050 GSM Cell Phone Gray Unlocked,Western Digital 250 GB SATA 3.0 Gb-s 64 MB Cache 3.5-Inch Internal Bare-OEM Drives WD2503ABYX,C3050,WD2503ABYX,Samsung,Western Digital,74.99,64.99
