ID_A,ID_B,Flag,Title_A,Title_B,Model_Number_A,Model_Number_B,Brand_A,Brand_B,Price_A,Price_B
2514,20427,,Mach Speed CarTunes Max Range FM Transmitter MP3 Player,Mach Speed Cartunes Max FM Transmitter,CARTUNESMAX,MP3-CARTUNES MAX,Mach Speed,Mach Speed,29.99,21.99
1209,16936,,Xantech 283Dmw Designer Blink Emitter Single Mini Wire,XANTECH 283DMW DESIGNER BLINK EMITTER SINGLE MINI WIRE,283DMW,,Xantech,Xantech,11.88,13
1234,18429,,ACD Systems ACDSee Pro 4-Box Full Version,Acdsee Pro 4 Box Full Version,ACDCD70845WI,ACDPRO4BX,ACD Systems,ACD Systems,239.99,217.58
137,2577,,Casio XJ-A235U Green Slim DLP Projector,Casio Green Slim Line Projector XJ-A235U,XJA235U,XJ-A235U,Casio,Casio,1199.99,
414,285,,National Brand Texhide Accounting Book Black Burgundy 10 3 8 x 8 3 8,National Brand 56211 - Texhide Accounting Book Black Burgundy 150 Green Pages 10 3 8 x 8 3 8,56211,,National Products Ltd.,National,25.94,
2306,10516,,Clickfree C2 500GB USB 3.0 Portable External Hard Drive,Clickfree Automatic Backup C2 500 GB USB 3.0 Portable External Hard Drive 527B3 Piano Black,HD527B3,527B3,Clickfree,Clickfree,84.98,99.72
462,18390,,EXPO Low-Odor Dry Erase Marker Eraser   Cleaner Chisel Fine 12 Set,New-EXPO 80054 - Low-Odor Dry Erase Marker Eraser Cleaner Chisel Fine 12 Set - SAN80054,80054,,EXPO,Expo,21.94,
304,19300,,Inland Pro iPhone and iPod 3-in-1 Charging Kit,Inland Pro iPhone and iPod 3-In-One Charging Kit,08521,08521,Inland,Inland,9.84,9.84
1954,11439,,StarTech 3-Port 2b 1a 1394 Mini PCI Express FireWire Card Adapter,StarTech.com 3 Port 2b 1a 1394 Mini PCI Express FireWire Card Adapter MPEX1394B3,MPEX1394B3,MPEX1394B3,StarTech,StarTech,69,61.24
223,17535,,Uniden 1360BK Desktop Corded Phone with Caller ID Black,UNIDEN 1360BK DESKTOP CALLER ID CORDED PHONE WITHOUT ANSWERING SYSTEM,1360BK,,Uniden,Uniden,23.98,38.98
