ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
1,Draper,Draper Infrared Remote Transmitter,58.45,,121066,2.0,
2,Epson,Epson 1500 Hours 200W UHE Projector Lamp ELPLP12,438.84,Epson ELPLP12  Replacement Lamp,ELPLP12,0.95,6.75 x 5.75 x 5.5 inches
3,Comprehensive,Comprehensive Two-Piece 75 Precision BNC Jack for RG-59 Set of 25,59.25,,BJ-2C7559,0.05,
4,D-Link,D-Link DCS-1100 Network Camera,99.82,The D-Link DCS-1100 Network Camera comes with everything you need to quickly add a surveillance camera to your home or small office network. It works right out of the box. Simply connect the cables plug in the camera run the short installation wizard and setup is complete. To view what the camera is seeing simply log on to mydlink.com choose your device and start viewing there is no need to configure your router to open up ports or remember hard-to-memorize Internet addresses.,DCS-1100,,
5,StarTech,StarTech.com RKPW247015 24 Outlet Power Strip,59.0,The StarTech.com RKPW247015 24 Outlet Power Strip provides a 0U solution for your rackmount equipment and fits most 42U racks and equipment cabinets. The 10 ft. power cord provides plenty of reach to power outlets and the 24 evenly spaced outlets help keep power cabling clean and efficiently routed.,RKPW247015,5.25,72.5 x 2.5 x 1.5 inches
6,3M,3M FR530CB Ergonomic Adjustable Footrest,67.88,This adjustable footrest offers an ergonomic design that positions you properly to help reduce back neck and leg strain and prevent fatigue. An extra-wide platform allows more foot and leg movement and its independently adjustable height and tile allows exact positioning. Exclusive Safety-Walk Slip Resistant Material on platform keeps your feet from slipping.,FR530CB,10.5,21.6 x 13.5 x 4.05 inches
7,HP,HP C6020B Coated Paper 1 roll 36-inches x 150 ft,49.88,The HP C6020B Coated Paper is ideal for color-accurate everyday prints and design proofs. Economical bright white paper captures vivid high-resolution color and dense black images. Offers bright white plus excellent indoor light fastness for lasting vivid color. Coated paper has exceptional bleed control and high resolution for clear sharp images. Can be printed with dye or pigment inks for the broadest application possibilities and printing flexibility.,C6020B,9.78,33.98 x 3.83 x 3.83 inches
8,Visioneer,Visioneer RW120-WU RoadWarrior Sheetfed Scanner,199.98,The Visioneer RoadWarrior is the perfect companion for the mobile professional. Weighing just 10.6 ounces it produces fast and easy 36-bit color scans to organize all of your receipts business cards documents and photos up to 600 dpi in all major file formats including searchable PDF. The RoadWarrior packs easily in a laptop bag and is powered by the USB port to scan wherever AC power is unavailable.,RW120-WU,1.85,11.4 x 2.0 x 1.5 inches
9,Brother,Brother DK2113 QL Label Printers Continuous Length Tape,64.88,Make sign and banner creation a breeze. Make them quickly and professionally with these film tape and P-touch Label Printers QL-500 QL-550 and QL-650TD. You can print directly from Microsoft Word Excel or Access with just a click. Or have fun and get creative using Brother,DK2113,0.55,4.5 x 4.5 x 3.6 inches
10,3M,3M MW310LE Gel Mouse Pad,17.88,Mouse pad with wrist rest features 3M Precise Optical Mousing Surface for better performance and gel comfort to encourage neutral wrist posture. Mousing surface extends battery life of wireless mice up to 75 percent. Antimicrobial additive inhibits the growth of microorganisms such as bacteria that can cause stains odors and product degradation.,MW310LE,0.95,9.63 x 7.65 x 0.36 inches
11,LaCie,LaCie Formoa 15  MacBook Carrying Case Black,15.0,The LaCie ForMoa line of carrying cases is a convenient way for you to carry your netbook. Designed by Sam Hecht the ForMoa has handles that you can either use or remove giving you the option to carry it or use it as a sleeve. With its three pockets you can carry your power supply and any other accessories you need letting you take it all with you. Its Neoprene exterior with protective bubbles and inside suede lining means that your laptop is secure against small bumps and scratches. Whether you use the handles or not you can be sure that your electronic gear will always be safe.,130935,1.3,16.1 x 11.5 x 0.9 inches
12,Draper,Draper High Contrast Grey Targa Electric Screen  - WideScreen 182 diagonal,1730.95,,116263,100.0,
13,Draper,Draper AT1200 Access MultiView Series E Acoustically Transparent Screen - 106 diagonal HDTV to NTSC Format,4375.95,,106018,96.0,
14,Stanley,Stanley 500 Watt Power Inverter,34.88,The 500 Watt Power Inverter has 500 continuous watts of power two 110 power outlet and a USB power outlet. There are four position mounting grommets and direct battery mounts. Includes battery clips and DC plug. Also has an overload protection battery alarm short circuit protection and fault interrupter. ETL Listed.,PC509,2.6,9.75 x 5.0 x 2.25 inches
15,Gear Head,Gear Head Quick 1.3MP Webcam with Night Vision Red Black,15.98,Chat face-to-face with your friends - even when you re miles away - with the Gear Head 1.3 megapixel Webcam. Record high-quality videos and send them to friends and family or keep up with relatives on the other side of the country. With the Gear Head 1.3 megapixel Webcam you re never too far away.,WC1200RED,1.5,7.2 x 4.4 x 3.5 inches
