ID_A,ID_B,Name_A,Name_B,Address_A,Address_B,Phone_A,Phone_B
771,6,'evergreen cafe','bernard\'s','1288 1st ave. at 69th st.','515 s. olive st.',212/744-3266,213-612-1580
735,317,'cafe bianco','campton place','1486 2nd ave.  between 77th and 78th sts.','340 stockton st.',212/988-2655,415-955-5555
936,273,'la grotta at ravinia dunwoody rd.',pisces,'holiday inn/crowne plaza at ravinia  dunwoody','95 ave. a',770/395-9925,212-260-6660
831,142,'lucky strike','103 west','59 grand st.  between wooster st. and w. broadway','103 w. paces ferry rd.',212/941-0479,404-233-5993
708,106,'west beach cafe','sam\'s noodle shop','60 n. venice blvd.','411 third ave.',310/823-5396,212-213-2288
1049,322,'stars cafe','khan toke thai house','500 van ness ave.','5937 geary blvd.',415/861-4344,415-668-6654
769,40,'empire korea','main course  the','6 e. 32nd st.','10509 w. pico blvd.',212/725-1333,310-475-7564
924,191,'city grill','cha cha cha\'s','50 hurt plaza','1805 haight st.',404/524-2489,415-386-5758
967,30,'cafe roma','johnny reb\'s southern smokehouse','3570 las vegas blvd. s','4663 long beach blvd.',702/731-7547,310-423-7327
590,149,'river cafe','brookhaven cafe','1 water st. at the east river','4274 peachtree rd.',718/522-5200,404-231-5907
588,44,pisces,'michael\'s (los angeles)','95 ave. a at 6th st.','1147 third st.',212/260-6660,310-451-0843
978,54,'margarita\'s mexican cantina','poquito mas','3120 las vegas blvd. s','2635 w. olive ave.',702/794-8200,818-563-2252
904,247,verbena,'carmine\'s','54 irving pl. at 17th st.','2450 broadway',212/260-5454,212-362-2200
987,15,2223,'chez melange','2223 market st.','1716 pch',415/431-0692,310-540-1222
888,2,'sweet\'n\'tart cafe','asahi ramen','76 mott st. at canal st.','2027 sawtelle blvd.',212/334-8088,310-479-2231
1013,63,helmand,'sweet lady jane','430 broadway','8360 melrose ave.',415/362-0641,213-653-7145
534,274,'arnie morton\'s of chicago','rainbow room','435 s. la cienega blv.','30 rockefeller plaza',310/246-1501,212-632-5000
1062,174,'yank sing','nuevo laredo cantina','427 battery st.','1495 chattahoochee ave. nw',415/541-4949,404-352-9009
744,250,'caffe lure',daniel,'169 sullivan st.  between houston and bleecker sts.','20 e. 76th st.',212/473-2642,212-288-0033
952,32,'south of france','killer shrimp','2345 cheshire bridge rd.','4000 colfax ave.',404/325-6963,818-508-1570
571,141,'island spice','tre visi','402 w. 44th st.','3799 las vegas blvd. s.',212/765-1737,702-891-7331
689,306,orleans,'nikolai\'s roof','11705 national blvd.','255 courtland st.',310/479-4187,404-221-6362
847,82,'new york kom tang soot bul house','il mulino','32 w. 32nd st.','86 w. third st.','212/ 947-8482',212-673-3783
729,192,bouterin,'doidge\'s','420 e. 59th st.  off 1st ave.','2217 union st.',212/758-0323,415-921-2149
615,78,'georgia grille','edison cafe','2290 peachtree rd.  peachtree square shopping center','228 w. 47th st.',404/352-3517,212-840-5000
985,215,'viva mercado\'s','trio cafe','6182 w. flamingo rd.','1870 fillmore st.',702/871-8826,415-563-2248
770,330,'ernie\'s','rose pistola','2150 broadway  between 75th and 76th sts.','532 columbus ave.',212/496-1588,415-399-0499
1015,5,'hong kong villa','benita\'s frites','2332 clement st.','1433 third st. promenade',415/752-8833,310-458-2889
1009,27,'harbor village','joe\'s','4 embarcadero center','1023 abbot kinney blvd.',415/781-8833,310-399-5811
989,226,'bardelli\'s','fenix at the argyle','243 o\'farrell st.','8358 sunset blvd.',415/982-0243,213-848-6677
665,220,dive!,'art\'s deli','10250 santa monica blvd.','12224 ventura blvd.',310/788-,818-762-1221
733,226,c3,'fenix at the argyle','103 waverly pl.  near washington sq.','8358 sunset blvd.',212/254-1200,213-848-6677
622,245,'pano\'s and paul\'s','cafe lalo','1232 w. paces ferry rd.','201 w. 83rd st.',404/261-3662,212-496-6031
