ID_A,ID_B,Flag,Name_A,Name_B,Address_A,Address_B,Phone_A,Phone_B
713,3,0,aja,'baja fresh','937 broadway at 22nd st.','3345 kimber dr.',212/473-8388,805-498-4049
665,4,0,dive!,'belvedere  the','10250 santa monica blvd.','9882 little santa monica blvd.',310/788-,310-788-2306
963,7,0,bistro,'bistro 45','3400 las vegas blvd. s','45 s. mentor ave.',702/791-7111,818-795-2478
731,11,0,bruno,'bruno\'s','240 e. 58th st.','3838 centinela ave.',212/688-4190,310-397-5703
973,20,0,feast,'feast from the east','2411 w. sahara ave.','1949 westwood blvd.',702/367-2411,310-475-0400
963,73,0,bistro,'corner bistro','3400 las vegas blvd. s','331 w. fourth st.',702/791-7111,212-242-9502
909,95,0,west,'mitali east-west','63rd street steakhouse 44 w. 63rd st.','296 bleecker st.',212/246-6363,212-989-1367
549,101,0,'the palm',palm,'9001 santa monica blvd.','837 second ave.',310/550-8811,212-687-2953
892,114,0,'teresa\'s','teresa\'s','103 1st ave.  between 6th and 7th sts.','80 montague st.',212/228-0604,718-520-2910
909,118,0,west,'westside cottage','63rd street steakhouse 44 w. 63rd st.','689 ninth ave.',212/246-6363,212-245-0800
788,121,0,'fujiyama mama',yama,'467 columbus ave.  between 82nd and 83rd sts.','122 e. 17th st.',212/769-1144,212-475-0969
969,125,0,'carnival world','buzio\'s in the rio','3700 w. flamingo rd.','3700 w. flamingo rd.',702/252-7777,702-252-7697
689,126,0,orleans,'emeril\'s new orleans fish house','11705 national blvd.','3799 las vegas blvd. s.',310/479-4187,702-891-7374
969,127,0,'carnival world','fiore rotisserie & grille','3700 w. flamingo rd.','3700 w. flamingo rd.',702/252-7777,702-252-7702
554,137,0,spago,'spago (las vegas)','1114 horn ave.','3500 las vegas blvd. s.',310/652-4025,702-369-6300
962,138,0,'binion\'s coffee shop','steakhouse  the','128 fremont st.','128 e. fremont st.',702/382-1600,702-382-1600
974,139,0,'golden nugget hotel','stefano\'s','129 e. fremont st.','129 fremont st.',702/385-7111,702-385-7111
976,139,0,'lillie langtry\'s','stefano\'s','129 e. fremont st.','129 fremont st.',702/385-7111,702-385-7111
909,142,0,west,'103 west','63rd street steakhouse 44 w. 63rd st.','103 w. paces ferry rd.',212/246-6363,404-233-5993
893,143,0,terrace,'alon\'s at the terrace','400 w. 119th st.  between amsterdam and morningside aves.','659 peachtree st.',212/666-9490,404-724-0444
963,146,0,bistro,'bistro  the','3400 las vegas blvd. s','56 e. andrews dr. nw',702/791-7111,404-231-5733
867,177,0,rain,'rainbow restaurant','100 w. 82nd st.','2118 n. decatur rd.',212/501-0776,404-633-3538
534,219,,'arnie morton\'s of chicago','arnie morton\'s of chicago','435 s. la cienega blv.','435 s. la cienega blvd.',310/246-1501,310-246-1501
535,220,,'art\'s delicatessen','art\'s deli','12224 ventura blvd.','12224 ventura blvd.',818/762-1221,818-762-1221
536,221,,'hotel bel-air','bel-air hotel','701 stone canyon rd.','701 stone canyon rd.',310/472-1211,310-472-1211
