ID_A,ID_B,Flag,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
4066,2165,,Spindletop,Fairbanks Ranch Country Club,77002,92067,1200 Louisiana St,15150 San Dieguito Rd
1261,4197,,Tam's Cuisine of China,District 7 Pizzeria,94044,77003,494 Manor Plz,2117 Chenevert St
4906,341,,Rock Bottom In Naples,Amm Tech Solutions,34108,,871 Vanderbilt Beach Rd,Serving Sunnyvale and the Surrounding Area
3930,4561,,Grind and Grape,Dr. Tattoff,32963,30326,925 Bougainvillea Ln,3637 Peachtree Rd
9641,2810,,Oliver's Pizza & Pub,Ise Japanese Restaurant,61616,10005,1231 E Samuel Ave,56 Pine St
11607,1546,,Thai Express,Walmart Distribution Center,20878,89434,351 Kentlands Blvd,2155 USA Pkwy
660,954,,Millie Ko,Best Of Burma,94061,94401,38 Woodside Plz,146 E 3rd Ave
5822,2963,,California Pizza Kitchen,Copper Face Jacks,63117,10601,1493 Saint Louis Galleria,166 Mamaroneck Ave
720,3473,,Prima Deli,Red Window Coffee,94061,90210,2115 Roosevelt Ave,Studio City
1861,5540,,Cafe Venezia,The Mind Body Whisperer,90067,19807,10250 Santa Monica Blvd,230 Presidential Dr
811,2015,,Angelicas,The Peninsula Beverly Hills,94063,90212,863 Main St,9882 S Santa Monica Blvd
10973,1946,,Gino's Pizza,SUGARED + BRONZED,25801,90212,1334 Harper Rd,9873 S Santa Monica Blvd
7897,2903,,Cafe Muse By Mosaic Foods,Taj Palace,58102,10601,704 1st Ave N,95 S Broadway
2019,5461,,Fresco Trattoria,Oddity Bar,92009,19805,3263 Camino De Los Coches,500 Greenhill Ave
7995,3391,,Good Luck Chicken & Seafood,Chicago Locksmiths,75215,,2642 Malcolm X Blvd,Serving Chicago and the Surrounding Area
4569,3347,,Delight,Sixty Five Chinese Restaurant,30326,60606,3393 Peachtree Rd NE Ste 1005,201 W Madison St
3074,3290,,McCarty's,Lyric Opera of Chicago,33480,60606,50 Cocoanut Row,20 N Wacker Dr
10069,2264,,Pie Five Pizza Co,Webb Ranch Farmers Market,67207,94028,"2755 New Maze rd, Wichita KS, 67207",2720 Alpine Rd
4449,2998,,Zodiac Restaurant,Prima Deli & Catering,30326,10603,3393 Peachtree Rd NE,31 Lake St
1422,5828,,Shiok Singapore Kitchen,World Cup Gymnastics,94025,10514,1137 Chestnut St,170 Hunts Ln
8448,3350,,Pappasito's Cantina,Potbelly Sandwich Shop,77069,60604,7050 Fm 1960 Rd W,175 W Jackson Blvd
2130,1840,,Flea Street Cafe,El Grullense II,94025,94063,3607 Alameda De Las Pulgas,2940 Middlefield Rd
5757,5837,,Haveli Indian Restaurant,Cosmetic Boutique,63132,10514,9720 Page Ave,18 S Greeley Ave
735,3689,,Bay Cafe Restaurant & Banquets,Jorquera Sarah,94303,10506,1875 Embarcadero Rd,460 Old Post Rd
