ID_A,ID_B,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
1016,955,The Melting Pot,Melting Pot,94401.0,94401.0,2 N B St,2 N B St
810,1740,El Grullense E & E,El Grullense,94063.0,94063.0,2401 Middlefield Rd,795 5th Ave
740,1732,Round Table Pizza,Round Table Pizza,94025.0,94025.0,1225 El Camino Real,1225 El Camino Real
624,540,Waterfront Pizza,Waterfront,94404.0,94404.0,969 Edgewater Blvd,969 D Edgewater Blvd
111,1742,Chantilly Restaurant,Chantilly Restaurant,94061.0,94061.0,3001 El Camino Real,3001 El Camino Real
222,187,Mio Vicino,Mio Vicino,95050.0,95050.0,1290 Benton St,1290 Benton St
3863,3955,Di Mare,Di Mare Vero Beach,32963.0,32963.0,1517 Ocean Dr,1517 Ocean Dr
1920,2046,Veladora,Veladora,92067.0,92067.0,5921 Valencia Cir,5921 Valencia Cir
6141,6105,Sbarro,Sbarro,60045.0,60045.0,13783 W Oasis Service Rd,13783 W Oasis Service Rd
1591,2239,El Cerrito Mexican Restaurant,El Cerrito Mexican Restaurant,94025.0,94025.0,325 Sharon Park Dr Ste B4,325 Sharon Park Dr
3781,3852,Orange Leaf Frozen Yogurt at The Rim,Orange Leaf Frozen Yogurt,78257.0,78257.0,6028 Worth Parkway,6028 Worth Parkway
4673,4598,Starbucks Coffee,Starbucks,11030.0,11030.0,375 Plandome Rd,375 Plandome Rd
1716,683,Karakade,Karakade Thai Cuisine,94061.0,94061.0,593G Woodside Rd,593 G Woodside Rd
6173,6092,House Of Peking,House of Peking,60040.0,60040.0,846 Sheridan Rd,846 Sheridan Rd
4061,4145,Fish,The Fish,77002.0,77002.0,309 Gray St # 107,309 Gray St
4577,4462,Sarku Japan,Sushi Bar Sarku Japan,30326.0,30326.0,"3393 Peachtree Rd NE , Space#1013",Buckhead
3789,3775,The Grill At Leon Springs,The Grill at Leon Springs,78257.0,78257.0,24116 W Interstate 10,24116 IH-10 W
1485,1815,Su Hong-Menlo Park,Su Hong-Menlo Park,94025.0,94025.0,1039 El Camino Real,1039 El Camino Real
5338,5278,The Kitchen Table At Pound Ridge,The Kitchen Table,10576.0,10576.0,71 Westchester Ave,71 Westchester Ave
3988,3943,Avanzare Ristorante,Avanzare Ristorante,32960.0,32960.0,1932 14th Ave,1932 14th Ave
2302,2412,Coupa Cafe,Coupa Cafe,90210.0,90210.0,419 N Canon Dr,419 N Canon Dr
3299,3257,Naansense,Naansense,60606.0,60606.0,171 N Wells St,171 N Wells St
4258,4298,Blue Mesa Grill,Blue Mesa Grill,75225.0,75225.0,7700 W Northwest Hwy,7700 W NW Hwy
3319,3255,Starbucks Coffee,Starbucks,60606.0,60606.0,200 W Madison St,233 S Wacker Dr
3045,3112,PB Catch,PB Catch,33480.0,33480.0,251 Sunrise Ave,251 Sunrise Ave
2909,2965,Marketplace Cafe - Nordstrom The Westchester,The Westchester,10601.0,10601.0,135 Westchester Ave,125 Westchester Ave
2905,2895,Trevi Ristorante,Trevi Ristorante,10604.0,10604.0,11 Taylor Sq,11 Taylor Sq
5789,5726,Sarku Japan Sushi Bar,Sarku Japan Sushi Bar,63117.0,63117.0,1155 Saint Louis Galleria,1155 Saint Louis Galleria
2174,2236,Restaurant Mitsunobu,Mitsunobu,94025.0,94025.0,325 Sharon Park Dr Ste A2,325 Sharon Park Dr
567,1251,The Counter,The Counter - San Mateo,94403.0,94403.0,41 W Hillsdale Blvd,41 W Hillsdale Blvd
2157,2218,Old Port Lobster Shack,Old Port Lobster Shack,94028.0,94028.0,3130 Alpine Rd,3130 Alpine Rd
5024,5021,Gibsons Bar & Steakhouse - Chicago,Gibsons Bar & Steakhouse,60611.0,60611.0,1028 N Rush St,1028 N Rush St
4371,4306,California Pizza Kitchen,California Pizza Kitchen,75225.0,75225.0,8411 Preston Rd Ste 124,8411 Preston Road
1203,1024,Zola,Zola,94301.0,94301.0,565 Bryant St,565 Bryant St
2939,2892,Aquario Restaurant,Aquario Restaurant,10604.0,10604.0,141 Lake St,141 E Lake St
5446,5310,Barolo Restaurant,Barolo,6840.0,6840.0,136 Main St,136 Main St
6045,5965,MH Fish House,MH Fish House,60045.0,60045.0,670 N Bank Ln,670 Bank Lane
822,807,I Dumpling,I Dumpling,94063.0,94063.0,2660 Broadway St,2660 Broadway St
1058,1144,Steam,Steam,94301.0,94301.0,209 University Ave,209 University Ave
878,1742,Chantilly Restaurant,Chantilly Restaurant,94061.0,94061.0,3001 El Camino Real,3001 El Camino Real
862,904,Little China Kitchen,Little China Kitchen,94401.0,94401.0,215 E 3rd Ave,215 E 3rd Ave
4021,4028,The Quilted Giraffe,The Quilted Giraffe,32962.0,32962.0,500 S US Highway 1,500 S US 1
1556,2233,Starbucks Coffee,Starbucks,94025.0,94025.0,693 Santa Cruz Ave,325 Sharon Park Dr
1617,1724,Stacks,Stacks,94025.0,94025.0,600 Santa Cruz Ave,600 Santa Cruz Ave
933,1742,Chantilly Restaurant,Chantilly Restaurant,94061.0,94061.0,3001 El Camino Real,3001 El Camino Real
123,114,Barn Thai Restaurant,Barn Thai Restaurant,94085.0,94085.0,921 E Duane Ave,921 E Duane Ave
3069,3202,Flagler Steakhouse at The Breakers,The Breakers,33480.0,33480.0,2 S County Rd,1 S County Rd
819,754,El Grullense E & E,El Grullense,94063.0,94063.0,999 El Camino Real,1243 Middlefield Rd
2407,2414,Panini Cafe,Panini Cafe Beverly Hills,90210.0,90210.0,9601 Santa Monica Blvd,9601 Santa Monica Blvd
5429,5374,Sole Restaurant,Sole Restaurant,6840.0,6840.0,105 Elm St,105 Elm St
1492,1390,Menlo Grill Bistro & Bar,Menlo Grill Bistro & Bar,94025.0,94025.0,100 El Camino Real,100 El Camino Real
2904,2892,Aquario Restaurant,Aquario Restaurant,10604.0,10604.0,141 Lake St,141 E Lake St
1294,1304,Classic 101 Burgers & Shakes,Classic 101 Burgers & Shakes,94002.0,94002.0,575 Ralston Ave,575 Ralston Ave
1173,1156,Mandarin Gourmet,Mandarin Gourmet - CLOSED,94301.0,94301.0,420 Ramona St,420 Ramona St
5816,5671,First Watch Restaurant,First Watch,63105.0,63105.0,8001 Forsyth Blvd,8001 Forsyth Blvd.
4388,4309,Starbucks Coffee,Starbucks,75225.0,75225.0,8411 Preston Rd Ste 100,8411 Preston Rd
3956,3945,Cobalt Restaurant and Lounge,Cobalt,32963.0,32963.0,3500 Ocean Dr,3500 Ocean Dr
1258,1251,The Counter,The Counter - San Mateo,94403.0,94403.0,41 W Hillsdale Blvd,41 W Hillsdale Blvd
2215,1053,Garden Fresh & Vegetarian Restaurant,Garden Fresh,94301.0,94301.0,460 Ramona St,460 Ramona St
1799,1927,BreadBar,BreadBar,90067.0,90067.0,10250 Santa Monica Blvd,10250 Santa Monica Blvd
1523,1513,J & J Hawaiian BBQ,J & J Hawaiian BBQ,94025.0,94025.0,1170 Alma St,1170 Alma St
4373,4331,La Duni Latin Kitchen & Coffee,La Duni Latin Kitchen & Coffee Studio,75225.0,75225.0,8687 N Central Expy,"8687 N Central Expy, Ste 1516"
1700,1402,Applewood,Applewood Pizza,94025.0,94025.0,989 El Camino Real,1001 El Camino Real
2178,1427,Flea Street Cafe,Flea Street,94025.0,94025.0,3607 Alameda De Las Pulgas,3607 Alameda de Las Pulgas
819,744,El Grullense E & E,El Grullense E & E,94063.0,94063.0,999 El Camino Real,2401 Middlefield Rd
587,536,Cooking Papa,Cooking Papa Restaurant,94404.0,94404.0,949 Edgewater Blvd,949A Edgewater Blvd
4262,4293,The Cheesecake Factory,The Cheesecake Factory,75225.0,75225.0,7700 W Northwest Hwy,7700 W Northwest Hwy
1123,1742,Chantilly Restaurant,Chantilly Restaurant,94061.0,94061.0,3001 El Camino Real,3001 El Camino Real
3479,3432,West Restaurant & Lounge,West Restaurant & Lounge,90049.0,90049.0,170 N Church Ln,170 N Church Ln
1910,2467,Via Alloro,Via Alloro,90210.0,90210.0,301 N Canon Dr,301 N Canon Dr
4673,4627,Starbucks Coffee,Starbucks,11030.0,11030.0,375 Plandome Rd,1100 Northern Blvd
1062,1109,Arte Ristorante,Arte Ristorante,94301.0,94301.0,473 University Ave,473 University Ave
2347,2502,Il Fornaio,Il Fornaio,90210.0,90210.0,301 N Beverly Dr,301 North Beverly Drive
2038,2064,CUCINA enoteca Del Mar,Cucina Enoteca,92014.0,92014.0,2730 Via De La Valle,2730 Via de la Valle
2195,1742,Chantilly Restaurant,Chantilly Restaurant,94061.0,94061.0,3001 El Camino Real,3001 El Camino Real
1753,1719,Mp Mongolian BBQ,MP Mongolian BBQ,94025.0,94025.0,700 El Camino Real,700 El Camino Real
595,563,Joy Restaurant,Joy Restaurant,94404.0,94404.0,1489 Beach Park Blvd,1489 Beach Park Blvd
2994,3002,David King Chinese Restrnt Inc,David King,10601.0,10601.0,128 Mamaroneck Ave,128 Mamaroneck Ave
5923,5784,Sherry B Dessert Studio,Sherry B Dessert Studio,10514.0,10514.0,65 King St,65 King St
1859,1904,Massis Kabob,Massis Kabob - The Original Kabobery,90067.0,90067.0,10250 Santa Monica Blvd,10250 Santa Monica Blvd FC 11
63,141,Sneha South & North Indian Restaurant,Sneha,94085.0,94085.0,1214 Apollo Way # 404-B,1214 Apollo Way
3864,3933,Ocean Grill,Ocean Grill,32963.0,32963.0,1050 Beachland Blvd,1050 Beachland Blvd
1821,2020,Habanero Grill,Habanero Grill,90067.0,90067.0,2000 Avenue Of The Stars Ste 25,2000 Avenue of the Stars
2309,2381,Urasawa Restaurant,Urasawa,90210.0,90210.0,218 N Rodeo Dr,218 N Rodeo Dr
2528,2647,Settebello Pizzeria,Settebello Pizzeria Napoletana,92657.0,92657.0,7864 E Coast Hwy,7864 East Coast Hwy
4232,4156,Perbacco,Perbacco,77002.0,77002.0,700 Milam St,700 Milam St
548,564,Tokyo Village,Tokyo Village,94404.0,94404.0,1221 Chess Dr,1221 Chess Dr
5433,5277,The Horse & Hound,The Horse & Hound,10590.0,10590.0,94 Spring St,94 Spring St
158,23,Tres Potrillos Taqueria,Tres Potrillos,94085.0,94085.0,670 N Fair Oaks Ave,670 N Fair Oaks Ave
5780,5681,Wasabi Sushi Bar,Wasabi Sushi Bar,63105.0,63105.0,16 S Central Ave,16 S Central Ave
5510,5484,Centreville Cafe,Centreville Cafe,19807.0,19807.0,5800 Kennett Pike,5800 Kennett Pike
1209,1115,Starbucks Coffee,Starbucks,94301.0,94301.0,376 University Ave,376 University Ave
