ID,Name,Address,City,State,Zipcode,Phone
1,Tao Tao Restaurant,175 S Murphy Ave,Sunnyvale ,CA,94086.0,(408) 736-3731
2,Dinner at Buca di Beppo,,,,,
3,Sneha South & North Indian Restaurant,1214 Apollo Way # 404-B,Sunnyvale ,CA,94085.0,(408) 481-0700
4,The Armenian Gourmet,929 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 732-3910
5,Round Table Pizza,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 733-1365
6,Round Table Pizza,1220 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 970-9000
7,Tasty Indian Pizza,528 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 738-8761
8,Seto Japanese Cuisine,511 Borregas Ave,Sunnyvale ,CA,94085.0,(408) 735-8280
9,TGI Sushi Sunnyvale,903 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 737-7183
10,Shanghai Restaurant,253 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 245-1342
11,Pho Lovers,253 E Maude Ave,Sunnyvale ,CA,94085.0,(408) 530-8583
12,Old Country Buffet,456 W Maude Ave,Sunnyvale ,CA,94085.0,(408) 720-9394
13,Tryua Sushi SV,415 N Mary Ave,Sunnyvale ,CA,94085.0,(408) 738-0408
14,Yume-Ya,355 N Wolfe Rd Ste 727,Sunnyvale ,CA,94085.0,(408) 530-8156
15,Bombay Feast,769 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 245-2276
16,Clarita's Filipino Cuisine,905 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 735-1721
17,Madhuban Indian Cuisine,1180 Miraloma Way Ste M,Sunnyvale ,CA,94085.0,(408) 245-1000
18,Panera Bread,1195 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 736-7984
19,Thai Thai Restaurant,500 Lawrence Expy Ste B,Sunnyvale ,CA,94085.0,(408) 733-2626
20,Luv Pho,500 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 733-8883
21,Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,CA,94085.0,(408) 746-9192
22,Coco's,1206 Oakmead Pkwy,Sunnyvale ,CA,94085.0,(408) 736-2895
23,Kal's Bar-B-Q,425 N Mathilda Ave,Sunnyvale ,CA,94085.0,(408) 739-5271
24,Tia Juana Mexican Grill,901 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 730-8578
25,Sri Ananda Bhavan,920 E Arques Ave,Sunnyvale ,CA,94085.0,(408) 735-1111
26,Swathi Tiffins,1202 Apollo Way,Sunnyvale ,CA,94085.0,(408) 617-0482
27,El Calbonero Restaurant,911 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 720-1077
28,Hobee's,800 W Ahwanee Ave,Sunnyvale ,CA,94085.0,(408) 524-3580
29,Merit Vegetarian Restaurant,548 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 245-8988
30,Madhuban Indian Cuisine,544 Lawrence Expy,Sunnyvale ,CA,94085.0,(408) 735-7448
31,Denny's,814 W Ahwanee Ave,Sunnyvale ,CA,94085.0,(408) 747-1449
32,Sushi Boulevard,903 E Duane Ave,Sunnyvale ,CA,94085.0,(408) 737-7183
33,Ray's Crab Shack,5989 Mowry Ave,Newark ,CA,94560.0,(510) 648-3069
34,Fiorillo's Restaurant Inc.,638 El Camino Real,Santa Clara ,CA,95050.0,(408) 766-7527
35,Fishermen's Grotto,9 Fishermans Wharf,San Francisco ,CA,94133.0,(415) 673-7025
36,Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,CA,95051.0,(408) 241-1677
