ID_A,ID_B,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
7278,300,Doughnut Plant,Go 4 Food,10002,60616,"379 Grand Street, New York",212 W 23rd St
6755,464,Seamore's,JK Kabab House,10013,60645,"390 Broome Street, New York",6412 N Rockwell St
1927,573,Jimmy's Food Store,Falafel & Grill,75206,60622,"4901 Bryan Street, Dallas",1317 N Milwaukee Ave
7010,1779,Lavo,Metro Cafe,10022,90038,"39 East 58th Street, New York, NY",Hollywood Production Center1149 N Gower St
501,1249,Summer House Santa Monica,Senor Bean Mexican Grill- Cantina,60614,75201,"1954 N. Halsted Street, Chicago",708 Olive St
690,1966,Garcia's Restaurant,Mapo Kkak Doo Gee Restaurant,60625,90020,"4749 N. Western Avenue, Chicago",3611 W 6th St
7610,379,Jekyll and Hyde,Bernie’s Lunch & Supper,10014,60654,"91 7th Avenue South, New York",660 N Orleans St
6577,2640,El Cantinero,Heartland Grill,10003,53713,"86 University Place, New York, NY",706 John Nolen Dr
7159,2969,Gyu-Kaku,Milio’s Sandwiches,10022,53713,"805 3rd Avenue, New York",2570 Rimrock RdSte 110
3613,357,Maggiano's Little Italy,Estrella Negra,91367,60647,6100 Topanga Canyon Blvd,2346 W Fullerton Ave
6186,285,Mudville 9,Shawarma Garden,10007,60622,"126 Chambers Street, New York",1951 W Division St
1399,673,Ipsento,Las Palmas,60647,60622,"2035 N. Western Avenue, Chicago",1835 W North Ave
955,3612,Riva Crabhouse,El Luchador,60611,10038,"Navy Pier, 600 E. Grand Avenue, Chicago",87 South St
2553,432,Ginger Thai,Old Lviv,91303,60622,22330 Sherman Way,2228 W Chicago Ave
7178,2470,Ayza Wine & Chocolate Bar,Ian’s Pizza By The Slice,10016,53703,"11 West 31st Street, New York",319 N Frances St
3742,2796,La Cava,Vientiane Palace Restaurant,91423,53703,13565 Ventura Blvd,151 W Gorham St
405,500,Sushi House,The Monarch,60187,60622,281 Rice Lake Square,1745 W North Ave
6656,812,Casellula Cheese and Wine Cafe,Urban Blend,10019,75202,"401 W 52nd Street, New York",Antioch Church805 Elm St
5725,2728,Pantheon Bar,Eldorado Grill,53703,53703,"316 State St, Madison",744 Williamson St
970,3428,BAT 17,Casa Adela,60201,10009,1709 Benson Avenue,66 Ave C
3118,3839,Corky's Restaurant,Pickle Shack,91403,11215,5043 Van Nuys Blvd,256 4th Ave
116,3555,Cooper's Hawk Winery & Restaurant,983-Bushwick’s Living Room,60090,11206,583 N. Milwaukee Avenue,983 Flushing Ave
2244,290,Starbucks,Breakfast House,75201,60622,"1700 Pacific Avenue, Lower Level, Dallas",1800 W Grand Ave
4875,3345,Burrito Drive,Locanda Verde,53703,10013,"310 S Brearly St, Madison",377 Greenwich St
6038,3165,Wu Liang Ye,Draft House Bar & Restaurant,10036,53593,"36 W 48th Street, New York",1010 Enterprise Dr
2290,2315,Iron Wok,Pollos El Brasero,75287,90006,"4520 Frankford Road, Suite 100, Dallas",2281 W Pico Blvd
324,970,Sesame Inn,Bob’s Steak & Chop House,60805,75202,2941 W. 95th Street,555 S Lamar St
3590,3765,The Tam O'Shanter,Forno Pizzeria E Trattoria,90039,11378,"2980 Los Feliz Blvd, Los Angeles",52-27 69th St
1328,3754,Feed,Balzem,60622,10012,2803 W. Chicago Avenue,202 Mott St
6036,1937,Caffe Napoli,Berlins,10013,90048,"191 Hester Street, New York",8474 W 3rd St
1695,3732,Cafe Pacific,Govinda’s Vegetarian,75205,11217,"24 Highland Park Village, Dallas",305 Schermerhorn St
1305,2415,DMK Burger Bar,Takumi Japanese Restaurant,60657,53704,"2954 N. Sheffield Avenue, Chicago",4222 E Towne Blvd
7595,2885,Campbell Apartment,Chang Jiang Chinese Restaurant,10017,53719,"Grand Central Terminal, 15 Vanderbilt Avenue, New York",646 S Gammon Rd
5092,1086,Rosie's Coffee Bar and Bakery,Hook Line & Sinker,53716,75204,"4604 Monona Dr, Madison",3103 Lemmon Ave
7078,2380,Sea Restaurant,Le Petit Croissant,11249,53711,"114 N 6th Street, Brooklyn",1310 Midvale Blvd
2327,891,Palihouse Courtyard Brasserie,St. Pete’s Dancing Marlin,90069,75226,8465 Holloway Dr,2730 Commerce St
3697,1290,The Stinking Rose,Al Biernat’s,90211,75219,55 N La Cienega Blvd,4217 Oak Lawn Ave
6152,2494,Amarone Ristorante,Indie Coffee,10036,53715,"686 9th Avenue, New York, NY",1225 Regent St
4879,400,Toby's Supper Club,Ruby’s Fast Food,53718,60618,"3717 S Dutch Mill Rd, Madison",3740 W Montrose Ave
25,357,Bistronomic,Estrella Negra,60611,60647,"840 N. Wabash Avenue, Chicago",2346 W Fullerton Ave
4966,3564,Laredo's Mexican Restaurante,Mamoun’s Falafel,53711,10012,2935 S Fish Hatchery Rd,119 MacDougal St
7477,2538,Taboon,Stalzy’s Deli,10019,53704,"773 10th Avenue, New York",2701 Atwood Ave
5423,3919,Milton Family Restaurant,sweetgreen,53563,11211,541 Vernal Ave,162 N 4th St
3600,3462,Park's BBQ,The Jeffrey Craft Beer & Bites,90006,10022,"955 S Vermont Ave, Los Angeles",311 E 60th St
2606,3487,Hara Sushi,Ñaño Ecuadorian Kitchen,90025,10036,"12222 willshire blvd, Los Angeles",691 10th Ave
3668,3708,Laurel Tavern,M.O.B.,91604,11217,11938 Ventura Blvd,525 Atlantic Ave
3613,26,Maggiano's Little Italy,Naf Naf Grill,91367,60601,6100 Topanga Canyon Blvd,326 N Michigan Ave
444,2749,Matsuya,Milio’s Sandwiches,60657,53718,3242 N. Clark Street,5534 Eastpark Blvd
1130,359,Alfie's Inn,White Oak Tavern & Inn,60137,60614,425 Roosevelt Road,1200 W Webster Ave
2853,1628,Sofra Kabab Express,Bulgogi Hut,90034,90010,"10821 Venice Blvd., Los Angeles",3600 Wilshire BlvdSte 100C
6890,2282,Boulud Sud,Khun Dom Thai,10023,90029,"20 West 64th Street, New York",4681 Melrose Ave
891,1162,Dixie Kitchen & Bait Shop,IVY Kitchen,60438,75254,2352 E. 172nd Street,5411 Beltline Rd
3438,491,Jersey Mike's Subs,Snappy’s Shrimp House,91356,60613,19458 Ventura Blvd,1901 W Irving Park Rd
613,82,Jam,Antique Taco,60647,60622,"3057 W. Logan Boulevard, Chicago",1360 N Milwaukee Ave
1782,3354,Stephan Pyles,Smithfield,75201,10001,"1807 Ross Avenue, Suite 200, Dallas",138 W 25th St
570,190,Phoenix,Monti’s,60616,60625,"2131 S. Archer Avenue, Chicago",4757 N Talman Ave
5845,1926,Le Village,Providence,10009,90038,"127 E 7th Street, New York",5955 Melrose Ave
952,1431,Ruxbin,Resto Gastro Bistro,60622,75212,"851 N. Ashland Avenue, Chicago","Trinity Groves3011 Gulden Ln, Ste 104"
2618,2907,Chick-fil-A,Milio’s Subs,90028,53704,"6750 W Sunset Blvd, Los Angeles",2045 Atwood Ave
6970,2414,David Burke Kitchen,Toby’s Supper Club,10013,53718,"23 Grand Street, New York",3717 S Dutch Mill Rd
5887,812,Nook Restaurant,Urban Blend,10019,75202,"746 9th Avenue, New York",Antioch Church805 Elm St
6681,1299,Austin Public,Sangria Tapas Y Bar,11375,75205,"70-28 Austin Street, Queens",4524 Cole Ave
2661,3328,Church Key,Ampersand,90069,10010,8730 W Sunset Blvd,294 3rd Ave
4956,571,Sauk Prairie Eagle Inn,Mexique,53578,60622,655 Water St,1529 W Chicago Ave
6308,3302,Bodrum,Baron’s,10024,11205,"584 Amsterdam Avenue, New York",564 Dekalb St
7584,3876,Inatteso Pizzabar Casano,Loi Estiatorio,10004,10019,"28 West Street, New York",132 W 58th St
1845,1523,Crooked Tree Coffeehouse,The Sycamore Kitchen,75201,90036,"2414 Routh Street, Dallas",143 S La Brea Ave
3248,899,C & M Cafe,Cosmic Café,90034,75219,"3272 Motor Ave, Los Angeles",2912 Oak Lawn Ave
3628,2274,Millie's,Berry Que,90026,90028,"3524 W Sunset Blvd, Los Angeles",1707 N. Las Palmas Ave.
2314,954,P.F. Chang's,Luna’s Tortilla Factory,75225,75235,"NorthPark Center, 8697 North Central Expressway, Level One, Dallas",8524 Harry Hines Blvd
5039,928,Pitcher's Pub,Desperados Mexican Restaurant,53713,75206,"323 W Beltline Hwy, Madison",4818 Greenville Ave
5777,1426,Super Tienda Latina,Neighborhood Services Bar & Grill,53716,75230,"6005 Monona Dr., Madison",10720 Preston Rd
772,1934,Kuma's Corner,Cali’s,60618,90020,"2900 W. Belmont Avenue, Chicago",534 S Westmoreland AveSte 104
2579,847,Four Cafe,Twisted Root Burger Co.,90041,75206,2122 1/2 Colorado Blvd,5609 SMU BlvdSuite 102
1245,904,Dryhop Brewers,Nora Restaurant and Bar,60657,75206,"3155 N. Broadway Street, Chicago",1928 Greenville Ave
2443,77,Cafe Chez Marie,Zia’s Lago Vista,90025,60613,"10681 Santa Monica Blvd, Los Angeles",3819 N Ashland Ave
2287,1966,Best Thai,Mapo Kkak Doo Gee Restaurant,75230,90020,"5959 Royal Lane, Dallas",3611 W 6th St
6344,382,Dani's House of Pizza,Tank Noodle Restaurant,11415,60640,"81-28 Lefferts Boulevard, Queens",4953 N Broadway
796,1315,Blind Faith Cafe,Firexbox,60201,75238,525 Dempster Street,9918 Plano Rd
1816,2392,Bone Daddy's House Of Smoke,Francisco’s Mexican Cantina,75240,53703,"8856 Spring Valley Road, Dallas",121 E Main St
5236,2277,Paul's Pel'meni,EMC Seafood & Raw Bar,53703,90020,"203 West Gorham Street, Madison",3500 W 6th StSte 101
1130,3595,Alfie's Inn,Bistro Les Amis,60137,10012,425 Roosevelt Road,180 Spring St
5652,1773,Falbo Bros. Pizzeria,Noshi Sushi,53704,90004,"1207 N Sherman Ave, Madison",4430 Beverly Blvd
934,928,Oceanique,Desperados Mexican Restaurant,60202,75206,505 Main Street,4818 Greenville Ave
997,535,The Wormhole Coffee,Tarboush Mediterranean Grill,60622,60622,"1462 N. Milwaukee Avenue, Chicago",1608 W North Ave
6965,2248,Estela,Xiomara,10012,90038,"47 E Houston Street, New York",6101 Melrose Ave
204,1732,TAC Quick Thai Kitchen,Hyperion Public,60613,90027,"3930 N. Sheridan Road, Chicago",2538 Hyperion Ave
3188,3029,Brass Monkey,Wendy’s,90005,53704,"659 S Mariposa Ave, Los Angeles",3910 E Washington Ave
4834,1163,Fresco,State & Allen Kitchen+Bar,53703,75204,"227 State St, Madison",2400 Allen St
1098,1952,Mon Ami Gabi,Taste of Tehran,60523,90025,"Oak Brook Mall, 260 Oakbrook Center",1915 Westwood Blvd
429,3517,Moy Goy Inn,Adrienne’s Pizzabar,60525,10004,719 W. Hillgrove Avenue,54 Stone St
3673,1559,Cha Cha Cha,sweetgreen,90004,90048,"656 N Virgil Ave, Los Angeles",8055 W 3rd St
1911,2700,Goff's Hamburgers,The Admiralty,75205,53703,"6401 Hillcrest Avenue, Dallas",The Edgewater666 Wisconsin Ave
2827,3965,Bistro Ka Japanese Restaurant,Molly’s,91303,10010,6600 Topanga Canyon Blvd #2010a,287 3rd Ave
591,1057,Athenian Room,Holy Ravioli,60614,75225,"807 W. Webster Avenue, Chicago",4446 Lovers Ln
4928,634,UNO Chicago Grill,Blaze Fast-Fire’d Pizza,53717,60661,"7601 Mineral Point Rd, Madison",24 S Clinton St
2077,2513,Trailercakes Cupcakes,The Knuckle Down Saloon,75205,53716,"3001 Knox Street, Suite 101",2513 Seiferth Rd
4862,2902,Oakcrest Tavern,Monona Garden Family Restaurant,53705,53713,"5371 Old Middleton Rd, Madison",6501 Bridge Rd
3210,1953,Giovanni's Trattoria,Park’s BBQ,90232,90006,10026 Venice Blvd,955 S Vermont Ave
1311,321,Aria Restaurant,Taco el Jalisciense,60601,60622,"Fairmont Chicago Millenium Park, 200 N. Columbus Drive",2859 W Chicago Ave
763,2528,MingHin Cuisine,Bassett Street Brunch Club,60616,53703,"2168 S. Archer Avenue, Chicago",444 W Johnson St
1635,1462,Kenichi,Highland Park Cafeteria,75219,75218,"2400 Victory Park Lane, Dallas",1200 N Buckner Blvd
4250,1857,PhoShow,Hinoki & The Bird,90230,90067,4349 Sepulveda Blvd,10 W Century Dr
4740,994,Famous Dave's,Meso Maya,53715,75202,"900 S Park St, Madison",1611 McKinney Ave
6514,728,L'Apicio,T & B Grill,10003,60625,"13 E 1st Street, New York",3658 W Lawrence Ave
1187,207,Burnt Toast,Southport & Irving - SIP,60123,60613,2492 N. Randall Road,4000 N Southport Ave
2873,1007,Genwa,Offshore’s Nextdoor,90048,75238,"170 North La Cienega Boulevard, Los Angeles",9660 Audelia RdSte 304
631,3602,Frasca Pizzeria and Wine Bar,Room 55,60657,11385,"3358 N. Paulina Street, Chicago",75-01 88th St
6641,3329,The 5 and Diamond Restaurant,OTB,10026,11211,"2072 Frederick Douglass Boulevard, New York",141 BroadwayWilliamsburg
7654,3589,Haldi,Kofte Piyaz,10016,11232,"102 Lexington Avenue, New York, NY",881 5th Ave
889,2663,Indie Cafe,Chipotle Mexican Grill,60660,53704,"5951 N. Broadway Street, Chicago",4628 E Washington Ave
5974,3298,Loukoumi Taverna,Okonomi,11105,11211,"45-07 Ditmars Boulevard, Queens",150 Ainslie St
2441,2482,Jinky's Cafe,Cheba Hut,91604,53703,4000 Colfax Ave,453 W Gilman St
3293,576,Baja Fresh Mexican Grill,The Warehouse Bar & Pizzeria Chicago,91602,60614,10760 Riverside Dr,1419 W Fullerton Ave
1732,604,Gold Rush Cafe,O’Cha Thai Cuisine,75206,60647,"1913 Skillman Street, Dallas",2062 N Damen Ave
1430,2985,Kit Kat Lounge and Supper Club,Taco Bell,60613,53719,"3700 N. Halsted Street, Chicago",698 S. Whitney Way
2579,670,Four Cafe,Sheffield’s,90041,60657,2122 1/2 Colorado Blvd,3258 N Sheffield Ave
2154,3149,Benny's Classic Grill,DumplingHaus,75218,53705,10302 Garland Road,702 N Midvale Blvd
839,1436,Hub 51,Ginger Thai Cuisine,60654,75214,"51 W. Hubbard Street, Chicago",6434 E Mockingbird LnSte 111
5463,3724,Panchero's Mexican Grill,Tony’s Di Napoli,53719,10036,"402 S Gammon Road, Madison",147 W 43rd St
2434,22,Folliero Pizza & Italian Food,The Aberdeen Tap,90042,60642,"5566 N Figueroa St, Los Angeles",440 N Aberdeen St
5484,1187,The Side Door Grill and Tap,Dicks’ Succulent Chicken,53703,75212,"240 West Gilman Street, Madison",2910 Ruder St
592,125,Tapas Barcelona,Cafe Urbano,60201,60618,1615 Chicago Avenue,4176 N Elston Ave
1560,3924,Bolsa,Manny’s,75208,11233,"614 W Davis Street, Suite 100, Dallas",212 Patchen Ave
