ID_A,ID_B,Flag,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
325,735,,The Local Chicago,The Local Chicago,60611,60611,"198 E. Delaware Plaza, Chicago",198 E Delaware Pl
343,749,,Chicago Q,Chicago q,60610,60610,"1160 N. Dearborn Street, Chicago",1160 N Dearborn St
532,732,,Bite Cafe,Bite Cafe,60622,60622,"1039 N. Western Avenue, Chicago",1035 N Western Ave
673,746,,The Publican,The Publican,60607,60607,"837 W. Fulton Market, Chicago",837 W Fulton Market
723,325,,BopNgrill,bopNGrill,60626,60626,"6604 N. Sheridan Road, Chicago",6604 N Sheridan Rd
737,721,,Southport Grocery & Cafe,Southport Grocery & Cafe,60657,60657,"3552 N. Southport Avenue, Chicago",3552 N Southport Ave
864,638,,Gale Street Inn,Gale Street Inn,60630,60630,4914 N. Milwaukee Avenue,4914 N Milwaukee Ave
1111,466,,Garifuna Flava,Garifuna Flava,60629,60629,"2518 W. 63rd Street, Chicago",2518 W 63rd St
1362,692,,Acanto,Acanto,60603,60603,"18 S. Michigan Avenue, Chicago",18 S Michigan Ave
1710,1497,,East Hampton Sandwich Co.,East Hampton Sandwich Co,75205,75205,"6912 Snider Plaza, Dallas",6912 Snider Plz
1818,1504,,Si Lom Thai Asian Fusion,Si Lom,75219,75219,"3300 Oak Lawn Avenue, Suite 110, Dallas",3300 Oak Lawn AveSte 110
1880,1462,,Highland Park Cafeteria,Highland Park Cafeteria,75218,75218,"1200 N Buckner Road, Dallas",1200 N Buckner Blvd
1889,1451,,Lekka,Lekka,75252,75252,"17606 Preston Road, Dallas",17606 Preston Rd
1891,1501,,Wabi House,Wabi House,75206,75206,"1802 Greenville Avenue, Suite 100, Dallas",1802 Greenville AveSte 100
1987,1509,,Public School 214,Public School 214,75204,75204,"3700 McKinney Avenue, Suite 148, Dallas",3700 McKinney Ave.Suite 148
2052,1515,,Monkey King Noodle Co.,Monkey King Noodle Co.,75226,75226,"3014 Main Street, Dallas",3014 Main St
1605,1512,,Hillstone,Hillstone Restaurant,75225,75225,"8300 Preston Road, Suite A, Dallas",8300 A Preston Rd
332,725,,Quartino,Quartino,60654,60654,"626 N. State Street, Chicago",626 N State St
542,528,,Sepia,Sepia,60661,60661,"123 N. Jefferson Street, Chicago",123 N Jefferson St
1017,474,,Sweetwater Tavern and Grille,Sweetwater Tavern and Grille,60601,60601,"Michigan Plaza, 225 N. Michigan Avenue, Chicago",225 N Michigan Ave
1261,583,,The Bongo Room,The Bongo Room,60605,60605,"1152 S. Wabash Avenue, Chicago",1152 S Wabash Ave
1489,1078,,Liberty Burger,Liberty Burger,75248,75248,"5181 Keller Springs Road, Dallas",5181 Keller Springs Rd
1493,1363,,Bistro B,Bistro B,75243,75243,"9780 Walnut Street, Suite 340, Dallas",9780 Walnut StSte 340
1627,1514,,Cane Rosso,Cane Rosso,75226,75226,"2612 Commerce Street, Suite 101, Dallas",2612 Commerce St
1657,1500,,Off the Bone Barbeque,Off the Bone Barbeque,75215,75215,"1734 S Lamar Street, Dallas",1734 S Lamar St
1697,1481,,Texas Spice - Omni Hotel Dallas,Texas Spice,75202,75202,"Omni Hotel Dallas, 555 South Lamar Street, Dallas",555 S Lamar
2041,1496,,Mad Hatter Cafe,Mad Hatter Cafe,75201,75201,"400 North Saint Paul Street, Suite 120",400 N St. Paul StSte 120
