#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.FirstAuthor,ltable.ISBN13,ltable.Publisher,ltable.Title,rtable.Author1,rtable.ISBN13,rtable.Publisher,rtable.Title
0,0,53,Alex Ferguson,9780340728567,Hodder & Stoughton,Managing My Life: My Autobiography,Alex Ferguson,9780340919408,"Hodder &amp; Stoughton, Ltd.",Alex Ferguson: My Autobiography
1,0,409,Alex Ferguson,9780340728567,Hodder & Stoughton,Managing My Life: My Autobiography,Sir Alex Ferguson,9780340728567,"Hodder &amp; Stoughton, Ltd.",Managing My Life: My Autobiography
2,1,1083,Boris Pasternak,9780844627106,Peter Smith Publisher,I Remember: Sketch for an Autobiography,Boris Pasternak,9780811201353,New Directions Publishing Corporation,Safe Conduct: An Autobiography and Other Writings / Edition 1
3,1,3459,Boris Pasternak,9780844627106,Peter Smith Publisher,I Remember: Sketch for an Autobiography,Boris Pasternak,9780948275029,P D Meany Pub,The Voice of Prose : Early Prose and Autobiography
4,2,2541,Betty Boothroyd,9780712679480,Random House UK,Betty Boothroyd: Autobiography,Betty Boothroyd,9780099427049,Random House UK,Betty Boothroyd Autobiography
5,8,1431,Jenny Pitman,9781852252540,Partridge Press,Jenny Pitman: The Autobiography,Jenny Pitman,9781446497937,Transworld Publishers Limited,Jenny Pitman: The Autobiography
6,10,769,Walter Francis White,9780820316987,University of Georgia Press,A Man Called White: The Autobiography of Walter White,Walter White,9780820316987,University of Georgia Press,A Man Called White: The Autobiography of Walter White / Edition 1
7,11,100,Patty Duke,9780553272055,Bantam,Call Me Anna: The Autobiography of Patty Duke,Patty Duke,9780307788665,Random House Publishing Group,Call Me Anna: The Autobiography of Patty Duke
8,13,1152,Steve Fossett,9781852272340,Virgin Books,Chasing the Wind: The Autobiography of Steve Fossett,Steve Fossett,9780753541784,Virgin Books,Chasing the Wind: The Autobiography of Steve Fossett
9,20,3179,Karl Hess,9781573926874,Prometheus Books,Mostly on the Edge: An Autobiography,Karl Hess,9781573926874,Prometheus Books,"Mostly on the Edge: Karl Hess, an Autobiography"
10,22,192,Ranulph Fiennes,9780340951682,Hodder & Stoughton,"Mad, Bad & Dangerous to Know: The Autobiography",Ranulph Fiennes,9780340951699,"Hodder &amp; Stoughton, Ltd.","Mad, Bad & Dangerous to Know: The Autobiography"
11,23,1920,Alan Paton,9780020359555,Collier Books,Journey Continued: An Autobiography,Alan Paton,9780684165967,Simon &amp; Schuster Adult Publishing Group,Towards the Mountain: An Autobiography
12,24,1920,Alan Paton,9780020359555,Collier Books,Journey Continued: An Autobiography,Alan Paton,9780684165967,Simon &amp; Schuster Adult Publishing Group,Towards the Mountain: An Autobiography
13,26,1280,William Barclay,9780802834645,Eerdmans,William Barclay: A Spiritual Autobiography,William Barclay,9780802834645,"Eerdmans, William B. Publishing Company",William Barclay: A Spiritual Autobiography
