#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
#ltable=POINTER
_id,ltable.ID,rtable.ID,ltable.FirstAuthor,ltable.ISBN,ltable.ISBN13,ltable.PageCount,ltable.PublishDate,ltable.Publisher,ltable.SecondAuthor,ltable.ThirdAuthor,ltable.Title,rtable.FirstAuthor,rtable.SecondAuthor,rtable.ThirdAuthor,rtable.ISBN13,rtable.PageCount,rtable.PublishDate,rtable.Publisher,rtable.Title,match_label
4,2,2541,Betty Boothroyd,712679480,9780712679480,384,November 1st 2002,Random House UK,,,Betty Boothroyd: Autobiography,Betty Boothroyd,,,9780099427049,434,10/28/02,Random House UK,Betty Boothroyd Autobiography,1
43,66,210,Charles Darwin,,,511,,,,,On The Origin of Species Illustrated and Bundled with the Autobiography,Charles Darwin,,,9781411429178,464,9/1/09,Barnes &amp; Noble,The Autobiography of Charles Darwin (Barnes & Noble Library of Essential Reading),0
59,67,644,Jon E. Lewis,1849017204,9781849017206,320,,,,,SAS: The Autobiography,Jon E. Lewis,,,9781780337500,480,3/1/12,"Little, Brown Book Group",London: the Autobiography,0
70,98,406,Eugenia Price,385276184,9780385276184,174,March 1st 1982,Dial Press,,,The Burden Is Light: The Autobiography of a Transformed Pagan Who Took God at His Word,Eugenia Price,,,9780307515599,188,2/24/10,Crown/Archetype,The Burden Is Light: A Spiritual Autobiography,0
87,110,2609,Andrew Carnegie,,,0,October 18th 2010,Halcyon Press Ltd.,,,The Autobiography of Andrew Carnegie,Andrew Carnegie,,,9781490572543,174,6/29/13,CreateSpace Independent Publishing Platform,Autobiography of Andrew Carnegie,0
88,110,3115,Andrew Carnegie,,,0,October 18th 2010,Halcyon Press Ltd.,,,The Autobiography of Andrew Carnegie,Andrew Carnegie,,,9781494715953,384,12/17/13,CreateSpace Independent Publishing Platform,Autobiography of Andrew Carnegie: Autobiography,0
91,113,63,Teresa of vila,486475980,9780486475981,352,July 21st 2010,Dover Publications,,,Autobiography of St. Teresa of Avila,St. Teresa of Avila,,,9780486475981,352,7/21/10,Dover Publications,Autobiography of St. Teresa of Avila,1
92,113,869,Teresa of vila,486475980,9780486475981,352,July 21st 2010,Dover Publications,,,Autobiography of St. Teresa of Avila,Teresa of Jesus,,,9781783360826,,1/13/14,limovia.net,The Life of St. Teresa of Jesus: Autobiography,0
98,115,220,Mark Twain,1441778403,9781441778406,0,November 15th 2010,Blackstone Audiobooks,Harriet E. Smith,Grover Gardner,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,,,9781608427710,600,7/2/13,KRE,Autobiography of Mark Twain - 100th Anniversary Edition,0
108,115,938,Mark Twain,1441778403,9781441778406,0,November 15th 2010,Blackstone Audiobooks,Harriet E. Smith,Grover Gardner,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 1",Mark Twain,Grover Gardner,,9781504637169,,10/15/15,"Blackstone Audio, Inc.","Autobiography of Mark Twain, Vol. 3",0
119,117,436,Charles Grandison Finney,764201565,9780764201561,230,May 1st 2006,Bethany House Publishers,Helen Wessel,,The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words,Charles G. Finney,,,9781441205469,240,5/1/06,Baker Publishing Group,The Autobiography of Charles G. Finney: The Life Story of America's Greatest Evangelist--In His Own Words,1
121,117,3552,Charles Grandison Finney,764201565,9780764201561,230,May 1st 2006,Bethany House Publishers,Helen Wessel,,The Autobiography of Charles G. Finney: The Life Story of America's Great Evangelist-In His Own Words,Charles G. Finney,Revival Press,,9781517290627,382,9/9/15,CreateSpace Publishing,Charles G. Finney An Autobiography,0
124,121,376,Graham Roumieu,091639784X,9780916397845,44,March 1st 2003,Manic D Pres,,,In Me Own Words: The Autobiography of Bigfoot (Bigfoot #1),Graham Roumieu,,,9780916397845,44,3/10/03,"Manic D Press, Inc.",In Me Own Words: The Autobiography of Bigfoot,1
133,122,265,Benjamin Franklin,1275666787,9781275666788,568,February 1st 2012,Gale Ecc,,,Benjamin Franklin: His Autobiography.,Benjamin Franklin,Ben Franklin,Poor Richard,9781611043297,182,12/28/10,ReadaClassic.com,"The Autobiography of Benjamin Franklin: In His Own Words, the Life of the Inventor, Philosopher, Satirist, Political Theorist, Statesman, and Diplomat",0
157,122,1960,Benjamin Franklin,1275666787,9781275666788,568,February 1st 2012,Gale Ecc,,,Benjamin Franklin: His Autobiography.,Franklin Benjamin 1706-1790,,,9781313898133,270,1/28/13,HardPress Publishing,The Autobiography of Benjamin Franklin,0
161,122,2302,Benjamin Franklin,1275666787,9781275666788,568,February 1st 2012,Gale Ecc,,,Benjamin Franklin: His Autobiography.,Benjamin Franklin,,,2940026646524,,,The Macmillan co.,Autobiography of Benjamin Franklin: With Introduction and Notes,0
185,126,250,Mark Twain,,,202,,,,,"Autobiography of Mark Twain: The Authentic, Original Version",Mark Twain,,,2940013663541,,1/16/12,WDS Publishing,Mark Twain's Autobiography VOL 1 & 2,0
192,126,755,Mark Twain,,,202,,,,,"Autobiography of Mark Twain: The Authentic, Original Version",Mark Twain,,,9781441778437,20,11/15/10,"Blackstone Audio, Inc.","Autobiography of Mark Twain, Vol. 1: The Complete and Authoritative Edition",0
201,126,2889,Mark Twain,,,202,,,,,"Autobiography of Mark Twain: The Authentic, Original Version",Twain Mark,,,9781297300837,52,2/19/15,Scholar's Choice,Mark Twain's Burlesque Autobiography: First Romance - Scholar's Choice Edition,0
205,130,190,Jon E. Lewis,1849010838,9781849010832,544,January 28th 2010,Robinson Publishing,,,Rome: The Autobiography: The rise and fall of the Roman empire by those who saw it.,Jon E. Lewis,,,9781472107824,544,2/7/13,"Little, Brown Book Group",Spitfire: The Autobiography,0
210,130,1147,Jon E. Lewis,1849010838,9781849010832,544,January 28th 2010,Robinson Publishing,,,Rome: The Autobiography: The rise and fall of the Roman empire by those who saw it.,Jon E. Lewis,,,9781459642973,454,7/2/12,ReadHowYouWant.com Pty Limited,Spitfire: The Autobiography: The Plane and the Men That Saved Britain in 1940 in Their Own Words (Large Print 16pt),0
247,164,9,Mark Twain,,,46,2009,bibliolife,,,"Mark Twain's Burlesque Autobiography; and, First Romance",Mark Twain,,,9780520279940,792,10/15/15,University of California Press,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition",0
248,164,26,Mark Twain,,,46,2009,bibliolife,,,"Mark Twain's Burlesque Autobiography; and, First Romance",Mark Twain,,,9780520272781,776,10/5/13,University of California Press,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition",0
261,164,938,Mark Twain,,,46,2009,bibliolife,,,"Mark Twain's Burlesque Autobiography; and, First Romance",Mark Twain,Grover Gardner,,9781504637169,,10/15/15,"Blackstone Audio, Inc.","Autobiography of Mark Twain, Vol. 3",0
265,164,1470,Mark Twain,,,46,2009,bibliolife,,,"Mark Twain's Burlesque Autobiography; and, First Romance",Mark Twain,,,9782819913436,,12/2/10,pubOne.info,Is Shakespeare Dead? From my autobiography.,0
276,180,1880,Ingrid Pitt,434007625,9780434007622,320,August 2nd 1999,William Heinemann,,,Life's a Scream: Autobiography of Ingrid Pitt,Ingrid Pitt,,,9781446441503,304,1/25/11,Random House Adult Trade Publishing Group,Life's A Scream,0
285,200,514,Pat Martino,1617130273,9781617130274,192,September 1st 2011,Backbeat Books,Bill Milkowski,,Here and Now!: The Autobiography of Pat Martino,Pat Martino,,,9781617130274,224,10/25/11,Hal Leonard Corporation,Here and Now!: The Autobiography of Pat Martino,1
293,209,104,George Best,91884705,9780091884703,384,August 1st 2002,Ebury Press,,,Blessed: The Autobiography,Theodore TEDDY ROOSEVELT [Winner of the Nobel Prize] Nook Edition (Part I of the Best Presidents Series incl. George Washington,Abraham Lincoln) NOOKBook,,2940013017061,,12/19/12,Great American Presidents Biographies,THE GREATEST AMERICAN PRESIDENT: THE AUTOBIOGRAPHY OF THEODORE ROOSEVELT (Worldwide Bestseller),0
298,216,741,Peter Sallis,752881663,9780752881669,256,November 1st 2007,Orion Publishing,,,Fading into the Limelight: The Autobiography,Peter Sallis,,,9781782197454,288,4/1/14,"John Blake Publishing, Limited",Summer Wine & Other Stories: My Autobiography,0
310,231,3036,Nina Simone,306813270,9780306813276,192,September 4th 2003,Da Capo Press,Stephen Cleary,,I Put a Spell on You: The Autobiography of Nina Simone,Nina Simone,Stephen Cleary,,9780679410683,192,2/25/92,Knopf Doubleday Publishing Group,I Put a Spell on You: The Autobiography of Nina Simone,0
333,265,544,John C. Whitehead,465050549,9780465050543,304,June 1st 2005,Basic Books,,,A Life In Leadership: From D-Day to Ground Zero: An Autobiography,John C. Olin,Joseph (Trans. ) O'Callaghan,John (Ed.) Olin,9780823214808,113,10/5/93,Fordham University Press,The Autobiography of St. Ignatius Loyola / Edition 1,0
336,266,91,Herbert W. Armstrong,943093058,9780943093055,0,1986,Worldwide Church of God,,,Autobiography of Herbert W. Armstrong (2 Volume Set),Herbert W. Armstrong,Philadelphia Church of God,,9781304501332,,12/5/13,Lulu.com,Autobiography of Herbert W. Armstrong - Volume 1,0
340,275,1699,Adam Ant,283070277,9780283070273,336,September 15th 2006,Sidgwick & Jackson Ltd,,,Stand and Deliver: The Autobiography,Adam Ant,,,9780283070273,,4/30/07,Pan Macmillan,Stand and Deliver: The Autobiography,1
346,284,1678,Henri de Monfreid,883730065,9780883730065,287,January 28th 1973,Stonehill,,,Hashish;: The autobiography of a Red Sea smuggler,Henri de Monfreid,,,9780883730065,287,1/1/73,Stonehill Publishing Company,Hashish: The Autobiography of a Red Sea Smuggler,1
368,304,537,Mark Twain,1484003187,9781484003183,306,April 1st 2013,Createspace,,,Chapters from My Autobiography,Mark Twain,William Dean Howells,Albert Bigelow Paine,9788026804642,840,2/27/14,e-artnow Editions,The Mark Twain Autobiography + 3 Biographies: 4 Mark Twain Biographies In 1 Book: Chapters From My Autobiography By Mark Twain + My Mark Twain By William Dean Howells' + Mark Twain A Biography By Albert Bigelow Paine + The Boys' Life Of Mark Twain By Albe,0
375,304,1051,Mark Twain,1484003187,9781484003183,306,April 1st 2013,Createspace,,,Chapters from My Autobiography,Mark Twain,,,2940011919084,,11/3/10,WHITE DOG PUBLISHING,"A Burlesque Autobiography and, First Romance",0
378,304,1772,Mark Twain,1484003187,9781484003183,306,April 1st 2013,Createspace,,,Chapters from My Autobiography,Mark Twain,,,9780766161375,376,6/28/03,Kessinger Publishing Company,"Mark Twain's Autobiography, Volume 2",0
386,306,716,Booker T. Washngton,1500889555,9781500889555,198,August 20th 2014,Createspace,,,Up from Slavery an Autobiography,Booker T. Washington,,,9781300323471,,10/20/12,Lulu.com,Up from Slavery : An Autobiography (Illustrated),0
400,315,224,Harry Redknapp,2188732,9780002188739,256,October 4th 1999,Willow,Derek McGovern,,'Arry: An Autobiography,Harry Redknapp,,,9781407060736,432,10/10/13,Ebury Publishing,Always Managing: My Autobiography,0
413,343,1089,Mary Harris Jones,,,169,July 2nd 2014,Mother Jones,,,The Autobiography of Mother Jones,Graham Jones as Told to Mary Alice Baker Ferguson,,,9781490850412,108,12/10/14,"Nelson, Thomas, Inc.",God's Grace for Graham: An Autobiography,0
420,353,1792,Thomas Henry Huxley,,,138,1909,Houghton Mifflin,,,Autobiography and Selected Essays,Thomas Henry Huxley,,,9781406589436,144,2/15/08,Dodo Press,Autobiography And Selected Essays,0
441,382,746,Theodore Roosevelt,,,0,,General Press,,,The Autobiography of Theodore Roosevelt,Theodore Roosevelt,,,9781931082655,864,10/28/04,Library of America,The Rough Riders and An Autobiography,0
448,385,771,Black Hawk,252723252,9780252723254,192,March 1st 1975,University of Illinois Press,Donald Jackson,,Black Hawk: AN AUTOBIOGRAPHY,Black Hawk,,,9781602067615,160,10/15/07,Cosimo,The Autobiography Of Black Hawk,0
455,392,151,Mark Twain,766161366,9780766161368,386,June 5th 2003,Kessinger Publishin,Albert Bigelow Paine,,"Mark Twain's Autobiography, Part 1",Mark Twain,,,9780520952447,440,3/26/12,University of California Press,"Autobiography of Mark Twain: Volume 1, Reader's Edition",0
460,392,446,Mark Twain,766161366,9780766161368,386,June 5th 2003,Kessinger Publishin,Albert Bigelow Paine,,"Mark Twain's Autobiography, Part 1",Mark Twain,,,2940011938245,,10/1/10,Baxter St.,Mark Twain's Autobiography,0
462,392,537,Mark Twain,766161366,9780766161368,386,June 5th 2003,Kessinger Publishin,Albert Bigelow Paine,,"Mark Twain's Autobiography, Part 1",Mark Twain,William Dean Howells,Albert Bigelow Paine,9788026804642,840,2/27/14,e-artnow Editions,The Mark Twain Autobiography + 3 Biographies: 4 Mark Twain Biographies In 1 Book: Chapters From My Autobiography By Mark Twain + My Mark Twain By William Dean Howells' + Mark Twain A Biography By Albert Bigelow Paine + The Boys' Life Of Mark Twain By Albe,0
475,392,3325,Mark Twain,766161366,9780766161368,386,June 5th 2003,Kessinger Publishin,Albert Bigelow Paine,,"Mark Twain's Autobiography, Part 1",Mark Twain,,,9780766161375,376,6/28/03,Kessinger Publishing Company,"Mark Twain's Autobiography, Volume 2",1
483,397,151,Mark Twain,,,0,February 27th 2014,e-artnow,,,"The Complete Works of Mark Twain: The Novels, short stories, essays and satires, travel writing, non-fiction, the complete letters, the complete speeches, and the autobiography of Mark Twain",Mark Twain,,,9780520952447,440,3/26/12,University of California Press,"Autobiography of Mark Twain: Volume 1, Reader's Edition",0
504,398,3161,Larry Rivers,1560253193,9781560253198,512,June 12th 2001,Da Capo Press,Arnold Weinstein,,What Did I Do?: The Unauthorized Autobiography of Larry Rivers,Larry Rivers,Arnold Weinstein,,9780060190071,498,10/1/92,HarperCollins Publishers,What Did I Do?: The Unauthorized Autobiography of Larry Rivers,0
523,429,8,Jerry Spinelli,679887911,9780679887911,160,April 28th 1998,Ember,,,Knots in My Yo-Yo String: The Autobiography of a Kid,Jerry Spinelli,,,9780679887911,160,6/28/12,Random House Children's Books,Knots in My Yo-yo String: The Autobiography of a Kid,1
527,436,278,Saburo Sakai,553110357,9780553110357,0,,,Martin Caidin,Fred Saito,Samurai! The Autobiography of Japan's Bravest Fighter Ace,Saburo Sakai,,,9781507795859,296,1/31/15,CreateSpace Publishing,Samurai!: The Autobiography of Japan's World War Two Flying Ace,0
542,451,512,Swami Muktananda,911307818,9780911307818,368,January 1st 2000,Siddha Yoga Publications,Swami Chidvilasananda,Paul Muller-Ortega,Play of Consciousness: A Spiritual Autobiography,Gurumayi Chidvilasananda,,,9780911307818,368,1/28/00,S Y D A Foundation,Play of Consciousness: A Spiritual Autobiography,1
551,463,1569,Anthony Trollope,,,0,September 1st 2014,Pearl Necklace Books,,,Anthony Trollope: An Autobiography,Anthony Trollope,,,9781297052828,272,2/16/15,Scholar's Choice,Autobiography of Anthony Trollope - Scholar's Choice Edition,0
560,468,475,Granta: The Magazine of New Writing,140075674,9780140075670,256,May 1st 1999,Granta Books,Bill Buford,,Granta 14: Autobiography (Granta #14),Dior: The Autobiography of Christian Dior,,,9781851776719,192,9/1/07,V&amp;A Publishing,Dior,0
577,468,3050,Granta: The Magazine of New Writing,140075674,9780140075670,256,May 1st 1999,Granta Books,Bill Buford,,Granta 14: Autobiography (Granta #14),e to the City of Dreams: An Autobiography,,,9780730830061,296,1/1/04,Art Gallery of South Australia,Good,0
578,468,3167,Granta: The Magazine of New Writing,140075674,9780140075670,256,May 1st 1999,Granta Books,Bill Buford,,Granta 14: Autobiography (Granta #14),the author of 'The member'.,,,2940025991335,,,,"The Radical: an autobiography,",0
592,488,774,George Crook,806119829,9780806119823,368,April 15th 1986,University of Oklahoma Press,Martin F. Schmitt,,General George Crook: His Autobiography,George Crook,Martin F. Schmitt,,9780806119823,370,4/28/86,University of Oklahoma Press,General George Crook: His Autobiography,1
600,506,167,Chris Crutcher,60502517,9780060502515,272,October 5th 2004,Greenwillow Books,,,King of the Mild Frontier: An Ill-Advised Autobiography,Chris Crutcher,,,9780060502515,272,10/5/04,HarperCollins Publishers,King of the Mild Frontier: An Ill-Advised Autobiography,1
619,542,2832,Graeme Swann,,,416,October 13th 2011,Hodder,,,Graeme Swann: The Breaks Are Off - My Autobiography: The Breaks Are Off - My Autobiography,Graeme Swann,,,9781444727395,432,10/13/11,"Hodder &amp; Stoughton, Ltd.",Graeme Swann: The Breaks Are Off - My Autobiography,1
622,544,1085,Riccardo Muti,847837246,9780847837243,244,September 6th 2011,Rizzoli Ex Libris,Marco Grondona,,"Riccardo Muti: An Autobiography: First the Music, Then the Words",Riccardo Muti,,,9780847837458,,9/6/11,Rizzoli,Riccardo Muti,0
625,547,574,Alice Hamilton,930350812,9780930350819,433,October 15th 1985,Northeastern University Press,,,"Exploring the Dangerous Trades: The Autobiography of Alice Hamilton, M.D.",Alice Hamilton,,,9781443721219,472,11/4/08,Miller Press,"Exploring The Dangerous Trades - The Autobiography Of Alice Hamilton, M.D.",0
631,557,979,Xianyi Yang,9629960702,9789629960704,328,April 9th 2003,Chinese University Press,Yang Xianyi,,White Tiger: An Autobiography of Yang Xianyi,Yang Xianyi,,,9789629960704,328,4/9/03,"Chinese University Press, The",White Tiger: An Autobiography of Yang Xianyi,1
634,562,1916,Earl W. Thomas,1861761562,9781861761569,0,,,,,The Autobiography Of A Seaman,Thomas W. Henry,,,9780878056903,128,5/1/94,University Press of Mississippi,From Slavery to Salvation: The Autobiography of Rev. Thomas W. Henry of the A. M. E. Church,0
655,584,1568,Ping-Ying Hsieh,863580521,9780863580529,216,January 1st 1986,Rivers Oram Press,,,Autobiography of a Chinese Girl,Ping-Ying Hsieh,,,9780863580529,224,2/1/86,Rivers Oram Press/Pandora Press,Autobiography of a Chinese Girl,1
660,592,486,Quincy Jones,767905105,9780767905107,432,October 8th 2002,Three Rivers Press (CA),,,Q: The Autobiography of Quincy Jones,Quincy Jones,,,9780385504744,416,4/23/02,Crown/Archetype,Q: The Autobiography of Quincy Jones,0
661,595,1005,Michael Smurfit,1781190127,9781781190128,330,April 4th 2014,Oak Tree Press (Ireland),,,A Life Worth Living: The Autobiography,Michael Smurfit,,,9781781190135,328,4/4/14,Oak Tree Press,A Life Worth Living: Michael Smurfit's Autobiography,1
669,602,3090,William Hale White,192825941,9780192825940,228,January 10th 1991,Oxford University Pres,William S. Peterson,Mark Rutherford,The Autobiography Of Mark Rutherford: Dissenting Minister,William S. White,,,2940022699234,,,Richmond : Presbyterian Committee of Publication,"Rev. William S. White, D.D., and his times (1800-1873) : an autobiography",0
670,611,201,Myrlie Evers-Williams,465021778,9780465021772,400,May 31st 2005,Basic Civitas Books,Manning Marable,,"The Autobiography of Medgar Evers: A Hero's Life and Legacy Revealed Through his Writings, Letters, and Speeches",Myrlie Evers-Williams,Manning Marable,,9780786722495,416,8/29/06,Basic Books,"The Autobiography of Medgar Evers: A Hero's Life and Legacy Revealed Through His Writings, Letters, and Speeches",0
671,614,379,G.K. Chesterton,1586170716,9781586170714,336,April 30th 2006,Ignatius Press,Randall Paine,,The Autobiography of G. K. Chesterton,G. K. Chesterton,,,9781586170714,336,4/1/06,Ignatius Press,The Autobiography of G. K. Chesterton,1
673,616,3357,Robert Marion La Follette,299021947,9780299021948,366,November 15th 1960,University of Wisconsin Press,Allan Nevins,,La Follette's Autobiography: A Personal Narrative of Political Experiences,Robert Marion La Follette,,,2940029904119,,,The Robert M. LaFollette Co.,La Follette's Autobiography: A Personal Narrative of Political Experiences ...,0
706,678,400,Blase Bonpane,1597096709,9781597096706,240,October 1st 2011,Red Hen Press,,,Imagine No Religion: The Autobiography of Blase Bonpane,Blase Bonpane,Blase,,9781597091800,214,1/1/12,Red Hen Press,Imagine No Religion: The Autobiography of Blase Bonpane,1
712,680,1147,Jon E. Lewis,1845299426,9781845299422,529,April 1st 2009,Robinson Publishing,,,London: The Autobiography,Jon E. Lewis,,,9781459642973,454,7/2/12,ReadHowYouWant.com Pty Limited,Spitfire: The Autobiography: The Plane and the Men That Saved Britain in 1940 in Their Own Words (Large Print 16pt),0
719,697,2155,Cowper Powys John,158567821X,9781585678211,704,,Overlook Press,John Cowper Powys,,Autobiography,John Cowper Powys,,,9780571309467,662,12/19/13,Faber and Faber,Autobiography,0
767,780,656,Charles Darwin,,,0,,General Press,,,The Autobiography of Charles Darwin From the Life and Letters of Charles Darwin,Charles Darwin,,,9780199580149,544,6/6/10,Oxford University Press,Evolutionary Writings: Including the Autobiographies,0
784,816,1023,William C. Spengemann,300024738,9780300024739,0,,,,,Forms of Autobiography,WILLIAM C. ONYEBEKE,,,9781465319388,195,1/27/10,Xlibris US,THE WOODCHOPPER: An African Cultural Autobiography,0
796,823,240,Myles Horton,807737003,9780807737002,167,July 2nd 1997,Teachers College Press,Herbert R. Kohl,Judith Kohl,The Long Haul: An Autobiography,Myles Horton,,,9780807737002,256,8/1/03,Teachers College Press,The Long Haul: An Autobiography / Edition 1,1
809,839,63,Teresa of Jesus,1783362480,9781783362486,372,June 4th 2013,Limovia.Net,,,The Life of St. Teresa of Jesus: Autobiography,St. Teresa of Avila,,,9780486475981,352,7/21/10,Dover Publications,Autobiography of St. Teresa of Avila,0
810,839,869,Teresa of Jesus,1783362480,9781783362486,372,June 4th 2013,Limovia.Net,,,The Life of St. Teresa of Jesus: Autobiography,Teresa of Jesus,,,9781783360826,,1/13/14,limovia.net,The Life of St. Teresa of Jesus: Autobiography,1
821,845,889,Kate Adie,075531073X,9780755310739,438,June 1st 2003,Headline Book Publishing,,,The Kindness of Strangers: The Autobiography,Kate Adie,,,9780755310739,448,6/1/03,"Headline Book Publishing, Limited",The Kindness of Strangers: The Autobiography,1
835,855,469,Mark Twain,1441778411,9781441778413,0,November 15th 2010,Blackstone Audiobooks,Harriet E. Smith,Grover Gardner,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 2",Mark Twain,,,9781477475539,406,5/25/12,CreateSpace Independent Publishing Platform,Autobiography of Mark Twain Volume 2,0
842,855,1045,Mark Twain,1441778411,9781441778413,0,November 15th 2010,Blackstone Audiobooks,Harriet E. Smith,Grover Gardner,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 2",Mark Twain,,,9781607788249,,1/1/10,MobileReference,Mark Twain's Burlesque Autobiography,0
862,889,51,D.M.X.,60934034,9780060934033,352,October 21st 2003,It Books,Smokey D. Fontaine,,E.A.R.L.: The Autobiography of DMX,DMX,Smokey D. Fontaine,D,9780060934033,352,10/21/03,HarperCollins Publishers,E.A.R.L.: The Autobiography of DMX,1
906,968,854,Alma H. Bond,913559482,9780913559482,224,May 1st 1998,Birch Brook Press,,,Autobiography of Maria Callas,Alma H. Bond,Frank Eckmair,,9780913559499,219,4/28/98,Birch Brook Press,The Autobiography of Maria Callas,1
917,977,2377,Jawaharlal Nehru,370313135,9780370313139,648,September 27th 1989,Bodley Head,,,An Autobiography: Toward Freedom,Jawaharlal Nehru,,,9780195612202,684,2/1/81,"Oxford University Press, USA",Jawaharlal Nehru: An Autobiography,0
934,1007,3120,Samuel Smiles,1430449322,9781430449324,468,January 1st 2007,Kessinger Publishing,,,The Autobiography of Samuel Smiles,Samuel Jr. Smiles,James Nasmyth,,9783957388001,376,5/2/14,Vero Verlag,"James Nasmyth, Engineer: An Autobiography",0
940,1008,2042,Leigh Hunt,1169907288,9781169907287,436,February 1st 2011,Kessinger Publishing,,,The Autobiography of Leigh Hunt,Leigh Hunt,,,2940017734315,,,New York : Harper &amp; Brothers,"The autobiography of Leigh Hunt, with reminiscences of friends and contemporaries",0
