ID,Title,Author,ISBN,Publisher,PublicationDate,Pages,price,ProductType
bn_1,Access 2013 For Dummies,"Laurie Ulrich Fuller,  Ken Cook",9781118516386,Wiley,04/01/2013,456,$18.06,Paperback
bn_2,MySQL. Mechanizmy wewn?trzne bazy danych,Sasha Pachev,9781457175138,Helion,12/19/2007,240,$5.49,NOOK Book
bn_3,SYBASE Developer's Handbook,Daniel J. Worden,9780127639505,Elsevier Science & Technology Books,10/28/1998,581,,Paperback
bn_4,"Advances in Databases: 18th British National Conference on Databases, BNCOD 18 Chilton, UK, July 9-11, 2001. Proceedings",Brian Read,9783540422655,Springer Berlin Heidelberg,08/09/2001,219,$79.99,Paperback
bn_5,Microsoft Access 97-Visual Basic Step by Step,Evan Callahan,9781572313194,Microsoft Press,01/29/1997,379,,Paperback
bn_6,CMDB Systems: Making Change Work in the Age of Cloud and Agile,"Dennis Drogseth,  Dan Twing",9780128012659,Elsevier Science,04/03/2015,402,$41.42,Paperback
bn_7,"Security, Audit and Control of Databases",Rodney Clark,9781856281683,"Ashgate Publishing, Limited",05/28/1991,124,,Hardcover
bn_8,"New Perspectives on Microsoft Access 2010, Comprehensive","Joseph J. Adamski,  Kathy T. Finnegan",9780538798471,Cengage Learning,09/22/2010,832,$27.15,Paperback
bn_9,The Definitive Guide to SQLite,"Grant Allen,  Mike Owens",9781430232261,Apress,11/04/2010,368,$35.49,NOOK Book
bn_10,"Modelling Database Dynamics: Selected Papers from the 4th International Workshop on Foundations of Models and Languages for Data and Objects, Volkse, Germany 19-22 October 1992","Udo W. Lipeck,  Bernhard Thalheim",9780387198033,"Springer-Verlag New York, LLC",06/01/1993,229,,Paperback
bn_11,Professional SQL Server 2000 DTS,"Mark Chaffin,  Brian Knight,  Todd Robinson",9780764543685,Wiley,12/01/2000,888,,Paperback
bn_12,Access 2000 Developer's Black Book,"Lars Klander,  Dave Mercer",9781576103494,Coriolis Group,04/10/1999,9781576103494,,Paperback
bn_13,Oracle PL/SQL Programming Guide to Oracle8i Features,Steven Feuerstein,9781565926752,"O'Reilly Media, Incorporated",10/08/1999,264,,Paperback
bn_14,Guide to Oracle9i / Edition 4,"Joline Morrison,  Mike Morrison",9780619159597,Cengage Learning,03/14/2003,984,$1.99,Paperback
bn_15,"Persistent Object Systems: Proceedings of the 5th International Workshop, San Miniato (Pisa), Italy, 1-4 September 1992",Antonio Albano,9780387198002,"Springer-Verlag New York, LLC",06/01/1993,446,,Paperback
bn_16,First Course in Database Systems / Edition 3,"Jeffrey D. Ullman,  Jennifer Widom",9780136006374,Pearson,11/15/2007,592,$31.22,Hardcover
bn_17,"The Data Bank Society (Routledge Revivals): Organizations, Computers and Social Freedom","Malcolm Warner,  Mike Stone",9780415720939,Taylor & Francis,07/22/2013,244,$145.00,Hardcover
bn_18,"Advances in Information Retrieval: 29th European Conference on IR Research, ECIR 2007, Rome, Italy, April 2-5, 2007, Proceedings / Edition 1",Giambattista Amati,9783540714941,Springer Berlin Heidelberg,04/19/2007,759,$179.00,Paperback
bn_19,SQL Server 2005 Maintenance Plans,Steve Jones,9780975901571,"Central Publishing Group, The",05/15/2007,142,,Paperback
bn_20,Getting Started with MariaDB,Daniel Bartholomew,9781782168096,Packt Publishing,10/15/2013,100,$34.99,Paperback
bn_21,Discovering SQL: A Hands-On Guide for Beginners,Alex Kriegel,9781118002674,Wiley,04/19/2011,432,$26.37,Paperback
bn_22,"Getting Started with the SQL Procedure, Version 6",SAS Institute Incorporated,9781555446628,SAS Institute Inc.,07/28/1995,88,,Paperback
bn_23,Access 97 Unleashed,"Dwayne Gifford,  Stephen Forte",9780672312717,Pearson Education,05/20/1998,936,,Paperback
bn_24,Data Warehouse Management Handbook / Edition 1,Richard Kachur,9780130833464,Prentice Hall Professional Technical Reference,08/28/2000,348,$18.80,Other Format
bn_25,"Professional ADO.NET 2: Programming with SQL Server 2005, Oracle, and MySQL","Wallace B. McClure,  Gregory A. Beamer,  John J. Croft IV,  J. Ambrose Little",9780764584374,Wiley,12/05/2005,648,,Paperback
bn_26,Oracle Database 11g DBA Handbook / Edition 1,"Bob Bryla,  Kevin Loney",9780071496636,McGraw-Hill Professional Publishing,12/06/2007,670,$8.92,Paperback
bn_27,Getting Started with SAS Enterprise Miner 4.3 / Edition 1,"Inc SAS Institute,  Sas Institute",9781590472316,SAS Institute Inc.,04/19/2004,132,$158.99,Paperback
bn_28,Course ILT: Filemaker Pro 5.0,Course Technology,9780619023119,Cengage Learning,01/28/2001,96,$34.46,Other Format
bn_29,Ferret,David Balmain,9780596519407,"O'Reilly Media, Incorporated",03/28/2008,112,$24.99,Paperback
bn_30,Using Access 97,"Susan Harkins,  Thomas Armitage,  Susan Harkins,  et al",9780789716347,Que,11/06/1998,650,,Paperback
bn_31,SQL Server 2005 Distilled,Eric Brown,9780132704670,Pearson Education,03/20/2006,336,$18.49,NOOK Book
bn_32,Microsoft Ole Db 1.1 Programmer's Reference and Software Development Kit: Complete Information and Tools to Give Your Applications Data Account,"Microsoft Press,  Microsoft Corporation",9781572316126,Microsoft Press,04/16/1997,701,,Paperback
bn_33,Beginning ASP Database,"KAUFFMAN,  Kevin Spencer,  David Buser,  Thearon Willis",9781861002723,Apress,06/25/1999,9781861002723,,Paperback
