ID,title,authors,cover,pages,publisher,language,ISBN-10,ISBN13,price
B1,Applied SOAP: Implementing .NET XML Web Services,"Kenn Scribner,",paperback,432," Sams Publishing; 1 edition (November 4, 2001)", English,672321114,9780672321115,$45.80
B2,OCP Oracle Certified Professional on Oracle 12c Certification Kit,"Gavin Powell,Robert G. Freeman,",paperback,1992," Sybex; 1 edition (September 22, 2014)", English,1118957687,9781118957684,$63.79
B3,Oracle Database 12c DBA Handbook (Oracle Press),"Bob Bryla,",paperback,704," McGraw-Hill Education; 1 edition (June 24, 2015)", English,71798781,9780071798785,$38.75
B4,Oracle8 Design Tips (A Nutshell handbook),,paperback,136," O'Reilly Media; 1 edition (September 11, 1997)", English,1565923618,9781565923614,$3.95
B5,ARENA und Microsoft Access (German Edition),"Matthias Wichmann,",paperback,60," GRIN Verlag (November 25, 2013)", German,3638657264,9783638657266,
B6,MySQL Crash Course,"Ben Forta,",paperback,336," Sams Publishing (December 22, 2005)", English,672327120,9780672327124,$27.68
B7,SQL Server Concurrency,,paperback,202," Red gate books (September 11, 2012)", English,1906434913,9781906434915,
B8,"Algorithms - ESA '96: Fourth Annual European Symposium, Barcelona, Spain, September 25-27, 1996. Proceedings (Lecture Notes in Computer Science)",,paperback,568," Springer; 1996 edition (September 11, 1996)", English,3540616802,9783540616801,
B9,SQL Tricks (Advanced Database Programming),,paperback,118," Questing Vole Press (August 6, 2014)", English,1937842320,9781937842321,
B10,Oracle8 Developer's Guide (Developer's Guides (Wiley)),"Carol McCullough-Dieter,",paperback,559," Wiley (March 24, 1999)", English,764531972,9780764531972,$3.00
B11,FileMaker Pro 8.5 Bible,,paperback,984," Wiley; 1 edition (October 2, 2006)", English,470082771,9780470082775,$39.99
B12,Level Design: Best Practices from the Best in the Business,,paperback,528," Focal Press (January 1, 2016)", English,1138025356,9781138025356,
B13,Implementing SAP ERP Sales & Distribution,"Glynn C. Williams,",paperback,513," McGraw-Hill Education; 1 edition (April 11, 2008)", English,71497056,9780071497053,
B14,Introducing Microsoft SQL Server 2014,"Ross Mistry,",paperback,144," Microsoft Press; 1 edition (May 16, 2014)", English,735684758,9780735684751,$9.18
B15,High Availability MySQL Cookbook,,paperback,276," Packt Publishing (April 27, 2010)", English,1847199941,9781847199942,
B16,Oracle Solaris 11.2 System Administration Handbook (Oracle Press),"Harry Foxwell,Glynn Foster,",paperback,336," McGraw-Hill Education; 1 edition (October 22, 2015)", English, 007184418X,9780071844185,$34.36
B17,"Mastering and Using Microsoft Access 2000: Comprehensive Course, Updated Edition",,paperback,432," Course Technology; 2 edition (January 22, 2001)", English,619051507,9780619051501,$0.41
B18,Inside Windows Debugging (Developer Reference),"Tarik Soulami,",paperback,592," Microsoft Press; 1 edition (May 25, 2012)", English,735662789,9780735662780,$26.80
B19,Data Mining with SQL Server 2005,"ZhaoHui Tang,Jamie MacLennan,",paperback,480," Wiley; 1 edition (October 7, 2005)", English,471462616,9780471462613,$4.00
B20,"Learn dBASE Programming in a Day: For Users of dBASE-Compatible Database Programs That Use the Xbase Language Including dBASE III Plus, dBASE Iv, Db (Popular Applications Series)",,paperback,159, Wordware; 2 Pap/Dis edition (November 1994), English,1556224478,9781556224478,
B21,Guías Rápidas de Conexión para MS Access: Guia definitiva (Spanish Edition),"Enrique Davila,",paperback,38," CreateSpace Independent Publishing Platform (August 24, 2012)", Spanish,1479189243,9781479189243,
B22,Automating Microsoft Access With Macros: For Windows 95 & Windows 3.1,"Susann Novalis,",paperback,672, Sybex Inc; Pap/Dis edition (February 1996), English,782118569,9780782118568,
B23,dBASE IV Made Easy,"Miriam Liskin,",paperback,1007, Mcgraw-Hill Osborne Media (March 1989), English,78814642,9780078814648,
B24,A Guide to Oracle: Including Developer/2000 and the Oracle Webserver and Dba Utilities,,paperback,480, Course Technology Ptr (Sd) (February 1998), English,760049920,9780760049921,$14.84
B25,Introduction to Oracle 10G & Database CD Package,"James T. Perry,",paperback,659," Prentice Hall (December 29, 2005)", English,131746006,9780131746008,$18.94
B26,Oracle8i For Dummies (For Dummies Series),"Carol McCullough-Dieter,",paperback,408," For Dummies; 2 edition (December 15, 2000)", English,764507982,9780764507984,$24.99
B27,Data Warehouse Project Management,"Sid Adelman,",paperback,448," Addison-Wesley Professional; 1 edition (September 24, 2000)", English,201616351,9780201616354,$45.49
B28,Amazon Hacks: 100 Industrial-Strength Tips & Tools,"Paul Bausch,",paperback,304," O'Reilly Media; 1 edition (August 30, 2003)", English,596005423,9780596005429,$20.09
B29,NoSQL for Mere Mortals,"Dan Sullivan,",paperback,552," Addison-Wesley Professional; 1 edition (April 26, 2015)", English,134023218,9780134023212,$34.80
B30,Building Applications with IBM Rational Application Developer and JavaBeans,,paperback,650," Mc Press; 2nd edition (January 1, 2008)", English,1931182272,9781931182270,$59.95
B31,A Pragmatic Guide to Business Process Modelling (2nd Ed),"Jon Holt,",paperback,246," British Informatics Society Ltd; New edition (July 21, 2009)", English,1906124124,9781906124120,$50.99
B32,"Algorithms and Data Structures: 11th International Symposium, WADS 2009, Banff, Canada, August 21-23, 2009. Proceedings (Lecture Notes in Computer ... Computer Science and General Issues)",,paperback,580," Springer; 2009 edition (September 10, 2009)", English,3642033660,9783642033667,$139.00
B33,Oracle Tuning Power Scripts: With 100+ High Performance SQL Scripts (Oracle In-Focus) (Volume 10),,paperback,492," Rampant TechPress; Second edition (March 6, 2014)", English,991638646,9780991638642,
B34,INFORMIX: Power Reference,"Art Taylor,",paperback,528," Prentice Hall PTR (October 26, 1998)", English,130809063,9780130809063,
B35,"MICAI 2008: Advances in Artificial Intelligence: 7th Mexican International Conference on Artificial Intelligence, Atizapán de Zaragoza, Mexico, ... (Lecture Notes in Computer Science)",,paperback,1036," Springer; 2008 edition (November 17, 2008)", English,3540886354,9783540886358,$219.00
B36,DB2 11: The Database for Big Data & Analytics,,paperback,128," Mc Press (November 22, 2013)", English,1583473858,9781583473856,
B37,Oracle SQL Interactive Workbook (Interactive Workbook (Prentice Hall)),"Alex Morrison,Alice Rischert,",paperback,516," Prentice Hall PTR (May 2, 2000)", English,130157457,9780130157454,$4.88
B38,PHP and MySQL Web Development (4th Edition),"Laura Thomson,",paperback,1008," Addison-Wesley Professional; 4 edition (October 11, 2008)", English,672329166,9780672329166,$31.80
B39,Mac OS X Panther in a Nutshell,"Chuck Toporek,",paperback,1054," O'Reilly Media; 2nd edition (July 2, 2004)", English,596006063,9780596006068,$14.99
B40,Brad's Sure Guide to SQL Server Maintenance Plans (DBA Handbooks),"Brad M. McGehee,",paperback,288," Red gate books (January 18, 2010)", English,1906434344,9781906434342,
B41,Informix SQL Reference Library,,paperback,1200," Prentice Hall PTR; Box edition (December 27, 1999)", English,130170429,9780130170422,
B42,Microsoft SQL Server(tm) 2005 Express Edition Step by Step (Step by Step (Microsoft)),,paperback,448," Microsoft Press (December 17, 2010)", English,735621845,9780735621848,
B43,Achieving Extreme Performance with Oracle Exadata (Oracle Press),"Rick Greenwald,Robert Stackowiak,Maqsood Alam,",paperback,432," McGraw-Hill Education; 1 edition (March 4, 2011)", English,71752595,9780071752596,$31.50
B44,"Studyguide for PHP Programming with MySQL: The Web Technology Series by Gosselin, Don",,paperback,100," Cram101 (May 19, 2013)", English,1478495618,9781478495611,
B45,Oracle PL/SQL Programming: Guide to Oracle8i Features,,paperback,258,1565926757,,,,
B46,"New Perspectives on Computer Concepts 2014, Introductory (with Microsoft Office 2013 Try It! and CourseMate(TM) Printed Access Card)","June Jamrich Parsons,Dan Oja,",paperback,248," Course Technology; 17 edition (March 11, 2014)", English,1285766997,9781285766997,$134.95
B47,Core MySQL,"Leon Atkinson,",paperback,752," Prentice Hall PTR; 1st edition (December 15, 2001)", English,130661902,9780130661906,
B48,Introduction to dBase III Plus,,paperback,250, Ashton-Tate Books (April 1986), English,912677619,9780912677613,
B49,SQL Built-In Functions and Stored Procedures: The i5/iSeries Programmer's Guide,"Mike Faust,",paperback,176," Mc Press (June 15, 2005)", English,1583470549,9781583470541,$20.00
B50,Oracle PL/SQL Programming Fundamentals: A Tutorial by Examples,"Djoni Darmawikarta,",paperback,130," CreateSpace Independent Publishing Platform (April 16, 2014)", English,1497575834,9781497575837,
B51,Microsoft SQL Server 2012 A Beginners Guide 5/E,,paperback,832," McGraw-Hill Education; 5 edition (March 23, 2012)", English,71761608,9780071761604,$24.56
B52,"Privacy in Statistical Databases: UNESCO Chair in Data Privacy, International Conference, PSD 2014, Ibiza, Spain,  September 17-19, 2014. Proceedings (Lecture Notes in Computer Science)",,paperback,367," Springer; 2014 edition (August 11, 2014)", English,3319112562,9783319112565,$84.00
B53,DB2 Fundamentals Certification For Dummies (For Dummies (Computers)),,paperback,450," For Dummies; Pap/Cdr edition (August 15, 2001)", English,764508415,9780764508417,$0.40
B54,Exploring Microsoft Office XP,"John Breeden,",paperback,352," Prompt (DPI - 8/01); 1 edition (June 1, 2001)", English, 079061233X,9780790612331,$0.63
B55,DB2 Udb Backup and Recovery With Ess Copy Services,"Lijun Gu,",paperback,138, Ibm (August 2002), English,738425141,9780738425146,
B56,Oracle SOA Suite 12c Handbook (Oracle Press),,paperback,912," McGraw-Hill Education; 1 edition (September 2, 2015)", English,71824553,9780071824552,$44.04
B57,"Access 2000 Manual de Uso al Maximo: Manuales Compumagazine, en Espanol / Spanish (Compumagazine; Coleccion de Libros & Manuales) (Spanish Edition)","Dario Angel Gonzalez,",paperback,374," M P Ediciones S.A.; Spanish edition (May 3, 2000)", Spanish,9875260339,9789875260337,
B58,Rapid Application Development with Oracle Designer/2000 (2nd Edition),"Chris Billings,Julia Tower,",paperback,480," Addison-Wesley Professional; 2 edition (October 11, 1996)", English,201634449,9780201634440,$9.99
B59,Oracle Scripts: Powerful Tools for DBAs and Developers,"Brian Lomasky,",paperback,204," O'Reilly Media; 1 edition (May 11, 1998)", English, 156592438X,9781565924383,
B60,Oracle RMAN for Absolute Beginners,"Darl Kuhn,",paperback,280," Apress; 2014 edition (November 5, 2014)", English,1484207645,9781484207642,$24.18
B61,Just Hibernate,"Madhusudhan Konda,",paperback,140," O'Reilly Media; 1 edition (June 22, 2014)", English,1449334377,9781449334376,$25.48
B62,Hadoop Operations,,paperback,350," O'Reilly Media; 2 edition (July 25, 2016)", English,1491923830,9781491923832,$44.55
B63,Getting Started with Oracle Public Cloud,,paperback,96," Packt Publishing (September 23, 2013)", English,1782178104,9781782178101,
B64,Oracle 8 Troubleshooting,"Rama Velpuri,",paperback,784," Computing Mcgraw-Hill (February 1, 1999)", English,78825806,9780078825804,
B65,Pro SQL Server 2005 Integration Services,"James Wightman,",paperback,548," Apress; 2008 edition (December 18, 2007)", English,1590598970,9781590598979,$49.99
B66,Oracle Database 11g DBA Handbook (Oracle Press),"Bob Bryla,Kevin Loney,",paperback,670," McGraw-Hill Education; 1 edition (December 27, 2007)", English,71496637,9780071496636,$33.79
B67,A DB2 Enterprise Query Environment: Build It With Qmf for Windows,,paperback,436, Ibm (December 1999), English,738415197,9780738415192,
B68,LAN Times Guide to SQL (LAN Times Series),"Paul N. Weinberg,",paperback,664," Mcgraw-Hill Osborne Media; 2nd edition (December 12, 1994)", English, 007882026X,9780078820267,
B69,Clean Data - Data Science Strategies for Tackling Dirty Data,"Megan Squire,",paperback,267," Packt Publishing - ebooks Account (May 29, 2015)", English,1785284010,9781785284014,
