#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
#ltable=POINTER
_id,ltable.ID,rtable.ID,ltable.Title,ltable.Pages,ltable.ISBN,rtable.Title,rtable.Pages,rtable.ISBN,Gold
1185,bn_644,B2,Oracle Certified Professional Application Developer Exam Guide,1318.0,9780072119756,OCP Oracle Certified Professional on Oracle 12c Certification Kit,1992.0,9781118957684,0
1879,bn_1103,B11,Learn FileMaker Pro 7,515.0,9781556220982,FileMaker Pro 8.5 Bible,984.0,9780470082775,0
140,bn_67,B14,Microsoft SQL Server 2008 Reporting Services,896.0,9780071548083,Introducing Microsoft SQL Server 2014,144.0,9780735684751,0
4725,bn_2540,B14,Reporting with Microsoft SQL Server 2012,142.0,9781782171720,Introducing Microsoft SQL Server 2014,144.0,9780735684751,0
550,bn_310,B17,Mastering and Using Microsoft Access 2000 / Edition 1,448.0,9780538426114,"Mastering and Using Microsoft Access 2000: Comprehensive Course, Updated Edition",432.0,9780619051501,0
4286,bn_2324,B25,Introduction to Databases,360.0,9780880228404,Introduction to Oracle 10G & Database CD Package,659.0,9780131746008,0
5446,bn_2953,B36,DB2 11: The Database for Big Data & Analytics,128.0,9781583473856,DB2 11: The Database for Big Data & Analytics,128.0,9781583473856,1
3960,bn_2140,B48,Introduction to Data Base Systems,672.0,9780201192155,Introduction to dBase III Plus,250.0,9780912677613,0
1321,bn_743,B60,Oracle RMAN for Absolute Beginners,280.0,9781484207642,Oracle RMAN for Absolute Beginners,280.0,9781484207642,1
58,bn_20,B63,Getting Started with MariaDB,100.0,9781782168096,Getting Started with Oracle Public Cloud,96.0,9781782178101,0
95,bn_39,B103,MySQL: The Complete Reference / Edition 1,544.0,9780072224771,MySQL(TM): The Complete Reference,544.0,9780072224771,1
3797,bn_2061,B114,Microsoft Access 2000,192.0,9780735610668,Microsoft Access 97 Projects,160.0,9780760051313,0
398,bn_220,B116,Microsoft Office Access 2003 Complete,688.0,9780072830767,"Microsoft Office Access 2013: A Skills Approach, Complete",576.0,9780077394233,0
787,bn_438,B117,Oracle Rman Pocket Reference,126.0,9780596002336,Oracle Regular Expressions Pocket Reference,64.0,9780596006013,0
2663,bn_1487,B119,Professional Microsoft SQL Server 2008 Integration Services,1008.0,9780470247952,"Microsoft SQL Server 2008 Integration Services: Problem, Design, Solution",480.0,9780470525760,0
4748,bn_2543,B119,Professional Microsoft SQL Server 2012 Integration Services,960.0,9781118101124,"Microsoft SQL Server 2008 Integration Services: Problem, Design, Solution",480.0,9780470525760,0
1629,bn_938,B133,Sams Teach Yourself PL/SQL in 21 Days with Cdrom,646.0,9780672311239,Sams Teach Yourself Oracle PL/SQL in 10 Minutes,288.0,9780672328664,0
25,bn_6,B142,CMDB Systems: Making Change Work in the Age of Cloud and Agile,402.0,9780128012659,CMDB Systems: Making Change Work in the Age of Cloud and Agile,402.0,9780128012659,1
4739,bn_2542,B143,Ado 2.0 Programmer's Reference,432.0,9781861001832,Access 2007 VBA Programmer's Reference,1152.0,9780470047033,0
2150,bn_1207,B147,Microsoft Access 2000 Step by Step,320.0,9781572319769,Microsoft Access 2013 Essentials,248.0,9781507694916,0
2214,bn_1226,B147,Microsoft Access 2002,224.0,9780789726315,Microsoft Access 2013 Essentials,248.0,9781507694916,0
4095,bn_2236,B147,Microsoft Access 2003,544.0,9780072834321,Microsoft Access 2013 Essentials,248.0,9781507694916,0
4616,bn_2478,B160,Oracle Performance Tuning,642.0,9781565920484,Oracle9i High-Performance Tuning with STATSPACK,645.0,9780072223606,0
5135,bn_2803,B163,Microsoft Office Access 2003: The Complete Reference,1024.0,9780072229172,Access 2000: The Complete Reference,1319.0,9780078825125,0
1976,bn_1150,B170,Microsoft Access 2010 Step by Step,448.0,9780735626928,Learning: Microsoft Access 2003,320.0,9780131893238,0
3900,bn_2117,B172,Running Microsoft Access 2000,1072.0,9781572319349,Building Queries: Using Microsoft Access 2010,140.0,9780615827629,0
3120,bn_1720,B180,Microsoft Office Access 2007,96.0,9780789738011,Microsoft Office Access 2003 Professional Results,400.0,9780072229653,0
1659,bn_963,B181,Oracle CRM On Demand Embedded Analytics,192.0,9780071745369,Oracle CRM On Demand Embedded Analytics (Oracle Press),192.0,9780071745369,1
488,bn_276,B200,Oracle PL/SQL Programming,1200.0,9780596553142,Oracle Pl/SQL Programming (Oracle Series),564.0,9780078821769,0
2421,bn_1364,B209,Microsoft SQL Server 2005 Unleashed,1752.0,9780672328244,Microsoft SQL Server 2005: A Beginner's Guide,704.0,9780072260939,0
1798,bn_1049,B222,Microsoft Access 97,488.0,9780760051573,"Microsoft Access 2.0 Handbook, 2 ed",528.0,9780679754657,0
2867,bn_1618,B222,Microsoft Access,196.0,9781562431150,"Microsoft Access 2.0 Handbook, 2 ed",528.0,9780679754657,0
508,bn_280,B226,The dBASE III Plus: Power User's Guide,750.0,9780078813177,The dBASE III Plus,352.0,9780155170353,0
2641,bn_1476,B232,DB2 Universal Database in Application Development Environments,9.78013086988e+12,9780130869876,DB2 Universal Database v7.1: Application Development Certification Guide,320.0,9780130913678,0
1346,bn_761,B243,Microsoft Access Programming,400.0,9780830643103,Microsoft Access For Anyone,222.0,9781419640803,0
3801,bn_2061,B243,Microsoft Access 2000,192.0,9780735610668,Microsoft Access For Anyone,222.0,9781419640803,0
2676,bn_1488,B249,Oracle 10g Data Warehousing,872.0,9780080513287,Oracle Data Warehousing (Oracle Series),384.0,9780078822421,0
2587,bn_1460,B260,FileMaker Pro 14: The Missing Manual,972.0,9781491917480,Access 2013: The Missing Manual,866.0,9781449357412,0
5501,bn_2982,B260,PHP & MySQL: The Missing Manual,546.0,9781449325572,Access 2013: The Missing Manual,866.0,9781449357412,0
515,bn_292,B263,Microsoft SQL Server 7 Administrator's Guide,770.0,9780761513896,Microsoft SQL Server OLAP Developer's Guide,384.0,9780764546433,0
555,bn_312,B263,Administrator's Guide to Microsoft SQL Server 6.5,469.0,9781882419531,Microsoft SQL Server OLAP Developer's Guide,384.0,9780764546433,0
2575,bn_1458,B263,Introducing Microsoft SQL Server 2005 for Developers,268.0,9780735619623,Microsoft SQL Server OLAP Developer's Guide,384.0,9780764546433,0
2025,bn_1158,B284,Programming Microsoft SQL Server 2008,1024.0,9780735638198,Programming Microsoft SQL Server 2000 with Microsoft Visual Basic .Net (Microsoft Programming),500.0,9780735615359,0
4235,bn_2288,B305,DB2 Universal Database v7.1: Application Development Certification Guide,320.0,9780130913678,DB2 Universal Database in Application Development Environments,512.0,9780130869876,0
4665,bn_2505,B332,"New Perspectives on Microsoft Office Access 2007, Introductory / Edition 1",536.0,9781423905882,New Perspectives on Microsoft Access 97,160.0,9780760045527,0
300,bn_143,B339,Professional SQL Server 2005 Integration Services,720.0,9780764584350,Hands-On Microsoft SQL Server(TM) 2005 Integration Services,570.0,9780072263190,0
