#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
"_id","ltable.id","rtable.id","ltable.title","ltable.director","ltable.year","ltable.cost","ltable.star","rtable.title","rtable.director","rtable.year","rtable.rotten_tomatoes","rtable.review1","rtable.review2","rtable.review3","rtable.review4","rtable.review5","gold"
0,4,3668,"Harry Potter and the Deathly Hallows: Part 1","David Yates",2010,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Bill Nighy, Emma Watson","Harry Potter and the Deathly Hallows - Part 2","David Yates",2011,96,"For 10 years and eight films we've gotten to watch these young actors grow as people, as performers and as characters. It has been a true coming-of-age saga, in the fullest and most moving sense of the term.","The final instalment, Deathly Hallows Part 2, is a bravura duel between good and evil. It's also a cathartic, occasionally clunky nostalgiafest.","Come the conclusion, tears no doubt will be shed, probably by those more devoted than I. Whether they cry because of overwhelming emotion or in mourning an era's end, I'm not sure. Probably both.","Radcliffe retains an endearingly owlish demeanor. But he also captures the quiet determination of a young man determined to confront his life-or-death destiny -- making the world safe for good folks, wizards and Muggles alike -- with admirable aplomb.","It's a bittersweet end as the final adaptation of the beloved books hits the big screen. Expect tears, both from nostalgia and some truly amazing storytelling.",0
1,7,1882,"Fast & Furious 6","Justin Lin",2013,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Vin Diesel, Paul Walker","Fast & Furious","Justin Lin",2009,28,"Though I admit the title of the film is slightly dumb, I can't really fault much else going on here.","Provided a cinematic equivalent of NOS to the franchise with a tone shift that helped make it one of the most popular and profitable action series in the last decade.","...a combination of kinetic filmmaking and hulking charisma that can only be called bro bliss.","The tagline for this film is: 'New Model, Original Parts'. It should be: 'Are you dumb enough to pay for the same film twice?'","Bummer.",0
2,9,6068,"The Big Lebowski","Joel Coen",1998,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Jeff Bridges, John Goodman","Big Muddy","Jeff Moneo",2015,50,"It's a quintessentially Canadian idea mixed in with the material Moneo borrows from various hard-boiled film noirs and sun-dappled westerns.","Big Muddy often looks darkly sublime but the script, expanded by Moneo from his 2011 short, isn't quite up to the task.","It dawdles and meanders a little too much in the getting there, but at least once Martha and Stan are in the same house, Big Muddy starts livening up its beat-up setting.","Jefferson Moneo, tackling his first feature, has a good handle on storytelling economy, and gives his unique setting ample time to shine.","A muddle, with a badly miscast femme fatale",0
3,16,2084,"Sherlock Holmes: A Game Of Shadows","Guy Ritchie",2011,"Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,","Robert Downey Jr., Jude Law","Sherlock Holmes","Guy Ritchie",2009,70,"There's plenty of fun and entertainment to be had from Guy Ritchie's take on the character for both fans of Doyle's work and for those just getting to know Holmes and Watson.","... Bears the stamp of its director, Guy Ritchie, much more so than that of Sir Arthur Conan Doyle ...","The plot races and roars through a deliciously grungy combination of real sets and CGI for all sorts of big-action scenes in and around turn-of-the-century London.","Ritchie provides big dumb fun, but it's hard to imagine worse casting than Bob Downey, Jr. Maybe Verne Troyer or RuPaul. Downey's self-important bluster and lousy accent ruin the film. But pleasing score from Hans Zimmer's team.","Proof that Guy Richie can still make good films, though it's not without flaws.",0
4,17,86,"The Lord of the Rings: The Return of the King","Peter Jackson",2003,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Noel Appleby, Ali Astin","The Lord of the Rings: The Return of the King","Peter Jackson",2003,95,"With The Lord of the Rings: The Return of the King, Peter Jackson delivers a decent ending to his fantasy trilogy -- actually, about 12 endings.","The Return Of The King ultimately proves up to the series' increasingly difficult task: making movies that echo legends, making legends that reflect life, and reconciling it all with the fact that both legends and lives all eventually meet their ends.","Yes, the running time is long, and yes, those many endings in a slow, dreamy coda left me feeling spent -- better spent than I can ever remember.","This is the crowning glory -- a cinematic feat that satisfies at every level.","Satisfyingly, Astin's Sam grows the most here, coming into his heroic own. His big eyes, gazing adoringly and beseechingly at the tormented Frodo, speak volumes about loyalty and bravery.",1
5,17,119,"The Lord of the Rings: The Return of the King","Peter Jackson",2003,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Noel Appleby, Ali Astin","The Chronicles of Riddick: Dark Fury","Peter Chung",2004,0,"What Dark Fury doesn't do well is what it wants to do: bridge the gap between two movies","He's the big, bad and bald muscleman of Hollywood - but he's devoted to Judi Dench and keen to work in independent films that say something.",,,,0
6,17,3391,"The Lord of the Rings: The Return of the King","Peter Jackson",2003,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Noel Appleby, Ali Astin","The Hobbit: The Battle of the Five Armies","Peter Jackson",2014,60,"Is it still fun? Yes. Is it indulgent? Absolutely.","At two hours 24 minutes the final Hobbit movie is the shortest of all of Peter Jackson's Middle-earth epics but it still feels like butter scraped over too much bread.","Such ingenuity is at the service of a project that lost its emotional core when Jackson decided to take Tolkien's relatively streamlined novel and pump it up into three plus-sized movies.","At two hours and 24 minutes it's the shortest of the trilogy, but it still feels longer than it needs to be.","Often spectacular and increasingly involving, The Hobbit: The Battle of the Five Armies delivers a good payoff for a trilogy marred with issues of self-indulgence.",0
7,25,4412,"The Dark Knight Rises [Blu-ray]","Christopher Nolan",2012,$11.99,"Christian Bale","The Dark Knight Rises","Christopher Nolan",2012,87,"[This] wrap-up wraps up few of the threads in the first two films, and that the climactic cliff-hangers are nothing special (as well as flabbily edited).","By the thrilling... Nolan satiates his taste for the big action set piece, but all is grounded in an intricately woven world of fierce loyalty and even more fierce enmity.","You should consider the overall brilliance of Nolan's series of ""Dark Knight"" films and wonder whether the next filmmaker willing to take on the caped crusader's story is batty.","Lacking a central figure as dazzling as Heath Ledger's Joker, The Dark Knight Rises is not as strong as its predecessor, but it's still a doozy. Um, a violent, grim, nightmarish doozy.","My issues with it are few and didn't detract from my love for this film, which I believe you're going to love, too.",1
8,45,60,"Indiana Jones and The Temple Of Doom","Steven Spielberg",1984,"Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,","Harrison Ford, Kate Capshaw","The Legend of Johnny Lingo","Steven Ramirez",2003,13,"If the narrative is unsteady, the acting is even shakier.","This exotic little New Zealand film about an outcast island boy is full of surprises that will make even the grumpiest viewer crack a smile.","The movie's G rating, and its message that even the roughest of edges can be smoothed away to reveal a wonderful person, make for ideal family entertainment, as long as you can get past the corniness.",,"Earnest but amateurish tween fairy tale set in South Seas.",0
9,45,5424,"Indiana Jones and The Temple Of Doom","Steven Spielberg",1984,"Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,","Harrison Ford, Kate Capshaw","The Secret Life Of Walter Mitty","Ben Stiller",2013,50,"This is one of the more disappointing efforts of the holiday movie season.","While the original Mitty was a heartbreakingly sad figure, this Mitty is a weak parable for living life to the fullest (or something like that.)","The Secret Life of Walter Mitty provides fun and laughs, but also meaningful thoughts on life and how we choose to live it, along with a touching lead performance you'll want to root for.","Steve Conrad's script is a jumbled farce, misfiring on comedic executions and inserting beats that have no real relevance to the story.","The Secret Life of Walter Mitty is one charming film to see, and there's nothing wrong with a feel-good movie that makes you feel good about liking it.",0
