#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.int_id
#foreign_key_rtable=rtable.int_id
_id,ltable.int_id,rtable.int_id,ltable.company,ltable.company_free,ltable.company_struct,ltable.title,rtable.company,rtable.company_free,rtable.company_struct,rtable.title
30413,700,1606,Babyletto,,Babyletto,Babyletto Alphabets Stroller Blanket,Babyletto,,Babyletto,babyletto Alphabets Stroller Blanket
30414,700,1607,Babyletto,,Babyletto,Babyletto Alphabets Stroller Blanket,Babyletto,,Babyletto,babyletto Tranquil Woods Stroller Blanket
30415,700,1660,Babyletto,,Babyletto,Babyletto Alphabets Stroller Blanket,Babyletto,,Babyletto,babyletto Alphabets Play Blanket
30416,700,1756,Babyletto,,Babyletto,Babyletto Alphabets Stroller Blanket,Babyletto,,Babyletto,babyletto Galaxy Stroller Blanket
30449,704,1606,Babyletto,Babyletto,Babyletto,Babyletto Tranquil Woods Stroller Blanket,Babyletto,,Babyletto,babyletto Alphabets Stroller Blanket
30450,704,1607,Babyletto,Babyletto,Babyletto,Babyletto Tranquil Woods Stroller Blanket,Babyletto,,Babyletto,babyletto Tranquil Woods Stroller Blanket
30452,704,1756,Babyletto,Babyletto,Babyletto,Babyletto Tranquil Woods Stroller Blanket,Babyletto,,Babyletto,babyletto Galaxy Stroller Blanket
30538,708,1199,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Sterling Mod Circles on Sunwashed Pink
30542,708,1230,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Pastel with Brown Mod Circles - Pastel Pink
30546,708,1440,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - Turquoise Mod Circles
30547,708,1441,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - Pure Green Mod Circles
30551,708,1446,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - True Blue Mod Circles
30552,708,1447,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - Mod Circles - Kiwi
30554,708,1511,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Pastel with Brown Mod Circles - Pastel Blue
30555,708,1512,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Mod Circles on White - Orange
30557,708,1514,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Sterling Mod Circles on Sunwashed Yellow
30582,708,1659,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Stroller Blanket - Brown Mod Circles - Pastel Pink
31300,714,1606,Babyletto,,Babyletto,Babyletto Galaxy Stroller Blanket,Babyletto,,Babyletto,babyletto Alphabets Stroller Blanket
31301,714,1607,Babyletto,,Babyletto,Babyletto Galaxy Stroller Blanket,Babyletto,,Babyletto,babyletto Tranquil Woods Stroller Blanket
31303,714,1756,Babyletto,,Babyletto,Babyletto Galaxy Stroller Blanket,Babyletto,,Babyletto,babyletto Galaxy Stroller Blanket
31392,717,1230,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Pastel with Brown Mod Circles - Pastel Pink
31396,717,1440,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - Turquoise Mod Circles
31397,717,1441,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - Pure Green Mod Circles
31401,717,1446,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - True Blue Mod Circles
31402,717,1447,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Marquisette Swaddle Blanket - Mod Circles - Kiwi
31404,717,1511,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Pastel with Brown Mod Circles - Pastel Blue
31405,717,1512,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Mod Circles on White - Orange
31422,717,1544,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns - Chickies Duo - Chickies and Pastel with Jewel Tone Circles - Blue
31431,717,1555,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns SwaddleLite Cute & Calm 3 Pack Swaddle Blankets - Pastel Blue
