#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.int_id
#foreign_key_rtable=rtable.int_id
#ltable=POINTER
_id,ltable.int_id,rtable.int_id,ltable.company,ltable.company_free,ltable.company_struct,ltable.title,rtable.company,rtable.company_free,rtable.company_struct,rtable.title,product_is_match
30413,700,1606,Babyletto,,Babyletto,Babyletto Alphabets Stroller Blanket,Babyletto,,Babyletto,babyletto Alphabets Stroller Blanket,1
31303,714,1756,Babyletto,,Babyletto,Babyletto Galaxy Stroller Blanket,Babyletto,,Babyletto,babyletto Galaxy Stroller Blanket,1
31432,717,1659,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Pastel Puff Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Stroller Blanket - Brown Mod Circles - Pastel Pink,0
31890,726,1511,Swaddle Designs,SwaddleDesigns,Swaddle Designs,SwaddleDesigns Stroller Blanket With Brown Mod Circles,Swaddle Designs,,Swaddle Designs,SwaddleDesigns Ultimate Swaddle Blanket - Pastel with Brown Mod Circles - Pastel Blue,0
68047,1795,1717,Lambs & Ivy,Lambs & Ivy,Lambs & Ivy,Lambs & Ivy My Little Snoopy Nap Mat,Lambs & Ivy,,Lambs & Ivy,Lambs & Ivy My Little Snoopy Blanket,0
118071,3231,2016,Naturepedic,Naturepedic,Naturepedic,Naturepedic Organic Waterproof Flat Crib Pad Cover,Naturepedic,,Naturepedic,Naturepedic Organic Waterproof Crib Pad,0
118712,3271,1836,Colgate Mattress,Colgate,Colgate Mattress,3-Sided Changing Pad by Colgate,Colgate,"Colgate, The Crib",Colgate,Colgate 3-Sided Contour Changing Pad,1
118788,3277,1836,Colgate Mattress,Colgate,Colgate Mattress,2-Sided Contour Changing Pad by Colgate,Colgate,"Colgate, The Crib",Colgate,Colgate 3-Sided Contour Changing Pad,0
120185,3290,1874,Oliver B,Oliver B,Oliver B,Oliver B Mix & Match Minky Changing Pad Cover,Oliver B,Oliver,Oliver B,Oliver B Sea Green Minky Changing Pad Cover,0
120186,3290,1875,Oliver B,Oliver B,Oliver B,Oliver B Mix & Match Minky Changing Pad Cover,Oliver B,Oliver,Oliver B,Oliver B Dove Grey Minky Changing Pad Cover,0
121083,3295,1858,aden + anais,aden + anais,aden + anais,aden + anais 100% Cotton Muslin Changing Pad Cover in Lovely Starburst,aden & anais,aden,aden & anais,aden by aden + anais 100% Cotton Muslin Changing Pad Cover - Safari Friends,0
121690,3297,1976,Sweet Jojo Designs,,Sweet Jojo Designs,Sweet Jojo Designs Mod Dots Collection Changing Pad Cover in Pink/Chocolate,Sweet JoJo Designs,,Sweet JoJo Designs,Sweet Jojo Designs Blue and Chocolate Mod Dots Collection Changing Pad Cover,0
122089,3298,1858,aden + anais,aden + anais,aden + anais,aden + anais 100% Cotton Muslin Changing Pad Cover in Make Believe,aden & anais,aden,aden & anais,aden by aden + anais 100% Cotton Muslin Changing Pad Cover - Safari Friends,0
