#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.address,ltable.name,ltable.phone,ltable.zip,rtable.address,rtable.name,rtable.phone,rtable.zip
0,6,186,"4632 N. Rockwell Street, Chicago",Rockwell's Neighborhood Grill,(773) 509-1871,60625,4748 N Kedzie Ave,Kabobi Grill,(773) 583-1400,60625
1,6,230,"4632 N. Rockwell Street, Chicago",Rockwell's Neighborhood Grill,(773) 509-1871,60625,4632 N Rockwell St,Rockwell’s Neighborhood Grill,(773) 509-1871,60625
2,6,728,"4632 N. Rockwell Street, Chicago",Rockwell's Neighborhood Grill,(773) 509-1871,60625,3658 W Lawrence Ave,T & B Grill,(773) 961-7016,60625
3,11,323,"3114 N. Lincoln Avenue, Chicago",Chicago's Pizza,(773) 477-2777,60657,953 W Belmont,Blaze Fast Fire’d Pizza,(773) 348-6255,60657
4,11,556,"3114 N. Lincoln Avenue, Chicago",Chicago's Pizza,(773) 477-2777,60657,3033 N Ashland Ave,The Art of Pizza,(773) 327-5600,60657
5,13,410,1438 W. Taylor Street,Conte Di Savoia,(773) 666-3471,60607,1438 W Taylor St,Conte Di Savoia,(312) 666-3471,60607
6,19,60,"Walton Colonnade, 100 E. Walton Street, Chicago",Doc B's Fresh Kitchen,(312) 626-1300,60611,55 E Grand Ave,Doc B’s,(312) 999-9300,60611
7,19,609,"Walton Colonnade, 100 E. Walton Street, Chicago",Doc B's Fresh Kitchen,(312) 626-1300,60611,100 E Walton St,Doc B’s Fresh Kitchen,(312) 626-1300,60611
8,19,719,"Walton Colonnade, 100 E. Walton Street, Chicago",Doc B's Fresh Kitchen,(312) 626-1300,60611,10 E Delaware Pl,Mercadito Kitchen,(312) 640-8141,60611
9,28,204,"1120 W. Taylor Street, Chicago",Chicago's Busy Burger,(312) 226-7760,60607,844 W Randolph St,Grange Hall Burger Bar,(312) 491-0844,60607
10,28,614,"1120 W. Taylor Street, Chicago",Chicago's Busy Burger,(312) 226-7760,60607,1222 W Madison St,Talay Chicago,(312) 733-0812,60607
11,28,705,"1120 W. Taylor Street, Chicago",Chicago's Busy Burger,(312) 226-7760,60607,816 W Van Buren St,Primos Chicago Pizza Pasta,(312) 243-1052,60607
12,32,417,"1820 W. Montrose Avenue, Chicago",Glenn's Diner,(773) 506-1720,60613,1820 W Montrose Ave,Glenns Diner,(773) 506-1720,60613
13,36,686,"25 E. Ohio Street, Chicago",Fleming's Prime Steakhouse & Wine Bar,(312) 329-9463,60611,60 E Grand Ave,"Joe’s Seafood, Prime Steak & Stone Crab",(312) 379-5637,60611
14,38,121,"2521 N. California Avenue, Chicago",Hachi's Kitchen,(773) 276-8080,60647,2211 W North Ave,Birchwood Kitchen,(773) 276-2100,60647
15,38,471,"2521 N. California Avenue, Chicago",Hachi's Kitchen,(773) 276-8080,60647,3306 W Fullerton Ave,Dena Kitchen,(773) 697-3504,60647
16,45,78,"2312 N. Lincoln Avenue, Chicago",Rickshaw Republic,(773) 697-4750,60614,500 W Diversey Pkwy,The Panini Republic,(773) 525-2000,60614
17,45,206,"2312 N. Lincoln Avenue, Chicago",Rickshaw Republic,(773) 697-4750,60614,2312 N Lincoln Ave,Rickshaw Republic,(773) 697-4750,60614
18,50,519,"2815 W. Diversey Avenue, Chicago",L' Patron Tacos,(773) 252-6335,60647,2050 N Milwaukee Ave,Turbo Tacos,(773) 360-8892,60647
19,50,698,"2815 W. Diversey Avenue, Chicago",L' Patron Tacos,(773) 252-6335,60647,2815 W Diversey Ave,L’ Patron Tacos,(773) 252-6335,60647
20,52,517,"1558 N. Milwaukee Avenue, Chicago",Taxim,(773) 252-1558,60622,1558 N Milwaukee Ave,Taxim,(773) 252-1558,60622
21,57,700,"2600 N. Clark Street, Chicago",Dunlays on Clark,(773) 883-6000,60614,2600 N Clark St,Dunlays on Clark,(773) 883-6000,60614
22,59,423,"4038 N. Milwaukee Avenue, Chicago",Community Tavern,(773) 283-6080,60641,4038 N Milwaukee Ave,Community Tavern,(773) 283-6080,60641
23,61,149,"1480 N. Milwaukee Avenue, Chicago",Umami Burger,(773) 423-2005,60622,1480 N Milwaukee Ave,Umami Burger,(773) 423-2005,60622
24,62,20,"Hard Rock Hotel, 224 N. Michigan Avenue, Chicago",Chuck's: A Kerry Simon Kitchen,(312) 334-6700,60601,130 E Randolph St,Wildberry Pancakes and Cafe,(312) 938-9777,60601
25,65,3723,825 Church Street,Dixie Kitchen & Bait Shop,(847) 733-9030,60201,305 Church St,Belle Reve,(212) 680-0101,10013
26,65,3747,825 Church Street,Dixie Kitchen & Bait Shop,(847) 733-9030,60201,275 Church St,Da Mikele,(212) 925-8800,10013
