#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.address,ltable.name,ltable.phone,ltable.zip,rtable.address,rtable.name,rtable.phone,rtable.zip,gold
1,6,230,"4632 N. Rockwell Street, Chicago",Rockwell's Neighborhood Grill,(773) 509-1871,60625,4632 N Rockwell St,Rockwells Neighborhood Grill,(773) 509-1871,60625,1
2,6,728,"4632 N. Rockwell Street, Chicago",Rockwell's Neighborhood Grill,(773) 509-1871,60625,3658 W Lawrence Ave,T & B Grill,(773) 961-7016,60625,0
31,73,136,"1932 W. Division Street, Chicago",The Boundary Tavern and Grille,(773) 278-1919,60622,1751 W Chicago Ave,Yuzu Sushi & Robata Grill,(312) 666-4100,60622,0
60,112,3159,500 Main Street,Brothers K Coffeehouse,(847) 328-7940,60202,218 S. Main Street,1855 Saloon and Grill,(608) 839-3700,53527,0
113,221,142,"2207 N. Clybourn Avenue, Chicago",Pequod's Pizza,(773) 327-1512,60614,2207 N Clybourn Ave,Pequods Pizzeria,(773) 327-1512,60614,1
119,249,493,"1419 N. Wells Street, Chicago",Old Town Pour House,(312) 477-2800,60610,455 W North Ave,Old Town Social,(312) 266-2277,60610,0
132,272,275,"1549 W. Division Street, Chicago",Podhalanka,(773) 486-6655,60642,1549 W Division St,Podhalanka,(773) 486-6655,60642,1
164,337,237,"160 W. Adams Street, Chicago",Ara On,(312) 781-7300,60603,160 W Adams St,Ara On,(312) 781-7300,60603,1
189,402,84,"2201 N. Clybourn Avenue, Chicago",The Drinkingbird,(773) 472-9920,60614,2201 N Clybourn Ave,The Drinkingbird,(773) 472-9920,60614,1
202,449,520,"2408 N. Lincoln Avenue, Chicago",Allende Restaurant,(773) 477-7114,60614,2506 N Clybourn Ave,CRO Bar and Restaurant,(773) 525-2100,60614,0
285,564,111,"1321 W. Grand Avenue, Chicago",Coalfire,(312) 226-2625,60642,1321 W Grand Ave,Coalfire Pizza,(312) 226-2625,60642,1
287,571,273,"676 N. St. Clair Street, Chicago",Tru,(312) 202-0001,60611,676 N St. Clair St,Tru,(312) 202-0001,60611,1
302,588,557,"1751 W. Chicago Avenue, Chicago",Yuzu Sushi and Robata Grill,(312) 666-4100,60622,1413 N Ashland Ave,Mish Grill,(773) 661-9766,60622,0
330,611,620,695 N. Milwaukee Avenue,Cy's King Crab Oyster Bar & Grill,(312) 280-8990,60642,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654,0
369,637,345,501 N Milwaukee Avenue,"Tsukasa Japanese Steak, Seafood, & Sushi",(847) 816-8770,60061,669 N Milwaukee Ave,Delux Bar & Grill,(312) 850-4008,60622,0
377,637,541,501 N Milwaukee Avenue,"Tsukasa Japanese Steak, Seafood, & Sushi",(847) 816-8770,60061,1501 N Milwaukee Ave,Bom Bolla,(773) 698-6601,60622,0
388,637,748,501 N Milwaukee Avenue,"Tsukasa Japanese Steak, Seafood, & Sushi",(847) 816-8770,60061,3265 N Milwaukee Ave,Outdoor Grill,(773) 202-9980,60618,0
415,673,746,"837 W. Fulton Market, Chicago",The Publican,(312) 733-9555,60607,837 W Fulton Market,The Publican,(312) 733-9555,60607,1
420,682,378,"1863 N. Clybourn Avenue, Chicago",Franks 'N' Dawgs,(312) 281-5187,60614,1863 N Clybourn Ave,Franks N Dawgs,(312) 281-5187,60614,1
424,690,42,"4749 N. Western Avenue, Chicago",Garcia's Restaurant,(773) 769-5600,60625,4959 N Kedzie Ave,Restaurante El Mogote,(773) 463-5612,60625,0
426,693,682,"2546 N. Clark Street, Chicago",Toro Sushi,(773) 348-4877,60614,2546 N Clark St,Toro Sushi,(773) 348-7255,60614,1
452,714,513,"32 N. Clark Street, Chicago",Bridge House Tavern On The River,(312) 644-0283,60654,353 W Hubbard St,The Hampton Social,(312) 464-0500,60654,0
471,739,387,"535 N. Michigan Avenue, Chicago",Bandera,(312) 644-3524,60611,535 N Michigan Ave,Bandera Restaurant,(312) 644-3524,60611,1
492,772,734,"2900 W. Belmont Avenue, Chicago",Kuma's Corner,(773) 604-8769,60618,2900 W Belmont Ave,Kumas Corner,(773) 604-8769,60618,1
500,784,287,"809 W. Randolph Street, Chicago",Girl & the Goat,(312) 492-6262,60607,820 W Randolph St,Little Goat,(312) 888-3455,60607,0
517,835,571,"1529 W. Chicago Avenue, Chicago",Mexique,(312) 850-0288,60622,1529 W Chicago Ave,Mexique,(312) 850-0288,60622,1
521,844,72,"1664 N. Ada Street, Chicago",Ada Street,(773) 697-7069,60642,1523 N Kingsbury St,Kingsbury Street Cafe,(312) 280-1718,60642,0
545,904,324,"2956 N. Sheffield Avenue, Chicago",Fish Bar,(773) 687-8177,60657,2956 N Sheffield Ave,Fish Bar,(773) 687-8177,60657,1
571,940,620,6311 N. Milwaukee Avenue,Trattoria Pasta D'Arte,(773) 763-1181,60646,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654,0
612,1020,2,"1523 N. Kingsbury Street, Chicago",Kingsbury Street Cafe,(312) 280-1718,60642,1664 N Ada St,Ada Street,(773) 697-7069,60642,0
626,1037,3510,1010 Church Street,That Little Mexican Cafe,(847) 905-1550,60201,200 Church St,Tribecas Kitchen,(646) 893-1022,10013,0
688,1142,535,"1381 W. Hubbard Street, Chicago",The Breakfast Club & Grill,(312) 666-2372,60622,1608 W North Ave,Tarboush Mediterranean Grill,(773) 770-3599,60622,0
707,1174,146,"1240 W. Randolph Street, Chicago",Alhambra Palace,(312) 666-9555,60607,1408 W Madison St,Palace Grill,(312) 226-9529,60607,0
716,1193,61,"2607 W. 17th Street, Chicago",Lagunitas Tap Room,(773) 522-1347,60608,1725 W 18th St,Carnitas Uruapan Restaurant,(312) 226-2654,60608,0
753,1277,80,"4600 N. Lincoln Avenue, Chicago",Fork Chicago,(773) 751-1500,60625,4600 N Lincoln Ave,Fork,(773) 751-1500,60625,1
755,1285,558,"310 W. Adams Street, Chicago",Rti Mediterranean Grill,(312) 236-3500,60606,309 W Washington St,Naf Naf Grill,(312) 251-9000,60606,0
765,1307,160,1030 N. State Street,Dublin's Bar & Grill,(312) 266-6340,60610,100 W Ontario St,Portillos Hot Dogs & Barnellis Salad Bowl,(312) 587-8910,60610,0
872,1398,620,609 Milwaukee Avenue,Cafe Lucci,(847) 729-2268,60025,401 N. Milwaukee Ave,Black Iron Tavern,(312) 690-4000,60654,0
882,1405,645,"1024 N. Rush Street, Chicago",Hugo's Frog Bar & Fish House,(312) 640-0999,60611,21 E Hubbard St,Shaws Crab House,(312) 527-2722,60611,0
907,1449,667,"66 E. Ohio Street, Chicago",Shake Shack,(312) 667-1701,60611,66 E Ohio St,Shake Shack,(312) 667-1701,60611,1
946,1478,1311,"5321 E Mockingbird Lane, Dallas",Trinity Hall,(214) 887-3600,75206,5321 E Mockingbird LaneSte 230,Angelika Film Center & Caf - Dallas,(214) 841-4713,75206,0
957,1485,911,"2101 Greenville Avenue, Dallas",The Libertine Bar,(214) 824-7900,75206,3601 Greenville Ave,Aw Shucks,(214) 821-9449,75206,0
977,1498,922,"2000 McKinney Avenue, Suite 100, Dallas",Perry's Steakhouse & Grille,(214) 855-5151,75201,601 N Akard St,Power House Deli,(972) 560-3883,75201,0
1007,1511,1297,"3699 McKinney Avenue, Dallas",Taco Diner,(214) 521-3669,75204,3699 McKinney Ave,Taco Diner,(214) 521-3669,75204,1
1014,1515,1182,"10233 E Northwest Highway, Dallas",Tony's Pizza & Pasta,(214) 503-0388,75238,10233 E NW HwySte 504,Tonys Pizza & Pasta Restaurant,(214) 503-0388,75238,1
1060,1543,803,"5315 Greenville Avenue, Dallas",Cowboy Chicken,(214) 234-0505,75206,2815 Greenville Ave,Terillis Restaurant and Bar,(214) 827-3993,75206,0
1074,1546,1011,"2615 S Beckley Avenue, Dallas",Wingfield's Breakfast & Burger,(214) 943-5214,75224,2615 S Beckley Ave,Wingfields Breakfast & Burgers,(214) 943-5214,75224,1
1075,1547,848,"2936 Elm Street, Dallas",Local,(214) 752-7500,75226,2936 Elm St,Local,(214) 752-7500,75226,1
1130,1581,829,"ILLUME, 4123 Cedar Springs Road, Suite 110, Dallas",Dish,(214) 522-3474,75219,4123 Cedar Springs RdSte 110,DISH Cedar Springs,(214) 522-3474,75219,1
1135,1586,949,"3810 Congress Avenue, Dallas",Bellini's Italian Cafe and Bar,(214) 528-2844,75219,4810 Maple Ave,Maple and Motor,(214) 522-4400,75219,0
1141,1588,1005,"2708 Routh Street, Dallas",The Social House,(214) 999-0046,75201,2708 Routh St,The Social House,(214) 999-0046,75201,1
1142,1588,1031,"2708 Routh Street, Dallas",The Social House,(214) 999-0046,75201,3127 Routh St,Katy Trail Ice House,(214) 468-0600,75201,0
1150,1591,1151,"3520 Greenville Avenue, Dallas",Sundown at Granada,(214) 823-8305,75206,2020 Greenville Ave,Crisp Salad Company,(214) 821-2467,75206,0
1173,1599,858,9007 Garland Road,Hypnotic Donuts,(214) 668-6999,75218,9007 Garland Rd,Hypnotic Donuts,(214) 668-6999,75218,1
1184,1603,1154,"2935 Elm Street, Dallas",Mama Mia Pizza & Pasta,(214) 744-6262,75226,841 Exposition Ave,Pizza Lounge,(214) 887-6900,75226,0
1186,1605,1512,"8300 Preston Road, Suite A, Dallas",Hillstone,(214) 691-8991,75225,8300 A Preston Rd,Hillstone Restaurant,(214) 691-8991,75225,1
1214,1625,842,"3601 Greenville Avenue, Dallas",Aw Shucks Oyster Bar,(214) 821-9449,75206,2101 Greenville Ave,Libertine Bar,(214) 824-7900,75206,0
1232,1637,1272,"4302 Bryan Street, Dallas",Vietnam Restaurant Bar & Grill,(214) 821-4542,75204,2414 N Fitzhugh Ave,Margaritas Restaurant,(214) 821-9366,75204,0
1237,1639,1483,"2304 Victory Park Lane, Dallas",Medina Oven & Bar,(214) 979-0003,75219,665 High Market St,Naga Thai Kitchen & Bar,(214) 953-0023,75219,0
1256,1647,1359,"2537 N Fitzhugh Avenue, Dallas",DaLat Restaurant and Bar,(214) 827-3200,75206,2121 Greenville Ave,504 Bar and Grill,(469) 779-7279,75206,0
1289,1666,888,1621 Oak Lawn Avenue,Ascension Coffee,(214) 741-3211,75207,3531 Oak Lawn Ave,Luckys Cafe,(214) 522-3500,75219,0
1297,1666,1107,1621 Oak Lawn Avenue,Ascension Coffee,(214) 741-3211,75207,3403 Oak Lawn Ave,eatZis Market & Bakery,(214) 526-1515,75219,0
1352,1695,992,"24 Highland Park Village, Dallas",Cafe Pacific,(214) 526-1170,75205,87 Highland Park VillageSte 200,Bistro 31,(214) 420-3900,75205,0
1365,1701,60,7530 E Grand Avenue,The Lot,(214) 321-1990,75214,55 E Grand Ave,Doc Bs,(312) 999-9300,60611,0
1377,1706,1455,"6130 Greenville Avenue, Suite 100, Dallas",Japanese Cafe Tampopo,(214) 378-7676,75206,1811 Greenville AveSte 145,Qariah Lebanese Restaurant & Lounge,(214) 826-4444,75206,0
1409,1725,1260,"3223 Lemmon Avenue, Dallas",Howard Wang's Uptown,(214) 954-9558,75204,2702 McKinney AveSte 101,Jakes Uptown,(214) 754-8001,75204,0
1441,1751,918,"8315 Westchester Dr, Dallas",LYFE Kitchen,(214) 361-5933,75225,8315 Westchester Dr,Lyfe Kitchen,(214) 361-5933,75225,1
1466,1768,1158,"3011 Gulden Lane, Suite 107, Dallas",Amberjax,(469) 513-9088,75212,3011 Gulden LnSte 107,Amberjax Fish Market Grille,(469) 513-9088,75212,1
1478,1773,1015,"6126 Luther Lane, Dallas",Flying Fish,(214) 696-3474,75225,6126 Luther Ln,Flying Fish,(214) 696-3474,75225,1
1484,1777,845,"5818 Live Oak Street, Dallas",Lakewood Landing,(214) 823-2410,75214,1904 Abrams Pkwy,Liberty Burger Lakewood,(214) 887-9999,75214,0
1491,1785,1155,"8989 Forest Lane, Suite130, Dallas",Momo Italian Kitchen,(972) 234-6800,75243,8989 Forest LnSte 130,MoMo Italian Kitchen,(972) 234-6800,75243,1
1506,1790,819,"10720 Preston Road, Suite 1012, Dallas",Fish City Grill,(214) 891-9979,75230,7859 Walnut Hill LnSte 100,Blue Sushi Sake Grill,(972) 677-7887,75230,0
1533,1809,1044,"665 High Market Street, Dallas",Naga Thai Kitchen and Bar,(214) 953-0023,75219,3520 Oak Lawn Ave,Pappadeaux Seafood Kitchen,(214) 521-4700,75219,0
1549,1820,756,2323 N Henderson Avenue,Sushi Axiom,(214) 828-2288,75206,2822 N Henderson Ave,Mesero - Henderson,(214) 821-6426,75206,0
1585,1831,1426,"10720 Preston Road, Dallas",Neighborhood Services Bar and Grill,(214) 368-1101,75230,10720 Preston Rd,Neighborhood Services Bar & Grill,(214) 368-1101,75230,1
1594,1841,970,"302 N Market Street, Dallas",Sonny Bryan's Smokehouse,(214) 744-1610,75202,555 S Lamar St,Bobs Steak & Chop House,(214) 652-4800,75202,0
1645,1862,999,6918 Greenville Avenue,The Great Outdoors,(214) 739-1928,75231,1733 Greenville Ave,Johns Cafe,(214) 874-0800,75206,0
1653,1862,1230,6918 Greenville Avenue,The Great Outdoors,(214) 739-1928,75231,7525 Greenville Ave,Kaze,(214) 987-2333,75231,0
1660,1862,1313,6918 Greenville Avenue,The Great Outdoors,(214) 739-1928,75231,3020 Greenville Ave,St Martins Wine Bistro,(214) 826-0940,75206,0
1686,1871,877,"2820 N Henderson Avenue, Dallas",Fireside Pies,(214) 370-3916,75206,2820 N Henderson Ave,Fireside Pies,(214) 370-3916,75206,1
1695,1874,827,"8411 Preston Road, Suite 124",California Pizza Kitchen,(214) 750-7067,75225,8300 Preston Ctr Plz,R+D Kitchen,(214) 890-7900,75225,0
1718,1890,1076,"8383 Preston Center Plaza, Suite 100",True Food Kitchen,(214) 377-3333,75225,8687 N Central Expressway,Pho Kitchen,(214) 706-3595,75225,0
1725,1894,1415,"3012 N Henderson Avenue, Dallas",Velvet Taco,(214) 823-8358,75206,2912 N Henderson Ave,The Porch,(214) 828-2916,75206,0
1734,1899,1197,"3020 Greenville Avenue, Dallas",St. Martin's Wine Bistro,(214) 826-0940,75206,1904 Skillman St,Matts Rancho Martinez,(214) 823-5517,75206,0
1757,1915,912,1201 Oak Lawn Avenue,El Bolero,(214) 741-1986,75207,2604 Oak Lawn Ave,Zaguan Bakery & Cafe,(214) 219-8393,75219,0
1763,1915,1135,1201 Oak Lawn Avenue,El Bolero,(214) 741-1986,75207,1621 Oak Lawn Ave,Ascension Coffee,(214) 741-3211,75207,0
1783,1919,1384,"6050 Greenville Avenue, Dallas",Humperdinks Restaurant & Brewpub,(214) 368-6597,75206,7050 Greenville Ave,Enchiladas,(214) 363-8969,75231,0
1786,1923,786,"2231 W NW Highway, Dallas",Pappas Bar-B-Q,(214) 956-9038,75220,10477 Lombardy Ln,Pappas Bros Steakhouse,(214) 366-2000,75220,0
