Title_A,Authors_A,ISBN_A,Publisher_A,Pages_A,Price_A,Title_B,Authors_B,ISBN_B,Publisher_B,Pages_B,Price_B,Gold
Data Protection And Information Lifecycle Management,Tom Petrocelli,9780131927575,Pearson Technology Group 2,290.0,$49.99,Data Protection and Information Lifecycle Management,,9780131927575.0," Prentice Hall (October 3, 2005)",288.0,$49.99,1
Discover Access 1997,Ricardo Birmele,9780764580260,"Wiley, John & Sons, Incorporated",384.0,,Discover Access 97 (6-Point Discover Advantage),Ricardo Birmele,9780764580260.0, John Wiley & Sons Inc (Computers) (March 1997),363.0,,1
MySQL: Building User Interfaces,Matthew Stucky,9780735710498,Sams,632.0,,MySQL: Building User Interfaces (Landmark),Matthew Stucky,9780735710498.0," Sams (July 11, 2001)",656.0,$4.75,1
Microsoft Access 2000-Illustrated Complete / Edition 1,Lisa Friedrichsen,9780760060728,Cengage Learning,480.0,$1.99,Microsoft Access 2000-Illustrated Complete (Illustrated Series),,9780760060728.0," Course Technology; 1 edition (November 29, 1999)",480.0,$35.22,1
Creating Microsoft Access 2000 Solutions: A Power Users' Guide,"Gordon Padwick,  Rick Winter",9780672318948,Sams,555.0,,Creating Microsoft Access 2000 Solutions:  A Power Users' Guide,"Gordon Padwick, Rick Winter",9780672318948.0," Sams (May 24, 2000)",600.0,,1
SQL Server 2008 Administration Instant Reference,"Michael Lee,  Mike Mansfield",9780470496602,Wiley,528.0,,SQL Server 2008 Administration Instant Reference,,9780470496602.0," Sybex; 1 edition (September 8, 2009)",528.0,$3.84,1
Using Oracle,Que Corporation,9780880225069,Que,650.0,,Using Oracle,Ted Crooks,9780880225069.0, Que Pub (April 1991),650.0,,1
Oracle 10G Programming: A Primer / Edition 2,Rajshekhar Sunderraman,9780321463043,Pearson,300.0,$11.90,Oracle 10g Programming: A Primer,Rajshekhar Sunderraman,9780321463043.0," Pearson (May 1, 2007)",525.0,$50.20,1
Interactive Computing Series: Microsoft Access 97 / Edition 1,Kenneth Laudon,9780070384354,McGraw-Hill Higher Education,120.0,$6.35,Interactive Computing Series: Microsoft Access 97,,9780070384354.0," Richard D Irwin (February 2, 1998)",120.0,,1
Oracle8i Tuning and Administration: The Essential Reference,Heidi Thorpe,9780201704365,Pearson Education,608.0,,Oracle8i Tuning and Administration: The Essential Reference,Heidi Thorpe,9780201704365.0," Addison-Wesley Professional; 1st edition (December 15, 2000)",608.0,,1
Rapid Application Development with Oracle Designer/2000 / Edition 1,"Chris Billings,  Julie Tower",9780201634440,Addison-Wesley,480.0,$1.99,Rapid Application Development with Oracle Designer/2000 (2nd Edition),"Chris Billings, Julia Tower",9780201634440.0," Addison-Wesley Professional; 2 edition (October 11, 1996)",480.0,$9.99,1
Scaling MongoDB,Kristina Chodorow,9781449303211,"O'Reilly Media, Incorporated",66.0,$26.25,Scaling MongoDB,Kristina Chodorow,9781449303211.0," O'Reilly Media; 1 edition (March 10, 2011)",66.0,$26.25,1
Help! Microsoft Access,Miriam Liskin,9781562760991,Ziff-Davis Press,1006.0,,Help! Microsoft Access/Book and Disk,Miriam Liskin,9781562760991.0, Ziff Davis Pr; Pap/Dskt edition (April 1993),1006.0,,1
MDM for Customer Data: Optimizing Customer Centric Management of Your Business,Kelvin K. A. Looi,9781583473504,Mc Press,100.0,$14.95,MDM for Customer Data: Optimizing Customer Centric Management of Your Business,Kelvin K. A. Looi,9781583473504.0," Mc Press; 1 edition (November 1, 2009)",100.0,,1
Oracle8 For Dummies,"Carol McCullough,  Jill Newsome",9780764502392,Wiley,380.0,,Oracle8 For Dummies (For Dummies (Computers)),,9780764502392.0," For Dummies (October 30, 1997)",380.0,$6.68,1
Accessible Access 2000 / Edition 1,"Mark Whitehorn,  Bill Marklyn",9781852333133,Springer London,322.0,$49.95,Accessible Access 2000,Mark Whitehorn,9781852333133.0," Springer (March 25, 2004)",322.0,$49.95,1
Essentials of dBASE VI with Advanced Applications,Barbara Pfaffenberger,9780065011388,"Addison-Wesley Educational Publishers, Inc.",,,Essentials of dBASE IV With Advanced Applications (The Harpercollins Essentials Series),Bryan Pfaffenberger,9780065011388.0, Harpercollins College Div (February 1992),146.0,,1
DBASE IV Quick Reference,Deborah L. Stone,9780880223713,Que,155.0,,dBase IV Quick Reference (Que quick reference series),,9780880223713.0, Que (March 1989),160.0,,1
Oracle Performance Tuning,"Peter Corrigan,  Mark Gurry",9781565920484,"O'Reilly Media, Incorporated",642.0,,Oracle Performance Tuning,Edward Whalen,," Addison-Wesley Professional; 1 edition (April 26, 2002)",432.0,,1
Database Design for Smarties: Using UML for Data Modeling / Edition 1,"Robert J. Muller,  Muller",9781558605152,Elsevier Science,464.0,$86.95,Database Design for Smarties: Using UML for Data Modeling (The Morgan Kaufmann Series in Data Management Systems),Robert J. Muller,9781558605152.0," Morgan Kaufmann; 1 edition (March 8, 1999)",464.0,$76.95,1
"Flexible and Efficient Information Handling: 23rd British National Conference on Databases, BNCOD 23, Belfast, Northern Ireland, UK, July 18-20, 2006, Proceedings / Edition 1",David Bell,9783540359692,Springer Berlin Heidelberg,296.0,$99.00,"Flexible and Efficient Information Handling: 23rd British National Conference on Databases, BNCOD 23, Belfast, Northern Ireland, UK, July 18-20, 2006, Proceedings (Lecture Notes in Computer Science)",,9783540359692.0," Springer; 2006 edition (August 18, 2006)",296.0,,1
"Microsoft Access for Windows 95, with CD-ROM (Mastering)","Alan Simpson,  Elizabeth Olson",9780782117646,"Wiley, John & Sons, Incorporated",1119.0,,Mastering Microsoft Access for Windows 95,Alan Simpson,9780782117646.0, Sybex Inc; 3rd edition (December 1995),1171.0,,1
