Title_A,Author_A,Price_A,ISBN13_A,Publisher_A,Publication_Date_A,Pages_A,Dimensions_A,Title_B,Author_B,Price_B,ISBN13_B,Publisher_B,Publication_Date_B,Pages_B,Dimensions_B,Gold
Prized (Birthmarked Trilogy Series #2),Caragh M. O'Brien,$8.02 ,9781250010315,Square Fish,9/4/12,400.0,8.10(w) x 5.50(h) x 1.20(d),Prized(Birthmarked Trilogy),Caragh M. O'Brien,$11.92,9781250010315,Square Fish,"Sep. 4th, 2012",400,,1
Eclipse,Stephenie Meyer,$11.45 ,9780316027656,"Little, Brown Books for Young Readers",8/4/09,640.0,5.40(w) x 8.10(h) x 1.80(d),Eclipse(Twilight Saga (Paperback)),Stephenie Meyer,$14.75,9780316027656,"Little, Brown Young Readers","Aug. 4th, 2009",629,5.52 x 8.20 x 1.72 inches,1
L. A. Candy (L. A Candy Series #1),Lauren Conrad,$7.23 ,9780061767593,HarperCollins Publishers,1/5/10,326.0,5.30(w) x 7.90(h) x 1.00(d),L.A. Candy(L. A. Candy (Quality)),Lauren Conrad,$10.60,9780061767593,HarperCollins,"Jan. 5th, 2010",325,5.58 x 8.00 x 0.84 inches,1
The Secret Story of Sonia Rodriguez,Alan Lawrence Sitomer,$8.17 ,9781423130277,Disney-Hyperion,2/2/10,320.0,5.20(w) x 7.50(h) x 0.90(d),The Secret Story of Sonia Rodriguez,Alan Lawrence Sitomer,$10.69,9781423130277,Jump at the Sun,"Feb. 9th, 2010",320,5.54 x 7.60 x 0.77 inches,1
Trickster's Queen (Trickster Series #2),Tamora Pierce,$9.99 ,9780375828782,Random House Children's Books,10/11/05,480.0,5.52(w) x 8.25(h) x 1.12(d),Trickster's Queen(Aliane),Tamora Pierce,$10.17,9780375828782,Random House Books for Young Readers,"Oct. 11th, 2005",480,5.50 x 8.18 x 1.07 inches,1
Before We Were Free,Julia Alvarez,$6.99 ,9780440237846,Random House Children's Books,4/13/04,192.0,4.25(w) x 6.88(h) x 0.50(d),Before We Were Free,Julia Alvarez,$8.43,9780440237846,Laurel Leaf Library,"Apr. 13th, 2004",192,4.18 x 6.86 x 0.56 inches,1
Alanna: The First Adventure (Song of the Lioness Series #1),Tamora Pierce,$7.99 ,9780689878558,Simon Pulse,1/6/05,240.0,4.19(w) x 7.00(h) x 0.80(d),Alanna(Song of the Lioness (Paperback)),Tamora Pierce,$7.82,9780689878558,Simon Pulse,"Jan. 6th, 2005",274,4.20 x 7.02 x 0.82 inches,1
MAX (Maximum Ride Series #5),James Patterson,$9.99 ,9780316002905,"Little, Brown Books for Young Readers",9/15/09,352.0,5.10(w) x 7.60(h) x 1.00(d),Max(Maximum Ride (Quality)),James Patterson,$10.60,9780316002905,"Little, Brown Young Readers","Sep. 15th, 2009",309,5.20 x 7.60 x 0.90 inches,1
Ablaze: Stories of Daring Teen Saints,Colleen Swaim,$12.67 ,9780764820298,Liguori Publications,7/1/11,144.0,5.50(w) x 8.10(h) x 0.40(d),Ablaze,Colleen Swaim,$121.92,9780764820298,Liguori Publications,"Jul. 1st, 2011",132,5.50 x 8.10 x 0.50 inches,1
The Glory Field,Walter Dean Myers,$9.99 ,9780545055758,"Scholastic, Inc.",5/1/08,400.0,5.00(w) x 7.00(h) x 0.90(d),The Glory Field,Walter Dean Myers,$10.33,9780545055758,Scholastic Paperbacks,"May. 1st, 2008",375,5.01 x 7.12 x 0.78 inches,1
Hold Still,Nina LaCour,$8.99 ,9780142416945,Penguin Young Readers Group,10/5/10,256.0,5.40(w) x 8.20(h) x 0.70(d),Hold Still,Nina LaCour,$9.26,9780142416945,Speak,"Oct. 5th, 2010",229,5.53 x 8.18 x 0.69 inches,1
Ashes (Ashes Trilogy Series #1),Ilsa J. Bick,$9.99 ,9781606843857,Lerner Publishing Group,8/28/12,496.0,5.39(w) x 7.97(h) x 1.11(d),Ashes(Ashes (Quality - Trilogy)),Ilsa J. Bick,$10.99,9781606843857,Egmontusa,"Aug. 28th, 2012",496,5.10 x 7.80 x 1.10 inches,1
The Mirror of Fate (Merlin Saga Series #4),T. A. Barron,$7.99 ,9780142419229,Penguin Young Readers Group,5/12/11,272.0,5.13(w) x 7.75(h) x 0.75(d),The Mirror of Fate(Merlin (Puffin)),T. A. Barron,$9.17,9780142419229,Puffin Books,"May. 12th, 2011",245,5.00 x 7.60 x 0.90 inches,1
The Land,Mildred D. Taylor,$7.99 ,9780142501467,Penguin Young Readers Group,12/1/03,400.0,6.56(w) x 4.56(h) x 0.99(d),The Land,Mildred D. Taylor,$9.17,9780142501467,Puffin Books,"Nov. 24th, 2003",375,4.20 x 6.83 x 0.97 inches,1
Keeping You a Secret,Julie Anne Peters,$6.37 ,9780316009850,"Little, Brown Books for Young Readers",5/4/05,272.0,5.50(w) x 8.25(h) x 0.75(d),Keeping You a Secret,Julie Anne Peters,$10.70,9780316009850,Megan Tingley Books,"May. 4th, 2005",250,5.58 x 8.28 x 0.76 inches,1
The Summoning (Darkest Powers Series #1),Kelley Armstrong,$9.99 ,9780061450549,HarperCollins Publishers,3/31/09,416.0,5.30(w) x 7.90(h) x 1.10(d),The Summoning(Darkest Powers (Paperback)),Kelley Armstrong,$10.72,9780061450549,HarperCollins,"Mar. 31st, 2009",390,5.20 x 7.80 x 1.10 inches,1
"Love, Stargirl",Jerry Spinelli,$9.99 ,9780375856440,Random House Children's Books,4/28/09,288.0,5.10(w) x 7.90(h) x 0.70(d),"Love, Stargirl",Jerry Spinelli,$8.91,9780375856440,Alfred A. Knopf,"Apr. 28th, 2009",274,5.10 x 7.80 x 0.70 inches,1
Shadowland (Immortals Series #3),Alyson No��l,$9.99 ,9780312650056,St. Martin's Press,9/14/10,368.0,8.56(w) x 11.28(h) x 1.01(d),Shadowland(Immortal Brotherhood),Alyson Noel,$10.73,9780312650056,St. Martin's Griffin,"Sep. 14th, 2010",368,5.54 x 8.20 x 0.99 inches,1
Buried Onions,Gary Soto,$6.95 ,9780152062651,Houghton Mifflin Harcourt,12/1/06,176.0,5.00(w) x 7.00(h) x 0.48(d),Buried Onions,Gary Soto,$8.41,9780152062651,Harcourt Paperbacks,"Dec. 1st, 2006",149,5.00 x 7.00 x 0.50 inches,1
Artichoke's Heart,Suzanne Supplee,$8.00 ,9780142414279,Penguin Young Readers Group,5/14/09,288.0,5.50(w) x 8.20(h) x 1.00(d),Artichoke's Heart,Suzanne Supplee,$9.27,9780142414279,Speak,"May. 14th, 2009",276,5.60 x 8.22 x 0.77 inches,1
Emperor Mage (The Immortals Series #3),Tamora Pierce,$7.99 ,9781416903376,Simon Pulse,5/28/05,384.0,6.96(w) x 10.90(h) x 1.02(d),Emperor Mage(Immortals (Paperback)),Tamora Pierce,$8.72,9781416903376,Simon Pulse,"May. 31st, 2005",384,4.44 x 7.02 x 0.81 inches,1
"Book of Shadows / The Coven / Blood Witch (Sweep Series #1, #2, & #3)",Cate Tiernan,$8.99 ,9780142417171,Penguin Young Readers Group,9/2/10,592.0,5.00(w) x 7.15(h) x 1.11(d),"Sweep, Volume 1(Sweep 3 in 1)",Cate Tiernan,$10.28,9780142417171,Speak,"Sep. 2nd, 2010",592,5.05 x 7.69 x 1.53 inches,1
Terrier (Beka Cooper Series #1),Tamora Pierce,$8.98 ,9780375838163,Random House Children's Books,10/23/07,582.0,5.50(w) x 8.19(h) x 1.25(d),Terrier(Beka Cooper (Paperback)),Tamora Pierce,$10.83,9780375838163,Random House Books for Young Readers,"Oct. 23rd, 2007",582,5.53 x 8.21 x 1.31 inches,1
Harry Potter and the Prisoner of Azkaban (Harry Potter Series #3),J. K. Rowling,$6.82 ,9780439136365,"Scholastic, Inc.",9/11/01,448.0,5.66(w) x 7.86(h) x 1.04(d),Harry Potter and the Prisoner of Azkaban(Harry Potter (Paperback)),J. K. Rowling,$11.12,9780439136365,Scholastic,"Oct. 1st, 2001",435,5.32 x 7.52 x 1.07 inches,1
The Endless Steppe: Growing up in Siberia,Esther Hautzig,$6.99 ,9780064405775,HarperCollins Publishers,6/28/95,256.0,5.12(w) x 7.62(h) x 0.51(d),The Endless Steppe,Esther Hautzig,$8.45,9780064405775,HarperCollins,"May. 12th, 1995",256,5.18 x 7.66 x 0.60 inches,1
The River Between Us,Richard Peck,$6.99 ,9780142403105,Penguin Young Readers Group,4/21/05,176.0,5.42(w) x 8.25(h) x 0.42(d),The River Between Us,Richard Peck,$8.45,9780142403105,Puffin Books,"Apr. 21st, 2005",164,5.41 x 8.39 x 0.50 inches,1
Prom,Laurie Halse Anderson,$6.55 ,9780142405703,Penguin Young Readers Group,2/2/06,240.0,5.48(w) x 8.25(h) x 0.67(d),Prom,Laurie Halse Anderson,$9.25,9780142405703,Puffin Books,"Feb. 2nd, 2006",216,5.52 x 8.32 x 0.61 inches,1
