Title_A,Authors_A,ISBN13_A,Pages_A,Rating_A,Ratings_Count_A,Publisher_A,Publish_Date_A,Title_B,Authors_B,ISBN13_B,Pages_B,Rating_B,Ratings_Count_B,Publisher_B,Publish_Date_B,Gold
Jean Shrimpton : An Autobiography,"Jean Shrimpton, Unity Hall",9780852238585.0,254,3.0,12,Time Warner Paperbacks,December 5th 1991,Jean Shrimpton: An Autobiography,Jean Shrimpton,9780852238585.0,191.0,,,Random House Adult Trade Publishing Group,01/01/1992,1
Bread Not Stones: The Autobiography of an Eventful Life,Una Kroll,9781782798040.0,143,3.33,3,Christian Alternative,December 12th 2014,Bread Not Stones: The Autobiography of an Eventful Life,Una Kroll,9781782798040.0,143.0,,,Christian Alternative,12/12/2014,1
"""Therefore, Choose Life..."": An Autobiography",Moisey Wolf,9780870717444.0,272,0.0,0,Oregon State University Press,June 1st 2014,"Therefore, Choose Life...: An Autobiography",Moisey Wolf,9780870717444.0,272.0,,,Oregon State University Press,06/01/2014,1
I Sell Death - Autobiography of a Terrorist,Raj,9781505606751.0,254,4.33,3,,,I Sell Death: Autobiography of a Terrorist,Raj Sharma,9781505606751.0,254.0,,,CreateSpace Publishing,01/21/2015,1
Winning Is Not Enough: The Autobiography,Jackie Stewart,9780755315390.0,576,3.98,178,Headline Book Publishing,February 1st 2010,Winning Is Not Enough: The Autobiography,Sir Jackie Stewart,9780755315390.0,576.0,1.0,1.0,"Headline Book Publishing, Limited",02/01/2010,1
Tony Brooks: Poetry in Motion: Autobiography of a supreme Grand Prix driver,Tony Brooks,9781899870837.0,276,4.33,3,Motor Racing Publications,May 1st 2012,Tony Brooks: Poetry in Motion: Autobiography of a supreme Grand Prix driver,Tony Brooks,9781899870837.0,276.0,,,Motor Racing Publications,05/01/2012,1
BAD: The Autobiography of James Carr,"James Carr, Isaac Cronin",9781902593647.0,240,3.96,94,AK Press,October 1st 2002,BAD: The Autobiography of James Carr / Edition 1,James Carr,9781902593647.0,240.0,,,AK Press,10/01/2002,1
Whitey and Mickey - An Autobiography of the Yankee Years (A Signet book),"Whitey Ford, Mickey Mantle, Joe Durso",9780451079633.0,211,4.08,13,Signet,March 7th 1978,Whitey and Mickey: A Joint Autobiography of the Yankee Years,Whitey Ford,9780451079633.0,,,,Penguin Group (USA) Incorporated,03/07/1978,1
Frank Lloyd Wright: An Autobiography,Frank Lloyd Wright,9780764932434.0,561,3.8,138,Pomegranate Communications In,January 1st 2005,Frank Lloyd Wright: An Autobiography,Frank Lloyd Wright,9780764932434.0,561.0,5.0,1.0,"Pomegranate Art Books, Incorporated",04/28/2005,1
On Superconductivity and Superfluidity: A Scientific Autobiography,Vitaly L. Ginzburg,9783540680048.0,232,0.0,0,Springer,January 1st 2009,On Superconductivity and Superfluidity: A Scientific Autobiography / Edition 1,Vitaly L. Ginzburg,9783540680048.0,232.0,,,Springer Berlin Heidelberg,12/12/2008,1
Autobiography of a Yaqui Poet,"Refugio Savala, Kathleen M. Sands",9780816506286.0,228,5.0,1,University of Arizona Press,March 1st 1980,Autobiography of a Yaqui Poet,Refugio Savala,9780816506286.0,228.0,,,University of Arizona Press,03/01/1980,1
The Norton Book of American Autobiography,"Jay Parini, Gore Vidal",9780393046779.0,720,4.12,8,W. W. Norton & Company,March 17th 1999,The Norton Book of American Autobiography,Jay Parini,9780393046779.0,711.0,,,"Norton, W. W. &amp; Company, Inc.",03/28/1999,1
Autobiography of Hector Berlioz - 2 Volume Set,"Hector Berlioz, Rachel Holmes, Eleanor Holmes",9781108031943.0,780,4.25,163,Cambridge University Press,May 5th 2011,"Autobiography of Hector Berlioz (2 Volume Set): Member of the Institute of France, from 1803 to 1806; Comprising his Travels in Italy, Germany, Russia, and England",Hector Berlioz,9781108031943.0,780.0,,,Cambridge University Press,09/15/2011,1
"Billy Baldwin, an Autobiography",Billy Baldwin,9780316303576.0,0,3.0,1,Little Brown and Company,October 1st 1985,Billy Baldwin: An Autobiography,"Billy Baldwin, Michael Gardine",9780316303576.0,368.0,,,"Little, Brown and Company",01/01/1985,1
Hoyt Street: An Autobiography,Mary Helen Ponce,9780826340207.0,338,3.67,18,University of New Mexico Press,February 1st 2006,Hoyt Street: An Autobiography,Mary Helen Ponce,9780826340207.0,348.0,3.3,3.0,University of New Mexico Press,02/28/2006,1
Without Stopping: An Autobiography,Paul Bowles,9780061137419.0,400,3.82,175,Harper Perennial,October 31st 2006,Without Stopping: An Autobiography,Paul Bowles,9780061137419.0,400.0,,,HarperCollins Publishers,10/31/2006,1
"My Art, My Life: An Autobiography (Dover Fine Art, History of Art)","Diego Rivera, Gladys March",9780486139098.0,224,3.75,129,Dover Publications,April 26th 2012,"My Art, My Life: An Autobiography","Diego Rivera, with Gladys March",9780486139098.0,224.0,4.0,2.0,Dover Publications,03/29/2012,1
"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition","Mark Twain, Harriet E. Smith, Benjamin Griffin",9780520279940.0,792,0.0,0,,,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition",Mark Twain,9780520279940.0,792.0,,,University of California Press,10/15/2015,1
Hashish;: The autobiography of a Red Sea smuggler,Henri de Monfreid,9780883730065.0,287,4.4,15,Stonehill,January 28th 1973,Hashish: The Autobiography of a Red Sea Smuggler,Henri de Monfreid,9780883730065.0,287.0,,,Stonehill Publishing Company,01/01/1973,1
