Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Elektra (Director's Cut) [Blu-ray] , 100 minutes ,Rob Bowman,2010,Jennifer Garner,Elektra,1 hr. 38 min.,Rob Bowman,2005,"Jennifer Garner, Goran Visnjic, Kirsten Prout, Will Yun Lee, Cary-Hiroyuki Tagawa, Terence Stamp",1
Punisher: War Zone [Blu-ray] , 103 minutes ,Lexi Alexander,2009,Ray Stevenson,Punisher: War Zone,1 hr. 42 min.,Lexi Alexander,2008,"Ray Stevenson, Dominic West, Dash Mihok, Julie Benz, Wayne Knight, Colin Salmon",1
Warrior , 140 minutes ,Gavin O'Connor,2011,Tom Hardy,Warrior,2 hr. 19 min.,Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison (I..., Frank Grillo, Kevin Dunn",1
Casino Royale [Blu-ray] , 144 minutes ,Martin Campbell,2007,Daniel Craig,Casino Royale,2 hr. 24 min.,Martin Campbell,2006,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Caterina Murino, Jeffrey Wright",1
The Hobbit: An Unexpected Journey    ,"2 hours, 50 minutes",Peter Jackson,2012,"Ian McKellen, Martin Freeman",The Hobbit: An Unexpected Journey,2 hr. 50 min.,Peter Jackson,2012,"Ian McKellen, Martin Freeman (II), Richard Armitage, Ken Stott, Graham McTavish, William Kircher",1
Training Day (BD) [Blu-ray] , 122 minutes ,Antoine Fuqua,2014,Denzel Washington,Training Day,2 hr. 2 min.,Antoine Fuqua,2001,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry",1
Olympus Has Fallen (Two Disc Combo: Blu-ray / DVD + UltraViolet Digital Copy) , 120 minutes ,Antoine Fuqua,2013,Gerard Butler,Olympus Has Fallen,1 hr. 59 min.,Antoine Fuqua,2013,"Gerard Butler, Rick Yune, Aaron Eckhart, Morgan Freeman, Angela Bassett, Melissa Leo",1
Torque (BD) [Blu-ray] , 84 minutes ,Joseph Kahn,2014,Martin Henderson,Torque,1 hr. 21 min.,Joseph Kahn,2004,"Martin Henderson, Ice Cube, Monet Mazur, Matt Schulze, Jay Hernandez, Will Yun Lee",1
The Amazing Spider-Man (Three-Disc Combo: Blu-ray / DVD + UltraViolet Digital Copy) , 136 minutes ,Marc Webb,2012,Andrew Garfield,The Amazing Spider-Man,2 hr. 16 min.,Marc Webb,2012,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field",1
The Final Countdown (Widescreen Edition) , 103 minutes ,Don Taylor,2004,Kirk Douglas,The Final Countdown,1 hr. 32 min.,Don Taylor,1980,"Kirk Douglas, Martin Sheen, Katharine Ross, James Farentino, Ron O'Neal, Charles Durning",1
