Title_A,Year_A,Directors_A,Actors_A,Content_Rating_A,Genre_A,Duration_A,Title_B,Year_B,Directors_B,Actors_B,Content_Rating_B,Genre_B,Duration_B,Gold
Wanted,2008.0,Timur Bekmambetov,"James McAvoy,Angelina Jolie,Morgan Freeman,Terence Stamp,Thomas Kretschmann,Common,Kristen Hager",3.0,"Action, Crime, Thriller",110 minutes,Wanted,2008,Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman",6.7,"Action, Crime, Fantasy",110 min ,1
We're the Millers,2013.0,Rawson Marshall Thurber,"Jason Sudeikis,Jennifer Aniston,Emma Roberts,Will Poulter,Ed Helms,Nick Offerman,Kathryn Hahn,Thomas Lennon,Mark L. Young",3.0,"Comedy, Crime",110 minutes,We're the Millers,2013,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts",7.1,"Action, Adventure, Comedy",110 min ,1
Madras Cafe,2013.0,Shoojit Sircar,"John Abraham,Nargis Fakhri,Rashi Khanna,Siddharth Basu,Prakash Belawadi",1.5,,,Madras Cafe,2013,Shoojit Sircar,"Nargis Fakhri, John Abraham, Rashi Khanna",7.8,"Action, Drama, History",130 min ,1
The Green Prince,2014.0,Nadav Schirman,,3.0,"Documentary, Drama, Thriller",95 minutes,The Prince,2014,Brian A Miller,"Jason Patric, Bruce Willis, John Cusack",4.6,"Action, Thriller",93 min ,1
Frankenstein's Army,2013.0,Richard Raaphorst,"Karel Roden,Joshua Sasse,Robert Gwilym,Alexander Mercury,Luke Newberry",2.5,"Action, Horror",84 minutes,Frankenstein's Army,2013,Richard Raaphorst,"Robert Gwilym, Hon Ping Tang, Alexander Mercury",5.3,"Action, Horror, Sci-Fi",84 min ,1
Robin Hood,2010.0,Ridley Scott,"Russell Crowe,Cate Blanchett,Max von Sydow,Oscar Isaac,Danny Huston",2.0,"Action, Adventure, Drama",140 minutes,Robin Hood,2010,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen",6.7,"Action, Adventure, Drama",140 min ,1
Cowboys & Aliens,2011.0,John Favreau,"Daniel Craig,Harrison Ford,Olivia Wilde,Sam Rockwell,Adam Beach,Paul Dano,Keith Carradine",3.0,"Action, Science Fiction, Thriller, Western",119 minutes,Cowboys & Aliens,2011,Jon Favreau,"Daniel Craig, Harrison Ford, Olivia Wilde",6.0,"Action, Sci-Fi, Thriller",119 min ,1
Star Wars: The Clone Wars,2008.0,Dave Filoni,"Matt Manter,Catherine Taber,James Arnold Taylor,Christopher Lee,Samuel L. Jackson",1.5,"Action, Animation, Family, Science Fiction",98 minutes,Star Wars: The Clone Wars,2008,Dave Filoni,"Matt Lanter, Nika Futterman, Tom Kane",5.8,"Animation, Action, Adventure",98 min ,1
The Book of Eli,2010.0,"Albert,Allen Hughes","Denzel Washington,Gary Oldman,Mila Kunis,Ray Stevenson,Jennifer Beals,Tom Waits,Michael Gambon",3.0,"Action, Science Fiction, Thriller",118 minutes,The Book of Zombie,2010,Paul Cranefield,"Brian Ibsen, Larisa Peters, Andrew Loviska",3.6,"Action, Comedy, Horror",61 min ,1
Slow West,2015.0,John Maclean,"Michael Fassbender,Ben Mendelsohn,Kodi Smit-McPhee,Caren Pistorius,Rory McCann",1.5,"Action, Thriller, Western",84 minutes,Slow West,2015,John Maclean,"Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn",7.0,"Action, Thriller, Western",84 min ,1
