Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,"Ye Jia, Yu Zhang, Ron J. Weiss, Quan Wang, Jonathan Shen, Fei Ren, Zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu","2 January, 2019","Advances in Neural Information Processing Systems 31 (2018), 4485-4495",Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,"Ye Jia, Yu Zhang, Ron Weiss, Quan Wang, Jonathan Shen, Fei Ren, zhifeng Chen, Patrick Nguyen, Ruoming Pang, Ignacio Lopez Moreno, Yonghui Wu",December 2018,Neurips 2018,1
Generalization Bounds for Domain Adaptation,"Chao Zhang, Lei Zhang, Jieping Ye","4 April, 2013",,Generalization Bounds for Domain Adaptation,"Chao Zhang, Lei Zhang, Jieping Ye",December 2012,Neurips 2012,1
SGD Learns the Conjugate Kernel Class of the Network,Amit Daniely,"19 May, 2017",,SGD Learns the Conjugate Kernel Class of the Network,Amit Daniely,December 2017,Neurips 2017,1
Synthesized Policies for Transfer and Adaptation across Tasks and Environments,"Hexiang Hu, Liyu Chen, Boqing Gong, Fei Sha","5 April, 2019",,Synthesized Policies for Transfer and Adaptation across Tasks and Environments,"Hexiang Hu, Liyu Chen, Boqing Gong, Fei Sha",December 2018,Neurips 2018,1
On Valid Optimal Assignment Kernels and Applications to Graph Classification,"Nils M. Kriege, Pierre-Louis Giscard, Richard C. Wilson","31 January, 2017",,On Valid Optimal Assignment Kernels and Applications to Graph Classification,"Nils M. Kriege, Pierre-Louis Giscard, Richard Wilson",December 2016,Neurips 2016,1
Isolating Sources of Disentanglement in Variational Autoencoders,"Ricky T. Q. Chen, Xuechen Li, Roger Grosse, David Duvenaud","22 January, 2019",,Isolating Sources of Disentanglement in Variational Autoencoders,"Tian Qi Chen, Xuechen Li, Roger B. Grosse, David K. Duvenaud",December 2018,Neurips 2018,1
Value Iteration Networks,"Aviv Tamar, Yi Wu, Garrett Thomas, Sergey Levine, Pieter Abbeel","20 March, 2017","Advances in Neural Information Processing Systems 29 pages 2154--2162, 2016",Value Iteration Networks,"Aviv Tamar, YI WU, Garrett Thomas, Sergey Levine, Pieter Abbeel",December 2016,Neurips 2016,1
A Credit Assignment Compiler for Joint Prediction,"Kai-Wei Chang, He He, Hal Daum III, John Langford, Stephane Ross","1 June, 2016",,A Credit Assignment Compiler for Joint Prediction,"Kai-Wei Chang, He He, Stephane Ross, Hal Daume III, John Langford",December 2016,Neurips 2016,1
Finite Sample Prediction and Recovery Bounds for Ordinal Embedding,"Lalit Jain, Kevin Jamieson, Robert Nowak","22 June, 2016",,Finite Sample Prediction and Recovery Bounds for Ordinal Embedding,"Lalit Jain, Kevin G. Jamieson, Rob Nowak",December 2016,Neurips 2016,1
A Linear Time Active Learning Algorithm for Link Classification -- Full Version --,"Nicolo Cesa-Bianchi, Claudio Gentile, Fabio Vitale, Giovanni Zappella","28 February, 2013",,A Linear Time Active Learning Algorithm for Link Classification,"Nicol Cesa-bianchi, Claudio Gentile, Fabio Vitale, Giovanni Zappella",December 2012,Neurips 2012,1
Diving into the shallows: a computational perspective on large-scale shallow learning,"Siyuan Ma, Mikhail Belkin","17 June, 2017",,Diving into the shallows: a computational perspective on large-scale shallow learning,"SIYUAN MA, Mikhail Belkin",December 2017,Neurips 2017,1
Efficient Inference of Gaussian Process Modulated Renewal Processes with Application to Medical Event Data,Thomas A. Lasko,"19 February, 2014",,Gaussian process modulated renewal processes,"Yee W. Teh, Vinayak Rao",December 2011,Neurips 2011,1
CatBoost: unbiased boosting with categorical features,"Liudmila Prokhorenkova, Gleb Gusev, Aleksandr Vorobev, Anna Veronika Dorogush, Andrey Gulin","20 January, 2019",,CatBoost: unbiased boosting with categorical features,"Liudmila Prokhorenkova, Gleb Gusev, Aleksandr Vorobev, Anna Veronika Dorogush, Andrey Gulin",December 2018,Neurips 2018,1
Banach Wasserstein GAN,"Jonas Adler, Sebastian Lunz","11 January, 2019",,Banach Wasserstein GAN,"Jonas Adler, Sebastian Lunz",December 2018,Neurips 2018,1
Online Structured Laplace Approximations For Overcoming Catastrophic Forgetting,"Hippolyt Ritter, Aleksandar Botev, David Barber","20 May, 2018",,Online Structured Laplace Approximations for Overcoming Catastrophic Forgetting,"Hippolyt Ritter, Aleksandar Botev, David Barber",December 2018,Neurips 2018,1
Deep Neural Nets with Interpolating Function as Output Activation,"Bao Wang, Xiyang Luo, Zhen Li, Wei Zhu, Zuoqiang Shi, Stanley J. Osher","16 June, 2018",,Deep Neural Nets with Interpolating Function as Output Activation,"Bao Wang, Xiyang Luo, Zhen Li, Wei Zhu, Zuoqiang Shi, Stanley Osher",December 2018,Neurips 2018,1
Unsupervised Sequence Classification using Sequential Output Statistics,"Yu Liu, Jianshu Chen, Li Deng","26 May, 2017",,Unsupervised Sequence Classification using Sequential Output Statistics,"Yu Liu, Jianshu Chen, Li Deng",December 2017,Neurips 2017,1
Learning to Reason with Third-Order Tensor Products,"Imanol Schlag, Jrgen Schmidhuber","8 January, 2019",,Learning to Reason with Third Order Tensor Products,"Imanol Schlag, Jrgen Schmidhuber",December 2018,Neurips 2018,1
Generalizing Point Embeddings using the Wasserstein Space of Elliptical Distributions,"Boris Muzellec, Marco Cuturi","17 February, 2019","Advances in Neural Information Processing Systems 31, pages 10258--10269, 2018",Generalizing Point Embeddings using the Wasserstein Space of Elliptical Distributions,"Boris Muzellec, Marco Cuturi",December 2018,Neurips 2018,1
Expressive Power and Approximation Errors of Restricted Boltzmann Machines,"Guido Montufar, Johannes Rauh, Nihat Ay","12 June, 2014","Advances in Neural Information Processing Systems 24, pages 415-423, 2011",Expressive Power and Approximation Errors of Restricted Boltzmann Machines,"Guido F. Montufar, Johannes Rauh, Nihat Ay",December 2011,Neurips 2011,1
