Tag_A,Title_A,Authors_A,Month_A,Year_A,JournalRef_A,Tag_B,Title_B,Authors_B,Month_B,Year_B,JournalRef_B,Gold
Kanbak_2018_CVPR,Geometric Robustness of Deep Networks: Analysis and Improvement,"Kanbak, Can and Moosavi-Dezfooli, Seyed-Mohsen and Frossard, Pascal",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4441-4449",arXiv:1711.09115,Geometric robustness of deep networks: analysis and improvement,"Can Kanbak, Seyed-Mohsen Moosavi-Dezfooli, Pascal Frossard",November,2017,,1
Mahjourian_2018_CVPR,Unsupervised Learning of Depth and Ego-Motion From Monocular Video Using 3D Geometric Constraints,"Mahjourian, Reza and Wicke, Martin and Angelova, Anelia",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5667-5675",arXiv:1802.05522,Unsupervised Learning of Depth and Ego-Motion from Monocular Video Using 3D Geometric Constraints,"Reza Mahjourian, Martin Wicke, Anelia Angelova",June,2018,,1
Sigurdsson_2018_CVPR,Actor and Observer: Joint Modeling of First and Third-Person Videos,"Sigurdsson, Gunnar A. and Gupta, Abhinav and Schmid, Cordelia and Farhadi, Ali and Alahari, Karteek",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7396-7404",arXiv:1804.09627,Actor and Observer: Joint Modeling of First and Third-Person Videos,"Gunnar A. Sigurdsson, Abhinav Gupta, Cordelia Schmid, Ali Farhadi, Karteek Alahari",April,2018,CVPR 2018,1
Hui_2018_CVPR,LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,"Hui, Tak-Wai and Tang, Xiaoou and Change Loy, Chen",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8981-8989",arXiv:1805.07036,LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,"Tak-Wai Hui, Xiaoou Tang, Chen Change Loy",May,2018,,1
Joo_2018_CVPR,Generating a Fusion Image: One's Identity and Another's Shape,"Joo, DongGyu and Kim, Doyeon and Kim, Junmo",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1635-1643",arXiv:1804.07455,Generating a Fusion Image: One's Identity and Another's Shape,"Donggyu Joo, Doyeon Kim, Junmo Kim",April,2018,,1
Cheng_2018_CVPR,Dual Skipping Networks,"Cheng, Changmao and Fu, Yanwei and Jiang, Yu-Gang and Liu, Wei and Lu, Wenlian and Feng, Jianfeng and Xue, Xiangyang",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4071-4079",arXiv:1710.10386,Dual Skipping Networks,"Changmao Cheng, Yanwei Fu, Yu-Gang Jiang, Wei Liu, Wenlian Lu, Jianfeng Feng, Xiangyang Xue",May,2018,,1
Zhu_2018_CVPR,A Generative Adversarial Approach for Zero-Shot Learning From Noisy Texts,"Zhu, Yizhe and Elhoseiny, Mohamed and Liu, Bingchen and Peng, Xi and Elgammal, Ahmed",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1004-1013",arXiv:1712.01381,A Generative Adversarial Approach for Zero-Shot Learning from Noisy Texts,"Yizhe Zhu, Mohamed Elhoseiny, Bingchen Liu, Xi Peng, Ahmed Elgammal",May,2018,,1
Pritts_2018_CVPR,Radially-Distorted Conjugate Translations,"Pritts, James and Kukelova, Zuzana and Larsson, Viktor and Chum, Ondej",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1993-2001",arXiv:1711.11339,Radially-Distorted Conjugate Translations,"James Pritts, Zuzana Kukelova, Viktor Larsson, Ondrej Chum",June,2018,,1
Khrulkov_2018_CVPR,Art of Singular Vectors and Universal Adversarial Perturbations,"Khrulkov, Valentin and Oseledets, Ivan",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8562-8570",arXiv:1709.03582,Art of singular vectors and universal adversarial perturbations,"Valentin Khrulkov, Ivan Oseledets",November,2017,,1
Wang_2018_CVPR,Learning Depth From Monocular Videos Using Direct Methods,"Wang, Chaoyang and Miguel Buenaposada, Jos and Zhu, Rui and Lucey, Simon",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2022-2030",arXiv:1712.00175,Learning Depth from Monocular Videos using Direct Methods,"Chaoyang Wang, Jose Miguel Buenaposada, Rui Zhu, Simon Lucey",November,2017,,1
