Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
Quasi-Cubes: Exploiting Approximations in Multidimensional Databases,"D Barbara, M Sullivan","SIGMOD Record,",1997.0,Quasi-Cubes: Exploiting Approximations in Multidimensional Databases,"D Barbarс, M Sullivan",SIGMOD Record,1997,1
Efficient Mid-Query Re-Optimization of Sub-Optimal Query Execution Plans,"N Kabra, DJ DeWitt","SIGMOD Conference,",1998.0,Efficient Mid-Query Re-Optimization of Sub-Optimal Query Execution Plans,"N Kabra, D DeWitt",SIGMOD Conference,1998,1
Histogram-Based Approximation of Set-Valued Query-Answers,"YE Ioannidis, V Poosala","VLDB,",1999.0,Histogram-Based Approximation of Set-Valued Query-Answers,"Y Ioannidis, V Poosala",VLDB,1999,1
A New Passenger Support System for Public Transport using Mobile Database Access,"K Goto, Y Kambayashi","VLDB,",2002.0,A New Passenger Support System for Public Transport using Mobile Database Access,"K Goto, Y Kambayashi",VLDB,2002,1
Rondo: A Programming Platform for Generic Model Management,"S Melnik, E Rahm, PA Bernstein","SIGMOD Conference,",2003.0,Rondo: A Programming Platform for Generic Model Management,"S Melnik, E Rahm, P Bernstein",SIGMOD Conference,2003,1
The ORES Temporal Database Management System,"B Theodoulidis, A Ait-Braham, G Andrianopoulos, J  ",Proc. ACM SIGMOD Int&#39;l Conf. Management of,,The ORES Temporal Database Management System,"B Theodoulidis, A Ait-Braham, G Andrianopoulos, J Chaudhary, G Karvelis, S Sou",SIGMOD Conference,1994,1
High-Concurrency Locking in R-Trees,"M Kornacker, D Banks","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,High-Concurrency Locking in R-Trees,"M Kornacker, D Banks",VLDB,1995,1
Mapping Extended Entity Relationship Model to Object Modeling Technique,J Fong,"SIGMOD Record,",1995.0,Mapping Extended Entity Relationship Model to Object Modeling Technique,J Fong,SIGMOD Record,1995,1
State of the Art in Workflow Management Research and Products,C Mohan,"SIGMOD Conference,",1996.0,State of the Art in Workflow Management Research and Products,,,1996,1
Interaction of Query Evaluation and Buffer Management for Information Retrieval,"BT Jonsson, MJ Franklin, D Srivastava","SIGMOD Conference,",1998.0,Interaction of Query Evaluation and Buffer Management for Information Retrieval,"B Jѓnsson, M Franklin, D Srivastava",SIGMOD Conference,1998,1
QBI: Query By Icons,"A Massari, L Saladini",,,QBI: Query By Icons,"A Massari, S Pavani, L Saladini, P Chrysanthis",SIGMOD Conference,1995,1
Bifocal Sampling for Skew-Resistant Join Size Estimation,"S Ganguly, PB Gibbons, Y Matias, A Silberschatz","SIGMOD Conference,",1996.0,Bifocal Sampling for Skew-Resistant Join Size Estimation,"S Ganguly, P Gibbons, Y Matias, A Silberschatz",SIGMOD Conference,1996,1
Data Analysis and Mining in the Life Sciences,N Huyn,"SIGMOD Record,",2001.0,Data Analysis and Mining in the Life Sciences,N Huyn,SIGMOD Record,2001,1
Improved Histograms for Selectivity Estimation of Range Predicates,"V Poosala, EJ Shekita","SIGMOD Conference,",1996.0,Improved Histograms for Selectivity Estimation of Range Predicates,"V Poosala, Y Ioannidis, P Haas, E Shekita",SIGMOD Conference,1996,1
Viator - A Tool Family for Graphical Networking and Data View Creation,"S Heymann, K Tham, A Kilian, G Wegner, P Rieger, D ","VLDB,",2002.0,Viator - A Tool Family for Graphical Networking and Data View Creation,"S Heymann, K Tham, A Kilian, G Wegner, P Rieger, D Merkel, J Freytag",VLDB,2002,1
Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,"SIGMOD Record, 2000","SIGMOD Record,",2000.0,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,"A Paepcke, H Garcia-Molina, G Rodrэguez-Mulр, J Cho",SIGMOD Record,2000,1
Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),J Hammer,"SIGMOD Record,",2002.0,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),,,2002,1
"Large-Scale, Standards-Based Earth Observation Imagery and Web Mapping Services",P Baumann,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,"Large-Scale, Standards-Based Earth Observation Imagery and Web Mapping Services",P Baumann,VLDB,2003,1
The Middleware Muddle,D Ritter,"SIGMOD Record,",1998.0,The Middleware Muddle,D Ritter,SIGMOD Record,1998,1
Bluetooth-based sensor networks,"P Bonnet, A Beaufour, MB Dydensborg, M Leopold","ACM SIGMOD Record,",2003.0,Bluetooth-based sensor networks,"P Bonnet, A Beaufour, M Dydensborg, M Leopold",SIGMOD Record,2003,1
Data-Driven Understanding and Refinement of Schema Mappings,RJ Millerâ?¦,"Proceedings of the SIGMOD Conference,",,Data-Driven Understanding and Refinement of Schema Mappings,"L Yan, R Miller, L Haas, R Fagin",SIGMOD Conference,2001,1
Building and Customizing Data-Intensive Web Sites Using Weave,"K Yagoub, D Florescu, V Issarny","VLDB,",2000.0,Building and Customizing Data-Intensive Web Sites Using Weave,"K Yagoub, D Florescu, V Issarny, P Valduriez",VLDB,2000,1
Translating Web Data,"R Fagin, M Hernandez, L Popa, R Miller, Y  ",Proc. of the 28th,,Translating Web Data,"L Popa, Y Velegrakis, R Miller, M Hernсndez, R Fagin",VLDB,2002,1
The Pyramid-Technique: Towards Breaking the Curse of Dimensionality,"S Berchtold, HP Kriegel","SIGMOD RECORD,",1998.0,The Pyramid-Technique: Towards Breaking the Curse of Dimensionality,"S Berchtold, C Bіhm, H Kriegel",SIGMOD Conference,1998,1
Toward Autonomic Computing with DB2 Universal Database,"S Lightstone, G Lohman, D Zilio","SIGMOD Record,",2002.0,Toward Autonomic Computing with DB2 Universal Database,"S Lightstone, G Lohman, D Zilio",SIGMOD Record,2002,1
S-ToPSS: Semantic Toronto Publish/Subscribe System,"M Petrovic, I Burcea, HA Jacobsen","Arxiv preprint cs.DC/0311041,",2003.0,S-ToPSS: Semantic Toronto Publish/Subscribe System,"M Petrovic, I Burcea, H Jacobsen",VLDB,2003,1
Manipulating Interpolated Data is Easier than You Thought,"S Grumbach, P Rigaux, L Segoufin","VLDB,",2000.0,Manipulating Interpolated Data is Easier than You Thought,"S Grumbach, P Rigaux, L Segoufin",VLDB,2000,1
ObjectGlobe: Ubiquitous query processing on the Internet,"R Braumandl, M Keidl, A Kemper, D Kossmann, A  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2001.0,ObjectGlobe: Ubiquitous query processing on the Internet,"R Braumandl, M Keidl, A Kemper, D Kossmann, A Kreutz, S Seltzsam, K Stocker",VLDB J.,2001,1
Managing Intra-operator Parallelism in Parallel Database Systems,M Mehta,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,Managing Intra-operator Parallelism in Parallel Database Systems,"M Mehta, D DeWitt",VLDB,1995,1
Temporal Database System Implementations,MH Bohlen,"ACM SIGMOD Record,",,Temporal Database System Implementations,M Bіhlen,SIGMOD Record,1995,1
Data Staging for On-Demand Broadcast,"D Aksoy, MJ Franklin, S Zdonik","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Data Staging for On-Demand Broadcast,"D Aksoy, M Franklin, S Zdonik",VLDB,2001,1
A New SQL-like Operator for Mining Association Rules,"S Ceri, R Meo, G Psaila",Proc. of the 22nd Intâ??l Conference on Very Large Data ,,A New SQL-like Operator for Mining Association Rules,"R Meo, G Psaila, S Ceri",VLDB,1996,1
Content Integration for E-Business,"M Stonebraker, JM Hellerstein",,,Content Integration for E-Business,"M Stonebraker, J Hellerstein",SIGMOD Conference,2001,1
Changing the Rules: Transformations for Rule-Based Optimizers,"M Chemiack, S Zdonik",,,Changing the Rules: Transformations for Rule-Based Optimizers,"M Cherniack, S Zdonik",SIGMOD Conference,1998,1
Model-Based Information Integration in a Neuroscience Mediator System,"B Ludascher, A Gupta, ME Martone","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2000.0,Model-Based Information Integration in a Neuroscience Mediator System,"B Ludфscher, A Gupta, M Martone",VLDB,2000,1
Cover Your Assets,D Essex,"Computerworld,",,Cover Your Assets,M Olson,SIGMOD Conference,1995,1
A Chase Too Far?,L Popa,"SIGMOD Conference,",2000.0,A Chase Too Far?,"L Popa, A Deutsch, A Sahuguet, V Tannen",SIGMOD Conference,2000,1
A Comparison of Three User Interfaces to Relational Microcomputer Data Bases,"C Medsker, M Christensen, IY Song","SIGMOD Record,",1995.0,A Comparison of Three User Interfaces to Relational Microcomputer Data Bases,"C Medsker, M Christensen, I Song",SIGMOD Record,1995,1
Approximate Medians and other Quantiles in One Pass and with Limited Memory,"B Lindsay, G Manku, S Rajagopalan","Proc. ACM SIGMOD,",,Approximate Medians and other Quantiles in One Pass and with Limited Memory,"G Manku, S Rajagopalan, B Lindsay",SIGMOD Conference,1998,1
Editor's Notes,TE Cyrs,"New Directions for Teaching and Learning,",,Editor's Notes,M Franklin,SIGMOD Record,1998,1
Guest Editor's Introduction,WC Newstetter,Journal of the Learning,,Guest Editor's Introduction,,,1998,1
Automatic Subspace Clustering of High Dimensional Data for Data Mining Applications,"RAJ Gehrke, DGP Raghavan",,,Automatic Subspace Clustering of High Dimensional Data for Data Mining Applications,"R Agrawal, J Gehrke, D Gunopulos, P Raghavan",SIGMOD Conference,1998,1
Implementing Lazy Database Updates for an Object Database System,"F Ferrandina, T Meyer, R Zicari","VLDB,",1994.0,Implementing Lazy Database Updates for an Object Database System,"F Ferrandina, T Meyer, R Zicari",VLDB,1994,1
"Fault-tolerant, Load-balancing Queries in Telegraph","MA Shah, S Chandrasekaran","Proceedings of the 2001 ACM SIGMOD international conference  &hellip;,",2001.0,"Fault-tolerant, Load-balancing Queries in Telegraph","M Shah, S Chandrasekaran",SIGMOD Conference,2001,1
Miro Web: Integrating Multiple Data Sources through Semistructured Data Types,"L Bouganim, T Chan-Sine-Ying, TT Dang-Ngoc, JL  ","Proceedings of the 25th International Conference on Very  &hellip;,",1999.0,Miro Web: Integrating Multiple Data Sources through Semistructured Data Types,"L Bouganim, T Chan-Sine-Ying, T Dang-Ngoc, J Darroux, G Gardarin, F Sha",VLDB,1999,1
An Optimisation Scheme for Coalesce/Valid Time Selection Operator Sequences,C Vassilakis,"SIGMOD Record,",2000.0,An Optimisation Scheme for Coalesce/Valid Time Selection Operator Sequences,C Vassilakis,SIGMOD Record,2000,1
