Description_A,Price_A,Color_A,Description_B,Price_B,Color_B,Gold
Smashbox HALO Hydrating Perfecting Powder & Brush Set Dark,$59.00,Dark,Smashbox halo hydrating perfecting powder,$22.00,Dark,1
tarte Amazonian Butter Lipstick (Pink Peony),$23.06,Pink Peony,tarte amazonian butter lipstick,$17.00,Pink Peony,1
Kat Von D Tattoo Liner Mad Max Brown - Rich Chocolate Brown,$28.50,Mad Max Brown,Kat Von D tattoo liner,$19.00,Mad Max Brown,1
Sephora Collection Bright Set Pressed Finishing Powder 01 Banana,$31.80,,SEPHORA COLLECTION bright set pressed finishing powder,$16.00,,1
Bobbi Brown Long Wear Even Finish Foundation SPF 15 - # 6.5 Warm Almond - 30ml/1oz,$52.73,Warm Almond,Bobbi Brown long wear even finish foundation spf 15,$48.00,Warm Almond,1
Bobbi Brown Blush Nude Peach 0.13 oz,$28.00,Nude Peach,Bobbi Brown blush,$28.00,Nude Peach,1
Smashbox Be Legendary Lip Gloss - Legendary 0.20oz (6ml),$13.50,Legendary,Smashbox be legendary lip gloss,$20.00,Legendary,1
Too Faced Melted Liquified Long Wear Lipstick in Fig .16oz Travel Size Set of (2),$19.99,,Too Faced melted liquified long wear lipstick,$21.00,Melted Rainbow,1
Clinique Chubby Stick Shadow Tint for Eyes Whopping Willow 0.1 oz,$15.95,Whopping Willow,CLINIQUE chubby stick shadow tint for eyes,$17.00,Whopping Willow,1
Givenchy Le Rouge Intense Color Sensuously Mat Lipstick - # 317 Corail Signature (Genuine Leather Case) 3.4g/0.12oz,$55.95,317 Corail Signature,Givenchy le rouge,$36.00,317 Corail Signature,1
NARS The Multiple - # G Spot - 14g/0.5oz,$40.21,,NARS the multiple,$39.00,Maui ,1
SEPHORA COLLECTION Ultra Shine Lip Gloss 32 Hot Citrus Sparkling,$20.00,,SEPHORA COLLECTION ultra shine lip gloss,$14.00,32 Starlight,1
ARDENCY INN MODSTER Eyeliner Travel Size Duo,$26.80,,ARDENCY INN modster eyeliner travel size duo,$15.00,,1
Laura Mercier Mineral Pressed Powder SPF 15 Rich Vanilla,$35.88,Rich Vanilla,Laura Mercier mineral pressed powder spf 15,$39.00,Rich Vanilla,1
Laura Mercier Lip Pencil - Chestnut - 1.49g/0.053oz,$30.99,Chestnut,Laura Mercier lip pencil,$23.00,Chestnut,1
Laura Mercier Moisture Supreme Foundation - Tawny Beige 30ml/1oz,$78.00,Tawny Beige,Laura Mercier moisture supreme foundation,$48.00,Tawny Beige,1
Christian Dior Diorskin Nude Skin Glowing Makeup SPF 15 - # 040 Honey Beige 30ml/1oz,$44.90,Honey Beige 040,Dior diorskin nude skin glowing makeup spf 15,$48.00,Honey Beige 040,1
Too Faced La Creme Color Drenched Lip Cream in Teddy Berry 0.11 oz by Too Faced,$42.27,,Too Faced la creme,$22.00,Teddy Berry,1
Laura Mercier Camouflage Powder Brush - Long Handled -,$29.90,,Laura Mercier camouflage powder brush,$28.00,,1
Bobbi Brown BB Cream Broad Spectrum SPF 35 Dark 1.35 oz,$22.99,Dark,Bobbi Brown bb cream broad spectrum spf 35,$44.00,Dark,1
Too Faced Melted Liquified Long Wear Lipstick in Fig .16oz Travel Size Set of (2),$19.99,,Too Faced melted liquified long wear lipstick,$21.00,Melted Violet,1
Yves Saint Laurent Volupte Tint In Oil - #02 Oh My Gold 6ml/0.2oz,$29.99,,Yves Saint Laurent volupte tint in oil,$32.00,Oh My Gold 2,1
"Too Faced Melted Liquified Long Wear Lipstick, Melted Coral, 0.40 fl. oz./12 ml.",$21.00,,Too Faced melted liquified long wear lipstick,$21.00,Melted Nude,1
Smashbox Be Legendary Lipstick (Peach Rose & red grape) Duo set,$17.42,,Smashbox be legendary lipstick,$20.00,Legendary,1
NARS Brow Gel - Oural - 7ml/0.21oz,$25.17,,NARS brow gel,$23.00,,1
SEPHORA COLLECTION Full Action Extreme Effect Mascara 01 Black,$23.99,,SEPHORA COLLECTION full action extreme effect mascara,$12.00,01 Black,1
Estee Lauder Pure Color Envy Liquid Lip Potion-bittersweet,$36.99,,Estee Lauder pure color envy liquid lip potion,$30.00,Fragile Ego,1
Anastasia Beverly Hills Perfect Brow Pencil - Soft Brown,$39.85,Soft Brown,Anastasia Beverly Hills perfect brow pencil,$23.00,Soft Brown,1
Smashbox 24 Hour CC Spot Concealer .008 fl. oz. - Fair/Light,$23.00,Fair Light,Smashbox 24 hour cc spot concealer,$25.00,Fair Light,1
Shiseido The Makeup Powdery Foundation B20 Natural Light Beige 0.38 oz,$33.96,B20 Natural Light Beige,Shiseido the makeup powdery foundation,$29.50,B20 Natural Light Beige,1
Yves Saint Laurent Volupte Tint In Oil - #05 Cherry My Cherie 6ml/0.2oz,$49.75,,Yves Saint Laurent volupte tint in oil,$32.00,Undress Me 3,1
Kevyn Aucoin The Large Fan Brush -,$57.78,,KEVYN AUCOIN the large fan brush,$60.00,,1
Laura Mercier Secret Camouflage,$31.28,,Laura Mercier secret camouflage,$34.00,SC-5,1
Urban Decay Naked Basics Palette,$54.90,,Urban Decay naked basics palette,$29.00,,1
"Giorgio Armani Luminous Silk Foundation 1oz - # 4.75, (BNIB)",$62.00,4.75,Giorgio Armani luminous silk foundation,$62.00,4.75,1
"Laura Mercier Mineral Pressed Powder SPF 15, shade=Warm Chestnut",$35.88,Warm Chestnut,Laura Mercier mineral pressed powder spf 15,$39.00,Warm Chestnut,1
Too Faced Melted Liquified Long Wear Lipstick in Fig .16oz Travel Size Set of (2),$19.99,,Too Faced melted liquified long wear lipstick,$21.00,Melted Fig,1
Bobbi Brown Bb Cream Broad Spectrum SPF 35 Light 1.35g/40ml Full Size,$45.45,Light,Bobbi Brown bb cream broad spectrum spf 35,$44.00,Light,1
Clinique Chubby Stick Shadow Tint for Eyes - # 09 Lavish Lilac - 3g/0.1oz,$21.20,Lavish Lilac,CLINIQUE chubby stick shadow tint for eyes,$17.00,Lavish Lilac,1
